m,r,classification
2537,1268,symmetry
2541,1270,symmetry
2545,1272,symmetry
2549,1274,symmetry
2553,1276,symmetry
2557,1278,symmetry
2561,1280,symmetry
2565,1282,symmetry
2569,1284,symmetry
2573,1286,symmetry
2577,1288,symmetry
2581,1290,symmetry
2585,1292,symmetry
2589,1294,symmetry
2593,1296,symmetry
2597,1298,symmetry
2601,1300,symmetry
2605,1302,symmetry
2609,1304,symmetry
2613,1306,symmetry
2617,1308,symmetry
2621,1310,symmetry
2625,1312,symmetry
2629,1314,symmetry
2633,1316,symmetry
2637,1318,symmetry
2641,1320,symmetry
2645,1322,symmetry
2649,1324,symmetry
2653,1326,symmetry
2657,1328,symmetry
2661,1330,symmetry
2665,1332,symmetry
2669,1334,symmetry
2673,1336,symmetry
2677,1338,symmetry
2681,1340,symmetry
2685,1342,symmetry
2689,1344,symmetry
2693,1346,symmetry
2697,1348,symmetry
2701,1350,symmetry
2705,1352,symmetry
2709,1354,symmetry
2713,1356,symmetry
2717,1358,symmetry
2721,1360,symmetry
2725,1362,symmetry
2729,1364,symmetry
2733,1366,symmetry
2737,1368,symmetry
2741,1370,symmetry
2745,1372,symmetry
2749,1374,symmetry
2753,1376,symmetry
2757,1378,symmetry
2761,1380,symmetry
2765,1382,symmetry
2769,1384,symmetry
2773,1386,symmetry
2777,1388,symmetry
2781,1390,symmetry
2785,1392,symmetry
2789,1394,symmetry
2793,1396,symmetry
2797,1398,symmetry
2801,1400,symmetry
2805,1402,symmetry
2809,1404,symmetry
2813,1406,symmetry
2817,1408,symmetry
2821,1410,symmetry
2825,1412,symmetry
2829,1414,symmetry
2833,1416,symmetry
2837,1418,symmetry
2841,1420,symmetry
2845,1422,symmetry
2849,1424,symmetry
2853,1426,symmetry
2857,1428,symmetry
2861,1430,symmetry
2865,1432,symmetry
2869,1434,symmetry
2873,1436,symmetry
2877,1438,symmetry
2881,1440,symmetry
2885,1442,symmetry
2889,1444,symmetry
2893,1446,symmetry
2897,1448,symmetry
2901,1450,symmetry
2905,1452,symmetry
2909,1454,symmetry
2913,1456,symmetry
2917,1458,symmetry
2921,1460,symmetry
2925,1462,symmetry
2929,1464,symmetry
2933,1466,symmetry
2937,1468,symmetry
2941,1470,symmetry
2945,1472,symmetry
2949,1474,symmetry
2953,1476,symmetry
2957,1478,symmetry
2961,1480,symmetry
2965,1482,symmetry
2969,1484,symmetry
2973,1486,symmetry
2977,1488,symmetry
2981,1490,symmetry
2985,1492,symmetry
2989,1494,symmetry
2993,1496,symmetry
2997,1498,symmetry
