n,principal_ideal_bitmasks,h_coefficients
5,9;2;4;8;30,1;9;24;24;9;1
5,9;2;4;8;31,1;10;27;27;10;1
5,9;2;4;9;16,1;7;16;16;7;1
5,9;2;4;9;18,1;8;21;21;8;1
5,9;2;4;9;20,1;8;21;21;8;1
5,9;2;4;9;22,1;9;26;26;9;1
5,9;2;4;9;25,1;9;22;22;9;1
5,9;2;4;9;27,1;10;27;27;10;1
5,9;2;4;9;29,1;10;27;27;10;1
5,9;2;4;9;31,1;11;32;32;11;1
5,9;2;6;8;16,1;7;17;17;7;1
5,9;2;6;8;18,1;8;21;21;8;1
5,9;2;6;8;22,1;9;25;25;9;1
5,9;2;6;8;24,1;8;21;21;8;1
5,9;2;6;8;25,1;9;25;25;9;1
5,9;2;6;8;26,1;9;25;25;9;1
5,9;2;6;8;27,1;10;29;29;10;1
5,9;2;6;8;30,1;10;29;29;10;1
5,9;2;6;8;31,1;11;33;33;11;1
5,9;2;6;9;16,1;8;21;21;8;1
5,9;2;6;9;18,1;9;26;26;9;1
5,9;2;6;9;22,1;10;31;31;10;1
5,9;2;6;9;25,1;10;29;29;10;1
5,9;2;6;9;27,1;11;34;34;11;1
5,9;2;6;9;31,1;12;39;39;12;1
5,9;2;12;8;16,1;7;16;16;7;1
5,9;2;12;8;18,1;8;21;21;8;1
5,9;2;12;8;24,1;8;19;19;8;1
5,9;2;12;8;25,1;9;23;23;9;1
5,9;2;12;8;26,1;9;24;24;9;1
5,9;2;12;8;27,1;10;28;28;10;1
5,9;2;12;8;28,1;9;23;23;9;1
5,9;2;12;8;29,1;10;27;27;10;1
5,9;2;12;8;30,1;10;28;28;10;1
5,9;2;12;8;31,1;11;32;32;11;1
5,9;2;13;8;16,1;8;19;19;8;1
5,9;2;13;8;18,1;9;25;25;9;1
5,9;2;13;8;24,1;9;23;23;9;1
5,9;2;13;8;25,1;10;26;26;10;1
5,9;2;13;8;26,1;10;29;29;10;1
5,9;2;13;8;27,1;11;32;32;11;1
5,9;2;13;8;29,1;11;30;30;11;1
5,9;2;13;8;31,1;12;36;36;12;1
5,9;2;13;9;16,1;9;22;22;9;1
5,9;2;13;9;18,1;10;29;29;10;1
5,9;2;13;9;25,1;11;29;29;11;1
5,9;2;13;9;27,1;12;36;36;12;1
5,9;2;13;9;29,1;12;34;34;12;1
5,9;2;13;9;31,1;13;41;41;13;1
5,9;2;14;8;16,1;8;20;20;8;1
5,9;2;14;8;18,1;9;25;25;9;1
5,9;2;14;8;24,1;9;24;24;9;1
5,9;2;14;8;25,1;10;29;29;10;1
5,9;2;14;8;26,1;10;28;28;10;1
5,9;2;14;8;27,1;11;33;33;11;1
5,9;2;14;8;30,1;11;32;32;11;1
5,9;2;14;8;31,1;12;37;37;12;1
5,9;2;15;8;16,1;9;23;23;9;1
5,9;2;15;8;18,1;10;29;29;10;1
5,9;2;15;8;24,1;10;28;28;10;1
5,9;2;15;8;25,1;11;32;32;11;1
5,9;2;15;8;26,1;11;33;33;11;1
5,9;2;15;8;27,1;12;36;36;12;1
5,9;2;15;8;31,1;13;40;40;13;1
5,9;2;15;9;16,1;10;27;27;10;1
5,9;2;15;9;18,1;11;34;34;11;1
5,9;2;15;9;25,1;12;36;36;12;1
5,9;2;15;9;27,1;13;41;41;13;1
5,9;2;15;9;31,1;14;46;46;14;1
5,9;2;20;8;16,1;7;17;17;7;1
5,9;2;20;8;20,1;8;21;21;8;1
5,9;2;20;9;16,1;8;21;21;8;1
5,9;2;20;9;20,1;9;26;26;9;1
5,9;2;22;8;16,1;8;21;21;8;1
5,9;2;22;8;18,1;9;25;25;9;1
5,9;2;22;8;22,1;10;29;29;10;1
5,9;2;22;9;16,1;9;26;26;9;1
5,9;2;22;9;18,1;10;31;31;10;1
5,9;2;22;9;22,1;11;36;36;11;1
5,9;2;28;8;16,1;8;20;20;8;1
5,9;2;28;8;24,1;9;23;23;9;1
5,9;2;28;8;28,1;10;27;27;10;1
5,9;2;29;8;16,1;9;23;23;9;1
5,9;2;29;8;24,1;10;27;27;10;1
5,9;2;29;8;25,1;11;30;30;11;1
5,9;2;29;8;29,1;12;34;34;12;1
5,9;2;29;9;16,1;10;27;27;10;1
5,9;2;29;9;25,1;12;34;34;12;1
5,9;2;29;9;29,1;13;39;39;13;1
5,9;2;30;8;16,1;9;24;24;9;1
5,9;2;30;8;18,1;10;29;29;10;1
5,9;2;30;8;24,1;10;28;28;10;1
5,9;2;30;8;26,1;11;32;32;11;1
5,9;2;30;8;30,1;12;36;36;12;1
5,9;2;31;8;16,1;10;27;27;10;1
5,9;2;31;8;18,1;11;33;33;11;1
5,9;2;31;8;24,1;11;32;32;11;1
5,9;2;31;8;25,1;12;36;36;12;1
5,9;2;31;8;26,1;12;37;37;12;1
5,9;2;31;8;27,1;13;40;40;13;1
5,9;2;31;8;31,1;14;44;44;14;1
5,9;2;31;9;16,1;11;32;32;11;1
5,9;2;31;9;18,1;12;39;39;12;1
5,9;2;31;9;25,1;13;41;41;13;1
5,9;2;31;9;27,1;14;46;46;14;1
5,9;2;31;9;31,1;15;51;51;15;1
5,9;6;4;8;16,1;7;17;17;7;1
5,9;6;4;8;20,1;8;21;21;8;1
5,9;6;4;8;22,1;9;25;25;9;1
5,9;6;4;8;24,1;8;21;21;8;1
5,9;6;4;8;25,1;9;25;25;9;1
5,9;6;4;8;28,1;9;25;25;9;1
5,9;6;4;8;29,1;10;29;29;10;1
5,9;6;4;8;30,1;10;29;29;10;1
5,9;6;4;8;31,1;11;33;33;11;1
5,9;6;4;9;16,1;8;21;21;8;1
5,9;6;4;9;20,1;9;26;26;9;1
5,9;6;4;9;22,1;10;31;31;10;1
5,9;6;4;9;25,1;10;29;29;10;1
5,9;6;4;9;29,1;11;34;34;11;1
5,9;6;4;9;31,1;12;39;39;12;1
5,9;6;6;8;16,1;8;21;21;8;1
5,9;6;6;8;22,1;10;29;29;10;1
5,9;6;6;8;24,1;9;26;26;9;1
5,9;6;6;8;25,1;10;31;31;10;1
5,9;6;6;8;30,1;11;34;34;11;1
5,9;6;6;8;31,1;12;39;39;12;1
5,9;6;6;9;16,1;9;26;26;9;1
5,9;6;6;9;22,1;11;36;36;11;1
5,9;6;6;9;25,1;11;36;36;11;1
5,9;6;6;9;31,1;13;46;46;13;1
5,9;10;4;8;16,1;7;16;16;7;1
5,9;10;4;8;20,1;8;21;21;8;1
5,9;10;4;8;24,1;8;19;19;8;1
5,9;10;4;8;25,1;9;23;23;9;1
5,9;10;4;8;26,1;9;23;23;9;1
5,9;10;4;8;27,1;10;27;27;10;1
5,9;10;4;8;28,1;9;24;24;9;1
5,9;10;4;8;29,1;10;28;28;10;1
5,9;10;4;8;30,1;10;28;28;10;1
5,9;10;4;8;31,1;11;32;32;11;1
5,9;10;12;8;16,1;8;19;19;8;1
5,9;10;12;8;24,1;9;22;22;9;1
5,9;10;12;8;25,1;10;27;27;10;1
5,9;10;12;8;26,1;10;27;27;10;1
5,9;10;12;8;27,1;11;32;32;11;1
5,9;10;12;8;28,1;10;27;27;10;1
5,9;10;12;8;29,1;11;32;32;11;1
5,9;10;12;8;30,1;11;32;32;11;1
5,9;10;12;8;31,1;12;37;37;12;1
5,9;10;13;8;16,1;9;23;23;9;1
5,9;10;13;8;24,1;10;27;27;10;1
5,9;10;13;8;25,1;11;31;31;11;1
5,9;10;13;8;26,1;11;33;33;11;1
5,9;10;13;8;27,1;12;37;37;12;1
5,9;10;13;8;29,1;12;36;36;12;1
5,9;10;13;8;31,1;13;42;42;13;1
5,9;10;14;8;16,1;9;23;23;9;1
5,9;10;14;8;24,1;10;27;27;10;1
5,9;10;14;8;25,1;11;33;33;11;1
5,9;10;14;8;26,1;11;31;31;11;1
5,9;10;14;8;27,1;12;37;37;12;1
5,9;10;14;8;30,1;12;36;36;12;1
5,9;10;14;8;31,1;13;42;42;13;1
5,9;10;15;8;16,1;10;27;27;10;1
5,9;10;15;8;24,1;11;32;32;11;1
5,9;10;15;8;25,1;12;37;37;12;1
5,9;10;15;8;26,1;12;37;37;12;1
5,9;10;15;8;27,1;13;41;41;13;1
5,9;10;15;8;31,1;14;46;46;14;1
5,9;10;20;8;16,1;8;21;21;8;1
5,9;10;20;8;20,1;9;26;26;9;1
5,9;10;28;8;16,1;9;24;24;9;1
5,9;10;28;8;24,1;10;27;27;10;1
5,9;10;28;8;28,1;11;32;32;11;1
5,9;10;29;8;16,1;10;28;28;10;1
5,9;10;29;8;24,1;11;32;32;11;1
5,9;10;29;8;25,1;12;36;36;12;1
5,9;10;29;8;29,1;13;41;41;13;1
5,9;10;30;8;16,1;10;28;28;10;1
5,9;10;30;8;24,1;11;32;32;11;1
5,9;10;30;8;26,1;12;36;36;12;1
5,9;10;30;8;30,1;13;41;41;13;1
5,9;10;31;8;16,1;11;32;32;11;1
5,9;10;31;8;24,1;12;37;37;12;1
5,9;10;31;8;25,1;13;42;42;13;1
5,9;10;31;8;26,1;13;42;42;13;1
5,9;10;31;8;27,1;14;46;46;14;1
5,9;10;31;8;31,1;15;51;51;15;1
5,9;11;4;8;16,1;8;19;19;8;1
5,9;11;4;8;20,1;9;25;25;9;1
5,9;11;4;8;24,1;9;23;23;9;1
5,9;11;4;8;25,1;10;26;26;10;1
5,9;11;4;8;27,1;11;30;30;11;1
5,9;11;4;8;28,1;10;29;29;10;1
5,9;11;4;8;29,1;11;32;32;11;1
5,9;11;4;8;31,1;12;36;36;12;1
5,9;11;4;9;16,1;9;22;22;9;1
5,9;11;4;9;20,1;10;29;29;10;1
5,9;11;4;9;25,1;11;29;29;11;1
5,9;11;4;9;27,1;12;34;34;12;1
5,9;11;4;9;29,1;12;36;36;12;1
5,9;11;4;9;31,1;13;41;41;13;1
5,9;11;12;8;16,1;9;23;23;9;1
5,9;11;12;8;24,1;10;27;27;10;1
5,9;11;12;8;25,1;11;31;31;11;1
5,9;11;12;8;27,1;12;36;36;12;1
5,9;11;12;8;28,1;11;33;33;11;1
5,9;11;12;8;29,1;12;37;37;12;1
5,9;11;12;8;31,1;13;42;42;13;1
5,9;11;13;8;16,1;10;26;26;10;1
5,9;11;13;8;24,1;11;31;31;11;1
5,9;11;13;8;25,1;12;34;34;12;1
5,9;11;13;8;27,1;13;40;40;13;1
5,9;11;13;8;29,1;13;40;40;13;1
5,9;11;13;8;31,1;14;46;46;14;1
5,9;11;13;9;16,1;11;29;29;11;1
5,9;11;13;9;25,1;13;37;37;13;1
5,9;11;13;9;27,1;14;44;44;14;1
5,9;11;13;9;29,1;14;44;44;14;1
5,9;11;13;9;31,1;15;51;51;15;1
5,9;11;15;8;16,1;11;30;30;11;1
5,9;11;15;8;24,1;12;36;36;12;1
5,9;11;15;8;25,1;13;40;40;13;1
5,9;11;15;8;27,1;14;44;44;14;1
5,9;11;15;8;31,1;15;50;50;15;1
5,9;11;15;9;16,1;12;34;34;12;1
5,9;11;15;9;25,1;14;44;44;14;1
5,9;11;15;9;27,1;15;49;49;15;1
5,9;11;15;9;31,1;16;56;56;16;1
5,9;11;20;8;16,1;9;25;25;9;1
5,9;11;20;8;20,1;10;31;31;10;1
5,9;11;20;9;16,1;10;29;29;10;1
5,9;11;20;9;20,1;11;36;36;11;1
5,9;11;28;8;16,1;10;29;29;10;1
5,9;11;28;8;24,1;11;33;33;11;1
5,9;11;28;8;28,1;12;39;39;12;1
5,9;11;29;8;16,1;11;32;32;11;1
5,9;11;29;8;24,1;12;37;37;12;1
5,9;11;29;8;25,1;13;40;40;13;1
5,9;11;29;8;29,1;14;46;46;14;1
5,9;11;29;9;16,1;12;36;36;12;1
5,9;11;29;9;25,1;14;44;44;14;1
5,9;11;29;9;29,1;15;51;51;15;1
5,9;11;31;8;16,1;12;36;36;12;1
5,9;11;31;8;24,1;13;42;42;13;1
5,9;11;31;8;25,1;14;46;46;14;1
5,9;11;31;8;27,1;15;50;50;15;1
5,9;11;31;8;31,1;16;56;56;16;1
5,9;11;31;9;16,1;13;41;41;13;1
5,9;11;31;9;25,1;15;51;51;15;1
5,9;11;31;9;27,1;16;56;56;16;1
5,9;11;31;9;31,1;17;63;63;17;1
5,9;14;4;8;16,1;8;20;20;8;1
5,9;14;4;8;20,1;9;25;25;9;1
5,9;14;4;8;24,1;9;24;24;9;1
5,9;14;4;8;25,1;10;29;29;10;1
5,9;14;4;8;28,1;10;28;28;10;1
5,9;14;4;8;29,1;11;33;33;11;1
5,9;14;4;8;30,1;11;32;32;11;1
5,9;14;4;8;31,1;12;37;37;12;1
5,9;14;12;8;16,1;9;23;23;9;1
5,9;14;12;8;24,1;10;27;27;10;1
5,9;14;12;8;25,1;11;33;33;11;1
5,9;14;12;8;28,1;11;31;31;11;1
5,9;14;12;8;29,1;12;37;37;12;1
5,9;14;12;8;30,1;12;36;36;12;1
5,9;14;12;8;31,1;13;42;42;13;1
5,9;14;14;8;16,1;10;27;27;10;1
5,9;14;14;8;24,1;11;32;32;11;1
5,9;14;14;8;25,1;12;39;39;12;1
5,9;14;14;8;30,1;13;40;40;13;1
5,9;14;14;8;31,1;14;47;47;14;1
5,9;15;4;8;16,1;9;23;23;9;1
5,9;15;4;8;20,1;10;29;29;10;1
5,9;15;4;8;24,1;10;28;28;10;1
5,9;15;4;8;25,1;11;32;32;11;1
5,9;15;4;8;28,1;11;33;33;11;1
5,9;15;4;8;29,1;12;36;36;12;1
5,9;15;4;8;31,1;13;40;40;13;1
5,9;15;4;9;16,1;10;27;27;10;1
5,9;15;4;9;20,1;11;34;34;11;1
5,9;15;4;9;25,1;12;36;36;12;1
5,9;15;4;9;29,1;13;41;41;13;1
5,9;15;4;9;31,1;14;46;46;14;1
5,9;15;12;8;16,1;10;27;27;10;1
5,9;15;12;8;24,1;11;32;32;11;1
5,9;15;12;8;25,1;12;37;37;12;1
5,9;15;12;8;28,1;12;37;37;12;1
5,9;15;12;8;29,1;13;41;41;13;1
5,9;15;12;8;31,1;14;46;46;14;1
5,9;15;13;8;16,1;11;30;30;11;1
5,9;15;13;8;24,1;12;36;36;12;1
5,9;15;13;8;25,1;13;40;40;13;1
5,9;15;13;8;29,1;14;44;44;14;1
5,9;15;13;8;31,1;15;50;50;15;1
5,9;15;13;9;16,1;12;34;34;12;1
5,9;15;13;9;25,1;14;44;44;14;1
5,9;15;13;9;29,1;15;49;49;15;1
5,9;15;13;9;31,1;16;56;56;16;1
5,9;15;15;8;16,1;12;34;34;12;1
5,9;15;15;8;24,1;13;41;41;13;1
5,9;15;15;8;25,1;14;46;46;14;1
5,9;15;15;8;31,1;16;54;54;16;1
5,9;15;15;9;16,1;13;39;39;13;1
5,9;15;15;9;25,1;15;51;51;15;1
5,9;15;15;9;31,1;17;61;61;17;1
5,9;18;4;8;16,1;7;17;17;7;1
5,9;18;4;8;18,1;8;21;21;8;1
5,9;18;4;9;16,1;8;21;21;8;1
5,9;18;4;9;18,1;9;26;26;9;1
5,9;18;12;8;16,1;8;21;21;8;1
5,9;18;12;8;18,1;9;26;26;9;1
5,9;18;13;8;16,1;9;25;25;9;1
5,9;18;13;8;18,1;10;31;31;10;1
5,9;18;13;9;16,1;10;29;29;10;1
5,9;18;13;9;18,1;11;36;36;11;1
5,9;18;20;8;16,1;8;21;21;8;1
5,9;18;20;9;16,1;9;26;26;9;1
5,9;18;22;8;16,1;9;25;25;9;1
5,9;18;22;8;18,1;10;29;29;10;1
5,9;18;22;9;16,1;10;31;31;10;1
5,9;18;22;9;18,1;11;36;36;11;1
5,9;18;28;8;16,1;9;25;25;9;1
5,9;18;29;8;16,1;10;29;29;10;1
5,9;18;29;9;16,1;11;34;34;11;1
5,9;18;30;8;16,1;10;29;29;10;1
5,9;18;30;8;18,1;11;34;34;11;1
5,9;18;31;8;16,1;11;33;33;11;1
5,9;18;31;8;18,1;12;39;39;12;1
5,9;18;31;9;16,1;12;39;39;12;1
5,9;18;31;9;18,1;13;46;46;13;1
5,9;22;4;8;16,1;8;21;21;8;1
5,9;22;4;8;20,1;9;25;25;9;1
5,9;22;4;8;22,1;10;29;29;10;1
5,9;22;4;9;16,1;9;26;26;9;1
5,9;22;4;9;20,1;10;31;31;10;1
5,9;22;4;9;22,1;11;36;36;11;1
5,9;22;20;8;16,1;9;25;25;9;1
5,9;22;20;8;20,1;10;29;29;10;1
5,9;22;20;9;16,1;10;31;31;10;1
5,9;22;20;9;20,1;11;36;36;11;1
5,9;22;22;8;16,1;10;29;29;10;1
5,9;22;22;8;22,1;12;37;37;12;1
5,9;22;22;9;16,1;11;36;36;11;1
5,9;22;22;9;22,1;13;46;46;13;1
5,9;26;4;8;16,1;8;20;20;8;1
5,9;26;4;8;24,1;9;23;23;9;1
5,9;26;4;8;26,1;10;27;27;10;1
5,9;26;12;8;16,1;9;24;24;9;1
5,9;26;12;8;24,1;10;27;27;10;1
5,9;26;12;8;26,1;11;32;32;11;1
5,9;26;13;8;16,1;10;29;29;10;1
5,9;26;13;8;24,1;11;33;33;11;1
5,9;26;13;8;26,1;12;39;39;12;1
5,9;26;20;8;16,1;9;25;25;9;1
5,9;26;28;8;16,1;10;28;28;10;1
5,9;26;28;8;24,1;11;31;31;11;1
5,9;26;29;8;16,1;11;33;33;11;1
5,9;26;29;8;24,1;12;37;37;12;1
5,9;26;30;8;16,1;11;32;32;11;1
5,9;26;30;8;24,1;12;36;36;12;1
5,9;26;30;8;26,1;13;40;40;13;1
5,9;26;31;8;16,1;12;37;37;12;1
5,9;26;31;8;24,1;13;42;42;13;1
5,9;26;31;8;26,1;14;47;47;14;1
5,9;27;4;8;16,1;9;23;23;9;1
5,9;27;4;8;24,1;10;27;27;10;1
5,9;27;4;8;25,1;11;30;30;11;1
5,9;27;4;8;27,1;12;34;34;12;1
5,9;27;4;9;16,1;10;27;27;10;1
5,9;27;4;9;25,1;12;34;34;12;1
5,9;27;4;9;27,1;13;39;39;13;1
5,9;27;12;8;16,1;10;28;28;10;1
5,9;27;12;8;24,1;11;32;32;11;1
5,9;27;12;8;25,1;12;36;36;12;1
5,9;27;12;8;27,1;13;41;41;13;1
5,9;27;13;8;16,1;11;32;32;11;1
5,9;27;13;8;24,1;12;37;37;12;1
5,9;27;13;8;25,1;13;40;40;13;1
5,9;27;13;8;27,1;14;46;46;14;1
5,9;27;13;9;16,1;12;36;36;12;1
5,9;27;13;9;25,1;14;44;44;14;1
5,9;27;13;9;27,1;15;51;51;15;1
5,9;27;20;8;16,1;10;29;29;10;1
5,9;27;20;9;16,1;11;34;34;11;1
5,9;27;28;8;16,1;11;33;33;11;1
5,9;27;28;8;24,1;12;37;37;12;1
5,9;27;29;8;16,1;12;36;36;12;1
5,9;27;29;8;24,1;13;41;41;13;1
5,9;27;29;8;25,1;14;44;44;14;1
5,9;27;29;9;16,1;13;41;41;13;1
5,9;27;29;9;25,1;15;49;49;15;1
5,9;27;31;8;16,1;13;40;40;13;1
5,9;27;31;8;24,1;14;46;46;14;1
5,9;27;31;8;25,1;15;50;50;15;1
5,9;27;31;8;27,1;16;54;54;16;1
5,9;27;31;9;16,1;14;46;46;14;1
5,9;27;31;9;25,1;16;56;56;16;1
5,9;27;31;9;27,1;17;61;61;17;1
5,9;30;4;8;16,1;9;24;24;9;1
5,9;30;4;8;20,1;10;29;29;10;1
5,9;30;4;8;24,1;10;28;28;10;1
5,9;30;4;8;28,1;11;32;32;11;1
5,9;30;4;8;30,1;12;36;36;12;1
5,9;30;12;8;16,1;10;28;28;10;1
5,9;30;12;8;24,1;11;32;32;11;1
5,9;30;12;8;28,1;12;36;36;12;1
5,9;30;12;8;30,1;13;41;41;13;1
5,9;30;20;8;16,1;10;29;29;10;1
5,9;30;20;8;20,1;11;34;34;11;1
5,9;30;28;8;16,1;11;32;32;11;1
5,9;30;28;8;24,1;12;36;36;12;1
5,9;30;28;8;28,1;13;40;40;13;1
5,9;30;30;8;16,1;12;36;36;12;1
5,9;30;30;8;24,1;13;41;41;13;1
5,9;30;30;8;30,1;15;49;49;15;1
5,9;31;4;8;16,1;10;27;27;10;1
5,9;31;4;8;20,1;11;33;33;11;1
5,9;31;4;8;24,1;11;32;32;11;1
5,9;31;4;8;25,1;12;36;36;12;1
5,9;31;4;8;28,1;12;37;37;12;1
5,9;31;4;8;29,1;13;40;40;13;1
5,9;31;4;8;31,1;14;44;44;14;1
5,9;31;4;9;16,1;11;32;32;11;1
5,9;31;4;9;20,1;12;39;39;12;1
5,9;31;4;9;25,1;13;41;41;13;1
5,9;31;4;9;29,1;14;46;46;14;1
5,9;31;4;9;31,1;15;51;51;15;1
5,9;31;12;8;16,1;11;32;32;11;1
5,9;31;12;8;24,1;12;37;37;12;1
5,9;31;12;8;25,1;13;42;42;13;1
5,9;31;12;8;28,1;13;42;42;13;1
5,9;31;12;8;29,1;14;46;46;14;1
5,9;31;12;8;31,1;15;51;51;15;1
5,9;31;13;8;16,1;12;36;36;12;1
5,9;31;13;8;24,1;13;42;42;13;1
5,9;31;13;8;25,1;14;46;46;14;1
5,9;31;13;8;29,1;15;50;50;15;1
5,9;31;13;8;31,1;16;56;56;16;1
5,9;31;13;9;16,1;13;41;41;13;1
5,9;31;13;9;25,1;15;51;51;15;1
5,9;31;13;9;29,1;16;56;56;16;1
5,9;31;13;9;31,1;17;63;63;17;1
5,9;31;20;8;16,1;11;33;33;11;1
5,9;31;20;8;20,1;12;39;39;12;1
5,9;31;20;9;16,1;12;39;39;12;1
5,9;31;20;9;20,1;13;46;46;13;1
5,9;31;28;8;16,1;12;37;37;12;1
5,9;31;28;8;24,1;13;42;42;13;1
5,9;31;28;8;28,1;14;47;47;14;1
5,9;31;29;8;16,1;13;40;40;13;1
5,9;31;29;8;24,1;14;46;46;14;1
5,9;31;29;8;25,1;15;50;50;15;1
5,9;31;29;8;29,1;16;54;54;16;1
5,9;31;29;9;16,1;14;46;46;14;1
5,9;31;29;9;25,1;16;56;56;16;1
5,9;31;29;9;29,1;17;61;61;17;1
5,9;31;31;8;16,1;14;44;44;14;1
5,9;31;31;8;24,1;15;51;51;15;1
5,9;31;31;8;25,1;16;56;56;16;1
5,9;31;31;8;31,1;18;64;64;18;1
5,9;31;31;9;16,1;15;51;51;15;1
5,9;31;31;9;25,1;17;63;63;17;1
5,9;31;31;9;31,1;19;73;73;19;1
5,11;2;4;8;16,1;7;16;16;7;1
5,11;2;4;8;18,1;8;20;20;8;1
5,11;2;4;8;20,1;8;21;21;8;1
5,11;2;4;8;22,1;9;25;25;9;1
5,11;2;4;8;24,1;8;20;20;8;1
5,11;2;4;8;26,1;9;23;23;9;1
5,11;2;4;8;27,1;10;26;26;10;1
5,11;2;4;8;28,1;9;25;25;9;1
5,11;2;4;8;30,1;10;28;28;10;1
5,11;2;4;8;31,1;11;31;31;11;1
5,11;2;4;10;16,1;8;19;19;8;1
5,11;2;4;10;18,1;9;23;23;9;1
5,11;2;4;10;20,1;9;25;25;9;1
5,11;2;4;10;22,1;10;29;29;10;1
5,11;2;4;10;26,1;10;26;26;10;1
5,11;2;4;10;27,1;11;30;30;11;1
5,11;2;4;10;30,1;11;32;32;11;1
5,11;2;4;10;31,1;12;36;36;12;1
5,11;2;4;11;16,1;9;22;22;9;1
5,11;2;4;11;18,1;10;27;27;10;1
5,11;2;4;11;20,1;10;29;29;10;1
5,11;2;4;11;22,1;11;34;34;11;1
5,11;2;4;11;27,1;12;33;33;12;1
5,11;2;4;11;31,1;13;40;40;13;1
5,11;2;6;8;16,1;8;20;20;8;1
5,11;2;6;8;18,1;9;24;24;9;1
5,11;2;6;8;22,1;10;29;29;10;1
5,11;2;6;8;24,1;9;25;25;9;1
5,11;2;6;8;26,1;10;28;28;10;1
5,11;2;6;8;27,1;11;32;32;11;1
5,11;2;6;8;30,1;11;33;33;11;1
5,11;2;6;8;31,1;12;37;37;12;1
5,11;2;6;10;16,1;9;23;23;9;1
5,11;2;6;10;18,1;10;27;27;10;1
5,11;2;6;10;22,1;11;33;33;11;1
5,11;2;6;10;26,1;11;31;31;11;1
5,11;2;6;10;27,1;12;36;36;12;1
5,11;2;6;10;30,1;12;37;37;12;1
5,11;2;6;10;31,1;13;42;42;13;1
5,11;2;6;11;16,1;10;27;27;10;1
5,11;2;6;11;18,1;11;32;32;11;1
5,11;2;6;11;22,1;12;39;39;12;1
5,11;2;6;11;27,1;13;40;40;13;1
5,11;2;6;11;31,1;14;47;47;14;1
5,11;2;12;8;16,1;8;20;20;8;1
5,11;2;12;8;18,1;9;25;25;9;1
5,11;2;12;8;24,1;9;24;24;9;1
5,11;2;12;8;26,1;10;28;28;10;1
5,11;2;12;8;27,1;11;32;32;11;1
5,11;2;12;8;28,1;10;29;29;10;1
5,11;2;12;8;30,1;11;33;33;11;1
5,11;2;12;8;31,1;12;37;37;12;1
5,11;2;14;8;16,1;9;23;23;9;1
5,11;2;14;8;18,1;10;28;28;10;1
5,11;2;14;8;24,1;10;28;28;10;1
5,11;2;14;8;26,1;11;31;31;11;1
5,11;2;14;8;27,1;12;36;36;12;1
5,11;2;14;8;30,1;12;36;36;12;1
5,11;2;14;8;31,1;13;41;41;13;1
5,11;2;14;10;16,1;10;26;26;10;1
5,11;2;14;10;18,1;11;31;31;11;1
5,11;2;14;10;26,1;12;34;34;12;1
5,11;2;14;10;27,1;13;40;40;13;1
5,11;2;14;10;30,1;13;40;40;13;1
5,11;2;14;10;31,1;14;46;46;14;1
5,11;2;15;8;16,1;10;26;26;10;1
5,11;2;15;8;18,1;11;32;32;11;1
5,11;2;15;8;24,1;11;32;32;11;1
5,11;2;15;8;26,1;12;36;36;12;1
5,11;2;15;8;27,1;13;39;39;13;1
5,11;2;15;8;31,1;14;44;44;14;1
5,11;2;15;10;16,1;11;30;30;11;1
5,11;2;15;10;18,1;12;36;36;12;1
5,11;2;15;10;26,1;13;40;40;13;1
5,11;2;15;10;27,1;14;44;44;14;1
5,11;2;15;10;31,1;15;50;50;15;1
5,11;2;15;11;16,1;12;33;33;12;1
5,11;2;15;11;18,1;13;40;40;13;1
5,11;2;15;11;27,1;15;47;47;15;1
5,11;2;15;11;31,1;16;54;54;16;1
5,11;2;20;8;16,1;8;21;21;8;1
5,11;2;20;8;20,1;9;26;26;9;1
5,11;2;20;10;16,1;9;25;25;9;1
5,11;2;20;10;20,1;10;31;31;10;1
5,11;2;20;11;16,1;10;29;29;10;1
5,11;2;20;11;20,1;11;36;36;11;1
5,11;2;22;8;16,1;9;25;25;9;1
5,11;2;22;8;18,1;10;29;29;10;1
5,11;2;22;8;22,1;11;34;34;11;1
5,11;2;22;10;16,1;10;29;29;10;1
5,11;2;22;10;18,1;11;33;33;11;1
5,11;2;22;10;22,1;12;39;39;12;1
5,11;2;22;11;16,1;11;34;34;11;1
5,11;2;22;11;18,1;12;39;39;12;1
5,11;2;22;11;22,1;13;46;46;13;1
5,11;2;28;8;16,1;9;25;25;9;1
5,11;2;28;8;24,1;10;29;29;10;1
5,11;2;28;8;28,1;11;34;34;11;1
5,11;2;30;8;16,1;10;28;28;10;1
5,11;2;30;8;18,1;11;33;33;11;1
5,11;2;30;8;24,1;11;33;33;11;1
5,11;2;30;8;26,1;12;36;36;12;1
5,11;2;30;8;30,1;13;41;41;13;1
5,11;2;30;10;16,1;11;32;32;11;1
5,11;2;30;10;18,1;12;37;37;12;1
5,11;2;30;10;26,1;13;40;40;13;1
5,11;2;30;10;30,1;14;46;46;14;1
5,11;2;31;8;16,1;11;31;31;11;1
5,11;2;31;8;18,1;12;37;37;12;1
5,11;2;31;8;24,1;12;37;37;12;1
5,11;2;31;8;26,1;13;41;41;13;1
5,11;2;31;8;27,1;14;44;44;14;1
5,11;2;31;8;31,1;15;49;49;15;1
5,11;2;31;10;16,1;12;36;36;12;1
5,11;2;31;10;18,1;13;42;42;13;1
5,11;2;31;10;26,1;14;46;46;14;1
5,11;2;31;10;27,1;15;50;50;15;1
