n,principal_ideal_bitmasks,h_coefficients
5,1;2;4;9;23,1;9;24;24;9;1
5,1;2;4;9;25,1;8;19;19;8;1
5,1;2;4;9;27,1;9;23;23;9;1
5,1;2;4;9;29,1;9;23;23;9;1
5,1;2;4;9;31,1;10;27;27;10;1
5,1;2;4;10;16,1;6;13;13;6;1
5,1;2;4;10;17,1;7;17;17;7;1
5,1;2;4;10;18,1;7;16;16;7;1
5,1;2;4;10;19,1;8;20;20;8;1
5,1;2;4;10;20,1;7;17;17;7;1
5,1;2;4;10;21,1;8;21;21;8;1
5,1;2;4;10;22,1;8;20;20;8;1
5,1;2;4;10;23,1;9;24;24;9;1
5,1;2;4;10;26,1;8;19;19;8;1
5,1;2;4;10;27,1;9;23;23;9;1
5,1;2;4;10;30,1;9;23;23;9;1
5,1;2;4;10;31,1;10;27;27;10;1
5,1;2;4;11;16,1;7;16;16;7;1
5,1;2;4;11;17,1;8;20;20;8;1
5,1;2;4;11;18,1;8;20;20;8;1
5,1;2;4;11;19,1;9;23;23;9;1
5,1;2;4;11;20,1;8;21;21;8;1
5,1;2;4;11;21,1;9;25;25;9;1
5,1;2;4;11;22,1;9;25;25;9;1
5,1;2;4;11;23,1;10;28;28;10;1
5,1;2;4;11;27,1;10;26;26;10;1
5,1;2;4;11;31,1;11;31;31;11;1
5,1;2;4;12;16,1;6;13;13;6;1
5,1;2;4;12;17,1;7;17;17;7;1
5,1;2;4;12;18,1;7;17;17;7;1
5,1;2;4;12;19,1;8;21;21;8;1
5,1;2;4;12;20,1;7;16;16;7;1
5,1;2;4;12;21,1;8;20;20;8;1
5,1;2;4;12;22,1;8;20;20;8;1
5,1;2;4;12;23,1;9;24;24;9;1
5,1;2;4;12;28,1;8;19;19;8;1
5,1;2;4;12;29,1;9;23;23;9;1
5,1;2;4;12;30,1;9;23;23;9;1
5,1;2;4;12;31,1;10;27;27;10;1
5,1;2;4;13;16,1;7;16;16;7;1
5,1;2;4;13;17,1;8;20;20;8;1
5,1;2;4;13;18,1;8;21;21;8;1
5,1;2;4;13;19,1;9;25;25;9;1
5,1;2;4;13;20,1;8;20;20;8;1
5,1;2;4;13;21,1;9;23;23;9;1
5,1;2;4;13;22,1;9;25;25;9;1
5,1;2;4;13;23,1;10;28;28;10;1
5,1;2;4;13;29,1;10;26;26;10;1
5,1;2;4;13;31,1;11;31;31;11;1
5,1;2;4;14;16,1;7;16;16;7;1
5,1;2;4;14;17,1;8;21;21;8;1
5,1;2;4;14;18,1;8;20;20;8;1
5,1;2;4;14;19,1;9;25;25;9;1
5,1;2;4;14;20,1;8;20;20;8;1
5,1;2;4;14;21,1;9;25;25;9;1
5,1;2;4;14;22,1;9;23;23;9;1
5,1;2;4;14;23,1;10;28;28;10;1
5,1;2;4;14;30,1;10;26;26;10;1
5,1;2;4;14;31,1;11;31;31;11;1
5,1;2;4;15;16,1;8;19;19;8;1
5,1;2;4;15;17,1;9;24;24;9;1
5,1;2;4;15;18,1;9;24;24;9;1
5,1;2;4;15;19,1;10;28;28;10;1
5,1;2;4;15;20,1;9;24;24;9;1
5,1;2;4;15;21,1;10;28;28;10;1
5,1;2;4;15;22,1;10;28;28;10;1
5,1;2;4;15;23,1;11;31;31;11;1
5,1;2;4;15;31,1;12;34;34;12;1
5,1;2;4;24;16,1;6;13;13;6;1
5,1;2;4;24;24,1;7;16;16;7;1
5,1;2;4;25;16,1;7;16;16;7;1
5,1;2;4;25;17,1;8;19;19;8;1
5,1;2;4;25;25,1;9;22;22;9;1
5,1;2;4;26;16,1;7;16;16;7;1
5,1;2;4;26;18,1;8;19;19;8;1
5,1;2;4;26;26,1;9;22;22;9;1
5,1;2;4;27;16,1;8;19;19;8;1
5,1;2;4;27;17,1;9;23;23;9;1
5,1;2;4;27;18,1;9;23;23;9;1
5,1;2;4;27;19,1;10;26;26;10;1
5,1;2;4;27;27,1;11;29;29;11;1
5,1;2;4;28;16,1;7;16;16;7;1
5,1;2;4;28;20,1;8;19;19;8;1
5,1;2;4;28;28,1;9;22;22;9;1
5,1;2;4;29;16,1;8;19;19;8;1
5,1;2;4;29;17,1;9;23;23;9;1
5,1;2;4;29;20,1;9;23;23;9;1
5,1;2;4;29;21,1;10;26;26;10;1
5,1;2;4;29;29,1;11;29;29;11;1
5,1;2;4;30;16,1;8;19;19;8;1
5,1;2;4;30;18,1;9;23;23;9;1
5,1;2;4;30;20,1;9;23;23;9;1
5,1;2;4;30;22,1;10;26;26;10;1
5,1;2;4;30;30,1;11;29;29;11;1
5,1;2;4;31;16,1;9;22;22;9;1
5,1;2;4;31;17,1;10;27;27;10;1
5,1;2;4;31;18,1;10;27;27;10;1
5,1;2;4;31;19,1;11;31;31;11;1
5,1;2;4;31;20,1;10;27;27;10;1
5,1;2;4;31;21,1;11;31;31;11;1
5,1;2;4;31;22,1;11;31;31;11;1
5,1;2;4;31;23,1;12;34;34;12;1
5,1;2;4;31;31,1;13;37;37;13;1
5,1;2;5;8;16,1;6;13;13;6;1
5,1;2;5;8;17,1;7;16;16;7;1
5,1;2;5;8;18,1;7;17;17;7;1
5,1;2;5;8;19,1;8;20;20;8;1
5,1;2;5;8;21,1;8;19;19;8;1
5,1;2;5;8;23,1;9;23;23;9;1
5,1;2;5;8;24,1;7;17;17;7;1
5,1;2;5;8;25,1;8;20;20;8;1
5,1;2;5;8;26,1;8;21;21;8;1
5,1;2;5;8;27,1;9;24;24;9;1
5,1;2;5;8;29,1;9;23;23;9;1
5,1;2;5;8;31,1;10;27;27;10;1
5,1;2;5;9;16,1;7;16;16;7;1
5,1;2;5;9;17,1;8;19;19;8;1
5,1;2;5;9;18,1;8;21;21;8;1
5,1;2;5;9;19,1;9;24;24;9;1
5,1;2;5;9;21,1;9;23;23;9;1
