n,numerator,denominator,exact_fraction,h_n,coefficient_B_squared,coefficient_H_squared
100,-56877207698557337415454885098922213489010420650385261835,200867255532373784442745261542645325315275374222849104412672,-56877207698557337415454885098922213489010420650385261835/200867255532373784442745261542645325315275374222849104412672,11318564332012910145675522134685520484313073709426667105165/200867255532373784442745261542645325315275374222849104412672,0,1
101,-112064993386266437085896258759262579052604690192343238665,401734511064747568885490523085290650630550748445698208825344,-112064993386266437085896258759262579052604690192343238665/401734511064747568885490523085290650630550748445698208825344,22525063670639553854265148010611778389573542728660990971665/401734511064747568885490523085290650630550748445698208825344,0,1
102,-441667915110579487338532313933564282148500837816882175915,1606938044258990275541962092341162602522202993782792835301376,-441667915110579487338532313933564282148500837816882175915/1606938044258990275541962092341162602522202993782792835301376,89658586767447635929722059728513549276145670076827081710745/1606938044258990275541962092341162602522202993782792835301376,0,1
103,-870471716188811999317689900276830575496559903658515356415,3213876088517980551083924184682325205044405987565585670602752,-870471716188811999317689900276830575496559903658515356415/3213876088517980551083924184682325205044405987565585670602752,178446701818706459860126429556750267976794780249995648065075/3213876088517980551083924184682325205044405987565585670602752,0,1
104,-13726669370669727681548186888980789844368829249999665235775,51422017416287688817342786954917203280710495801049370729644032,-13726669370669727681548186888980789844368829249999665235775/51422017416287688817342786954917203280710495801049370729644032,2841420559728633630080474686019023497784347654749930703805425/51422017416287688817342786954917203280710495801049370729644032,0,1
105,-27061148187891748857909282723990699978898549092856482893385,102844034832575377634685573909834406561420991602098741459288064,-27061148187891748857909282723990699978898549092856482893385/102844034832575377634685573909834406561420991602098741459288064,5655779971269375511303040089314056295589796760407004924717465/102844034832575377634685573909834406561420991602098741459288064,0,1
106,-106712829646591990779302643194604835765845221894471791032405,411376139330301510538742295639337626245683966408394965837152256,-106712829646591990779302643194604835765845221894471791032405/411376139330301510538742295639337626245683966408394965837152256,22516407055430910054432857714061620346593341819733547907837455/411376139330301510538742295639337626245683966408394965837152256,0,1
107,-210433710798419720134886520692164676136386372147042503811565,822752278660603021077484591278675252491367932816789931674304512,-210433710798419720134886520692164676136386372147042503811565/822752278660603021077484591278675252491367932816789931674304512,44822380400063400388730828907431076017050297267320053311863345/822752278660603021077484591278675252491367932816789931674304512,0,1
108,-1660088162965311125508549218793743556187048046937779752291235,6582018229284824168619876730229402019930943462534319453394436096,-1660088162965311125508549218793743556187048046937779752291235/6582018229284824168619876730229402019930943462534319453394436096,356918955037541891984338082040654864580215330091622646742615525/6582018229284824168619876730229402019930943462534319453394436096,0,1
109,-3274485826032494421874661303125273986974452569647914190299225,13164036458569648337239753460458804039861886925068638906788872192,-3274485826032494421874661303125273986974452569647914190299225/13164036458569648337239753460458804039861886925068638906788872192,710563424249051289546801502778184455173456207613597379294931825/13164036458569648337239753460458804039861886925068638906788872192,0,1
110,-12919334986346387082669118232330626457699203774792679623544215,52656145834278593348959013841835216159447547700274555627155488768,-12919334986346387082669118232330626457699203774792679623544215/52656145834278593348959013841835216159447547700274555627155488768,2829334362009858771104536892880407194236125626679596837556183085/52656145834278593348959013841835216159447547700274555627155488768,0,1
111,-25489498756845574514455287323246911659784915555672043581587235,105312291668557186697918027683670432318895095400549111254310977536,-25489498756845574514455287323246911659784915555672043581587235/105312291668557186697918027683670432318895095400549111254310977536,5633179225262871967694618498437567476812466337803521631530778935/105312291668557186697918027683670432318895095400549111254310977536,0,1
112,-804739889323267423956374071205366782401780905400503090218682705,3369993333393829974333376885877453834204643052817571560137951281152,-804739889323267423956374071205366782401780905400503090218682705/3369993333393829974333376885877453834204643052817571560137951281152,179456995319088635542271417878796792475597141904312189118766243215/3369993333393829974333376885877453834204643052817571560137951281152,0,1
113,-1588115002823793234887357680343334446686700370834621142643949055,6739986666787659948666753771754907668409286105635143120275902562304,-1588115002823793234887357680343334446686700370834621142643949055/6739986666787659948666753771754907668409286105635143120275902562304,357325875635353477849655478077250250504507583437789757094888537375/6739986666787659948666753771754907668409286105635143120275902562304,0,1
114,-6268875011146552242976411896092109657973817253294557142015588375,26959946667150639794667015087019630673637144422540572481103610249216,-6268875011146552242976411896092109657973817253294557142015588375/26959946667150639794667015087019630673637144422540572481103610249216,1423034627530267359155645500412908892360056516497864471237538561125/26959946667150639794667015087019630673637144422540572481103610249216,0,1
115,-12374214152437107470918656525329642542261361013024908445543813575,53919893334301279589334030174039261347274288845081144962207220498432,-12374214152437107470918656525329642542261361013024908445543813575/53919893334301279589334030174039261347274288845081144962207220498432,2833695040908097610840372344300488142177851671982704034029533308675/53919893334301279589334030174039261347274288845081144962207220498432,0,1
116,-97713622100279227960012839458637522144063850758024277035501148575,431359146674410236714672241392314090778194310760649159697657763987456,-97713622100279227960012839458637522144063850758024277035501148575/431359146674410236714672241392314090778194310760649159697657763987456,22571846705164501658762965914945267615278749525103607995200765320825/431359146674410236714672241392314090778194310760649159697657763987456,0,1
117,-192921766710807706485153554828592030899818372009432546967527908725,862718293348820473429344482784628181556388621521298319395315527974912,-192921766710807706485153554828592030899818372009432546967527908725/862718293348820473429344482784628181556388621521298319395315527974912,44950771643618195611040778275061943199657680678197783443434002732925/862718293348820473429344482784628181556388621521298319395315527974912,0,1
118,-761877485485054162898996241950202427112842045393182770227694961575,3450873173395281893717377931138512726225554486085193277581262111899648,-761877485485054162898996241950202427112842045393182770227694961575/3450873173395281893717377931138512726225554486085193277581262111899648,179041209088987728281264116858297570371517880667397951003508315970125/3450873173395281893717377931138512726225554486085193277581262111899648,0,1
119,-1504547975537712002363564007212584624970738493003344126079901814875,6901746346790563787434755862277025452451108972170386555162524223799296,-1504547975537712002363564007212584624970738493003344126079901814875/6901746346790563787434755862277025452451108972170386555162524223799296,356577870202437744560164669709382556118065022841792557880936730125375/6901746346790563787434755862277025452451108972170386555162524223799296,0,1
120,-23771858013495849637344311313958837074537668189452837192062448675025,110427941548649020598956093796432407239217743554726184882600387580788736,-23771858013495849637344311313958837074537668189452837192062448675025/110427941548649020598956093796432407239217743554726184882600387580788736,5681474065225508063325290404036162060814502697279228088902925233330975/110427941548649020598956093796432407239217743554726184882600387580788736,0,1
121,-46954331117566182341531325653191421990202501630406843709941530853975,220855883097298041197912187592864814478435487109452369765200775161577472,-46954331117566182341531325653191421990202501630406843709941530853975/220855883097298041197912187592864814478435487109452369765200775161577472,11315993799333449944309049482419132699638802892928049334095908935807975/220855883097298041197912187592864814478435487109452369765200775161577472,0,1
