n,numerator,denominator,exact_fraction,h_n,coefficient_B_squared,coefficient_H_squared
201,-64025186651377134933442711642041036540554058072809482733115086800947346002893009078567534526726674721121920769593765,645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,-64025186651377134933442711642041036540554058072809482733115086800947346002893009078567534526726674721121920769593765/645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,25674099847202231108310527368458455652762177287196602575979149807179885747160096640505581345217396563169890228607099765/645562469521727147413979793000752968582426448207305878207664839135161905504210298657411338320034457858975792993186873344,0,1
202,-254199008388140902062480468994638174779823537496996065108704453536434512348119768717877043021954421417523665629773265,2582249878086908589655919172003011874329705792829223512830659356540647622016841194629645353280137831435903171972747493376,-254199008388140902062480468994638174779823537496996065108704453536434512348119768717877043021954421417523665629773265/2582249878086908589655919172003011874329705792829223512830659356540647622016841194629645353280137831435903171972747493376,102442200380420783531179629004839184436268885611289414238807894775183108476292266793304448337847631831262037248798625795/2582249878086908589655919172003011874329705792829223512830659356540647622016841194629645353280137831435903171972747493376,0,1
203,-504641381184338835128963689679010760769797466065465094772452683621591667370897865976869203634717398183556833737924265,5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752,-504641381184338835128963689679010760769797466065465094772452683621591667370897865976869203634717398183556833737924265/5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752,204379759379657228227230294319999358111767973756513363382843336866744625285213635720632027472060546264340517663859327325/5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986752,0,1
204,-4007446262346220161318241065098026629642509289343399282016536016994992652651247759228078970040402867928245444389398575,41315998049390537434494706752048189989275292685267576205290549704650361952269459114074325652482205302974450751563959894016,-4007446262346220161318241065098026629642509289343399282016536016994992652651247759228078970040402867928245444389398575/41315998049390537434494706752048189989275292685267576205290549704650361952269459114074325652482205302974450751563959894016,1631030628774911605656524113494896838264501280762763507780730158916962009629057838005828140806443967246795895866485220025/41315998049390537434494706752048189989275292685267576205290549704650361952269459114074325652482205302974450751563959894016,0,1
205,-7956246969633715149544020065828765064704884296403724428198683702033961022580769941491844589299726669496565345690171805,82631996098781074868989413504096379978550585370535152410581099409300723904538918228148651304964410605948901503127919788032,-7956246969633715149544020065828765064704884296403724428198683702033961022580769941491844589299726669496565345690171805/82631996098781074868989413504096379978550585370535152410581099409300723904538918228148651304964410605948901503127919788032,3254105010580189496163504206923964911464297677229123291133261634131890058235534906070164437023588207824095226387280268245/82631996098781074868989413504096379978550585370535152410581099409300723904538918228148651304964410605948901503127919788032,0,1
206,-31593252529904752389936934047805484577323278419700226127507394506134854934325581612331693563335807842952380838711458915,330527984395124299475957654016385519914202341482140609642324397637202895618155672912594605219857642423795606012511679152128,-31593252529904752389936934047805484577323278419700226127507394506134854934325581612331693563335807842952380838711458915/330527984395124299475957654016385519914202341482140609642324397637202895618155672912594605219857642423795606012511679152128,12984826789790853232264079893648054161279867430496792938405539142021425378007814042668326054531017023453428524710409614065/330527984395124299475957654016385519914202341482140609642324397637202895618155672912594605219857642423795606012511679152128,0,1
207,-62728631834738421411903767602164512856424480340564217093746565903485146753660937404194811857637763398325741665267679295,661055968790248598951915308032771039828404682964281219284648795274405791236311345825189210439715284847591212025023358304256,-62728631834738421411903767602164512856424480340564217093746565903485146753660937404194811857637763398325741665267679295/661055968790248598951915308032771039828404682964281219284648795274405791236311345825189210439715284847591212025023358304256,25906924947746968043116256019693943809703310380653021659717331718139365609261967147932457297204396283508531307755551548835/661055968790248598951915308032771039828404682964281219284648795274405791236311345825189210439715284847591212025023358304256,0,1
208,-1992840380595920618701250463053380293054100798511770896901333209087643508404766703687112099784953560269887023673503965295,21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736192,-1992840380595920618701250463053380293054100798511770896901333209087643508404766703687112099784953560269887023673503965295/21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736192,827028757947307056761018942167152821617451831382384922214053281771372055987978182030151521410755727512003114824504145597425/21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736192,0,1
209,-3957075396877067257229755704149056562762927422882224508201211874504172516688890823110772829716534581397144090069397825825,42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472384,-3957075396877067257229755704149056562762927422882224508201211874504172516688890823110772829716534581397144090069397825825/42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472384,1650100440497737046264808128630156586672140735341887619919905351668239939459267473237192269991794920442609085558938893369025/42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472384,0,1
210,-15715242290454638535855315510763396063544197479446548761141955730173713709135880697497069238017094480405800814847037079705,169230328010303641331690318856389386196071598838855992136870091590247882556495704531248437872567112920983350278405979725889536,-15715242290454638535855315510763396063544197479446548761141955730173713709135880697497069238017094480405800814847037079705/169230328010303641331690318856389386196071598838855992136870091590247882556495704531248437872567112920983350278405979725889536,6584686519700493546523377199009862950625018743888103930918479450942786044127934012251272010729162587290030541420908536396395/169230328010303641331690318856389386196071598838855992136870091590247882556495704531248437872567112920983350278405979725889536,0,1
211,-31207045117063950457456763976350061377369757080038407255537817303046379356056559299769061662223519371042798774506675527945,338460656020607282663380637712778772392143197677711984273740183180495765112991409062496875745134225841966700556811959451779072,-31207045117063950457456763976350061377369757080038407255537817303046379356056559299769061662223519371042798774506675527945/338460656020607282663380637712778772392143197677711984273740183180495765112991409062496875745134225841966700556811959451779072,13138165994283923142589297634043375839872667730696169454581421084582525708899811465202774959796101655209018284067310397264845/338460656020607282663380637712778772392143197677711984273740183180495765112991409062496875745134225841966700556811959451779072,0,1
212,-247889924420451380048854672340441053582503164730116404803423039331745768092449272928354244524454748211490911020137932023865,2707685248164858261307045101702230179137145581421695874189921465443966120903931272499975005961073806735733604454495675614232576,-247889924420451380048854672340441053582503164730116404803423039331745768092449272928354244524454748211490911020137932023865/2707685248164858261307045101702230179137145581421695874189921465443966120903931272499975005961073806735733604454495675614232576,104857438029850933760665526400006565665398838680839239231847945637328459903106042448693845433844358493460655361518345246094895/2707685248164858261307045101702230179137145581421695874189921465443966120903931272499975005961073806735733604454495675614232576,0,1
213,-492288441454699219533640969014115331762435862351357930665952796419382440859652781449266879971100274617186175406189414300915,5415370496329716522614090203404460358274291162843391748379842930887932241807862544999950011922147613471467208908991351228465152,-492288441454699219533640969014115331762435862351357930665952796419382440859652781449266879971100274617186175406189414300915/5415370496329716522614090203404460358274291162843391748379842930887932241807862544999950011922147613471467208908991351228465152,209222587618247168301797411830999015999035241499327120533029938478237537365352432115938423987717616712304124547630501077888875/5415370496329716522614090203404460358274291162843391748379842930887932241807862544999950011922147613471467208908991351228465152,0,1
214,-1955351286151842694409321605897187065411544313077823556383457368955491003414508711363910504558108567404711444370378514746625,21661481985318866090456360813617841433097164651373566993519371723551728967231450179999800047688590453885868835635965404913860608,-1955351286151842694409321605897187065411544313077823556383457368955491003414508711363910504558108567404711444370378514746625/21661481985318866090456360813617841433097164651373566993519371723551728967231450179999800047688590453885868835635965404913860608,834934999186836830512780325718098876930729421684230658575736296543994658457995219752389785446312358281811786746151625796808875/21661481985318866090456360813617841433097164651373566993519371723551728967231450179999800047688590453885868835635965404913860608,0,1
215,-3883418600869008514012931747526041288049904286903398411980168821134858876548814975592510629982848178054938543005356399054925,43322963970637732180912721627235682866194329302747133987038743447103457934462900359999600095377180907771737671271930809827721216,-3883418600869008514012931747526041288049904286903398411980168821134858876548814975592510629982848178054938543005356399054925/43322963970637732180912721627235682866194329302747133987038743447103457934462900359999600095377180907771737671271930809827721216,1665986579772804652511547719688671712573408939081557918739492424266854458039441624529187060262641868385568634949297895194562825/43322963970637732180912721627235682866194329302747133987038743447103457934462900359999600095377180907771737671271930809827721216,0,1
216,-61703206658252024167094359988469322687904034780798441434796015713587202149608949056636557787505254384650690183307329451650475,693167423530203714894603546035770925859109268843954143792619895153655326951406405759993601526034894524347802740350892957243539456,-61703206658252024167094359988469322687904034780798441434796015713587202149608949056636557787505254384650690183307329451650475/693167423530203714894603546035770925859109268843954143792619895153655326951406405759993601526034894524347802740350892957243539456,26594082069706622416017669155030278078486638990524128258397082772556084126481457043410356406414764639784447469005458993661354725/693167423530203714894603546035770925859109268843954143792619895153655326951406405759993601526034894524347802740350892957243539456,0,1
217,-122553373593118075649851009931015106352472990739742526536392086509475042057518235223089200029561127372278559765002115178162925,1386334847060407429789207092071541851718218537687908287585239790307310653902812811519987203052069789048695605480701785914487078912,-122553373593118075649851009931015106352472990739742526536392086509475042057518235223089200029561127372278559765002115178162925/1386334847060407429789207092071541851718218537687908287585239790307310653902812811519987203052069789048695605480701785914487078912,53065610765820126756385487300129541050620804990308513990257773458602693210905395851597623612799968152196616378245915872144546525/1386334847060407429789207092071541851718218537687908287585239790307310653902812811519987203052069789048695605480701785914487078912,0,1
218,-486840465741469052810876030276417807803860596241362513672089664757822873494544916069702968924770350020152443837118494239858225,5545339388241629719156828368286167406872874150751633150340959161229242615611251246079948812208279156194782421922807143657948315648,-486840465741469052810876030276417807803860596241362513672089664757822873494544916069702968924770350020152443837118494239858225/5545339388241629719156828368286167406872874150751633150340959161229242615611251246079948812208279156194782421922807143657948315648,211775602597539037972731073170241746394679359364992693447359004169652949970127038490320791482275102258766313069146544994338327875/5545339388241629719156828368286167406872874150751633150340959161229242615611251246079948812208279156194782421922807143657948315648,0,1
219,-967011884007027570651740060138090166185750499383528280581547964244990639133000175754889458823173982916741155566879200887389625,11090678776483259438313656736572334813745748301503266300681918322458485231222502492159897624416558312389564843845614287315896631296,-967011884007027570651740060138090166185750499383528280581547964244990639133000175754889458823173982916741155566879200887389625/11090678776483259438313656736572334813745748301503266300681918322458485231222502492159897624416558312389564843845614287315896631296,422584193311071048374810406280345402623172968230601858614136460375060909301121076804886693505727030534615884982726210787789266125/11090678776483259438313656736572334813745748301503266300681918322458485231222502492159897624416558312389564843845614287315896631296,0,1
220,-7683348969292200879542007386915370956784963058738215611166117461364743805474928669179758063740491464265743363322294741596168475,88725430211866075506509253892578678509965986412026130405455346579667881849780019937279180995332466499116518750764914298527173050368,-7683348969292200879542007386915370956784963058738215611166117461364743805474928669179758063740491464265743363322294741596168475/88725430211866075506509253892578678509965986412026130405455346579667881849780019937279180995332466499116518750764914298527173050368,3372990197519276186118941242855847850028598782786076653301925565539122530603493685769913789982075752812661336498487391560717960525/88725430211866075506509253892578678509965986412026130405455346579667881849780019937279180995332466499116518750764914298527173050368,0,1
221,-15262399083797629801443173044596596606464247885909849109963464097462092898658342469547121221638351822681725504518042495749855025,177450860423732151013018507785157357019931972824052260810910693159335763699560039874558361990664932998233037501529828597054346100736,-15262399083797629801443173044596596606464247885909849109963464097462092898658342469547121221638351822681725504518042495749855025/177450860423732151013018507785157357019931972824052260810910693159335763699560039874558361990664932998233037501529828597054346100736,6730717995954754742436439312667099103450733317686243457493887666980782968308329029070280458742513153802640947492456740625686066025/177450860423732151013018507785157357019931972824052260810910693159335763699560039874558361990664932998233037501529828597054346100736,0,1
222,-60637099062655448130058011825829721652709309168344535653098087089916963678453414676308832961644262646870639166598709375006180775,709803441694928604052074031140629428079727891296209043243642772637343054798240159498233447962659731992932150006119314388217384402944,-60637099062655448130058011825829721652709309168344535653098087089916963678453414676308832961644262646870639166598709375006180775/709803441694928604052074031140629428079727891296209043243642772637343054798240159498233447962659731992932150006119314388217384402944,26862234884756363521615699238842566692150223961576629294322452580833214909554862701604813002008408352563693150803228253127738083325/709803441694928604052074031140629428079727891296209043243642772637343054798240159498233447962659731992932150006119314388217384402944,0,1
223,-120458452398010598751639906900639312520853022249222552889338352380418004078721357406299609874477167500285619510328377816716314275,1419606883389857208104148062281258856159455782592418086487285545274686109596480318996466895925319463985864300012238628776434768805888,-120458452398010598751639906900639312520853022249222552889338352380418004078721357406299609874477167500285619510328377816716314275/1419606883389857208104148062281258856159455782592418086487285545274686109596480318996466895925319463985864300012238628776434768805888,53604011317114716444479758570784494071779594900904036035755566809286011815031004045803326394142339537627100682096128128438759852375/1419606883389857208104148062281258856159455782592418086487285545274686109596480318996466895925319463985864300012238628776434768805888,0,1
224,-7657715902444959492068536938683499153111370700129148005107938115612287402147286292257618056306048505375300097442304018348394264625,90854840536950861318665475986000566794205170085914757535186274897579911014174740415773881339220445695095315200783272241691825203576832,-7657715902444959492068536938683499153111370700129148005107938115612287402147286292257618056306048505375300097442304018348394264625/90854840536950861318665475986000566794205170085914757535186274897579911014174740415773881339220445695095315200783272241691825203576832,3422999008392896892954636011591524121440782702957729158283248337678692468759836972639155271168803681902759143556709896201732236287375/90854840536950861318665475986000566794205170085914757535186274897579911014174740415773881339220445695095315200783272241691825203576832,0,1
225,-15213328926190652857576160051517884984181256457589907370147770389683077638932608767285134538528016364012262860252043983118809939055,181709681073901722637330951972001133588410340171829515070372549795159822028349480831547762678440891390190630401566544483383650407153664,-15213328926190652857576160051517884984181256457589907370147770389683077638932608767285134538528016364012262860252043983118809939055/181709681073901722637330951972001133588410340171829515070372549795159822028349480831547762678440891390190630401566544483383650407153664,6830784687859603133051695863131530357897384149457868409196348904967701859880741336511025407799079347441506024253167748420345662635695/181709681073901722637330951972001133588410340171829515070372549795159822028349480831547762678440891390190630401566544483383650407153664,0,1
226,-60449422016456664894262795248951596087587470349184676187578308893519485485670277314256862015921056172048725878346617242657926218015,726838724295606890549323807888004534353641360687318060281490199180639288113397923326191050713763565560762521606266177933534601628614656,-60449422016456664894262795248951596087587470349184676187578308893519485485670277314256862015921056172048725878346617242657926218015/726838724295606890549323807888004534353641360687318060281490199180639288113397923326191050713763565560762521606266177933534601628614656,27262689329421955867312520657277169835501949127482288960597817310977287954037295068729844769180396333593975371134324376438724724324765/726838724295606890549323807888004534353641360687318060281490199180639288113397923326191050713763565560762521606266177933534601628614656,0,1
227,-120099952993048263732654276023247444209259687786265590134792146744393339004569581800572003388459895742704737317772354081227862221695,1453677448591213781098647615776009068707282721374636120562980398361278576226795846652382101427527131121525043212532355867069203257229312,-120099952993048263732654276023247444209259687786265590134792146744393339004569581800572003388459895742704737317772354081227862221695/1453677448591213781098647615776009068707282721374636120562980398361278576226795846652382101427527131121525043212532355867069203257229312,54405278705850863470892387038531092226794638567178312331060842475210182569070020555659117534972332771445246004950876398796221586427835/1453677448591213781098647615776009068707282721374636120562980398361278576226795846652382101427527131121525043212532355867069203257229312,0,1
228,-954478573786857253875305035763703372399905939775058111071242850442283904720526676415072237455654960902548175525453971908705641867155,11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496,-954478573786857253875305035763703372399905939775058111071242850442283904720526676415072237455654960902548175525453971908705641867155/11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496,434287751073020050513263791272485034441957202597651440537415496951239176647839637768857868042323007210659419864081557218461067049555525/11629419588729710248789180926208072549658261770997088964503843186890228609814366773219056811420217048972200345700258846936553626057834496,0,1
229,-1896453061454236028442199961888580936427760710033412404093517453935542256104103221698069292761235839347857728664111603574065794976225,23258839177459420497578361852416145099316523541994177929007686373780457219628733546438113622840434097944400691400517693873107252115668992,-1896453061454236028442199961888580936427760710033412404093517453935542256104103221698069292761235839347857728664111603574065794976225/23258839177459420497578361852416145099316523541994177929007686373780457219628733546438113622840434097944400691400517693873107252115668992,866679049084585864998085382583081487947486644485269468670737476448542811039575172316017666791884778581970981999499002833348068304134825/23258839177459420497578361852416145099316523541994177929007686373780457219628733546438113622840434097944400691400517693873107252115668992,0,1
230,-7536339557257268391287698978983317286499883865089299727571630229987328791648479759269718841668563292017138973908686981159548420035955,93035356709837681990313447409664580397266094167976711716030745495121828878514934185752454491361736391777602765602070775492429008462675968,-7536339557257268391287698978983317286499883865089299727571630229987328791648479759269718841668563292017138973908686981159548420035955/93035356709837681990313447409664580397266094167976711716030745495121828878514934185752454491361736391777602765602070775492429008462675968,3459179856781086191601053831353342634503446694075988574955378275564183915366652209504800948325870551035866789024087324352232724796503345/93035356709837681990313447409664580397266094167976711716030745495121828878514934185752454491361736391777602765602070775492429008462675968,0,1
231,-14974804574809896933337895373823994088759509498164452705434537989455341624963862378808662113964807580241847571532845559966375432019495,186070713419675363980626894819329160794532188335953423432061490990243657757029868371504908982723472783555205531204141550984858016925351936,-14974804574809896933337895373823994088759509498164452705434537989455341624963862378808662113964807580241847571532845559966375432019495/186070713419675363980626894819329160794532188335953423432061490990243657757029868371504908982723472783555205531204141550984858016925351936,6903384908987362486268769767332861274918133878653812697205322013138912489108340556630793234537776294491491730476641803144499074160987195/186070713419675363980626894819329160794532188335953423432061490990243657757029868371504908982723472783555205531204141550984858016925351936,0,1
232,-238047755482322844354095509218374526721314961332890093007080069418583189279597950228648042570268148085913507947470407004982726695206455,2977131414714805823690030317109266572712515013375254774912983855843898524112477893944078543723575564536883288499266264815757728270805630976,-238047755482322844354095509218374526721314961332890093007080069418583189279597950228648042570268148085913507947470407004982726695206455/2977131414714805823690030317109266572712515013375254774912983855843898524112477893944078543723575564536883288499266264815757728270805630976,110216110788315476935946220768107405871968827097128113062278072140804016636453850955864043710034152563777954179678798443307002459880588665/2977131414714805823690030317109266572712515013375254774912983855843898524112477893944078543723575564536883288499266264815757728270805630976,0,1
233,-473030518404787454660713393854538222626475652777373875803768549960532260242291205819158985879974903707201520084458362417626619999487505,5954262829429611647380060634218533145425030026750509549825967711687797048224955787888157087447151129073766576998532529631515456541611261952,-473030518404787454660713393854538222626475652777373875803768549960532260242291205819158985879974903707201520084458362417626619999487505/5954262829429611647380060634218533145425030026750509549825967711687797048224955787888157087447151129073766576998532529631515456541611261952,219959191058226166417231728142360273521311178541478852248752375731647501012665410705908928434188330223848706839273138524196378299761689825/5954262829429611647380060634218533145425030026750509549825967711687797048224955787888157087447151129073766576998532529631515456541611261952,0,1
234,-1879993085967745012113091693524446782233428876422896173066259621638012829168080433383836995164002822426057323412590927557234002562065725,23817051317718446589520242536874132581700120107002038199303870846751188192899823151552628349788604516295066307994130118526061826166445047808,-1879993085967745012113091693524446782233428876422896173066259621638012829168080433383836995164002822426057323412590927557234002562065725/23817051317718446589520242536874132581700120107002038199303870846751188192899823151552628349788604516295066307994130118526061826166445047808,877956771146936920656813820875916647303011285289492512821943243304951991221493562390251876741589318072968770033679963169228279196484693575/23817051317718446589520242536874132581700120107002038199303870846751188192899823151552628349788604516295066307994130118526061826166445047808,0,1
235,-3735986260199731577263037535642198499161750150168053246050822311935965920091461967618093092517401353501994766100765800720120337006317845,47634102635436893179040485073748265163400240214004076398607741693502376385799646303105256699577209032590132615988260237052123652332890095616,-3735986260199731577263037535642198499161750150168053246050822311935965920091461967618093092517401353501994766100765800720120337006317845/47634102635436893179040485073748265163400240214004076398607741693502376385799646303105256699577209032590132615988260237052123652332890095616,1752177556033674109736364604216191096106860820428816972397835664297968016522895662812885660390661234792435545301259160537736438055963069305/47634102635436893179040485073748265163400240214004076398607741693502376385799646303105256699577209032590132615988260237052123652332890095616,0,1
236,-29697924678536849317565501766376120272997641024217236820302299394880813839371112929031960345604427708346365174597612890470109119592594395,381072821083495145432323880589986121307201921712032611188861933548019011086397170424842053596617672260721060927906081896416989218663120764928,-29697924678536849317565501766376120272997641024217236820302299394880813839371112929031960345604427708346365174597612890470109119592594395/381072821083495145432323880589986121307201921712032611188861933548019011086397170424842053596617672260721060927906081896416989218663120764928,13987722523590856028573351331963152648581888922406318542362383014988863318343794189574053322779685450631137997235475671411421395328111960045/381072821083495145432323880589986121307201921712032611188861933548019011086397170424842053596617672260721060927906081896416989218663120764928,0,1
237,-59019926259877029656427642750899378264058603048127926339081784873370731301028667466557187015948039876080751043187661060807685212354902785,762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856,-59019926259877029656427642750899378264058603048127926339081784873370731301028667466557187015948039876080751043187661060807685212354902785/762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856,27916425120921835027490275021175405918899719241764509158385684245104355905386559711681549458543422861386195243427763681762035105443869017305/762145642166990290864647761179972242614403843424065222377723867096038022172794340849684107193235344521442121855812163792833978437326241529856,0,1
238,-234591807738838949810842647236768116965543859174491673599879699538692066431819829509928987046583385389799960028804736821529706768435874095,3048582568667961163458591044719888970457615373696260889510895468384152088691177363398736428772941378085768487423248655171335913749304966119424,-234591807738838949810842647236768116965543859174491673599879699538692066431819829509928987046583385389799960028804736821529706768435874095/3048582568667961163458591044719888970457615373696260889510895468384152088691177363398736428772941378085768487423248655171335913749304966119424,111431108675948501160150257437464855558633333107883544959942857280878731555114419017216268847127108060154981013682249990226610715007040195125/3048582568667961163458591044719888970457615373696260889510895468384152088691177363398736428772941378085768487423248655171335913749304966119424,0,1
239,-466238948434930967197281411872237889366666665723362112803108189459743646674118908021825392665803799414874397546787656862872848179945774875,6097165137335922326917182089439777940915230747392521779021790936768304177382354726797472857545882756171536974846497310342671827498609932238848,-466238948434930967197281411872237889366666665723362112803108189459743646674118908021825392665803799414874397546787656862872848179945774875/6097165137335922326917182089439777940915230747392521779021790936768304177382354726797472857545882756171536974846497310342671827498609932238848,222395978403462071353103233463057473227899999550043727807082606372297719463554719126410712301588412320895087629817712323590348581834134615375/6097165137335922326917182089439777940915230747392521779021790936768304177382354726797472857545882756171536974846497310342671827498609932238848,0,1
240,-14826398560230804756873548897537164881859999970002915187138840424819847964236981275094047486772560821393005841987847488239356572122275641025,195109284394749514461349826862072894109287383916560696928697309976585733676235351257519131441468248197489183195087913930965498479955517831643136,-14826398560230804756873548897537164881859999970002915187138840424819847964236981275094047486772560821393005841987847488239356572122275641025/195109284394749514461349826862072894109287383916560696928697309976585733676235351257519131441468248197489183195087913930965498479955517831643136,7101844910350555478542429921920301978410939985631396374639504563488707174869514030770048746164056633447249798312178946866651798046570032050975/195109284394749514461349826862072894109287383916560696928697309976585733676235351257519131441468248197489183195087913930965498479955517831643136,0,1
241,-29468236142533425222167759012117435595066141019217412342902508562193805704852755314398542515203554495631741901710286086583617419280373576975,390218568789499028922699653724145788218574767833121393857394619953171467352470702515038262882936496394978366390175827861930996959911035663286272,-29468236142533425222167759012117435595066141019217412342902508562193805704852755314398542515203554495631741901710286086583617419280373576975/390218568789499028922699653724145788218574767833121393857394619953171467352470702515038262882936496394978366390175827861930996959911035663286272,14174221584558577531862692084828486521226813830243575336936106618415220544034175306225698949812909712398867854722647607646719978673859690524975/390218568789499028922699653724145788218574767833121393857394619953171467352470702515038262882936496394978366390175827861930996959911035663286272,0,1
242,-117142327145112211007129686651475095216750527522674176338314930730704302016811366167154536775313303408255106237377252955758016352676526367975,1560874275157996115690798614896583152874299071332485575429578479812685869409882810060153051531745985579913465560703311447723987839644142653145088,-117142327145112211007129686651475095216750527522674176338314930730704302016811366167154536775313303408255106237377252955758016352676526367975/1560874275157996115690798614896583152874299071332485575429578479812685869409882810060153051531745985579913465560703311447723987839644142653145088,56579744011089197916443638652662470989690504793451627171406111542930177874119889858735641262476325546187216312653213177631121898342762235731925/1560874275157996115690798614896583152874299071332485575429578479812685869409882810060153051531745985579913465560703311447723987839644142653145088,0,1
243,-232838452720531678668492340134413460862923888038895585067514862316585094132180616702615807664511627762087309928614045998481983120752107965975,3121748550315992231381597229793166305748598142664971150859156959625371738819765620120306103063491971159826931121406622895447975679288285306290176,-232838452720531678668492340134413460862923888038895585067514862316585094132180616702615807664511627762087309928614045998481983120752107965975/3121748550315992231381597229793166305748598142664971150859156959625371738819765620120306103063491971159826931121406622895447975679288285306290176,112926649569457864154218784965190528518518085698864358757744708223543770654107599100768666717288139464612345315377812309263761813564772363497875/3121748550315992231381597229793166305748598142664971150859156959625371738819765620120306103063491971159826931121406622895447975679288285306290176,0,1
244,-1851256550318981379577357130576893910139640749161710799307290298746619191050944247553584700283412122370694185497996923102684619894504464975375,24973988402527937851052777838345330445988785141319769206873255677002973910558124960962448824507935769278615448971252983163583805434306282450321408,-1851256550318981379577357130576893910139640749161710799307290298746619191050944247553584700283412122370694185497996923102684619894504464975375/24973988402527937851052777838345330445988785141319769206873255677002973910558124960962448824507935769278615448971252983163583805434306282450321408,901561940005343931854172922590947334238005044841753159262650375489603546041809848558595749038021703594528068337524501551007409888623674443007625/24973988402527937851052777838345330445988785141319769206873255677002973910558124960962448824507935769278615448971252983163583805434306282450321408,0,1
245,-3679844653083036456547644582003866670359204264660216976582246430569810392007387136973860200155190626916441095255202047146969019953566018134725,49947976805055875702105555676690660891977570282639538413746511354005947821116249921924897649015871538557230897942505966327167610868612564900642816,-3679844653083036456547644582003866670359204264660216976582246430569810392007387136973860200155190626916441095255202047146969019953566018134725/49947976805055875702105555676690660891977570282639538413746511354005947821116249921924897649015871538557230897942505966327167610868612564900642816,1799444035357604827251798200599890801805650885418846101548718504548637281691612309980217637875888216562139695579793801054867850757293782867880525/49947976805055875702105555676690660891977570282639538413746511354005947821116249921924897649015871538557230897942505966327167610868612564900642816,0,1
246,-14629626303720364449201611386990982128501226710722326028851369955679977899931807398213151527446245663106826793331656919145267079327591730633175,199791907220223502808422222706762643567910281130558153654986045416023791284464999687699590596063486154228923591770023865308670443474450259602571264,-14629626303720364449201611386990982128501226710722326028851369955679977899931807398213151527446245663106826793331656919145267079327591730633175/199791907220223502808422222706762643567910281130558153654986045416023791284464999687699590596063486154228923591770023865308670443474450259602571264,7183146515126698944557991191012572225094102314964662080166022648238869148866517432522657399976106620585451955525843547300326135949847539740888925/199791907220223502808422222706762643567910281130558153654986045416023791284464999687699590596063486154228923591770023865308670443474450259602571264,0,1
247,-29081564838569631354485794295597458401190697631435878867068917604205947971119503775395374088972091581317619253141066993118729295343512306643275,399583814440447005616844445413525287135820562261116307309972090832047582568929999375399181192126972308457847183540047730617340886948900519205142528,-29081564838569631354485794295597458401190697631435878867068917604205947971119503775395374088972091581317619253141066993118729295343512306643275/399583814440447005616844445413525287135820562261116307309972090832047582568929999375399181192126972308457847183540047730617340886948900519205142528,14337211465414828257761496587729546991787013932297888281464976378873532349761915361269919425863241149589586291798546027607533542604351567175134575/399583814440447005616844445413525287135820562261116307309972090832047582568929999375399181192126972308457847183540047730617340886948900519205142528,0,1
248,-462490692432736395411661180249340225541516578461222202627902463834630075798771463266771594382685198373857622316082129922823662664656502166939825,6393341031047152089869511126616404594173128996177860916959553453312761321102879990006386899074031556935325554936640763689877454191182408307282280448,-462490692432736395411661180249340225541516578461222202627902463834630075798771463266771594382685198373857622316082129922823662664656502166939825/6393341031047152089869511126616404594173128996177860916959553453312761321102879990006386899074031556935325554936640763689877454191182408307282280448,228932892754204515728772284223423411643050706338304990300811719598141887520391874317051939219429173195059523046460654311797713019004968572635213375/6393341031047152089869511126616404594173128996177860916959553453312761321102879990006386899074031556935325554936640763689877454191182408307282280448,0,1
249,-919409207848210906541254153507724544751207655977128475103661524490529668756593872759244735821000695562488044363295800448986799273112323584880375,12786682062094304179739022253232809188346257992355721833919106906625522642205759980012773798148063113870651109873281527379754908382364816614564560896,-919409207848210906541254153507724544751207655977128475103661524490529668756593872759244735821000695562488044363295800448986799273112323584880375/12786682062094304179739022253232809188346257992355721833919106906625522642205759980012773798148063113870651109873281527379754908382364816614564560896,456946376300560820551003314293339098741350205020632852126519777671793245372027154761344633703037345694556558048558012823146439238736824821685546375/12786682062094304179739022253232809188346257992355721833919106906625522642205759980012773798148063113870651109873281527379754908382364816614564560896,0,1
