x,polynomial,up_atom_sum,residual
0.161,-6.201330867277,-6.201330865788365,1.4886349930520737e-09
0.16200000000000001,-6.1964368133920003,-6.1964368116122568,1.779743463714567e-09
0.16300000000000001,-6.1915437587169997,-6.1915437529947903,5.7222093730047163e-09
0.16400000000000001,-6.1866517035520001,-6.1866517033530304,1.9896972958122205e-10
0.16500000000000001,-6.1817606481249996,-6.1817606434587455,4.6662540498232374e-09
0.16600000000000001,-6.1768705925919996,-6.1768705902544454,2.337554150244614e-09
0.16700000000000001,-6.1719815370370004,-6.1719815359320549,1.1049454684552984e-09
0.16800000000000001,-6.1670934814719995,-6.1670934738059167,7.6660828796093483e-09
0.16900000000000001,-6.1622064258369997,-6.1622064249345838,9.0241591976791824e-10
0.17000000000000001,-6.1573203699999999,-6.1573203670747159,2.9252840150206794e-09
0.17100000000000001,-6.1524353137569996,-6.1524353095447823,4.2122172416725334e-09
0.17200000000000001,-6.1475512568320001,-6.1475512564143546,4.1764547376033079e-10
0.17300000000000001,-6.1426681988769998,-6.1426681924129793,6.4640204300303594e-09
0.17400000000000002,-6.1377861394720004,-6.1377861378062946,1.6657057955171695e-09
0.17500000000000002,-6.1329050781249999,-6.132905076298683,1.8263168755083825e-09
0.17599999999999999,-6.1280250142719996,-6.1280250081233509,6.1486487012984981e-09
0.17699999999999999,-6.123145947277,-6.1231459469916887,2.8531133011711063e-10
0.17799999999999999,-6.1182678764320002,-6.1182678717405672,4.6914330198433163e-09
0.17899999999999999,-6.1133908009570002,-6.1133907982841871,2.6728130819719809e-09
0.17999999999999999,-6.1085147200000005,-6.1085147188941278,1.1058727267254653e-09
0.18099999999999999,-6.1036396326369999,-6.1036396244925086,8.1444913035966238e-09
0.182,-6.0987655378719996,-6.0987655368318539,1.0401457473108167e-09
0.183,-6.0938924346369996,-6.0938924317303034,2.9066962170531951e-09
0.184,-6.0890203217919998,-6.0890203171918849,4.6001149556218479e-09
0.185,-6.084149198125,-6.0841491977533755,3.716245089435688e-10
0.186,-6.0792790623520006,-6.0792790558218011,6.5301994922606355e-09
0.187,-6.074409913117,-6.0744099112601573,1.8568426796150561e-09
0.188,-6.0695417489920001,-6.0695417471258866,1.866113485959886e-09
0.189,-6.0646745684769998,-6.0646745618887401,6.5882597155564326e-09
0.19,-6.0598083699999998,-6.0598083696195602,3.8043967975909254e-10
0.191,-6.0549431519169996,-6.0549431472048347,4.7121648805159566e-09
0.192,-6.0500789125120003,-6.0500789094915373,3.0204629908325842e-09
0.193,-6.045215649997,-6.0452156488986564,1.0983436382616674e-09
0.19400000000000001,-6.0403533625120005,-6.0403533540703123,8.4416882373261615e-09
0.19500000000000001,-6.0354920481249996,-6.0354920469344746,1.1905250119070843e-09
0.19600000000000001,-6.0306317048320004,-6.0306317019496793,2.8823210485029449e-09
0.19700000000000001,-6.0257723305570003,-6.0257723255546525,5.0023478692651224e-09
0.19800000000000001,-6.0209139231520004,-6.0209139228345041,3.1749625151178407e-10
0.19900000000000001,-6.0160564803970003,-6.0160564738048858,6.5921144098979312e-09
0.20000000000000001,-6.0111999999999997,-6.0111999979385482,2.0614514539829543e-09
0.20100000000000001,-6.0063444795969998,-6.0063444776975174,1.8994823491880197e-09
0.20200000000000001,-6.0014899167519999,-6.0014899097078729,7.0441270594301386e-09
0.20300000000000001,-5.9966363089570001,-5.9966363084687861,4.8821391374076484e-10
0.20400000000000001,-5.9917836536319999,-5.9917836489027643,4.729235669742593e-09
0.20500000000000002,-5.9869319481250001,-5.9869319447416887,3.383311408811096e-09
0.20600000000000002,-5.9820811897119999,-5.9820811886282668,1.0837331032576003e-09
0.20700000000000002,-5.9772313755970004,-5.97723136705293,8.5440703401218343e-09
0.20800000000000002,-5.9723825029119997,-5.972382501559796,1.3522036823587769e-09
0.20899999999999999,-5.9675345687170003,-5.9675345658624783,2.8545219521447507e-09
0.20999999999999999,-5.9626875699999999,-5.9626875645807385,5.4192614840076203e-09
0.21099999999999999,-5.9578415036769998,-5.9578415034247767,2.5222313126960216e-10
0.21199999999999999,-5.952996366592,-5.9529963599423814,6.6496186335029961e-09
0.21299999999999999,-5.9481521555170005,-5.948152153238051,2.2789494735775406e-09
0.214,-5.943308867152,-5.9433088652250392,1.9269608131367022e-09
0.215,-5.9384664981249999,-5.9384664906093168,7.5156831869094276e-09
0.216,-5.9336250449919996,-5.9336250443843497,6.0764993037309978e-10
0.217,-5.928784504237,-5.9287844994944194,4.7425805504985874e-09
0.218,-5.9239448722720001,-5.9239448685103104,3.7616896264580646e-09
0.219,-5.9191061454370004,-5.9191061443747603,1.062240073679277e-09
0.22,-5.9142683199999997,-5.9142683113562429,8.6437568214137173e-09
0.221,-5.9094313921569999,-5.9094313906296847,1.5273151632300142e-09
0.222,-5.9045953580320001,-5.9045953551863359,2.8456641487650813e-09
0.223,-5.8997602136770002,-5.8997602078257101,5.8512901190965749e-09
0.224,-5.8949259550719999,-5.8949259548929005,1.7909940197569085e-10
0.22500000000000001,-5.8900925781249995,-5.8900925714212571,6.7037424500426823e-09
0.22600000000000001,-5.8852600786720002,-5.885260076161817,2.5101831724327894e-09
0.22700000000000001,-5.8804284524770001,-5.8804284505291644,1.9478356705349142e-09
0.22800000000000001,-5.8755976952319999,-5.8755976872312514,8.0007485081523555e-09
0.22900000000000001,-5.8707678025570003,-5.8707678018191052,7.3789507837318524e-10
0.23000000000000001,-5.8659387699999996,-5.8659387652501973,4.7498023292291691e-09
0.23100000000000001,-5.861110593037,-5.8611105888843085,4.152691523984231e-09
0.23200000000000001,-5.8562832670719995,-5.8562832660406272,1.0313723208810188e-09
0.23300000000000001,-5.8514567874369998,-5.8514567786986822,8.7383176250455108e-09
0.23400000000000001,-5.8466311493919996,-5.8466311476752475,1.7167520738325948e-09
0.23500000000000001,-5.841806348125,-5.8418063452158435,2.9091564712757645e-09
0.23600000000000002,-5.8369823787519994,-5.8369823724542558,6.2977436598998793e-09
0.23700000000000002,-5.8321592363170005,-5.8321592362227577,9.4242835757540888e-11
0.23800000000000002,-5.8273369157919994,-5.8273369090370775,6.7549219551210626e-09
0.23900000000000002,-5.8225154120770002,-5.8225154093204852,2.7565150162445207e-09
0.23999999999999999,-5.8176947200000004,-5.8176947180376182,1.9623822566927629e-09
0.24099999999999999,-5.8128748343170002,-5.8128748258150011,8.5019991047374788e-09
0.24199999999999999,-5.8080557497120004,-5.8080557488302551,8.8174534340623723e-10
0.24299999999999999,-5.8032374607969999,-5.803237456043373,4.7536268255043979e-09
0.24399999999999999,-5.7984199621119998,-5.7984199575521043,4.5598955722425671e-09
0.245,-5.7936032481249997,-5.7936032471317356,9.9326413760536525e-10
0.246,-5.7887873132319996,-5.7887873044007367,8.8312628321318698e-09
0.247,-5.7839721517570002,-5.7839721498383314,1.9186687794103818e-09
0.248,-5.7791577579519995,-5.7791577549844382,2.9675613077984053e-09
0.249,-5.7743441259969996,-5.7743441192358613,6.7611383158805438e-09
0.25,-5.76953125,-5.7695312499996607,3.3928415632544784e-13
0.251,-5.7647191239970006,-5.764719117195888,6.8011125620159874e-09
0.252,-5.7599077419520004,-5.7599077389358504,3.0161499964265204e-09
0.253,-5.755097097757,-5.7550970957889183,1.9680816976119786e-09
0.254,-5.7502871852319997,-5.7502871762131473,9.0188523316214741e-09
0.255,-5.7454779981250006,-5.7454779970881349,1.0368657044068641e-09
0.25600000000000001,-5.7406695301120001,-5.7406695253603495,4.7516506285205651e-09
0.25700000000000001,-5.7358617747969998,-5.7358617698148544,4.9821453629306234e-09
0.25800000000000001,-5.7310547257120001,-5.7310547247676356,9.4436458653035515e-10
0.25900000000000001,-5.7262483763169998,-5.7262483673979743,8.9190255181392786e-09
0.26000000000000001,-5.7214427199999998,-5.7214427178648739,2.1351258538970797e-09
0.26100000000000001,-5.716637750077,-5.7166377470572254,3.0197746525573166e-09
0.26200000000000001,-5.7118334597920004,-5.7118334525529706,7.2390298200275538e-09
