x,n,p,formula,direct_quadrature,absolute_error
0.375,2,1,0.0004026011333540427,0.0004026011338084424,4.543997e-13
0.375,2,2,0.00011165521639604857,0.00011165521605598886,3.400597e-13
0.375,2,3,3.2106718050553567e-05,3.2106718210151129e-05,1.595976e-13
0.375,2,4,9.5034491501411285e-06,9.5034490311826678e-06,1.189585e-13
0.375,2,5,2.8800624516097723e-06,2.8800625265221869e-06,7.491241e-14
0.375,2,6,8.9000306283579858e-07,8.9000300674508973e-07,5.609071e-14
0.375,3,0,8.3744916124547822e-05,8.3744915551556515e-05,5.729913e-13
0.375,3,1,1.9660104305858718e-05,1.9660104561088518e-05,2.552298e-13
0.375,3,2,4.8819940489823317e-06,4.8819939054223453e-06,1.435600e-13
0.375,3,3,1.2682850594082283e-06,1.2682851488120032e-06,8.940377e-14
0.375,3,4,3.4186548984657494e-07,3.4186543008565671e-07,5.976092e-14
0.375,3,5,9.5010178258932928e-08,9.5010220350365205e-08,4.209143e-14
0.375,3,6,2.7091634243170005e-08,2.7091603368857214e-08,3.087431e-14
0.625,1,0,0.1475004822560953,0.14750048225609511,1.942890e-16
0.625,1,1,0.072006655089646404,0.072006655095077421,5.431017e-12
0.625,1,2,0.036681696708375858,0.03668169670765245,7.234074e-13
0.625,1,3,0.019277839148106192,0.019277839152866402,4.760210e-12
0.625,1,4,0.010372427844621071,0.010372427842229248,2.391823e-12
0.625,1,5,0.0056836051731206051,0.0056836051784983814,5.377776e-12
0.625,1,6,0.0031597857625290764,0.0031597857574979325,5.031144e-12
0.625,2,0,0.020181146320413144,0.02018114631498201,5.431135e-12
0.625,2,1,0.0083224627226531518,0.0083224627267709395,4.117788e-12
0.625,2,2,0.0036482212946287178,0.0036482212894163799,5.212338e-12
0.625,2,3,0.0016762216229452994,0.0016762216283122539,5.366954e-12
0.625,2,4,0.00079916222976756323,0.00079916222289489836,6.872665e-12
0.625,2,5,0.00039246747067130339,0.00039246747906355523,8.392252e-12
0.625,2,6,0.0001974527301987468,0.00019745271912219347,1.107655e-11
0.625,3,0,0.0021453768638025317,0.0021453768600464087,3.756123e-12
0.625,3,1,0.00077665895351475126,0.00077665895740772835,3.892977e-12
0.625,3,2,0.00030195834309882464,0.00030195833878649193,4.312333e-12
0.625,3,3,0.00012423814228662436,0.00012423814740013006,5.113506e-12
0.625,3,4,5.350446146671168e-05,5.3504455122878141e-05,6.343834e-12
0.625,3,5,2.3919719485408815e-05,2.391972764626428e-05,8.160855e-12
0.625,3,6,1.1030599675244545e-05,1.1030588869942164e-05,1.080530e-11
0.8125,1,0,0.31326012128742758,0.31326012128747088,4.329870e-14
0.8125,1,1,0.19182777087971417,0.19182777088685798,7.143813e-12
0.8125,1,2,0.12377356103587533,0.12377356103150128,4.374057e-12
0.8125,1,3,0.082921707544064527,0.082921707558052296,1.398777e-11
0.8125,1,4,0.057124705191743029,0.057124705176279517,1.546351e-11
0.8125,1,5,0.04020099249765708,0.040200992531677755,3.402068e-11
0.8125,1,6,0.028767749026969873,0.028767748975289657,5.168022e-11
0.8125,2,0,0.062696077666320765,0.062696077659212063,7.108703e-12
0.8125,2,1,0.032086502803892407,0.032086502814070855,1.017845e-11
0.8125,2,2,0.017644310797584203,0.017644310780042478,1.754173e-11
0.8125,2,3,0.010249182187809399,0.010249182214637982,2.682858e-11
0.8125,2,4,0.0062128304706341262,0.0062128304240493485,4.658478e-11
0.8125,2,5,0.0038955573773765064,0.0038955574566985189,7.932201e-11
0.8125,2,6,0.0025101343802834434,0.0025101342386331612,1.416503e-10
0.8125,3,0,0.0094270301499966083,0.0094270301420194755,7.977133e-12
0.8125,3,1,0.0042129863652891906,0.0042129863781950449,1.290585e-11
0.8125,3,2,0.0020434101676138818,0.0020434101470732662,2.054062e-11
0.8125,3,3,0.0010573150284805049,0.0010573150626720055,3.419150e-11
0.8125,3,4,0.0005761836900068575,0.00057618363142078878,5.858607e-11
0.8125,3,5,0.00032750299441748626,0.00032750309746719245,1.030497e-10
0.8125,3,6,0.00019272986280610113,0.00019272967755101978,1.852551e-10
