base_a,derivative_order_n,support_radius_b,active_support_measure,thinning_factor_r,copy_amplitude_c,L1_norm,Linf_norm,L2_multiplier,normalized_spectral_moment
2.6,4,0.625,0.4376597458072195,0.3501277966457756,40318.73418956074,14116.709565337605,52414.35444642896,23857.239165420553,569167860.5960764
2.6,5,0.625,0.3366613429286303,0.26932907434290426,6227546.5297529455,1677259.3422857267,8095810.488678828,3231905.1032706983,10445210596547.184
2.6,6,0.625,0.2589702637912541,0.20717621103300327,2500923579.4591603,518131871.275445,3251200653.296908,1138335721.1921527,1.2958082141420588e+18
2.6,7,0.625,0.1992078952240416,0.15936631617923327,2611302649136.7964,416153683622.0042,3394693443877.835,1042450582277.249,1.0867032164901758e+24
2.6,8,0.625,0.15323684248003197,0.12258947398402557,7089038670204009.0,869041521632725.8,9215750271265210.0,2482069489935228.5,6.160668952867325e+30
3.0,0,0.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0
3.0,1,0.5,0.6666666666666666,0.6666666666666666,4.5,3.0,6.75,3.6742346141747673,13.5
3.0,2,0.5,0.4444444444444444,0.4444444444444444,60.75,27.0,91.125,40.5,1640.25
3.0,3,0.5,0.2962962962962962,0.2962962962962962,2460.375,729.0,3690.5625,1339.2585168667024,1793613.375
3.0,4,0.5,0.19753086419753083,0.19753086419753083,298935.5625,59049.0,448403.34375,132860.25,17651846030.0625
3.0,5,0.5,0.13168724279835387,0.13168724279835387,108962012.53125,14348907.0,163443018.796875,39540938.08123095,1563485784343740.8
3.0,6,0.5,0.08779149519890257,0.08779149519890257,119149960702.92188,10460353203.0,178724941054.3828,35303692060.12499,1.246350673076133e+21
3.0,7,0.5,0.05852766346593505,0.05852766346593505,390871446085935.2,22876792454961.0,586307169128902.9,94561540536723.56,8.941884948678417e+27
3.0,8,0.5,0.03901844231062336,0.03901844231062336,3.8467613366547313e+18,1.5009463529699914e+17,5.770142004982097e+18,7.598540911910579e+17,5.773782398997888e+35
5.0,0,0.25,0.5,1.0,1.0,1.0,2.5,1.0,1.0
5.0,1,0.25,0.2,0.4,12.5,5.0,31.25,7.905694150420948,62.5
5.0,2,0.25,0.08000000000000002,0.16000000000000003,781.25,125.0,1953.125,312.5,97656.25
5.0,3,0.25,0.03200000000000001,0.06400000000000002,244140.625,15625.0,610351.5625,61763.23555016367,3814697265.625
5.0,4,0.25,0.012800000000000002,0.025600000000000005,381469726.5625,9765625.0,953674316.40625,61035156.25,3725290298461914.0
5.0,5,0.25,0.005120000000000001,0.010240000000000003,2980232238769.5312,30517578125.0,7450580596923.828,301578298584.7835,9.094947017729282e+22
5.0,6,0.25,0.0020480000000000008,0.0040960000000000015,1.1641532182693482e+17,476837158203125.0,2.91038304567337e+17,7450580596923830.0,5.551115123125783e+31
5.0,7,0.25,0.0008192000000000003,0.0016384000000000006,2.2737367544323205e+22,3.725290298461914e+19,5.684341886080802e+22,9.203439287865708e+20,8.470329472543004e+41
