n,degree,m,atom_count,u_n_exact,u_n_decimal,Q_2n_at_0_exact,Q_2n_at_0_decimal,central_atom_exact,central_atom_decimal,A2_term_decimal,A2_partial_decimal
19,38,274877906944,1099511627775,-230642009555324209653485760850616386403064264187202822944734857226694912336570500438197912093508465791/572956689818200610238652284796956523740650872190229425352091011554007746292328979600443285280112597656250,-0.00040254702258299315,-90746946984644125955442007460089059410582818040675154967458748266913527689156050203766205374697279046472334395390175073143327992642/3151261794000103356312587566383260880573579797046261839436500563547042604607809387802438069040619287109375,-2.879701938995461e+25,10465029106774394986563230585710422560119707355724102884850420003422966325496288529493885314095611202935412672668476671892784535914176303658689579794200737642313379303298455058273009869257448426048917028311359015699785971928578354911/248151050622014560424988003312403935680088042942010492701325465215299245861715970354882520609805211283703332227014147866232977143218412216870028038910625744831533027311189909007547218312398542404976640000000000000000000000,42172012089.180321,2.1044689011744521e-09,0.40443676706650666
20,40,1099511627776,4398046511103,79265012778786026435398078009889746448609634766326350090817077978984138003936719868828305041735440826893727237161/359317672483904334647740116116355485661978610195027058435612547609291785094181592714327324145649689107345523925781250,0.00022059870373433054,63707543213129209122466453413016504662690287665314262170066203464476759140427132789765278620780779515935749744900353874806945031168737337367357586/14552365735598125553233474702712397169310133712898595866642308178176317296314354504930256627898812408847493718994140625,4.3778135026724387e+27,2524889613446874875778561283058622118473555907174738283723380243277504291657464519572387669931425329340216237337243109362944488213230093004048141674181259395333582553389791050017998117547057316663506471907083404032277371827381201532556902903719048321457226673/2874630371708934720040037358137906253392486101532251226059182163156182587026850256419005756757028065716145369869694205559439056916556518701253130315427708802401102179373743083284225247073715229580342445193336844041178906624000000000000000000000000,878335398629.30518,6.0078750727490054e-10,0.40443676766729419
21,42,4398046511104,17592186044415,-7130035824437983301489606518856413003121945469474701211431813408458160791208204043422301968274524520360665671818667862347543/55775147147487737044274540406670212201577417656990055791297411888696537141818266380083682766599401837428150727693147240332031250,-0.00012783535658962648,-1745866773207366093636183437579953338277414205715718528308393954104510309138398998381887392956133744407976133152184494783134776016961473162753761091173239653806/2370443753768228824381667967283484018567040250422077371130140005269602828527276321153556517580474578090696405926958757714111328125,-7.3651474346607471e+29,6224046318832232060799647322501961546274481882158739253439756142555732659745720483246595650396028652293905505621992679814578246877269900515724847597707958879665353754888199046504985105854974165568474118483025674421718106871697404969673961803867113260293936238131131865299705887349329/290736930987147686001031741827803514578390226930890736759264222183435662473662789443938563594253771158389547475701052961836992058622638402476152733612779049637516334211098540258886423856664745391149113780642266134535120697790963162261790254799257600000000000000000000000,21407828368069.871,1.9225739287525835e-10,0.40443676785955157
22,44,17592186044416,70368744177663,5464496311580150740721852943315411883292550867594462872378322713863842282476091891698778025728211255768552256802505277721309137351159677/85191598619228072916648664158538811745770721633435865866821286246147091807206048506982795960823680233666668903977204799349243172531738281250,6.4143605709340363e-05,5690099634975455262065093073901221266725208168918999955822692288575566839730170351608635253842032155259698972698732314239971766207560617493313066514957815484839074090196063598/41701287524112141692699521105604748349554768239566856341809019617489001439627360744168078622823191474379834428496841749281454532954285888671875,1.3644901567332609e+32,15546764233923468686556197382796907410541851787712517741853549780029448446124074877572609966754776498875746389435205321329620537574250880468831031491234953008122196149318142241521979158563498790607566667614136546301752380212741783402074712076085111300244667455097921153291839892651680091338547581406742872568923/31248994341441741084616546602840711948837604647629412115692516428004868566388470613084728969634248822779548036378949312731667306856742169276798315251804830416910152549333732602176172904644598625557249923541453435655231126015292180410051270587240138522442430709702826393600000000000000000000000000,497512465970966.81,4.6229237678599126e-11,0.40443676790578081
23,46,70368744177664,281474976710655,383146923705641132903829202603274398216374803871717583360813110606126250970542843125455178087568627068098423581823304354413823907665803929945529711/125129191465936804531123156265184424023166893642468907086868720406322722104032478364732695540688274544922661432062984710305662907689945806921560058593750,3.062010704432171e-06,-32249173547424164312504244623514964626272252556346025184649954693758086150003069157593332121991328335043428174731265741739819020025976874691389134241276731280449341618479234558307951758058/1163701480633212282139445353266215143415452110874960835907879099778801315567502048792014068528400953267780751318185757805842665041516496004370508544921875,-2.7712582723428535e+34,-6178085818372453244699499776775770711418703901188931104224217269570464752549779152087256672127738360868902888491185104875472841045719438807853885087762319916257656874601102093416964499246196904363771091122659343500402419182935372157576812714533653549591406343660801973808172733329235855910631148946070597357018538240802042340261330619/5123302865927495250624371834966480716548105339490905340591198232063064549198338383074337370390302840530685595076986671462595351462220586346466618318755075089179204747449302083531975363486190991679360859326146105535756712791648196947634659278125109674874653942968830223536764912401143484918005760000000000000000000000000,-1205879484396635.5,1.0081623176405591e-13,0.40443676790588162
24,48,281474976710656,1125899906842623,-1111793229280394245683027902573305837434113030288444640354756466106283202926127846354922423291219995162352632314821687710864258870993993974352546932541781742153103/33768334758699811096649596270899687281350831307380109292985103161160157449632486028691356434534306341183143092274539625769760465551341633145689717090268395617675781250,-3.2924135502238836e-05,10064226369360763212129086084896615066633275892617237726326713864578277490045316329065148913242498911664060112966498264736660157802773533990969675575921082122854648354772602154633955063120963341480028785122/1637764235796940838187505419138634833145515318407935300709777503316267636307175572391530787074913857547382439975315171849833382579240069207565951278878017187457275390625,6.1451008328213256e+36,-5594669367700250379368779172361162318064509092454956720550171312731597757267902886420584413662752741043278140002107815205280849027342916258685572251633137325788064996661876124219134197741597282356700951071304071491473808978317190843018980532268767281477969045546604558223864909471095216725207779714685405375772868405649663661757305474689620094324024794078844806266783/7783426412917364089355761752414908752712889578716460227779943984246188753504612873809194695734003234904235370517057695008220454304627169149478037056575027304762371071624835648821566320637396742603827660043779908664214304610219655988665830785209057158157895606815019015476126005292861622961204799289500245012870072547409920000000000000000000000000000,-7.1879260763811482e+17,1.1175244315152411e-11,0.40443676791705691
25,50,1125899906842624,4503599627370495,1690577728766994025620114060890417357728080563375752625685368622468298080034925068134104889467004557264580457080687475311763622142017829986836285180806859654773254170520742487/81762935395807796850140748993625981084035706920590975673032696648029055278392841085874378037868102142472915158071434564922791158907020764939541242415527498117129463157858886718750,2.0676578214603513e-05,-265067583134793649489599993204369869959062775021080231620896487960428993211460924307145510071554843038695896583942497196990762632829207185444032102897942001290971743491136113487627842434518825398914235506956473502974/178834066919964560039677928682471524680743016011791285374087263009687347503046459067966706119571526995785028779683802635439175763138715583857264309745248246100458143389892578125,-1.4821984854452929e+39,-224058676332887909176452975147425871548152082147709526707441116475455797849269070972161215779763346958951254776222282216552190081009138252259173235008580510565897397136629393809422172542865478045161659237939234658855546440840117694835916119263472784391782433931766433761903752588256721139449544109928054643427995674170998363079247995057340601241717596894535396827646426630686357134141328169/8231453239476050774557033212223705290159179440525109796031604319560049288062939920574812377522170675461008808780117727645988786605374923873427209431723219088748254320281142208030997140492415020742475339933922381033562334425020018555482020437262630898772987342395550844943811613203144016347661310732779337415422793006495031095489743481351438336000000000000000000000000000,-2.7219820099123798e+19,4.232880065986303e-12,0.40443676792128974
26,52,4503599627370496,18014398509481983,-5978934484438082575266432034813514729721202777848919520451157656486247635460558313697475810267193475988473339559919594779513935511750094217340706658882555879975111036133649047079785390469/20232281614355925824585464931823488493734380395823332192097828577738903987996917863141883492214879361273563959712563815792904708581517909619902707428569316051499357857326890373509268249511718750,-2.9551459387534901e-07,5351428016071856004198660487235937647482467017887722394569479709192137979766887046998026253584427255335671794238448601851617973981244231850644628434470055922277693485119389826274378728105918975948241792435252024998687229518222195172166062/13808532201797919375279579815969530896973714620149424221106768004306801971807896441594335483436655164069207402503824804278657463606885973315583597819998558205148311737625602679920075580291748046875,3.8754502925192017e+41,-15997918753140046726009755946285912121938381010956031312158414553122835209227482468714654367497030347611371360442262722582485824496954824082152665372833257495809782389761744559753543093061899895616681606955580394769831986579190946151984002444798637739278361390536016988807016252548483791020178496040820167416405404465426996861318560325221762151915052299439323891622956285071679943685277243013710209691703852278254968590031539/629103580971949172598735815887809294641700592322131882631820317322561166707206279744301439327316099853200499414002523892292472708011883229021507534871294383360559356583794193501481604109290499154963626457504341526007668023980171489475500055234634388207303904805985845056429408611291231232454505032266627229796357478844054583097525385127707208778963641692566434939548425256960000000000000000000000000000000,-2.5429705436461933e+19,8.3170357326964261e-16,0.40443676792129057
27,54,18014398509481984,72057594037927935,-6274721481588439251665562795029017730446323953846113122061790314131129847301641474340883625433661729228156300866766248696427719038671185393969269178024301340864871405145995530235308382368587222669880902791/912852851061293224548836112547535374305736365782485764916248542388825917000052238629949680977159770946307264478606360412754733297476141651783121736183495803820366341906575614141705007813764747115759338378906250,-6.8737491199084013e-06,-5447586109233899337400002608395829270735486043611997547629027308009127762523674839055177968505560434877858607373317301077410248033417039543202376591090745435856391543593138124200933860754402516436791573266967092037381410836823994804594324326204475252168542/49750480382840480737911568133840677899662631935145474187935545560191012476502847005332257613255207516573745914084046642495132964712449720022180134622000521308209965633908370970722922925850178717808883941650390625,-1.0949816096876996e+44,17091042791206367059638386801644680317612244386242439042985604351976029171062029657679918540861581820461745939664881415617618097615717788478506406080869971478267840329328362953872329207597954375143990112134928439779436020054919713518752516384676188156299636817484286373032981191213812321403850251431076083894466972335890658980180909971945588989012417933214819187445825232304069306435974448886748682805669301796663325838469239299775280318051515978702147725100361/409060763935050319086723180327757770323386195506105193393286574100464872013479849006106180284408864681951781479234448870627659715995480481061767173082669633227646319252353448807504594618829846777344210411748719406279414179791330957990825825257260668234594945879582172216697071560449522899244166160355997529432008738844924497890569348998928836039388487877431305046696174999044243690954307070580972801537081344000000000000000000000000000000,4.178118337920095e+22,4.3347180700405066e-13,0.40443676792172406
28,56,72057594037927936,288230376151711743,3360867901837611912710096529524166674326608450584191294555393503978958195997947220474612360255725716635769709670344062831263068692790382720501375796918662008390682708763057863108027607826003458065479936781752738817746684723/317247780408727160527115137459105417761685238998981215569633716875127760679401769747551917055976927590603354268703325006891393251397315891393187062586451658092905125004072970931402544851121257222740577593628515943284606933593750,1.0593826369746788e-05,597505065987171837346760104974097310103387057657094916963931593456925582134881840047406331928819891703190925697713045173595059156169376174947348575724555316740735699181992700356479578433769948891801267699125599664273440626696042348718231051766678772697631017315008682593754918/17924499593093084569782005266439456103535216003442438679684305003444718478386199990736683313662696408869089516181737862889363718703948347863715069036134518682249139562730122857624243784088351033084842634040011150795580291748046875,3.3334546545299972e+46,1004067798730825033542703243519002874033937212126449528884647985329525140710876039480718339949557481852026298437726308638781738425138935672809744840675292294752104128479929649118742502745314143081579452017837311340327636370364084029014084363932370705118956832473813811240846625087018547042546228770435514517271349720201546678290765022070334734184939490681325533024011370513108662061336570403691050542302755383399391557475536332366270705269919321532591599028255120954763933524127994234182409238358857/204878032060840892536598440596822995848683702249644738917096262581812461176127592763045866399337829926560774497961188380015557517628809770291438775727285759662238325005338265583345771058072856356404310491401519933362559530241601075399216339829678607402679852494421346453626927865424549803930949789027246397025118646918271924563606662044536768146867279919846437451159505917595848812037960836055628313940670658600360511072483430773943298949120000000000000000000000000000000000,4.9008075127969574e+24,9.9317838187913618e-13,0.40443676792271727
29,58,288230376151711744,1152921504606846975,-65166756265271503059145625087480115828860280427130582424538888030980595667107496938440944007208709080640896817098293730805775130199696570967668546835955071988292054796212855183103372867912176963003648696397897521487066967715721394361288461/2344626848218027612534153953849719883351104845633196041191784508603166373521952140250287713288482415546617105648327940947127709095002337606024550007499682089948260419147837086948615852025306602689808047894411144056693455890793088633728027343750,-2.7794084297379686e-05,-143169316483914252959186499562570150666602899139327308398459699113963248558447358506209316208741434895106261228078412252825367751492773356394899912698999019188992575077313248943365940575457633253028675963240879841156095828677743000855785968491014154180409754285828986770333831328635002162118/13129192171987615136713698315325798140714045512543502288668459246988152852592533761332615222300777381973494848322694031339807694271813606772512316975086761966303554563046661202880638206516745118919667923980382112311339826707322263336181640625,-1.090465541279681e+49,4664939975986378911576016248941047732238167101994147931963499296263516220967466568623808430906430153250811552598928538124898430980540119831118357397518867399384133213081894827084711605007834604973418733719138372142018644839992705884661799245178071381182853371715273331806234225049403306404733427959655069175393798453990575067774641300529415126009337388671480813504895789886644773492278069111321368511036321397878093344054397862283834143311834038011374464680420328937594568698546261098246553589209702977021398863117057187642360199/4436305971550085498903831859684211773745480993772147988760464977432881257280828852225693368880412624861702785283901370903120361554538605303378509260626313204779799041836624847555017280635740472553127311743866082284681880916493410234536374203358754312294709262229011119402853174448127403797692175524893628311734104876060377276704054457374499209604072307430555060230407865245339645666093697821194921343922500889479760901449609389457555141047563782623956323971235462512640000000000000000000000000000000000,1.0515370233483707e+27,6.6026591617935724e-12,0.40443676792931993
30,60,1152921504606846976,4611686018427387903,473590804174502137839701896705583165007417273793479356276363707959454459565920067092430811012333981454140262246412768351221206553531663102013574419156545528203353883233773623592627005838674271660917986501168338292970834318097409381802829686663740618206943869/9583968893634215926068246252176252082711295136856839906736634535090278199855733207466272597315880926348665785371166687773566056113043518837290350376260445763240401990963691318695553176442787303840171467113004623384336900161537700790094800492306394844055175781250,4.9414893707456277e-05,2217016512057032462250189840917586164179238823577956965803602524884452202789290920307335854843648826605500312807243845007650356063706728410465343185685659380287348620323135868523830706467358560038070399710330500609135679938427363864883756997876800840931454641273867261099757477513940923571287893431129665984860653706/579830118064870063527128898256663251004033355779838814357566389372961831091271859051709492137610796044094280014955584610300746394839132889656066197763756968676044320453303324781080967174788631882330373760336779714752382459773030897800735429784536888065338134765625,3.8235621831030824e+51,524979316406619909315519228327854115632334610286233954826827143004472266086578896103297135850025171477849065050578958214564720280191259611741808951085494266055839658954690371947971575319299478987622870470059129134941970342492601068992096961914618385640798412384533750424967717716959259960864026092119772612932442569219111271765182465858587931738023813302503039501357445619394717947908625379141387330635870590056207890862963106161863692431713599416573142696955101245859322472018479707937050621153692622956490705645647499850062898024418063919567136482681685144594705894414257/3203434952073172095944289656109554147049977617944503807287147640440757528754124643475722215743105234952236295487591234317037816502731509930148238966568816963354345061014986183685356702423095582007802921471495212900587689908964101162942802894080991379217198325387916104154147523957941134379935954930046057157559205588644708272756846215540386745336584208772921737174875509668805787751030822535883532042335157945658040589962347819048353006695919336843179852835812397597357248372402112603067551967480037087641600000000000000000000000000000000000000,1.6388012376117337e+29,2.0180427439001672e-11,0.40443676794950034
31,62,4611686018427387904,18446744073709551615,-211926050504836573888905653921962852491690177510306494088170279906110600268480855561893565996802006482309218544445124719010445544871832502651956273209521131170439624538601320980432986705536133571310234617086165793193497412991439931412705248025311257146292197761603435565801/3972876885196936194203093083023248054120294550772444768406031848341451878582877156452445776331205985257368770612229399659357945018150683937221170903382638912559848371327925167810450477700070683467191759718729436235574187208446010509582714923234964281161954363758526306152343750,-5.3343221204382062e-05,-31682653608235925235165356418504638419981572814628007671143417070159879971856415856720576826912099255602713259549124366895707735571391660733310563527212611347595941945107671735598679071516078295336853939969492362464345827739474621193761572377680034330372606707609523769630451257644051948543691387749757983150666075017495228843695431282/22099127673907957580254705274316817301044138438671724024258552156399326074617254182766729630842333292994113786530526035605178569163463179400792763150065928951114156565511583745945630782206643176786254163435432489060381416346980933459553851760494488813963371148406802577972412109375,-1.4336608247954992e+54,3357189824353124701237357038716461772022772424705316022155777479730374227919811622339503351574602729443305472384230939027023792573917834083019328001668671867458996460362318254246167728335474840556300764313959742032997230489439179781195612256642529777271961664186161610340044202357394946263650047231435322686130347630438600975536752518922699297219765449766043721299150272164723672168180449711371751536011677725253375004869967369374169682875405486173943444519876741830478358385394895884771945362307334144588264955012793955808859188919697780561187693497714232723076186668884093694291504774821543584686192393441/202446360436200588360570994066758435128865635176984953797098339322997148213382437948029506738820799813438968702866462341277052439620744691000882027604290188083550186667752738012885419899993776031596088769950564463288802821803633999438270230585704722098202018223328336536781629794947872507433865376942392086134647222022489981575657351267083881921590464342914196077621200732669857375594182507885800930947908360609868491825466809056667033269503297944360426975875295664525950943645670442025712131808048065056274744119750812685434641685270442803200000000000000000000000000000000000,1.6583107827276141e+31,2.2763993987677089e-11,0.4044367679722643
32,64,18446744073709551616,73786976294838206463,4166572722079398680505665832340096056750577410978786295406727469181950570449880161144998271181321509162684418100913946927161705185126639750517904397059278982769909731412657141410011213270601858654811430535952791565391325422379482636532397613868329480630420310118947802930345323675760696977/115759263018879204499728884307820057803678402084447564206428272279336008396279542207294828056222270989009169094374721096662522632640186770297424842049907455735337334349440813926877485103702436016181929654564392313202709655348902325361046209036865082991366285028014891955071509518013000488281250,3.5993428201075115e-05,10593913667461568756101853495218495500298240882108521248133983479116599202055915381287753136593606744225892563387008177199205783337982069076432926371983808795206059018996579187575672502308453038948617507224812335037178698445653788347529294978193355744551824415070837898719737740102419637722803720699761149850709159970464711586754398597069657156672886154/18469695044301700444259374356797710801676372416789620573251963548147742602806391168495487960654621815956910321557735105501707229518354010218770705719699708003246059425280517232596268215361786041213448407779576594603895490536326178912211135931329289425701415424338270787463120058097705841064453125,5.7358357255227234e+56,22070155853454747064544420754588771825717652180434560164739675047922312607502823041295180402121013321232834567559771397693996323378729197054117389973227030007517027971361791571184823161244077582071208985368835180474550521108760949583834142482887888123977096881235133500907370269403579953877431129226576076180044261383964107476576855603742221081226044718859976034271560074565777118302512699219030807569731251883198617619902928516858452209270647803240114565464613766193406915635022898726340676850835505378562033077956333855810637579179967021817782330840615850307624537139274175789686344200903275049532229194577109607446946148531687912606478229/19719922545537930903988436135646932549232846048069525323019916814761735711202044345945896855053911705600982953335924937806901717060649704847870657455350608069510937108739097654475990336339156581370620189218249105760014457797794744463936871876390908185837447610367032099004240211306529680662789053667426705704241067597848541282435839943758804135103635547391875221436202908273117653709145107595135403584761476261059330769709054471712997789320004399625325146002892332707325019841791190293102338013327354534394336069872523540764800958649686863770262215338080927734685289676800000000000000000000000000000000000000,1.1191806561354171e+33,1.0042843981906586e-11,0.40443676798230715
33,66,73786976294838206464,295147905179352825855,-6798856161982590890728092595808915153880480197951613930924854559934533174511117413678882903511486926140878968849820959504707836709394940182395196001962231142717511028037497517166651691319832435939946684689579867086832349238467977008729512056237208684168876942971142265628398791898045022215330562130312655424873/545129180162712107288091392274628945404386614462056506967178125796778868726554757020000115525569609860202866615688158457210864845629088898891350610099389685073424969411848984532476608804844343817725819840716784072525114184503166893756411893411246229808122779526285768779368871279370804094900226792760917663574218750,-1.2472009221655029e-05,-14173280992805858293790074912776825768379990625500741678270839817993336647028985780475720668279723450848417742173372784538969470459182739194844583340641327752205721409422025200724894437271286430321718660467849964941234413160078759104233273950200201349683001980044304630310719850492903628450340325037176825535823920095895251120869386001394053027046258392469525644611092012786/58001744769312568215452924138020519791026735778762812341307752584777271632505426146928012291920606489125585007909220059847236019574935058842039704914575062491812416745420731954255511176835438182206027231052265825316672149231136957495682225458956598851584263741596805798124847904125053555697384130749761639404296875,-2.4435956278861158e+59,48181049406724421566444125854337253073350317950055267288366735352826707608008243867064520046290431386348885002486283153368268652219477108782382143140143412228297136245990863274676217485883906839701482750988662090380714995464468657405939021139203295310091084987288790747413993782856125126682462573794168716983981700488499327124257587433274426934760177832323404618747920894464356999406714854880592004927994350897829431537812266129611746192378314638569040112053054219069378924805264920598331566520475711552920090336402141143482449817340913111344724969716603759331814392291259409627455674767639303850745266431860465435340880441067751821397043770985502709453600581241588785143051789213089/1166514673240980536901323275202118379132349235344257273261736947625482910881168549432783983346066151426450142275283361910907236780339726447683016616823261922860723134766596126908379081858868100050023437268914979351932757456386212683791009039341400082244509484700043769875094230039867030008741556303935744770547353318912117499192969171505239355365811187053964400736061416309703429418027569222613666629461452728390692955763433444847668920072912916712858559333896757521220130702509824429526800563996687012485529829602281924043849820145438514669354649198251681618022806765506790249141109758435728752938564342383308387123200000000000000000000000000000000,4.130342336188608e+34,1.169556496428933e-12,0.40443676798347672
