q,K_infinity,asymptotic,ratio
0.617,32.4660526230632798416096672873061,32.466052623063279898959677723045112,0.99999999999999999823353916469048561
0.626,37.447645740019704163150109568689839,37.447645740019704181842922249005453,0.99999999999999999950082809450584763
0.635,43.512460892466371267445376230894565,43.512460892466371273220839998067312,0.99999999999999999986726873983418633
0.644,50.961526697447164873288254525379572,50.961526697447164874972857267872502,0.99999999999999999996694363666743685
0.653,60.198001926656850550235979697050165,60.198001926656850550697776291983543,0.99999999999999999999232870560228868
0.662,71.768333092420222468422255660911946,71.768333092420222468540636948650639,0.99999999999999999999835050804947293
0.671,86.422756299353051129929067842779301,86.422756299353051129957290311318937,0.99999999999999999999967343706972411
0.68,105.20561048944775820629915134440623,105.20561048944775820630537030493361,0.99999999999999999999994088755819725
0.689,129.59238770035422041884864564320647,129.59238770035422041884990362552313,0.99999999999999999999999029277615007
0.698,161.70141625136561339479596480381704,161.70141625136561339479619661488046,0.99999999999999999999999856642527443
0.707,204.62710404653038345579495896686037,204.62710404653038345579499754640761,0.999999999999999999999999811464139
0.716,262.97544165587298227416466719822994,262.97544165587298227416467294112239,0.99999999999999999999999997816186786
0.725,343.74387808407386673730309193326286,343.74387808407386673730309268955823,0.99999999999999999999999999779982885
0.734,457.8023421109526496999645705453571,457.80234211095264969996457063237974,0.99999999999999999999999999980991221
0.743,622.45245421665546319325333203797179,622.4524542166554631932533320465974,0.99999999999999999999999999998614255
0.752,865.97845993158122011115131432634713,865.97845993158122011115131432707174,0.99999999999999999999999999999916324
0.761,1235.9980509610159524601236911215739,1235.9980509610159524601236911216245,0.99999999999999999999999999999995903
0.77,1815.3238597541944943088214147947813,1815.3238597541944943088214147947841,0.99999999999999999999999999999999841
0.779,2753.2599204890645439064518560869638,2753.2599204890645439064518560869639,0.99999999999999999999999999999999995
0.788,4330.0141834542035288403279928170254,4330.0141834542035288403279928170254,1.0
0.797,7095.6439468686257257498276652174003,7095.6439468686257257498276652174003,1.0
0.806,12185.951008888544453228613744698319,12185.951008888544453228613744698319,1.0
0.815,22084.427079203190165533927854684076,22084.427079203190165533927854684076,1.0
0.824,42587.343568502598157637712209254918,42587.343568502598157637712209254918,1.0
0.833,88273.813171920239465347235066165722,88273.813171920239465347235066165722,1.0
0.842,199128.1959088476349674726986694659,199128.1959088476349674726986694659,1.0
0.851,496458.35240079591361337585668734398,496458.35240079591361337585668734398,1.0
0.86,1394792.7751676852551928459134929745,1394792.7751676852551928459134929745,1.0
0.869,4526511.020798666587034064656767615,4526511.020798666587034064656767615,1.0
0.878,17521670.013612382649025468575571557,17521670.013612382649025468575571557,1.0
0.887,84396793.035347516796682759714753808,84396793.035347516796682759714753808,1.0
0.896,535516887.03368283392085580115460551,535516887.03368283392085580115460551,1.0
0.905,4842599416.5626334383640261474794506,4842599416.5626334383640261474794506,1.0
0.914,69780398842.392213669903587422066702,69780398842.392213669903587422066702,1.0
0.923,1887750077703.9674023807769780591705,1887750077703.9674023807769780591705,1.0
0.932,123220592082928.95667365695555689046,123220592082928.95667365695555689046,1.0
0.941,29075108044115361.205229846026833276,29075108044115361.205229846026833276,1.0
0.95,49731261278942019282.189045002813597,49731261278942019282.189045002813597,1.0
0.959,2279577086720801185191704.4426675423,2279577086720801185191704.4426675423,1.0
0.968,45147314478843629566112464059982.118,45147314478843629566112464059982.118,1.0
0.977,4.8561352773988226817273782098342056e+44,4.8561352773988226817273782098342056e+44,1.0
0.986,3.3827832865893787941499711485118536e+74,3.3827832865893787941499711485118536e+74,1.0
