n,primitive_orbits,B_n,proved_divisor
204,676155578066342851449428333521662605901413806816892082182377991868310832701741119724322162320056856186658444492083670175921184615664767236,194969889869187673428324202284216437687835584433936586557779121069293781055865374776332803437155956224526656427936467755455935586985227/12,867
205,3327538282163049968905021006912063838565793733391583588221549500738890574232206627868941078286268558322332184931150026237543850224741343725,79179971021131468623557906172803422690441254810031733211696597281115778089998967944531613998483487408026940747915527096669693045205029,42025
206,16376269371274533777998609256647680900601846373180060972314467745950215016328811529479052355489385694619553631767908060287263476168873166226,771810225811788753793882988813633749674891430539167733637216879345377274782204332617544177372484951202731342811193706300653382796157657/2,10609
207,80597621127457993543635137651447486304787391908907754394488564569772089145479438404217815582280834267647309127599414065996724769831316826137,5642905630991948018177913439154763446389931520612459174857422430145773937231634698888035817564995747927417848323140381292216254976637739/3,14283
208,396683981461982934731071663403457733662470862698937810688514832243728149621789579550892863792925794605779310414355684791877526548822378589696,9168915991632371827178986302779625870526785842708436822497106884331734227574648195980326918290629498099558765124715347445394012315606014,169
209,1952460010106572153065961809051932891375591182951590851383048624617887056036065320581996697792408209870561523580988622831940596491987920341018,44698152746195649208259009845285888404010695335536980641080758787983037385500911622490252004130130030689808465488167002402431182710741978,43681
210,9610246602514586714624402430242057170702160495067025697214992413878830238432706396410895760657200401324239292834554742055728201039511219825950,1307516544559807716275428902073749274925464012934289210505441144745419080058871618559305545667646313105338679297218332252480027352314451677/6,3675
211,47304414929587862735787204792892140464938300238252016050443166501968509537164878902523411339729898566391970928720427364414021027982693962535445,1062519146685561032676426962397343735876065232996833315748594292625244480967742838267860365664066363432806336980760256158083174860912692045,44521
212,232853858249886780152566764225809177722168834411995873149672979721008505244492566381700513957294761064279955054852824976773037526677384133104500,20723910488597969041702275206996188832517696191882865178860179754450739163803183195238564787940081974393018427808190190172039651715680325125/4,2809
213,1146250882884564439054529816658898646752381723049457941093946089646526957819527789410598063127412165754987890295909441633100458022866942343156758,75795204845901239109603241199424627835243121275504724002773661948457776751935977610963305106619861519208350875878426346168118628768560625746/3,15123
214,5642743048104563467616520433168621458615693052336346832413489505889109630353977388645128115462649235531081563062184423923050268256426594940291194,246429515595447788785768208278828782365957422147626291921280876316233279341164179781864272664103818478953688665481021221200553247289134201253/2,11449
215,27778902163984744718953712133881547909625372614398267188670823048594113816051073469324382485836735729297660503118954972829211619857289433717041750,600949749356078847354325843891434243583025908369892205271407745778131180444587852229840616243087847037266857828425202224536757595614698403830,46225
216,136758384781390563080122291216965461090770570398801985429218931554964471160125714451333387069780776301099039446541118788262407479667804525169481728,8793620420614105136324735803560021932276914248894160585726525948750287497436067030049729106853187776562438236017304448833745336912796072863264/3,243
217,673297184157908844656515823264366379247742390996138003415953338600155636659720662685677269870900869990593027622017161525819965073804943867780206711,14298396316717467872677606729052780463542279322052666300323925727880304034057224886612101974365581558125953569241588513789206928875213826324199,47089
218,3314923085020578028868861221372303030891559203757849130958359835182621060773162398167204572076813371168111670339374478920558933203467721371471981038,139505221993964229815203317118605463803196667105371985984275727429619605284620924087501244511270657822073548957973843907102050888118328481250399/2,11881
219,16321264766301767135432488014989559640600002222092881323596738142875992353508748515311554347713769440262834345995952621112120357775462857631260742798,1020908536079424978759772816350131959754800914623937031562941023511352495997294584056518067662086034919799483705257560587484853804682733322778554/3,15987
220,80361444632778951258487237901962244747879725938208762401086319472560266477564633400511178761375628173463580788135356608405078121852745165448921943000,3320720852594171539606910657105877882143790328025155471119269399692572994940687330599635486007257362539817387939477545801862732307964676258219915/2,3025
221,395690031074112004121015967520133093243215844016167178170186402164212331289396310790027315386055762487049772469783873340787576629662008862945403637365,8101595607667983950390368082556317299875429332244777505992637377699316788955924546795260444832328627322326989000714017747130006135460143382514765,48841
222,1948389629581902196544764225676847290080667167223904306257888348955894038482353015206847337059260735561584767109781499060848320949029552192221785323494,237203509810311930429116657618315959347536786854626772127816940462124913377447408717658550895941165761088966046966337845245717183957822278088846521/6,4107
223,9594220975228110828058277593655352483129544326462186970258170828830263075416851470466718171598152235146045519321157065249049178679927747282727570252913,192930100650085680951924985293397262827113843561346236004306759211531763667414415541569671049048889685013684556720566776911845777713763544063374897,49729
224,47245093586273601883138552305933028100608575784273902058255346942015061637630640132263131974746655235149077659689873609298738003440227213561573037406208,941587483782557435489846785433933117438786985496530254668673209144113951642830040901290098348745520470923901062059024420016302683359120168239258558,49
225,232657299427687121084413877435999744155940854817709316563768300147478215427625254092757553668909728358700075273024244145462306031930587048045615344877500,13787099225344421990187489033244429283315013618827218759334417786517227580896311353644892069268724643478522979142177430842210727818108862106406835252/3,16875
226,1145749059085931480300009567153888602108643783967854859669287711969935027533455495522953475908372924867264331829913959850262397764396290119358236278459726,44864478780089728259848444167667342865872182002030498068340814158114771224585147447840609127902456138588156152788548823332383027817224924401215297927/2,12769
227,5642545629801516492765751978372456901776675309801977322561857570445666299732647690051807672304722739248256836101037349037473360590240028974589407556731437,109502331304731636413781598291689279857491418614798993238018544323500675342673983389000517617355716960318594114014192960031697890318850142144994227653,51529
228,27789023260730024205129481192871832106655695406664304722063131104975330403932272072263527609335295857329246238527532690853315676941370371451586199574567100,6414825314111270592135152629933479248997159604493145134363603671508617360095168991750583473992450567250518522282440602690054403726078109753367082080925/12,1083
229,136862354244311801803653153137686334286229338037909448595557469849506783607780938572269818096865696671364366049563738986079231407375459163222818242399789331,2609834942970420125544004750818755063523375565643474544641739666472927358513013454592204917847975756971918271001005682311154085684396925367991042169291,52441
230,674073327175337916263535127566327452339057098526063662186615967212937882173476181351331917755101178662549442396993101266910620858485910195312466070975883700,12742406940932663823507280294259498153857412070435986052677050419904307791559096055790773492534993925568042389357147471964283948175537054731804651625253,13225
231,3320034400686901963144793232545502328628150101454985600808333886653738690523652021323342799934281616528170255136824383878605442780186477039286462090856930489,186655107701518072926563964274217255783895547391633530151702585408092353433611740109256355761751932114924959528690863207882467126563584474013968746323547/3,17787
232,16352728383322242926262952195107965598805775940844338185250280762572768958617266038548271455439157746746224718630054705767030818977373625702674320890685611296,607637053482544698508581755168993965472866228479649902840750622866110618260154059101823404259778453728679574859915825868275520919194917720818754492073633/2,841
233,80547108820149503504241849418710277609328587315542701708223347921248248630203716158202829419133231394992069928948460148814587690295631553256459059275740312583,1483672729653327626300757969730705623778824205926480533961269279619227626778973938702183304520864841772588736741300450345642536983470529080595683458449047,54289
