n,primitive_orbits,B_n,proved_divisor
234,396754333973420667954552445925564245928890937798300629412072035101887770593102932561269247460048166320023487267962710216074150780556151748916477418984671360176,21737581304701987067420142774795323577081467115839394554682885990679803341721615853674624559502967692308979140256558745127884658150128848833907375574439588/3,4563
235,1954363263148900020127970190203525245362756443235580862535130448000506099328800760839416468549684996878386754038768251070254967360904469979627099986992557461275,35389103904914441287966866278017659490498079551572310774742063340887389756972399471967704274326573053479162590108976932010049205267622815384827523530874739,55225
236,9627215387730682932496268069098124995958755392740704285799312671862953466366414749036309607020824087787625882364797968657517810125952107887666426142064975590500,691411619342910293916709858452896078422777606488128719175474911797109556619248401970433036987993686281788701692387099156673212448000007748324219056453962625/4,3481
237,47425047376180980774327708191943694354576626366356264422188121687212044483322858939451367069760033479725455020806372731517078170285528982840388422044490718569926,2532983356095763540796224333276915790983102407005088096041666489729853361284134964452885064880629892630745875169917894115103251096807615384307451906451461762/3,18723
238,233628837165060158913926707485425934549588352581897639557570813280686233820589993795419639570477052435433885385721935892925995638106250056287222930480781533393078,8249023273958765585549279976181976362883565870415141570424786854059961648915683701554256040197622075963345999072167780980368464024653981226157154525837918699/2,14161
239,1150950412967528885410232226015247666687999339498334388866258021308840412682431442065938537738441261718147668592780286780382536936761935243528794538151707619231041,20149339349232837054852545053749893501304237311992689008705345167431249674943216016280151568397634175139575087844755637688110098506012416511069388458740351521,57121
240,5670197348753230950742323740764491791604554909274249315759669490288910024209863363045267099266152080460379019413675806653757218878733648895484823531050587774617600,295322778580897445351162694831483947479403901524700485195816119285880730427597050158607661420112087523978073927795614929883188483267377546639834558908884779928/3,75
241,27935151896107632854139631438293768813253946020188727272807574015269224957039736131207715028110906750216682419019950731594810845752326807290422321615465359344139999,480968852053298546067382301239540793258620650818490164990402610410792254903320124157774746097878940621144305694115988560713673072989907324089156894947837663679,58081
242,137630632977569480043497500930500778933593826782932883845019397603500534167034092625266325478237913114211299857486372546063624080339277434916444548203149321586849632,2350089354852289461845118177216391963212789884279299293849795055042355955314426825784890469883169064855735603057960053037081211671663093964149384403441522464088,14641
243,678094610241211437869441091202337955424817686274790967074625018234455740767539754874413245170677815934778251813272506045627870004652165976355944670309331842663627840,34450775300574680580675765442378598558391387810536552714252147448786045865342669048133579493505960266970393324862699082742867957356712186981453267810259200460480/3,19683
244,3341000199034239887456513335957483186716718203823510583177804175311960684927162785072477924136201946429494175261236301846820484621970155138114083348120768975633941180,224469242074324098861630834181502498435683835247481227034251825807038476547108491337844525943039636282551342062700638393363375747243358985361064454993333040555895/4,3721
245,16461660636163847791323326243066958378011516393406543923791122639837649023196907736654093266353558761332172185325367567270172471277691474938332434891473369957389177250,274246741127261104395224094011944329496235175233761664702892505453355252364796463751005302229963494566133647402338485085717159038362206996057183421765487212951090,60025
246,81111350368809181490614170681001313663258372292894025095210002840678262260731667962317664531247180156594627410311974020328994384633964848160530098183214952305166531062,8041974059965217280449550930101260525803923487298634254928614201931217753393978580439982602741144175748029685733885982582688318920678648439473537396709791027678617/6,5043
247,399668919057283004340862013232359430722161970164498155437171601201138132073409672691548705410564117444870860965052232554536584747440966878209392683312211410766941761255,6550982954273681003472635401864633590489304367626057719962162979251227393883028285852066177294565022289676293088761208256758588854774982022478530762874517051040695,61009
248,1969381209759882023139932555408647276596300186885904655813288238528342196384408077668984076180307003120787596321000553726695080936332853247046461801860689141915369153504,64040752138393666205122676749760902594832862476778897496529924509896663514061136760828046181721741776820616425630871284036650654797504332955465068999111899776124127/2,961
249,9704424551819712607828235076226838176249985859567701823941796565544075700877412261875411724812910749495068215421317578327762620305923992566903377432479510482445199887054,469561356356496473016317563082539225637489033704345179462031091379691087282983125846780457967431690593461470722471455863345556699372138799385657203874752527335617162/3,20667
250,47821179651541507005844741526516227348968347461222533895049808982866661409974048376826163085999191220664040501963021237962110641006460203321350017661695461761826544625000,765138874424664112093515864424259637583493559379560542320796943725866582559584774029218609375987059530624648031408339807393770256103363253141600282587127388189224714,15625
251,235657462841771526612834367465903408743636886481336135069338314492861262693730652196685031112765994027592679863017834787470078328631483929643497770791478062227447737867773,3740535274706298735144432111647488273894650663978923113432140989712246832490447011899573516496023777838330817971426402556627328592109393972214691366668434822105168773,63001
252,1161321436860202791845777965065001140745791718894989919968383746324322044973354124625586031683393374047768041956013591105025580682646480070573538242958520411763063185125580,73149498416490475676856762727702263841382698343095862935776250083416606511297185980447595848034352106813305741749407351034617074996628878217028108022078635157663339955/4,1323
253,5723134318768840259562638468019899556709713826940712379120394741367079196868922974825984083907242594956311210782545024723347433727929517439508354822758757871507269071542060,89411400252602606814082995641548837768278114436106053509981326709792047944334749407520568731072858425476280066592901384545101997030566286608263757014775388953229531340,64009
254,28204967557560445962383049993768706495664029950140122746224578942596923204137002891564692459558846423321790023997996210935048270342997184683473910959540915616730554557568514,874355742995859816553507656822143545652676233806811418755799458819422258172763435165375796997918234959445409634757152053290602961838836402860496960739689863498374188033/2,16129
255,139004020049968710529579869375949358051457739639484829390724130053955166293000593648768325523237476164540941521719321289937883120612293247475394581706438324757596804311826150,6413103577853227706093650259559370613677404366296877941901920648394702020438320352884351811914070411282165698810579990308552854468848592732428815765002921557443912540338/3,21675
256,685076590039964728691104302641652724263708364772332433919593919298843455432980243171532757278737125136639711034592921944357296104042699988604190291438453679505302999303585792,10453439179076610240037602274195140445918401562077826445306303700238700186660465136284374348125261308847651840737807036504475343384440612619082493460669764396748397816522,1
257,3376453922326378618589269245761265670594034804245135847317400819356637695891807737672122842374506501451951906841147484794985250995261834739097436889509855060732436134879219227,51120439708797689875535878601663396426804869176598220220100241023431659766110126386048582754841201251373251780362268691350137791567803217900307906092595725305946132944923,66049
258,16641496704524455065773457911935397645815100828017032661990673344456109340091331884261015024460782287342952634735745723484078870701130314851438217733528932105838627101437553642,1500044772356630166375829990259184932920055960701012498827354727281062677131001612066073104782835973259685653031886219892201088038681297534833082543134030296181596097118943/6,5547
259,82022635372910317738433471942392076556330218349044358162458342879610109432639253139145385120193552222141609481244767455636125606752400892387250302722844844503047631762515783169,1222740200249106568751710200241380965643479052921756654827124564028713189019830550217578526262183810947087990358592857226876844512639956058902674419326558108898907764680249,67081
260,404282329054349176141473767120800326188661698775205325334993071795732427453390990548332004247407607938204959473596977949669300504974038725377959882827734966836313531290683771000,11961015652495537755664904352686400183096499963763471163757191473246521522289674276577869948148154081011981049514703489635186405472604696017099404817388608486281465422801295/2,4225
261,1992716096367697678383255405499488115729586111230825949638936622014603050309090464959257538351401242795594876879836958103629715044606668312999254371217864241792422893432185389273,87757788187241717460838305610582116339876959141710747771125054917629059334526377987372067571735642876451969739720656982588176115057324539260987993623898544140239701124419139/3,22707
262,9822355647781436935472698793442692259398039834144872793472454236546459005982859703340367616777979973979401287595766060129658505628791716405906329877832739372722616636596502581226,286182496584739727739429485270167596859100280698819206149771407160027358719854894916973591771399684574890778148003206693364562252455909224576258081633725871823396557211016333/2,17161
263,48416719986437520129878131389677059618920536169547787488031995539534828052568412382981097414048471685895639348610659202459852953387345748288369883065021481378780851659962437250577,699977157201022425217628292872197944439279679763301298096430417376784803200399201708584733248253866412636287189501932982403286926041228704887592462881080850941619101909272033,69169
264,238662664956097016400366299118710912646823263087887886401392890187283694482663178744169722628014971497412420205457066162874285694196923015796726775333735340512190860541185087732448,20546028319223227995899302610081862314636988902194205096538644127693155516758193762411305322659691072435642235318273602175816605905382491029332539198840852316820838545212214853/6,363
265,1176475661902848153619249385884641749427840833175360251880714830387156406699408361932062520555467470721941230508003815415844956252080292131290884726856983568733705010490293567547625,16752946413710902863926655548375105011432407734786190842018011112668656556773347980520648210117016315015183061701727524611533730894699781150457596680056725791864791890214219545,70225
266,5799501682404500314737869379622287497216661748587298609437748823216207495793222074671237988862149573066875435141671965359433597848446596399442067391218168452072327063122024503770898,163929608299070052426306444107136850506435122069854107338960620250330925880299114553429758292219729014270886854589630995517937640580207937120302656770257460909953277831477881841/2,17689
267,28589569167534222742275362723634615519446937693178553743910964923885321377200556575842321252671417724673163743669361846166615237622909823894457636312648240499319796964717865462321386,1203112787423062018359439579330665973128264010990975623612799937881804543921245489872588530600993886490475265903689005856441326331814578289544991638793428460182628328271593042222/3,23763
268,140939807674061488064372906294071402793143038147357964825885094329473595115203927891266130703807159266023925010804264776436261414883070979391921091884960495769084236758533381227071236,7849176190357623527755229800293573334436569288669969081414852658135085493161279120698715231889460863556689964959025661418816073450828189986184066155321925583041002269911638517881/4,4489
269,694814386240761459197473115921341153610257718674109532400282358409026768016637536826105782059733753277908366554566687540284812521509866452002668397919150632663964781274746164907084971,9602056166177380898515403545022058202764717439976085631766868318694141430005631995496272606234487545472124024744913524416257549253187026879156844127626078034631428273168504649011,72361
270,3425412876645056563056486302659655493632386003963870793155968765663135647708894859798329434970011090925422310180031282525425423035622367188169881102947268789215676217073032633539621100,140963492866051710413847172948957016198863621562299209594895833977906816778143821390877754525514859708865115645268777058659482429449480131200406629750916411078834412225227680392577/3,6075
271,16887524027228155291017688369395911435563015227283161226670362410338500115035744757727021014010867892999279395029408104046841500741610216703680408904009920532761054243324815687885706849,229946814820443012636234370030308838871516118071420068172687768553512344807883127377446127013669038997280529881529501287384996129431927897273735500660529139482864534024929068066689,73441
272,83258368840055261787106470063715523820604560901242284671508679470631586895009419137070980371472330176167731330365373944339171198379876086629702549180640867922299839783473582229373400576,1125356412738636215764306742859476695239572892804421019024500966028216734631939596900288986422366054500537025983528518927594766414087858004834863608086084395576068336173680555652214,289
273,410486251261152512035168213365563996525990480082495354474521078566800199739527011463530327832997733567547940333251976257335083646200487643965581873823612994965521141783105462410146361194,16523215845958721250862142791352252003622367672281743528338810874966799490380671072878892558587840984081952273608339421862701108811354813990483511404565189186713405860125808574252158/3,24843
274,2023848819534352279426954888512166495444909537316932429358488783914735173237582135500918170610037494228152110044547218273944324266979468459106761197451763784225959157360198961346400920814,53914668323681396969123418629446600656532301596167415135555671157619883138088926834165863141617494118710429699092845070966602489929657106375053577640038461937928476673243085975448903/2,18769
275,9978521360494925558590468807248677519872336369983703488698472376201382349617104537440670180144489628950719387363819707007036937677537744187900923615492543123344595390433700277683244515000,131947389890841990857394628856180859766906927206396079189401287619191832722209646776074977588687466167943396857703401084390571076727771823972243618056099743779763244832181160696637944,75625
276,49199753081912906290248432275644532279372104017568983912306401970464777324947519435145953429969757021599704310857990666973851282960276512248167982401908165228921037802762205342041255574124,7750433692802915294620105903535685614267817268048044094566225893267923334112715727023622153429388314681742960122556815843391821512330893548860740769046654887983780372205766436994526713/12,1587
277,242587378370337469225717595208534306545732094498770665477373546774123579137088016902286919318016269483693073694355135490222573361187827566167908711777105557025212757564646708837578663601907,3161612667574678012560017662272860411913775684536103239679567657262880776982470994047712329341139197483260223570685601144581232144141427180960376282463026457078976105053457087119324683,76729
278,1196139861566712631781440432148636318948708047434934378210680256640184699340429277853558791272278469421674056425636934836593920468366482154383911624662670106590367084468630854149436371467962,30954398363612458769769691841743085734400601610551585792937225211950331228725978931048051117237163434130584763356889778908801833972529427938096155081586618358013743710693826772667987461/2,19321
279,5897991598825820658581633889207445241243762325794518107510343520828848137501986820258119279218567148485354230269207678416151456336517190276003922347717541313085575818768089221317205492221745,75769730589609854171729986629249948500709938538745880802023914400236997694042815743093219244595613474715821100309704120144287153768800378669389169559968927854030341577935653721267782945,25947
280,29082698365414301300536984560963867962323171990245896324109536977777859063416627893849000214548520852260242219040997680973452378722919173988879239289778529799831572024753662610137458165328000,370952785273141598221135007155151377070448622324565004134050216553289018666028417013380104777404602707401048712257623481804239524527030280470398460328807778059076173785123247578283905170,1225
281,143408057131538183653698862058120569050789664601837859173566625860513973244933689110054333644194710046749373897768042942844879089762787521217925470445683224492971466940686430997603298767326151,1816188461791747617858168742266695825164190734689756451584536997511606657019714657996407513129199352170683931279594267332542382818895246022947093760789291225959289610575935347799588388791,78961
282,707164824359491747929075423842420177843698603042322497685612852501012827161065833722279037104335175630799662461281049173224274886926704497123253168893467383126736017392820972041556182604613770,53354823023954409833188126138706818910796635207659762915769794213144169847673595421931419730219946856103792248474501974741532736300490757290120202874111014269408179975314695340392046371255/6,6627
283,3487192598477824251507891554104679321663111869943689157920263229456048535309648045858689640591918638766576112371767803674633399622737450774374669511234256995956980104242895747089485620003246229,43541467598269728071369246139977766255829288291072296544097981363933230971914345863460520678144547175849069315034122085113229027990578615969417392041781730274531834637002531522300011487261,80089
284,17196471614281475633290748252450116113764737901176223959562361885019274871853724824078718593123320087821583179623004548654941578514207360737160109828349164704935951775259201651084912476292967540,852830371666409226011245201966381477572145303569540962088988389457412957342477922241555177203100579638047172169361463432599760886441547348599489676073654270230904174531799328064119841117485/4,5041
285,84802924912920145544529964392470848433737872898499363608873360703458474381523465935072799235954251646353135947733216428694681816309598887802429047535695708241088038460122692346955543477712029050,1044049552636751561028377524068585391612654637100638517806997361692317320794379389782367488285063116606379020593822301368971151939791922287502973807764797885393512323300987286512225835367338,27075
286,418206069128858714520484836089894245970894753585403212628618516364957907213018582563493797564379378910411494276122964078764484033016063829709785769079953160514074070798007600890388076361180034402,10225587293482779464044325788300020684896443679040618431918883964129246105262325359760716845918611641410618961223604187949642623918432779835439037827765493679741651689520455789779159772144849/2,20449
287,2062423220631535118588891170824945816872861810583904452711374409110023520923188985220812879815299898644441121101466867586471696587900785771790467659364780248166244462641860908343197769652701009281,25038827964786935844661112443090796499567334926779546342815554506064460184331350207248028746437372053132138560641344044318514205440162995444772519508125389990970443524163956201279580541862849,82369
288,10171222435250097396316759633535158705914054289377655573842694107696770930612310360221672174970989916243434750609705381615779676725412723107258487123157346163109260656665746286611725486961546041344,122627585301529916525809698513878745972150538789757614460873530426513924221309683162394774486050707902240484551139387799187158525335319289005334769521090689659399843950927689605176088529146726,27
289,50162175502570884242039509490892417606335356396802352119471589689770760532882471203138009051915998845462122922504859381809674919539375302032105592593619076736602242983557094801171699782144287463700,600593569312758279259581536271026659239417109431189187383671049074732828065785505479316687442870641460975358562575392797136946630660256726237779631393530689725964044773854417465927129490119700,83521
290,247392978507045433548173816850139664574418044072554878821983469765547609299573785075141476867361170277846823033506948258841568325154740748011912800810488359374398238620352375971989246312323732355300,2941652538728245345400402102855406237507943449138583576955808201730649337688154400417853470479918790461912283394850752185987732760460650987061983362788208791609967165521431343305460717150103833,21025
291,1220130030896488968179651143894809252100558885066140960390036198838260761542146745901472018711812141436658357844974920926877609760708735617166922656813467613673611704859677472283162863568733992679966,43225636124862329265584410100074724628921206117056044226805406130239159724453422110088639200475152918718190308746055936758338107510849031677717173515197067122741053064784690979670629665523576458/3,28227
292,6017727969621709055806867007302638173144235577352310798986521170666672875243089962104432985216943262934497934291367711639180888372199767720270742733190739055956021970390756027349954151126685189644620,282310375756319621683564787357038758357301350035293244463619871020204206945162786737869815407062453693680706243730892833513834132679666340789582601482020034525990897466258023426062776840246068195/4,5329
293,29680186273066486618912024576645103946021797882224495362455658477091994887675500649786420766730666983761535871582949683838014274731993097499677199169738952720814887192127463858073627592203626365759059,345725474648120381354611289317815046721823176533500627409237830109750782043768717746117261316155889803743035697363390183205561797248577123783354484848267920660868352480838027910326591948696273291,85849
294,146388943448888479707165440396946043666557753771739385037010798780862249464061461535297539857247355859137348193257939297225871037507512812791244353460804960762294919118476809603718595710190291092963510,10161664823607419110590409579129948887030248075228334377135276883302946651677180448097843943998844638285252547081628439346513330383695183450731941792364637009738644947832625961663098411091926356585/6,7203
295,722033690269896133867766163333378035314998732484730790900504896076476923695542866292398344894736775822412743669576462183550116358457901720039633487400311560369479328533582247303044832827794161253641075,8296853665841954999916876338217501123987345389080503199086525665917574532554356406692310771556871885348034974657586465769033224458005190692785216746915387076925933105815366243068599055763219319203,87025
296,3561345672480067341781299633135617264218866391382365865127379510731244363309977341444292662352683364936125254011381827437144603748771041897184269470007929733899280769075324873920132358434813946180755232,81294413634040982053079337863760437915879893886558753312805412498430523267667488619528229144281486599162829939996845951359217580094298801524476567522094816789154509885758876778673583784578477588129/2,1369
297,17566216333633243138580112552378829618139875788708690793134606894116777255708824727088588970991555940170674465873655579123618005650949978561584488501146110428407047543594897788560591074655976255758198710,597429389301542126265350901349482352757877624348151236034915039081616748485148615008284493792863175192010150864661958953971295638232492553874927337385508636139409160412029309545304597308301066413570/3,29403
298,86646236767815235302655443589698212464072818280417278841797136496417518180130903687668094166414341932832123479852377383536683503605204350892682695970631231921655781842652529271384497992497001833838698142,1951403918017549554133945398623895600740345441205740255884805560479652226929663161291565563857806899077341639562460641041770269438430799308424906444994172152643029184330717744051720598002274713612871/2,22201
299,427394092005388942498377788053432563418184361265850725671290027673591493892301634961795156314136552314756853186702314210016566369149942012371299821511269320276245376042110511241811270479490056962194763805,4780641066715013730253328128918385291195672993208697057877317118081358082038250522497457034195775800212042965813607389291132832620999116479360407842320212528676920571829291744407906740187358720396805,89401
300,2108213578050889480066613157954475716168893224659649266664902312983953727149070957042382299329059268608875403810296657273852887444236787150368840742567285119499541951911517872219666981643111855924738287500,281095143740118597342215087727263428822519096621286568888653641731193830286542794272317639910541235814516720508039554303180384992564904953382512099008971349266605593588202382962622264219081580789965105/12,1875
