p,m,r,n,required_exponent,actual_valuation,quotient_mod_p
7,3,2,147,6,6,4
7,3,3,1029,9,9,4
7,4,1,28,3,3,2
7,4,2,196,6,6,2
7,4,3,1372,9,9,2
7,5,1,35,3,3,4
7,5,2,245,6,6,4
7,5,3,1715,9,9,4
7,6,1,42,3,5,0
7,6,2,294,6,8,0
7,6,3,2058,9,11,0
7,7,1,49,6,6,2
7,7,2,343,9,9,2
7,7,3,2401,12,12,2
7,8,1,56,3,3,5
7,8,2,392,6,6,5
7,8,3,2744,9,9,5
7,9,1,63,3,3,3
7,9,2,441,6,6,3
7,9,3,3087,9,9,3
7,10,1,70,3,3,4
7,10,2,490,6,6,4
7,10,3,3430,9,9,4
7,11,1,77,3,3,4
7,11,2,539,6,6,4
7,11,3,3773,9,9,4
7,12,1,84,3,3,1
7,12,2,588,6,6,1
7,12,3,4116,9,9,1
11,1,1,11,3,3,7
11,1,2,121,6,6,7
11,1,3,1331,9,9,7
11,2,1,22,3,3,1
11,2,2,242,6,6,1
11,2,3,2662,9,9,1
11,3,1,33,3,3,3
11,3,2,363,6,6,3
11,3,3,3993,9,9,3
11,4,1,44,3,3,2
11,4,2,484,6,6,2
11,5,1,55,3,3,3
11,5,2,605,6,6,3
11,6,1,66,3,3,3
11,6,2,726,6,6,3
11,7,1,77,3,3,9
11,7,2,847,6,6,9
11,8,1,88,3,3,8
11,8,2,968,6,6,8
11,9,1,99,3,4,0
11,9,2,1089,6,7,0
11,10,1,110,3,4,0
11,10,2,1210,6,7,0
11,11,1,121,6,6,7
11,11,2,1331,9,9,7
11,12,1,132,3,3,7
11,12,2,1452,6,6,7
13,1,1,13,3,3,1
13,1,2,169,6,6,1
13,1,3,2197,9,9,1
13,2,1,26,3,3,9
13,2,2,338,6,6,9
13,2,3,4394,9,9,9
13,3,1,39,3,3,9
13,3,2,507,6,6,9
13,4,1,52,3,3,4
13,4,2,676,6,6,4
13,5,1,65,3,3,5
13,5,2,845,6,6,5
13,6,1,78,3,3,8
13,6,2,1014,6,6,8
13,7,1,91,3,3,9
13,7,2,1183,6,6,9
13,8,1,104,3,3,7
13,8,2,1352,6,6,7
13,9,1,117,3,3,4
13,9,2,1521,6,6,4
13,10,1,130,3,4,0
13,10,2,1690,6,7,0
13,11,1,143,3,4,0
13,11,2,1859,6,7,0
13,12,1,156,3,4,0
13,12,2,2028,6,7,0
17,1,1,17,3,4,0
17,1,2,289,6,7,0
17,1,3,4913,9,10,0
17,2,1,34,3,3,11
17,2,2,578,6,6,11
17,3,1,51,3,3,3
17,3,2,867,6,6,3
17,4,1,68,3,3,11
17,4,2,1156,6,6,11
17,5,1,85,3,3,5
17,5,2,1445,6,6,5
17,6,1,102,3,3,11
17,6,2,1734,6,6,11
17,7,1,119,3,3,1
17,7,2,2023,6,6,1
17,8,1,136,3,3,9
17,8,2,2312,6,6,9
17,9,1,153,3,3,14
17,9,2,2601,6,6,14
17,10,1,170,3,3,14
17,10,2,2890,6,6,14
17,11,1,187,3,3,4
17,11,2,3179,6,6,4
17,12,1,204,3,3,6
17,12,2,3468,6,6,6
19,1,1,19,3,3,5
19,1,2,361,6,6,5
19,2,1,38,3,3,7
19,2,2,722,6,6,7
19,3,1,57,3,3,10
19,3,2,1083,6,6,10
19,4,1,76,3,3,12
19,4,2,1444,6,6,12
19,5,1,95,3,3,13
19,5,2,1805,6,6,13
19,6,1,114,3,4,0
19,6,2,2166,6,7,0
19,7,1,133,3,3,4
19,7,2,2527,6,6,4
19,8,1,152,3,3,15
19,8,2,2888,6,6,15
19,9,1,171,3,3,1
19,9,2,3249,6,6,1
19,10,1,190,3,3,13
19,10,2,3610,6,6,13
19,11,1,209,3,3,11
19,11,2,3971,6,6,11
19,12,1,228,3,3,8
19,12,2,4332,6,6,8
23,1,1,23,3,3,15
23,1,2,529,6,6,15
23,2,1,46,3,3,12
23,2,2,1058,6,6,12
23,3,1,69,3,3,5
23,3,2,1587,6,6,5
23,4,1,92,3,4,0
23,4,2,2116,6,7,0
23,5,1,115,3,4,0
23,5,2,2645,6,7,0
23,6,1,138,3,3,18
23,6,2,3174,6,6,18
23,7,1,161,3,3,1
23,7,2,3703,6,6,1
23,8,1,184,3,3,21
23,8,2,4232,6,6,21
23,9,1,207,3,3,8
23,9,2,4761,6,6,8
23,10,1,230,3,3,8
23,11,1,253,3,3,10
23,12,1,276,3,3,16
29,1,1,29,3,3,25
29,1,2,841,6,6,25
29,2,1,58,3,3,27
29,2,2,1682,6,6,27
29,3,1,87,3,3,19
29,3,2,2523,6,6,19
29,4,1,116,3,3,13
29,4,2,3364,6,6,13
29,5,1,145,3,3,26
29,5,2,4205,6,6,26
29,6,1,174,3,3,28
29,7,1,203,3,3,9
29,8,1,232,3,3,23
29,9,1,261,3,3,17
29,10,1,290,3,3,6
29,11,1,319,3,3,18
29,12,1,348,3,3,6
31,1,1,31,3,3,12
31,1,2,961,6,6,12
31,2,1,62,3,3,7
31,2,2,1922,6,6,7
31,3,1,93,3,3,30
31,3,2,2883,6,6,30
31,4,1,124,3,3,26
31,4,2,3844,6,6,26
31,5,1,155,3,3,14
31,5,2,4805,6,6,14
31,6,1,186,3,3,26
31,7,1,217,3,3,30
31,8,1,248,3,4,0
31,9,1,279,3,3,25
31,10,1,310,3,3,2
31,11,1,341,3,3,26
31,12,1,372,3,3,19
37,1,1,37,3,3,19
37,1,2,1369,6,6,19
37,2,1,74,3,3,27
37,2,2,2738,6,6,27
37,3,1,111,3,3,36
37,3,2,4107,6,6,36
37,4,1,148,3,3,8
37,5,1,185,3,3,15
37,6,1,222,3,3,18
37,7,1,259,3,3,18
37,8,1,296,3,3,17
37,9,1,333,3,3,18
37,10,1,370,3,3,31
37,11,1,407,3,3,20
37,12,1,444,3,3,22
41,1,1,41,3,3,1
41,1,2,1681,6,6,1
41,2,1,82,3,3,38
41,2,2,3362,6,6,38
41,3,1,123,3,3,11
41,4,1,164,3,3,34
41,5,1,205,3,3,2
41,6,1,246,3,3,28
41,7,1,287,3,3,13
41,8,1,328,3,3,36
41,9,1,369,3,3,21
41,10,1,410,3,3,20
41,11,1,451,3,3,5
41,12,1,492,3,3,31
43,1,1,43,3,3,22
43,1,2,1849,6,6,22
43,2,1,86,3,3,32
43,2,2,3698,6,6,32
43,3,1,129,3,3,34
43,4,1,172,3,3,32
43,5,1,215,3,3,19
43,6,1,258,3,3,19
43,7,1,301,3,3,39
43,8,1,344,3,3,18
43,9,1,387,3,3,2
43,10,1,430,3,3,8
43,11,1,473,3,3,12
43,12,1,516,3,3,30
47,1,1,47,3,3,26
47,1,2,2209,6,6,26
47,2,1,94,3,3,45
47,2,2,4418,6,6,45
47,3,1,141,3,3,3
47,4,1,188,3,3,44
47,5,1,235,3,3,6
47,6,1,282,3,3,44
47,7,1,329,3,3,32
47,8,1,376,3,3,6
47,9,1,423,3,3,33
47,10,1,470,3,3,17
47,11,1,517,3,3,8
47,12,1,564,3,3,43
53,1,1,53,3,3,29
53,1,2,2809,6,6,29
53,2,1,106,3,3,37
53,3,1,159,3,3,2
53,4,1,212,3,3,51
53,5,1,265,3,3,32
53,6,1,318,3,3,10
53,7,1,371,3,3,28
53,8,1,424,3,3,10
53,9,1,477,3,3,9
53,10,1,530,3,3,5
53,11,1,583,3,3,48
53,12,1,636,3,3,14
59,1,1,59,3,3,40
59,1,2,3481,6,6,40
59,2,1,118,3,3,18
59,3,1,177,3,3,33
59,4,1,236,3,3,30
59,5,1,295,3,3,8
59,6,1,354,3,3,57
59,7,1,413,3,3,45
59,8,1,472,3,3,41
59,9,1,531,3,3,14
59,10,1,590,3,3,45
59,11,1,649,3,3,21
59,12,1,708,3,3,29
61,1,1,61,3,3,55
61,1,2,3721,6,6,55
61,2,1,122,3,3,49
61,3,1,183,3,3,54
61,4,1,244,3,3,27
61,5,1,305,3,3,40
61,6,1,366,3,3,37
61,7,1,427,3,3,42
61,8,1,488,3,3,32
61,9,1,549,3,3,13
61,10,1,610,3,3,50
61,11,1,671,3,4,0
61,12,1,732,3,3,14
67,1,1,67,3,3,35
67,1,2,4489,6,6,35
67,2,1,134,3,3,55
67,3,1,201,3,3,7
67,4,1,268,3,3,56
67,5,1,335,3,3,55
67,6,1,402,3,3,63
67,7,1,469,3,3,47
67,8,1,536,3,3,6
67,9,1,603,3,3,63
67,10,1,670,3,3,42
67,11,1,737,3,3,21
67,12,1,804,3,3,38
71,1,1,71,3,3,60
71,2,1,142,3,3,21
71,3,1,213,3,3,63
71,4,1,284,3,3,24
71,5,1,355,3,3,60
71,6,1,426,3,3,11
71,7,1,497,3,3,62
71,8,1,568,3,3,2
71,9,1,639,3,3,51
71,10,1,710,3,3,39
71,11,1,781,3,3,12
71,12,1,852,3,3,20
73,1,1,73,3,3,8
73,2,1,146,3,3,68
73,3,1,219,3,3,56
73,4,1,292,3,3,67
73,5,1,365,3,3,14
73,6,1,438,3,3,23
73,7,1,511,3,3,3
73,8,1,584,3,3,27
73,9,1,657,3,3,70
73,10,1,730,3,3,49
73,11,1,803,3,3,51
73,12,1,876,3,3,28
79,1,1,79,3,3,43
79,2,1,158,3,3,8
79,3,1,237,3,3,64
79,4,1,316,3,3,40
79,5,1,395,3,3,62
79,6,1,474,3,3,48
79,7,1,553,3,3,4
79,8,1,632,3,3,67
79,9,1,711,3,3,62
79,10,1,790,3,3,64
79,11,1,869,3,3,2
79,12,1,948,3,3,10
83,1,1,83,3,3,77
83,2,1,166,3,3,59
83,3,1,249,3,3,22
83,4,1,332,3,3,3
83,5,1,415,3,3,40
83,6,1,498,3,3,82
83,7,1,581,3,3,47
83,8,1,664,3,3,21
83,9,1,747,3,3,34
83,10,1,830,3,3,70
83,11,1,913,3,3,27
83,12,1,996,3,3,34
89,1,1,89,3,3,48
89,2,1,178,3,3,30
89,3,1,267,3,3,81
89,4,1,356,3,3,55
89,5,1,445,3,3,71
89,6,1,534,3,3,23
89,7,1,623,3,3,47
89,8,1,712,3,4,0
89,9,1,801,3,3,70
89,10,1,890,3,3,48
89,11,1,979,3,3,52
89,12,1,1068,3,3,60
97,1,1,97,3,3,20
97,2,1,194,3,3,94
97,3,1,291,3,3,32
97,4,1,388,3,3,24
97,5,1,485,3,3,87
97,6,1,582,3,3,22
97,7,1,679,3,3,15
97,8,1,776,3,3,11
97,9,1,873,3,3,19
97,10,1,970,3,3,71
97,11,1,1067,3,3,66
97,12,1,1164,3,3,89
