profile,n,sign
Pascal rank 3,102,1
Pascal rank 3,103,1
Pascal rank 3,104,1
Pascal rank 3,105,1
Pascal rank 3,106,1
Pascal rank 3,107,1
Pascal rank 3,108,-1
Pascal rank 3,109,-1
Pascal rank 3,110,-1
Pascal rank 3,111,-1
Pascal rank 3,112,-1
Pascal rank 3,113,-1
Pascal rank 3,114,-1
Pascal rank 3,115,-1
Pascal rank 3,116,1
Pascal rank 3,117,1
Pascal rank 3,118,1
Pascal rank 3,119,1
Pascal rank 3,120,1
Pascal rank 3,121,1
Pascal rank 3,122,1
Pascal rank 3,123,1
Pascal rank 3,124,-1
Pascal rank 3,125,-1
Pascal rank 3,126,-1
Pascal rank 3,127,-1
sparse nonperiodic shells,0,1
sparse nonperiodic shells,1,-1
sparse nonperiodic shells,2,1
sparse nonperiodic shells,3,-1
sparse nonperiodic shells,4,-1
sparse nonperiodic shells,5,1
sparse nonperiodic shells,6,-1
sparse nonperiodic shells,7,1
sparse nonperiodic shells,8,-1
sparse nonperiodic shells,9,1
sparse nonperiodic shells,10,-1
sparse nonperiodic shells,11,1
sparse nonperiodic shells,12,1
sparse nonperiodic shells,13,-1
sparse nonperiodic shells,14,1
sparse nonperiodic shells,15,-1
sparse nonperiodic shells,16,1
sparse nonperiodic shells,17,-1
sparse nonperiodic shells,18,1
sparse nonperiodic shells,19,-1
sparse nonperiodic shells,20,-1
sparse nonperiodic shells,21,1
sparse nonperiodic shells,22,-1
sparse nonperiodic shells,23,1
sparse nonperiodic shells,24,-1
sparse nonperiodic shells,25,1
sparse nonperiodic shells,26,-1
sparse nonperiodic shells,27,1
sparse nonperiodic shells,28,1
sparse nonperiodic shells,29,-1
sparse nonperiodic shells,30,1
sparse nonperiodic shells,31,-1
sparse nonperiodic shells,32,1
sparse nonperiodic shells,33,-1
sparse nonperiodic shells,34,1
sparse nonperiodic shells,35,-1
sparse nonperiodic shells,36,-1
sparse nonperiodic shells,37,1
sparse nonperiodic shells,38,-1
sparse nonperiodic shells,39,1
sparse nonperiodic shells,40,-1
sparse nonperiodic shells,41,1
sparse nonperiodic shells,42,-1
sparse nonperiodic shells,43,1
sparse nonperiodic shells,44,1
sparse nonperiodic shells,45,-1
sparse nonperiodic shells,46,1
sparse nonperiodic shells,47,-1
sparse nonperiodic shells,48,1
sparse nonperiodic shells,49,-1
sparse nonperiodic shells,50,1
sparse nonperiodic shells,51,-1
sparse nonperiodic shells,52,-1
sparse nonperiodic shells,53,1
sparse nonperiodic shells,54,-1
sparse nonperiodic shells,55,1
sparse nonperiodic shells,56,-1
sparse nonperiodic shells,57,1
sparse nonperiodic shells,58,-1
sparse nonperiodic shells,59,1
sparse nonperiodic shells,60,1
sparse nonperiodic shells,61,-1
sparse nonperiodic shells,62,1
sparse nonperiodic shells,63,-1
sparse nonperiodic shells,64,1
sparse nonperiodic shells,65,-1
sparse nonperiodic shells,66,1
sparse nonperiodic shells,67,-1
sparse nonperiodic shells,68,-1
sparse nonperiodic shells,69,1
sparse nonperiodic shells,70,-1
sparse nonperiodic shells,71,1
sparse nonperiodic shells,72,-1
sparse nonperiodic shells,73,1
sparse nonperiodic shells,74,-1
sparse nonperiodic shells,75,1
sparse nonperiodic shells,76,1
sparse nonperiodic shells,77,-1
sparse nonperiodic shells,78,1
sparse nonperiodic shells,79,-1
sparse nonperiodic shells,80,1
sparse nonperiodic shells,81,-1
sparse nonperiodic shells,82,1
sparse nonperiodic shells,83,-1
sparse nonperiodic shells,84,-1
sparse nonperiodic shells,85,1
sparse nonperiodic shells,86,-1
sparse nonperiodic shells,87,1
sparse nonperiodic shells,88,-1
sparse nonperiodic shells,89,1
sparse nonperiodic shells,90,-1
sparse nonperiodic shells,91,1
sparse nonperiodic shells,92,1
sparse nonperiodic shells,93,-1
sparse nonperiodic shells,94,1
sparse nonperiodic shells,95,-1
sparse nonperiodic shells,96,1
sparse nonperiodic shells,97,-1
sparse nonperiodic shells,98,1
sparse nonperiodic shells,99,-1
sparse nonperiodic shells,100,-1
sparse nonperiodic shells,101,1
sparse nonperiodic shells,102,-1
sparse nonperiodic shells,103,1
sparse nonperiodic shells,104,-1
sparse nonperiodic shells,105,1
sparse nonperiodic shells,106,-1
sparse nonperiodic shells,107,1
sparse nonperiodic shells,108,1
sparse nonperiodic shells,109,-1
sparse nonperiodic shells,110,1
sparse nonperiodic shells,111,-1
sparse nonperiodic shells,112,1
sparse nonperiodic shells,113,-1
sparse nonperiodic shells,114,1
sparse nonperiodic shells,115,-1
sparse nonperiodic shells,116,-1
sparse nonperiodic shells,117,1
sparse nonperiodic shells,118,-1
sparse nonperiodic shells,119,1
sparse nonperiodic shells,120,-1
sparse nonperiodic shells,121,1
sparse nonperiodic shells,122,-1
sparse nonperiodic shells,123,1
sparse nonperiodic shells,124,1
sparse nonperiodic shells,125,-1
sparse nonperiodic shells,126,1
sparse nonperiodic shells,127,-1
