theta,Q_direct,Q_fourier_4,Q_first_harmonic,abs_error,tail_bound
0.392996108949,-1.64044699910671603551528816835,-1.64044699915104387152132039758,-1.64044699915157258230301402898,4.4327836006e-11,3.12539932242e-56
0.396887159533,-1.6404469997658734638297252832,-1.64044699981008190560594923784,-1.64044699981045614722216206726,4.42084417762e-11,3.14230371992e-56
0.400778210117,-1.64044699785174119513070981873,-1.64044699789583056425795136267,-1.6404469978960494421227412598,4.40893691272e-11,3.15929954851e-56
0.4046692607,-1.64044699336546306976391724752,-1.64044699340943368695684457657,-1.64044699340949667786270200989,4.39706171929e-11,3.17638730271e-56
0.408560311284,-1.64044698630972025817424355244,-1.64044698635357244328370013446,-1.64044698635347939665224646558,4.38521851095e-11,3.19356747972e-56
0.412451361868,-1.64044697668872965908119883301,-1.64044697673246373109653006957,-1.64044697673221486933849031251,4.37340720153e-11,3.21084057943e-56
0.416342412451,-1.64044696450824137977315224637,-1.6404469645518576568245258574,-1.64044696455145357480811523208,4.36162770514e-11,3.22820710444e-56
0.420233463035,-1.64044694977553530002794433621,-1.64044694981903409938866450934,-1.64044694981847576301765940433,4.34987993607e-11,3.24566756004e-56
0.424124513619,-1.64044693249941672170700093755,-1.64044693254279835979581622842,-1.64044693254208710370070831106,4.33816380888e-11,3.26322245429e-56
0.428015564202,-1.64044691269021110662681914347,-1.64044691273347589901022416864,-1.64044691273261342335797652661,4.32647923834e-11,3.28087229798e-56
0.431906614786,-1.64044689035975790584907822962,-1.64044689040290616724360916358,-1.64044689040189453367364020342,4.31482613945e-11,3.29861760466e-56
0.43579766537,-1.6404468655214034840734865536,-1.64044686556443552834801043402,-1.64044686556327715504411990733,4.30320442745e-11,3.31645889067e-56
0.439688715953,-1.64044683818999314336500040947,-1.64044683823290928354299827967,-1.64044683823160693945301527344,4.2916140178e-11,3.33439667513e-56
0.443579766537,-1.64044680838186225098023410925,-1.64044680842466279924207801617,-1.64044680842321959745904800609,4.28005482618e-11,3.35243147997e-56
0.447470817121,-1.64044677611482647658966719618,-1.64044677615751174427489104536,-1.64044677615593113459562333906,4.26852676852e-11,3.37056382995e-56
0.451361867704,-1.64044674140817114473926240125,-1.64044674145074144234882670965,-1.640446741449027203027590086,4.25702976096e-11,3.38879425266e-56
0.455252918288,-1.64044670428263970889938585169,-1.64044670432509534609793638445,-1.64044670432325157481501458093,4.24556371986e-11,3.40712327855e-56
0.459143968872,-1.64044666476042135400394619354,-1.64044666480276263962206652741,-1.64044666480079374368876208887,4.23412856181e-11,3.42555144094e-56
0.463035019455,-1.64044662286513773487867415333,-1.64044662290736497691513217351,-1.6404466229052756627386323224,4.22272420365e-11,3.44407927603e-56
0.466926070039,-1.64044657862182885848322821152,-1.64044657866394236410721655177,-1.64044657866173762594050396794,4.2113505624e-11,3.46270732292e-56
0.470817120623,-1.64044653205693811840877485059,-1.64044653209893819396214530068,-1.64044653209662330196584574071,4.20000755534e-11,3.48143612362e-56
0.474708171206,-1.64044648319829649057375302827,-1.64044648324018344157324492846,-1.64044648323776392921794835335,4.18869509995e-11,3.50026622308e-56
0.47859922179,-1.64044643207510589955451044217,-1.64044643211688003069397306571,-1.64044643211436168153314146043,4.17741311395e-11,3.51919816921e-56
0.482490272374,-1.64044637871792176550801520068,-1.64044637875958338066062416442,-1.64044637875697221450570381915,4.16616151526e-11,3.53823251286e-56
0.486381322957,-1.64044632315863474209349944012,-1.64044632320018414431396712965,-1.64044632319748640284475207598,4.15494022205e-11,3.55736980787e-56
0.490272373541,-1.64044626543045165633150356274,-1.64044626547188914785828361359,-1.6404462654691112797029269351,4.14374915268e-11,3.57661061108e-56
0.494163424125,-1.64044620556787566177704105158,-1.64044620560920154403452689462,-1.64044620560635018935486435764,4.13258822575e-11,3.59595548232e-56
0.498054474708,-1.6404461436066856168653190205,-1.64044614364790019046603649718,-1.64044614364498216508506945319,4.12145736007e-11,3.61540498448e-56
0.501945525292,-1.64044607958391470076692952976,-1.64044607962501826551372360623,-1.64044607962204054462320256042,4.11035647468e-11,3.63495968348e-56
0.505836575875,-1.6404460135378282795253156104,-1.64044601357882113441353120448,-1.64044601357579083590058516453,4.09928548882e-11,3.65462014829e-56
0.509727626459,-1.64044594550790103570372552043,-1.64044594554878347892338245369,-1.64044594554570784635604981104,4.08824432197e-11,3.67438695097e-56
