radices,h,rank,multisets,sumset_size,collision_generators
"2,4,6,6",6,4,462,314,148
"2,5,5,5",0,0,1,1,0
"2,5,5,5",1,0,6,6,0
"2,5,5,5",2,1,21,20,1
"2,5,5,5",3,1,56,50,6
"2,5,5,5",4,1,126,105,21
"2,5,5,5",5,4,252,193,59
"2,5,5,6",0,0,1,1,0
"2,5,5,6",1,0,6,6,0
"2,5,5,6",2,1,21,20,1
"2,5,5,6",3,1,56,50,6
"2,5,5,6",4,1,126,105,21
"2,5,5,6",5,3,252,194,58
"2,5,5,6",6,4,462,323,139
"2,5,6,6",0,0,1,1,0
"2,5,6,6",1,0,6,6,0
"2,5,6,6",2,1,21,20,1
"2,5,6,6",3,1,56,50,6
"2,5,6,6",4,1,126,105,21
"2,5,6,6",5,2,252,195,57
"2,5,6,6",6,4,462,328,134
"2,6,6,6",0,0,1,1,0
"2,6,6,6",1,0,6,6,0
"2,6,6,6",2,1,21,20,1
"2,6,6,6",3,1,56,50,6
"2,6,6,6",4,1,126,105,21
"2,6,6,6",5,1,252,196,56
"2,6,6,6",6,4,462,333,129
"3,3,3,3",0,0,1,1,0
"3,3,3,3",1,0,6,6,0
"3,3,3,3",2,0,21,21,0
"3,3,3,3",3,4,56,52,4
"3,3,3,4",0,0,1,1,0
"3,3,3,4",1,0,6,6,0
"3,3,3,4",2,0,21,21,0
"3,3,3,4",3,3,56,53,3
"3,3,3,4",4,4,126,107,19
"3,3,3,5",0,0,1,1,0
"3,3,3,5",1,0,6,6,0
"3,3,3,5",2,0,21,21,0
"3,3,3,5",3,3,56,53,3
"3,3,3,5",4,3,126,108,18
"3,3,3,5",5,4,252,188,64
"3,3,3,6",0,0,1,1,0
"3,3,3,6",1,0,6,6,0
"3,3,3,6",2,0,21,21,0
"3,3,3,6",3,3,56,53,3
"3,3,3,6",4,3,126,108,18
"3,3,3,6",5,3,252,189,63
"3,3,3,6",6,4,462,296,166
"3,3,4,4",0,0,1,1,0
"3,3,4,4",1,0,6,6,0
"3,3,4,4",2,0,21,21,0
"3,3,4,4",3,2,56,54,2
"3,3,4,4",4,4,126,112,14
"3,3,4,5",0,0,1,1,0
"3,3,4,5",1,0,6,6,0
"3,3,4,5",2,0,21,21,0
"3,3,4,5",3,2,56,54,2
"3,3,4,5",4,3,126,113,13
"3,3,4,5",5,4,252,203,49
"3,3,4,6",0,0,1,1,0
"3,3,4,6",1,0,6,6,0
"3,3,4,6",2,0,21,21,0
"3,3,4,6",3,2,56,54,2
"3,3,4,6",4,3,126,113,13
"3,3,4,6",5,3,252,204,48
"3,3,4,6",6,4,462,329,133
"3,3,5,5",0,0,1,1,0
"3,3,5,5",1,0,6,6,0
"3,3,5,5",2,0,21,21,0
"3,3,5,5",3,2,56,54,2
"3,3,5,5",4,2,126,114,12
"3,3,5,5",5,4,252,208,44
"3,3,5,6",0,0,1,1,0
"3,3,5,6",1,0,6,6,0
"3,3,5,6",2,0,21,21,0
"3,3,5,6",3,2,56,54,2
"3,3,5,6",4,2,126,114,12
"3,3,5,6",5,3,252,209,43
"3,3,5,6",6,4,462,344,118
"3,3,6,6",0,0,1,1,0
"3,3,6,6",1,0,6,6,0
"3,3,6,6",2,0,21,21,0
"3,3,6,6",3,2,56,54,2
"3,3,6,6",4,2,126,114,12
"3,3,6,6",5,2,252,210,42
"3,3,6,6",6,4,462,349,113
"3,4,4,4",0,0,1,1,0
"3,4,4,4",1,0,6,6,0
"3,4,4,4",2,0,21,21,0
"3,4,4,4",3,1,56,55,1
"3,4,4,4",4,4,126,117,9
"3,4,4,5",0,0,1,1,0
"3,4,4,5",1,0,6,6,0
"3,4,4,5",2,0,21,21,0
"3,4,4,5",3,1,56,55,1
"3,4,4,5",4,3,126,118,8
"3,4,4,5",5,4,252,218,34
"3,4,4,6",0,0,1,1,0
"3,4,4,6",1,0,6,6,0
"3,4,4,6",2,0,21,21,0
"3,4,4,6",3,1,56,55,1
"3,4,4,6",4,3,126,118,8
"3,4,4,6",5,3,252,219,33
"3,4,4,6",6,4,462,363,99
"3,4,5,5",0,0,1,1,0
"3,4,5,5",1,0,6,6,0
"3,4,5,5",2,0,21,21,0
"3,4,5,5",3,1,56,55,1
"3,4,5,5",4,2,126,119,7
"3,4,5,5",5,4,252,223,29
"3,4,5,6",0,0,1,1,0
"3,4,5,6",1,0,6,6,0
"3,4,5,6",2,0,21,21,0
"3,4,5,6",3,1,56,55,1
"3,4,5,6",4,2,126,119,7
"3,4,5,6",5,3,252,224,28
"3,4,5,6",6,4,462,378,84
"3,4,6,6",0,0,1,1,0
"3,4,6,6",1,0,6,6,0
"3,4,6,6",2,0,21,21,0
"3,4,6,6",3,1,56,55,1
"3,4,6,6",4,2,126,119,7
"3,4,6,6",5,2,252,225,27
"3,4,6,6",6,4,462,383,79
"3,5,5,5",0,0,1,1,0
"3,5,5,5",1,0,6,6,0
"3,5,5,5",2,0,21,21,0
"3,5,5,5",3,1,56,55,1
"3,5,5,5",4,1,126,120,6
"3,5,5,5",5,4,252,228,24
"3,5,5,6",0,0,1,1,0
"3,5,5,6",1,0,6,6,0
"3,5,5,6",2,0,21,21,0
"3,5,5,6",3,1,56,55,1
"3,5,5,6",4,1,126,120,6
"3,5,5,6",5,3,252,229,23
"3,5,5,6",6,4,462,393,69
"3,5,6,6",0,0,1,1,0
"3,5,6,6",1,0,6,6,0
"3,5,6,6",2,0,21,21,0
"3,5,6,6",3,1,56,55,1
