n,threshold_t_n,nu_1_2n,power_of_2_exponent
689,436,28948022309329048855892746252171976963317496166410141009864396001978282409984,254
690,436,57896044618658097711785492504343953926634992332820282019728792003956564819968,255
691,437,57896044618658097711785492504343953926634992332820282019728792003956564819968,255
692,438,57896044618658097711785492504343953926634992332820282019728792003956564819968,255
693,438,115792089237316195423570985008687907853269984665640564039457584007913129639936,256
694,439,115792089237316195423570985008687907853269984665640564039457584007913129639936,256
695,440,115792089237316195423570985008687907853269984665640564039457584007913129639936,256
696,440,231584178474632390847141970017375815706539969331281128078915168015826259279872,257
697,441,231584178474632390847141970017375815706539969331281128078915168015826259279872,257
698,442,231584178474632390847141970017375815706539969331281128078915168015826259279872,257
699,442,463168356949264781694283940034751631413079938662562256157830336031652518559744,258
700,443,463168356949264781694283940034751631413079938662562256157830336031652518559744,258
701,443,926336713898529563388567880069503262826159877325124512315660672063305037119488,259
702,444,926336713898529563388567880069503262826159877325124512315660672063305037119488,259
703,445,926336713898529563388567880069503262826159877325124512315660672063305037119488,259
704,445,1852673427797059126777135760139006525652319754650249024631321344126610074238976,260
705,446,1852673427797059126777135760139006525652319754650249024631321344126610074238976,260
706,447,1852673427797059126777135760139006525652319754650249024631321344126610074238976,260
707,447,3705346855594118253554271520278013051304639509300498049262642688253220148477952,261
708,448,3705346855594118253554271520278013051304639509300498049262642688253220148477952,261
709,448,7410693711188236507108543040556026102609279018600996098525285376506440296955904,262
710,449,7410693711188236507108543040556026102609279018600996098525285376506440296955904,262
711,450,7410693711188236507108543040556026102609279018600996098525285376506440296955904,262
712,450,14821387422376473014217086081112052205218558037201992197050570753012880593911808,263
713,451,14821387422376473014217086081112052205218558037201992197050570753012880593911808,263
714,452,14821387422376473014217086081112052205218558037201992197050570753012880593911808,263
715,452,29642774844752946028434172162224104410437116074403984394101141506025761187823616,264
716,453,29642774844752946028434172162224104410437116074403984394101141506025761187823616,264
717,454,29642774844752946028434172162224104410437116074403984394101141506025761187823616,264
718,454,59285549689505892056868344324448208820874232148807968788202283012051522375647232,265
719,455,59285549689505892056868344324448208820874232148807968788202283012051522375647232,265
720,455,118571099379011784113736688648896417641748464297615937576404566024103044751294464,266
721,456,118571099379011784113736688648896417641748464297615937576404566024103044751294464,266
722,457,118571099379011784113736688648896417641748464297615937576404566024103044751294464,266
723,457,237142198758023568227473377297792835283496928595231875152809132048206089502588928,267
724,458,237142198758023568227473377297792835283496928595231875152809132048206089502588928,267
725,459,237142198758023568227473377297792835283496928595231875152809132048206089502588928,267
726,459,474284397516047136454946754595585670566993857190463750305618264096412179005177856,268
727,460,474284397516047136454946754595585670566993857190463750305618264096412179005177856,268
728,460,948568795032094272909893509191171341133987714380927500611236528192824358010355712,269
729,461,948568795032094272909893509191171341133987714380927500611236528192824358010355712,269
730,462,948568795032094272909893509191171341133987714380927500611236528192824358010355712,269
731,462,1897137590064188545819787018382342682267975428761855001222473056385648716020711424,270
732,463,1897137590064188545819787018382342682267975428761855001222473056385648716020711424,270
733,464,1897137590064188545819787018382342682267975428761855001222473056385648716020711424,270
734,464,3794275180128377091639574036764685364535950857523710002444946112771297432041422848,271
735,465,3794275180128377091639574036764685364535950857523710002444946112771297432041422848,271
736,465,7588550360256754183279148073529370729071901715047420004889892225542594864082845696,272
737,466,7588550360256754183279148073529370729071901715047420004889892225542594864082845696,272
738,467,7588550360256754183279148073529370729071901715047420004889892225542594864082845696,272
739,467,15177100720513508366558296147058741458143803430094840009779784451085189728165691392,273
740,468,15177100720513508366558296147058741458143803430094840009779784451085189728165691392,273
741,469,15177100720513508366558296147058741458143803430094840009779784451085189728165691392,273
742,469,30354201441027016733116592294117482916287606860189680019559568902170379456331382784,274
743,470,30354201441027016733116592294117482916287606860189680019559568902170379456331382784,274
744,471,30354201441027016733116592294117482916287606860189680019559568902170379456331382784,274
745,471,60708402882054033466233184588234965832575213720379360039119137804340758912662765568,275
746,472,60708402882054033466233184588234965832575213720379360039119137804340758912662765568,275
747,472,121416805764108066932466369176469931665150427440758720078238275608681517825325531136,276
748,473,121416805764108066932466369176469931665150427440758720078238275608681517825325531136,276
749,474,121416805764108066932466369176469931665150427440758720078238275608681517825325531136,276
750,474,242833611528216133864932738352939863330300854881517440156476551217363035650651062272,277
751,475,242833611528216133864932738352939863330300854881517440156476551217363035650651062272,277
752,476,242833611528216133864932738352939863330300854881517440156476551217363035650651062272,277
753,476,485667223056432267729865476705879726660601709763034880312953102434726071301302124544,278
754,477,485667223056432267729865476705879726660601709763034880312953102434726071301302124544,278
755,477,971334446112864535459730953411759453321203419526069760625906204869452142602604249088,279
756,478,971334446112864535459730953411759453321203419526069760625906204869452142602604249088,279
757,479,971334446112864535459730953411759453321203419526069760625906204869452142602604249088,279
758,479,1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,280
759,480,1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,280
760,481,1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,280
761,481,3885337784451458141838923813647037813284813678104279042503624819477808570410416996352,281
762,482,3885337784451458141838923813647037813284813678104279042503624819477808570410416996352,281
763,483,3885337784451458141838923813647037813284813678104279042503624819477808570410416996352,281
764,483,7770675568902916283677847627294075626569627356208558085007249638955617140820833992704,282
765,484,7770675568902916283677847627294075626569627356208558085007249638955617140820833992704,282
766,484,15541351137805832567355695254588151253139254712417116170014499277911234281641667985408,283
767,485,15541351137805832567355695254588151253139254712417116170014499277911234281641667985408,283
768,486,15541351137805832567355695254588151253139254712417116170014499277911234281641667985408,283
769,486,31082702275611665134711390509176302506278509424834232340028998555822468563283335970816,284
770,487,31082702275611665134711390509176302506278509424834232340028998555822468563283335970816,284
771,488,31082702275611665134711390509176302506278509424834232340028998555822468563283335970816,284
772,488,62165404551223330269422781018352605012557018849668464680057997111644937126566671941632,285
773,489,62165404551223330269422781018352605012557018849668464680057997111644937126566671941632,285
774,489,124330809102446660538845562036705210025114037699336929360115994223289874253133343883264,286
775,490,124330809102446660538845562036705210025114037699336929360115994223289874253133343883264,286
776,491,124330809102446660538845562036705210025114037699336929360115994223289874253133343883264,286
777,491,248661618204893321077691124073410420050228075398673858720231988446579748506266687766528,287
778,492,248661618204893321077691124073410420050228075398673858720231988446579748506266687766528,287
779,493,248661618204893321077691124073410420050228075398673858720231988446579748506266687766528,287
780,493,497323236409786642155382248146820840100456150797347717440463976893159497012533375533056,288
781,494,497323236409786642155382248146820840100456150797347717440463976893159497012533375533056,288
782,495,497323236409786642155382248146820840100456150797347717440463976893159497012533375533056,288
783,495,994646472819573284310764496293641680200912301594695434880927953786318994025066751066112,289
784,496,994646472819573284310764496293641680200912301594695434880927953786318994025066751066112,289
785,496,1989292945639146568621528992587283360401824603189390869761855907572637988050133502132224,290
786,497,1989292945639146568621528992587283360401824603189390869761855907572637988050133502132224,290
787,498,1989292945639146568621528992587283360401824603189390869761855907572637988050133502132224,290
788,498,3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448,291
789,499,3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448,291
790,500,3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448,291
791,500,7957171782556586274486115970349133441607298412757563479047423630290551952200534008528896,292
792,501,7957171782556586274486115970349133441607298412757563479047423630290551952200534008528896,292
793,501,15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,293
794,502,15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,293
795,503,15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,293
796,503,31828687130226345097944463881396533766429193651030253916189694521162207808802136034115584,294
797,504,31828687130226345097944463881396533766429193651030253916189694521162207808802136034115584,294
798,505,31828687130226345097944463881396533766429193651030253916189694521162207808802136034115584,294
799,505,63657374260452690195888927762793067532858387302060507832379389042324415617604272068231168,295
800,506,63657374260452690195888927762793067532858387302060507832379389042324415617604272068231168,295
801,507,63657374260452690195888927762793067532858387302060507832379389042324415617604272068231168,295
802,507,127314748520905380391777855525586135065716774604121015664758778084648831235208544136462336,296
803,508,127314748520905380391777855525586135065716774604121015664758778084648831235208544136462336,296
804,508,254629497041810760783555711051172270131433549208242031329517556169297662470417088272924672,297
805,509,254629497041810760783555711051172270131433549208242031329517556169297662470417088272924672,297
806,510,254629497041810760783555711051172270131433549208242031329517556169297662470417088272924672,297
807,510,509258994083621521567111422102344540262867098416484062659035112338595324940834176545849344,298
808,511,509258994083621521567111422102344540262867098416484062659035112338595324940834176545849344,298
809,512,509258994083621521567111422102344540262867098416484062659035112338595324940834176545849344,298
810,512,1018517988167243043134222844204689080525734196832968125318070224677190649881668353091698688,299
811,513,1018517988167243043134222844204689080525734196832968125318070224677190649881668353091698688,299
812,513,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,300
813,514,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,300
814,515,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,300
815,515,4074071952668972172536891376818756322102936787331872501272280898708762599526673412366794752,301
816,516,4074071952668972172536891376818756322102936787331872501272280898708762599526673412366794752,301
817,517,4074071952668972172536891376818756322102936787331872501272280898708762599526673412366794752,301
818,517,8148143905337944345073782753637512644205873574663745002544561797417525199053346824733589504,302
819,518,8148143905337944345073782753637512644205873574663745002544561797417525199053346824733589504,302
820,518,16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,303
821,519,16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,303
822,520,16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,303
823,520,32592575621351777380295131014550050576823494298654980010178247189670100796213387298934358016,304
824,521,32592575621351777380295131014550050576823494298654980010178247189670100796213387298934358016,304
825,522,32592575621351777380295131014550050576823494298654980010178247189670100796213387298934358016,304
826,522,65185151242703554760590262029100101153646988597309960020356494379340201592426774597868716032,305
827,523,65185151242703554760590262029100101153646988597309960020356494379340201592426774597868716032,305
828,524,65185151242703554760590262029100101153646988597309960020356494379340201592426774597868716032,305
829,524,130370302485407109521180524058200202307293977194619920040712988758680403184853549195737432064,306
830,525,130370302485407109521180524058200202307293977194619920040712988758680403184853549195737432064,306
831,525,260740604970814219042361048116400404614587954389239840081425977517360806369707098391474864128,307
832,526,260740604970814219042361048116400404614587954389239840081425977517360806369707098391474864128,307
833,527,260740604970814219042361048116400404614587954389239840081425977517360806369707098391474864128,307
834,527,521481209941628438084722096232800809229175908778479680162851955034721612739414196782949728256,308
835,528,521481209941628438084722096232800809229175908778479680162851955034721612739414196782949728256,308
836,529,521481209941628438084722096232800809229175908778479680162851955034721612739414196782949728256,308
837,529,1042962419883256876169444192465601618458351817556959360325703910069443225478828393565899456512,309
838,530,1042962419883256876169444192465601618458351817556959360325703910069443225478828393565899456512,309
839,530,2085924839766513752338888384931203236916703635113918720651407820138886450957656787131798913024,310
840,531,2085924839766513752338888384931203236916703635113918720651407820138886450957656787131798913024,310
841,532,2085924839766513752338888384931203236916703635113918720651407820138886450957656787131798913024,310
842,532,4171849679533027504677776769862406473833407270227837441302815640277772901915313574263597826048,311
843,533,4171849679533027504677776769862406473833407270227837441302815640277772901915313574263597826048,311
844,534,4171849679533027504677776769862406473833407270227837441302815640277772901915313574263597826048,311
845,534,8343699359066055009355553539724812947666814540455674882605631280555545803830627148527195652096,312
846,535,8343699359066055009355553539724812947666814540455674882605631280555545803830627148527195652096,312
847,536,8343699359066055009355553539724812947666814540455674882605631280555545803830627148527195652096,312
848,536,16687398718132110018711107079449625895333629080911349765211262561111091607661254297054391304192,313
849,537,16687398718132110018711107079449625895333629080911349765211262561111091607661254297054391304192,313
850,537,33374797436264220037422214158899251790667258161822699530422525122222183215322508594108782608384,314
851,538,33374797436264220037422214158899251790667258161822699530422525122222183215322508594108782608384,314
852,539,33374797436264220037422214158899251790667258161822699530422525122222183215322508594108782608384,314
853,539,66749594872528440074844428317798503581334516323645399060845050244444366430645017188217565216768,315
854,540,66749594872528440074844428317798503581334516323645399060845050244444366430645017188217565216768,315
855,541,66749594872528440074844428317798503581334516323645399060845050244444366430645017188217565216768,315
856,541,133499189745056880149688856635597007162669032647290798121690100488888732861290034376435130433536,316
857,542,133499189745056880149688856635597007162669032647290798121690100488888732861290034376435130433536,316
858,542,266998379490113760299377713271194014325338065294581596243380200977777465722580068752870260867072,317
859,543,266998379490113760299377713271194014325338065294581596243380200977777465722580068752870260867072,317
860,544,266998379490113760299377713271194014325338065294581596243380200977777465722580068752870260867072,317
861,544,533996758980227520598755426542388028650676130589163192486760401955554931445160137505740521734144,318
862,545,533996758980227520598755426542388028650676130589163192486760401955554931445160137505740521734144,318
863,546,533996758980227520598755426542388028650676130589163192486760401955554931445160137505740521734144,318
864,546,1067993517960455041197510853084776057301352261178326384973520803911109862890320275011481043468288,319
865,547,1067993517960455041197510853084776057301352261178326384973520803911109862890320275011481043468288,319
866,548,1067993517960455041197510853084776057301352261178326384973520803911109862890320275011481043468288,319
867,548,2135987035920910082395021706169552114602704522356652769947041607822219725780640550022962086936576,320
868,549,2135987035920910082395021706169552114602704522356652769947041607822219725780640550022962086936576,320
869,549,4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152,321
870,550,4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152,321
871,551,4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152,321
872,551,8543948143683640329580086824678208458410818089426611079788166431288878903122562200091848347746304,322
873,552,8543948143683640329580086824678208458410818089426611079788166431288878903122562200091848347746304,322
874,553,8543948143683640329580086824678208458410818089426611079788166431288878903122562200091848347746304,322
875,553,17087896287367280659160173649356416916821636178853222159576332862577757806245124400183696695492608,323
876,554,17087896287367280659160173649356416916821636178853222159576332862577757806245124400183696695492608,323
877,554,34175792574734561318320347298712833833643272357706444319152665725155515612490248800367393390985216,324
878,555,34175792574734561318320347298712833833643272357706444319152665725155515612490248800367393390985216,324
879,556,34175792574734561318320347298712833833643272357706444319152665725155515612490248800367393390985216,324
880,556,68351585149469122636640694597425667667286544715412888638305331450311031224980497600734786781970432,325
881,557,68351585149469122636640694597425667667286544715412888638305331450311031224980497600734786781970432,325
882,558,68351585149469122636640694597425667667286544715412888638305331450311031224980497600734786781970432,325
883,558,136703170298938245273281389194851335334573089430825777276610662900622062449960995201469573563940864,326
884,559,136703170298938245273281389194851335334573089430825777276610662900622062449960995201469573563940864,326
885,560,136703170298938245273281389194851335334573089430825777276610662900622062449960995201469573563940864,326
886,560,273406340597876490546562778389702670669146178861651554553221325801244124899921990402939147127881728,327
887,561,273406340597876490546562778389702670669146178861651554553221325801244124899921990402939147127881728,327
888,561,546812681195752981093125556779405341338292357723303109106442651602488249799843980805878294255763456,328
889,562,546812681195752981093125556779405341338292357723303109106442651602488249799843980805878294255763456,328
890,563,546812681195752981093125556779405341338292357723303109106442651602488249799843980805878294255763456,328
891,563,1093625362391505962186251113558810682676584715446606218212885303204976499599687961611756588511526912,329
892,564,1093625362391505962186251113558810682676584715446606218212885303204976499599687961611756588511526912,329
893,565,1093625362391505962186251113558810682676584715446606218212885303204976499599687961611756588511526912,329
894,565,2187250724783011924372502227117621365353169430893212436425770606409952999199375923223513177023053824,330
895,566,2187250724783011924372502227117621365353169430893212436425770606409952999199375923223513177023053824,330
896,566,4374501449566023848745004454235242730706338861786424872851541212819905998398751846447026354046107648,331
897,567,4374501449566023848745004454235242730706338861786424872851541212819905998398751846447026354046107648,331
898,568,4374501449566023848745004454235242730706338861786424872851541212819905998398751846447026354046107648,331
899,568,8749002899132047697490008908470485461412677723572849745703082425639811996797503692894052708092215296,332
900,569,8749002899132047697490008908470485461412677723572849745703082425639811996797503692894052708092215296,332
901,570,8749002899132047697490008908470485461412677723572849745703082425639811996797503692894052708092215296,332
902,570,17498005798264095394980017816940970922825355447145699491406164851279623993595007385788105416184430592,333
903,571,17498005798264095394980017816940970922825355447145699491406164851279623993595007385788105416184430592,333
904,571,34996011596528190789960035633881941845650710894291398982812329702559247987190014771576210832368861184,334
905,572,34996011596528190789960035633881941845650710894291398982812329702559247987190014771576210832368861184,334
906,573,34996011596528190789960035633881941845650710894291398982812329702559247987190014771576210832368861184,334
907,573,69992023193056381579920071267763883691301421788582797965624659405118495974380029543152421664737722368,335
908,574,69992023193056381579920071267763883691301421788582797965624659405118495974380029543152421664737722368,335
909,575,69992023193056381579920071267763883691301421788582797965624659405118495974380029543152421664737722368,335
910,575,139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736,336
911,576,139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736,336
912,577,139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736,336
913,577,279968092772225526319680285071055534765205687154331191862498637620473983897520118172609686658950889472,337
914,578,279968092772225526319680285071055534765205687154331191862498637620473983897520118172609686658950889472,337
915,578,559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944,338
916,579,559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944,338
917,580,559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778944,338
918,580,1119872371088902105278721140284222139060822748617324767449994550481895935590080472690438746635803557888,339
919,581,1119872371088902105278721140284222139060822748617324767449994550481895935590080472690438746635803557888,339
920,582,1119872371088902105278721140284222139060822748617324767449994550481895935590080472690438746635803557888,339
921,582,2239744742177804210557442280568444278121645497234649534899989100963791871180160945380877493271607115776,340
922,583,2239744742177804210557442280568444278121645497234649534899989100963791871180160945380877493271607115776,340
923,583,4479489484355608421114884561136888556243290994469299069799978201927583742360321890761754986543214231552,341
924,584,4479489484355608421114884561136888556243290994469299069799978201927583742360321890761754986543214231552,341
925,585,4479489484355608421114884561136888556243290994469299069799978201927583742360321890761754986543214231552,341
926,585,8958978968711216842229769122273777112486581988938598139599956403855167484720643781523509973086428463104,342
927,586,8958978968711216842229769122273777112486581988938598139599956403855167484720643781523509973086428463104,342
928,587,8958978968711216842229769122273777112486581988938598139599956403855167484720643781523509973086428463104,342
929,587,17917957937422433684459538244547554224973163977877196279199912807710334969441287563047019946172856926208,343
930,588,17917957937422433684459538244547554224973163977877196279199912807710334969441287563047019946172856926208,343
931,589,17917957937422433684459538244547554224973163977877196279199912807710334969441287563047019946172856926208,343
932,589,35835915874844867368919076489095108449946327955754392558399825615420669938882575126094039892345713852416,344
933,590,35835915874844867368919076489095108449946327955754392558399825615420669938882575126094039892345713852416,344
934,590,71671831749689734737838152978190216899892655911508785116799651230841339877765150252188079784691427704832,345
935,591,71671831749689734737838152978190216899892655911508785116799651230841339877765150252188079784691427704832,345
936,592,71671831749689734737838152978190216899892655911508785116799651230841339877765150252188079784691427704832,345
937,592,143343663499379469475676305956380433799785311823017570233599302461682679755530300504376159569382855409664,346
938,593,143343663499379469475676305956380433799785311823017570233599302461682679755530300504376159569382855409664,346
939,594,143343663499379469475676305956380433799785311823017570233599302461682679755530300504376159569382855409664,346
940,594,286687326998758938951352611912760867599570623646035140467198604923365359511060601008752319138765710819328,347
941,595,286687326998758938951352611912760867599570623646035140467198604923365359511060601008752319138765710819328,347
942,595,573374653997517877902705223825521735199141247292070280934397209846730719022121202017504638277531421638656,348
943,596,573374653997517877902705223825521735199141247292070280934397209846730719022121202017504638277531421638656,348
944,597,573374653997517877902705223825521735199141247292070280934397209846730719022121202017504638277531421638656,348
945,597,1146749307995035755805410447651043470398282494584140561868794419693461438044242404035009276555062843277312,349
946,598,1146749307995035755805410447651043470398282494584140561868794419693461438044242404035009276555062843277312,349
947,599,1146749307995035755805410447651043470398282494584140561868794419693461438044242404035009276555062843277312,349
948,599,2293498615990071511610820895302086940796564989168281123737588839386922876088484808070018553110125686554624,350
949,600,2293498615990071511610820895302086940796564989168281123737588839386922876088484808070018553110125686554624,350
950,601,2293498615990071511610820895302086940796564989168281123737588839386922876088484808070018553110125686554624,350
951,601,4586997231980143023221641790604173881593129978336562247475177678773845752176969616140037106220251373109248,351
952,602,4586997231980143023221641790604173881593129978336562247475177678773845752176969616140037106220251373109248,351
953,602,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496,352
954,603,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496,352
955,604,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496,352
956,604,18347988927920572092886567162416695526372519913346248989900710715095383008707878464560148424881005492436992,353
957,605,18347988927920572092886567162416695526372519913346248989900710715095383008707878464560148424881005492436992,353
958,606,18347988927920572092886567162416695526372519913346248989900710715095383008707878464560148424881005492436992,353
959,606,36695977855841144185773134324833391052745039826692497979801421430190766017415756929120296849762010984873984,354
960,607,36695977855841144185773134324833391052745039826692497979801421430190766017415756929120296849762010984873984,354
961,607,73391955711682288371546268649666782105490079653384995959602842860381532034831513858240593699524021969747968,355
962,608,73391955711682288371546268649666782105490079653384995959602842860381532034831513858240593699524021969747968,355
963,609,73391955711682288371546268649666782105490079653384995959602842860381532034831513858240593699524021969747968,355
964,609,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936,356
965,610,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936,356
966,611,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936,356
967,611,293567822846729153486185074598667128421960318613539983838411371441526128139326055432962374798096087878991872,357
968,612,293567822846729153486185074598667128421960318613539983838411371441526128139326055432962374798096087878991872,357
969,613,293567822846729153486185074598667128421960318613539983838411371441526128139326055432962374798096087878991872,357
970,613,587135645693458306972370149197334256843920637227079967676822742883052256278652110865924749596192175757983744,358
971,614,587135645693458306972370149197334256843920637227079967676822742883052256278652110865924749596192175757983744,358
972,614,1174271291386916613944740298394668513687841274454159935353645485766104512557304221731849499192384351515967488,359
973,615,1174271291386916613944740298394668513687841274454159935353645485766104512557304221731849499192384351515967488,359
974,616,1174271291386916613944740298394668513687841274454159935353645485766104512557304221731849499192384351515967488,359
975,616,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,360
976,617,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,360
977,618,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,360
978,618,4697085165547666455778961193578674054751365097816639741414581943064418050229216886927397996769537406063869952,361
979,619,4697085165547666455778961193578674054751365097816639741414581943064418050229216886927397996769537406063869952,361
980,619,9394170331095332911557922387157348109502730195633279482829163886128836100458433773854795993539074812127739904,362
981,620,9394170331095332911557922387157348109502730195633279482829163886128836100458433773854795993539074812127739904,362
982,621,9394170331095332911557922387157348109502730195633279482829163886128836100458433773854795993539074812127739904,362
983,621,18788340662190665823115844774314696219005460391266558965658327772257672200916867547709591987078149624255479808,363
984,622,18788340662190665823115844774314696219005460391266558965658327772257672200916867547709591987078149624255479808,363
985,623,18788340662190665823115844774314696219005460391266558965658327772257672200916867547709591987078149624255479808,363
986,623,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616,364
987,624,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616,364
988,624,75153362648762663292463379097258784876021841565066235862633311089030688803667470190838367948312598497021919232,365
989,625,75153362648762663292463379097258784876021841565066235862633311089030688803667470190838367948312598497021919232,365
990,626,75153362648762663292463379097258784876021841565066235862633311089030688803667470190838367948312598497021919232,365
991,626,150306725297525326584926758194517569752043683130132471725266622178061377607334940381676735896625196994043838464,366
992,627,150306725297525326584926758194517569752043683130132471725266622178061377607334940381676735896625196994043838464,366
993,628,150306725297525326584926758194517569752043683130132471725266622178061377607334940381676735896625196994043838464,366
994,628,300613450595050653169853516389035139504087366260264943450533244356122755214669880763353471793250393988087676928,367
995,629,300613450595050653169853516389035139504087366260264943450533244356122755214669880763353471793250393988087676928,367
996,630,300613450595050653169853516389035139504087366260264943450533244356122755214669880763353471793250393988087676928,367
997,630,601226901190101306339707032778070279008174732520529886901066488712245510429339761526706943586500787976175353856,368
998,631,601226901190101306339707032778070279008174732520529886901066488712245510429339761526706943586500787976175353856,368
999,631,1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712,369
1000,632,1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707712,369
