# m n family_key | target_columns | row_permutation | column_permutation | predecessor_columns
6 7 1143492127491112 | 3 5 10 20 25 44 50 | 0 1 2 3 5 4 | 0 3 2 5 1 4 6 | 3 4 10 36 1 24 50
6 7 565423855633448 | 3 5 10 20 38 41 49 | 0 1 2 3 4 5 | 1 3 0 6 4 2 5 | 1 4 2 16 38 8 33
6 7 72060067940140072 | 3 5 10 20 38 41 56 | 0 1 2 3 4 5 | 0 3 2 6 4 1 5 | 3 4 10 16 38 1 40
6 6 72057868916884520 | 3 5 10 20 38 56 | 0 1 2 3 5 4 | 1 3 2 4 0 5 | 1 4 10 36 2 56
6 6 144115462954812456 | 3 5 10 20 38 57 | 0 1 2 3 5 4 | 1 3 2 4 0 5 | 1 4 10 36 2 57
6 6 282574489388072 | 3 5 10 20 40 48 | 0 1 2 3 4 5 | 1 3 0 5 2 4 | 1 4 2 16 8 32
6 6 564049466098728 | 3 5 10 20 40 49 | 0 1 2 3 5 4 | 1 3 0 4 2 5 | 1 4 2 32 8 49
6 6 1128098931147816 | 3 5 10 20 41 50 | 0 1 2 4 3 5 | 0 3 5 2 1 4 | 3 4 18 8 1 40
6 6 1143492093936680 | 3 5 10 20 44 50 | 0 1 2 3 5 4 | 1 3 0 4 2 5 | 1 4 2 36 8 50
6 7 145258680169792552 | 3 5 10 20 44 50 57 | 0 1 2 3 5 4 | 1 3 0 4 2 5 6 | 1 4 2 36 8 50 57
6 7 2473938912296 | 3 5 10 22 25 38 41 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 | 3 5 10 16 9 6 32
6 8 1152923978545759272 | 3 5 10 22 25 38 41 60 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 7 | 3 5 10 16 9 6 32 60
6 7 563224869078056 | 3 5 10 22 25 38 49 | 0 1 2 3 5 4 | 0 1 3 5 2 6 4 | 3 5 2 38 8 16 17
6 8 1153484729475925032 | 3 5 10 22 25 38 49 60 | 0 1 2 3 4 5 | 4 1 2 3 7 0 6 5 | 1 5 10 22 24 2 49 36
6 7 72057868953584680 | 3 5 10 22 25 38 56 | 0 1 2 3 5 4 | 0 3 2 5 1 6 4 | 3 4 10 38 1 16 24
6 7 299067200504872 | 3 5 10 22 25 44 48 | 0 1 2 3 5 4 | 3 1 2 5 0 4 6 | 2 5 10 36 1 24 48
6 7 580542177215528 | 3 5 10 22 25 44 49 | 0 1 2 3 5 4 | 3 1 2 5 0 4 6 | 2 5 10 36 1 24 49
6 7 72620818873451560 | 3 5 10 22 38 49 56 | 0 1 2 3 4 5 | 2 1 6 3 4 0 5 | 2 5 8 22 38 1 48
6 7 1153484729442370600 | 3 5 10 22 38 49 60 | 0 1 2 3 5 4 | 0 1 2 4 3 5 6 | 3 5 10 36 22 49 60
6 6 72057868920030248 | 3 5 10 22 38 56 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 10 36 22 56
6 6 144115462957958184 | 3 5 10 22 38 57 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 10 36 22 57
6 6 283674004161576 | 3 5 10 22 41 48 | 0 1 2 4 3 5 | 0 3 5 2 1 4 | 3 4 16 10 1 40
6 7 1153486653587719208 | 3 5 10 22 41 49 60 | 0 1 2 3 4 5 | 3 1 2 6 0 5 4 | 2 5 10 20 1 49 40
6 7 76563392692749352 | 3 5 10 22 41 52 56 | 0 1 2 3 4 5 | 0 1 3 5 4 6 2 | 3 5 2 20 41 48 8
