n,r,H
34,6,947892772209490591114850491277400666355871022766589561056871380497554592523514368233415
34,7,964942500247404344410310547502939380622230661076685416985118578181079398528025165767080526224177
35,0,1
35,1,98382635059784275285
35,2,40907977518723916972214026491065029589
35,3,183792650202053245815141654437277279432154482063560980
35,4,15008720366603809309160108882827959361757813846642034818146100074177
35,5,32133272478258352299901110124137872266045160626836081483200345888944271157256463
35,6,2405423240578513568367304436236416050799073527528378030599535750265581279560642365382699951
35,7,8012163476619771926253057818775835032824911730911432057791594144269651523742320276040051398448629628
36,0,1
36,1,393530540239137101141
36,2,635541529816904196745529070625664313213
36,3,10757227178583283653613027427662811014834815912668877219
36,4,3206411487428882701468424661404711896534257412984069077793346904413922
36,5,24247325881133593499989772490697997133492387812887121546446892457838995828878345232
36,6,6195470488352446732786696903192504839229526347567244885963535673082342246277868148409193588168
36,7,67966517466697301447685713231080694091321848325030307342800000156820135212722344639464955235966040285494
37,0,1
37,1,1574122160956548404565
37,2,9882013075470916243344848275529466770265
37,3,631241279023965514573233662296337767547141358317501644662
37,4,688646227307015820955284117367442784051072542271152760768251248512206013
37,5,18463212385849033228971268132290360177907931580978587824012657396291825514127746523639
37,6,16181476792287505139052880253550523720694166659276775042927402503216345089295747159309681526674548
37,7,588256028776107764177716416745892100122000085614524865384938932103983596657504756209943303727184130411340885
38,0,1
38,1,6296488643826193618261
38,2,153777271270615088051614111275793858360425
38,3,37132152294613713848926100299509535030013327359366655613837
38,4,148642608900157454216675165169306713088713933255344115397356130893551026654
38,5,14179406056088879643285301517567466300861923243222103954494437884409949623092840263734476
38,6,42822105047973486853243546424374478445688992309707078717862607002343344390365221897756670403410353675
38,7,5188531883874860425278576778366800325428761973964476779579927679943201421243392788578697554448188289744062491351
39,0,1
39,1,25185954575304774473045
39,2,2394778975218130981169255041560442826134681
39,3,2189306434055489189004682549790799528580897432821279287651652
39,4,32235951956174831861480300172986633007569354238833807278738226712406877141253
39,5,10977619211926378856467131987564875596280645542784803728715282129536125237055379939676534271
39,6,114735866734795875071012140274155928088258532236363732801507171343168174030422226476622903849747820794633
39,7,46585974262248678914913204728373238742599211325968984725896858008183393776186766104477860792871756684412736867587252
40,0,1
40,1,100743818301219097892181
40,2,37320554057744940559530682245763213585518361
40,3,129363373724007270826337948277587034633029695239636781643877259
40,4,7022265458137466374409455521279185652156194817704519682930957814748734115560884
40,5,8563803234998452588308117326933862779699134567167522666858393953985959685152570021623016577354
40,6,311038448658351393075637214862767239686102408422455122995292722753047165027421418748020659520470258711690848
40,7,425367643977904610286438698004955342828059863075825774237088849448372839936170194640301465334939678350865930649740375218
80,0,1
80,1,121791803110908576516973736059690251637994378581
80,2,26741488963956375011213800832476855398011371969375956680819942130966385634581728546364740704
80,3,26512412671827713675534596748877363041732292225563654971942192158816905946556208050766532336442070944270306035942072513189172077471286
80,4,195363387526330703322048236394469862907360877979763718087131203837246725595643210280800858443070541116503819302144446763974601001588854093248184973470619460448451567089989241
80,5,15081863071247448002270816542917846011741632879862781716613000823333557671498347383184782530730218259190327617832507330184164271781863473369664724427236872132653584406364632919475084878710867186576258616108262221
80,6,15872361780646474809920982276291196203029135934574086068457905604033628330339309267854253591542045665841521995218665232450784856496827420336807452131131730678219481518063999380098075963583560496769854601789154928900239614523615776615792834304180483
80,7,282274004662161333442133389754064877970709513016352323488121430640283890250445463337607135186178694630380488681757672590036094579969841715353344785100685325228383589550515386536592390391528988421001655705313972839342446310496068980626765287682408880264072729436228341285732119415103
120,0,1
120,1,147237255398198694131941458395243209652290324739634913176800516774384981
120,2,25887227310911583388454459727999549497932166780121084510957038531637827994332520867064883551012568769410780332723368445109874094958924096188
120,3,13543841359341181696180678692176771358205889329481147069949813683217685334695431464925046539013699490327178901354589335737122247390468453824362924800291211340347049395918233748929796290804325672352520814042
120,4,34526439461362381490802518157248491355324363570988728976518714228330320986653425798743428652546781763871531004481248030194371336643557886497112141918757678615749516259871347769285951879494996707638170775983704975250803885702290639401468771852566896685624784149800806127
120,5,601270662134373927264094334639667401430687858781387360243374787138165758866178427159146694649423179825583560910653284323204801833648773406284083517515940269386435715086561890878878859484269261725024097325263004658375780888499832162980464262092372744537651008612505306001748099617062222568611167266352279512061715687720294888234919
120,6,92566304472830997465244076699140119414610259280091746595995218320926992954939482223491972636200537826682840235985429202393367442820206468753065740942581223859308242351858053416510018180407222556474411438731764567940108398546569356241315823756518698644345443412612586930337034430535061504800215621171219647119627067985997194894324811124354946191023498618715750880887717864355531088769328175
120,7,155273303085263305384386096536639463095395133903209891710282035311979480770057798489618612426780797318969169576647133620044801054895691383933161981475433164063027453988566014376513946997829045284680492117792871180817613527479965544605632417745712012433602667732181981931862506360959440301542642407955766207932426175678255661137974819594744974591793881961495293974364527224789752414854708910758660971046492578770003830438434588334483767296806861099
200,0,1
200,1,215187489840575715804659931000250989527475482735768626069221613045053968501403432885803779440011485952991930997728957781
200,2,33006659427286023258717924998112633285884889507403208597677101334751663746871989855430058359411506370571156749503598727953435045725564771609194337862317209206007196394970035494558287051784318334784232498931655780669969716755314640158907
200,3,8956824323437812521990117252817193030301593981564404668188152686460972393641871763980428693527658982557560386657201897507933557226729991011637058047952221872493336233326284940718430460444263111836424164055052413804826907686552680615875754830137368180649684193913471771408611094768403835608901744287467619920374330228403894084383640316752593482804405
200,4,7012480187731822387613285010613719464506634043045020324212373057112102070403761356532899665440763412479745543750716980812940883270924921021832884493196279713159253989217540654703354907668962383591355593894991828981270844992929009979394402234131508898526940713951641075520204393403268441605646564175786911301460401568272574837172964724410028508014021126461170654286006511754676414739593383102761232863109302269750513719782204125622327852493728252116736355610407
200,5,22116180075549833135001839379502136295054085262260442012517932227355472973089360870026089178166277626903311522196907425768594786228118493477675131101746695989012346205203017585610045986819741472214687591126580101377263721282135463796930897039842882918948584424805659630049672569482914799029143472533400124200454522789303212059296283867506870350840882200157768300153189840854524323124969869074585178871477462498166584255134451215336922866607881153926490773443322575449583437303464587405896180971219341680482439317887474323314257265236178769468340804594191687524376262005
200,6,362072024883182395350411281672540371048794233600040283024572400914435599820434836582156514683558349444906667669712524647650526440067487645950689170903566122943612070120953943023330668417347576665493135445142523530775386446466601649694307956112680523311444041909027113519332482376407794635061197659521477648903960974653821832357314931003911500223607310526175208524297276205869942004405927804392675899708372546112613619966344343855256390126084988478918842123355806319999387342198329457954863031100986943259649501989832010623129161256860190664554184458166245149213525889141011770804688396398038173149752536605832394345434624916529701416931208715197749878263221368415238687190319
200,7,37762300863848112566111062168642574283467056227942370297209600811077966480280850430806552017716658625239849044510148144146225868763244320200849390289455949913875444515441637470701085386329396484264892519665339081381888210724468194922735542335281085712056553475717029944997165596385312139445798212786624946955174574983398263748646993272560619829301558215494527738222370913963937830181771277172011777617656465860875293754661464126072816185985538881656237612073145916972057603020817464777803613943528086756815728944365028942193361574762136879744405420330707834176934432644378640369403571164104496839089267986834018736654046191691246046059199657976337807370117511530631125559368703428863591865018910989056781078680238740146442800566834601617592419507590039521273408174288217581903335
400,0,1
400,1,555667869406654522839987649226771483095396526859659013366354817647003103151469339293452683405962857561910825882786103370490733471176613756696946337694235837174596464959501213205256523825984502060747084677990550165140895669789705107596989781
400,2,109622585843470564634064274999535613713292570969094195399375198393698630716929308146187379550336063514997068810406977779758111710677008284648835935376510930933948253373728621073781893952111015124936685229957335743346139776137621633792651360594037707295237083196822476344279479184176492641610822749014810470029665073440003158850726760904247363299742391156396812286935462079946261509400971578905078994455773653910092236648926218461047690996758864048140653432987863822248278828238
400,3,19000607761572697207753690954274712238232340339731529277226856673692918178415147884964051524838969715029279469486471874311185660549063587425936888020864348579789370137376304084615721673222046379277134455333880634212504031433474708044575386512627049488878673492130311793642212858716111291739848313256535266442619858412918600501680243383858857334067629424959731742670453196559287141141849396691580064326339692520561717204501963597005275527763157794708839844747937597133223235571682532125920992445799614664935276738226261219549723063958058313906045940975258421787075517427176136134451481669566066740952693673944255372548167476879752127246056768579820883021781238862923266848767752703155717844007948661132178299260
400,4,4704520331408669357591223288514990409727357718557932460810022003608044397903360530069658989340922786469632046264893672931992007010187142792458093742769504398353933860745447840355480906732530875300421485122917916797903716481236670875941618099983411845276512461514766084346348071779768544500382108574599832802598707946414907677592405813383647966133755951380942275057289368346565283655503831957187234448219259456154583007026071448289478343427556168705216413463323915832063972275346729477511713655436459603404083395736025904550370043095654668814913255829684234014262886835593204953620352462471782943254352686331321736447827728867036471815777089738140488286848969018141539598585841744927934827260154861631423442637918565215080477677732501737646263027556076191282119833812965472379417985537156066592844578084302840333509181347715744381431251376859437348536286901367763737690984566805622314002220043601662029095221883680051864660776218238389077276
400,5,2316260549750217936994030578479857665664528293834303313570715174033529830009471635084719545803888813332094252591111809434494301085105184550207188582226413933588591870253558003761019759190526189364514434388748694551493231302970841683904159703679206215420096751838604030089463722318047510394789225049725679395209340402585368546138535606105773256056859229793029406039267019222734717548006598504298829568066735391543644754125879899515187758458741747972965117200021633253243715472615915250422673118187936600435652579360558046493610570003886718689816798413045647804153246250260268584200392192311055377119208300412889501480280032589672140711921890999217513266927413456078848269980722221643749389568191145647999964913892857762813461934809337050991947709630781219636398905694999563356796787536757560392290408540258510491118034362931009223602452529384810514065224224363111321765896269083433517322730199749387627368146938897701087722756770857649119743049656836998552460553320599936014940610277998541775832017644596240432032243282285610076911857604261105199018542940702092138896233756418721311389095849137316024072141264775940947875151943424590616220723928604741740612419264173024
400,6,2913294944001544341920110153578864188634099986121125083320466864999066921975941997695655358713924531030111606452632519273574109118353607062780483213552124895306151064153944957374186822948069678466784065322427604621131709973195930960736814192338025208108637877108180687906597343872253460432268734298656800587471563838106138118518669531280116603072709588708121918187671936962839504801094587849815360303320783408937303411698409135631643057310430131661048770133744662150852228104589866730325667624389581631604210246475285422275537746756679993687521594559078790956462093765208195212495373363920648369114550843712713354470429866204127519755592972150237904777010835225154992463495481410865599654381417687120675727076929883404849327657782838584454331620585977347846082228957447317596110571316423866682531189313412238734453368078792305669311355479184781055527827808038650342157692014790956425394977586571668045702972342606836114836489909010271297473319814324738936340459359334374010486360259417262245688227848296400074569859676462565128510623673506940129263277220519794597306733229191439583139862979148648960378546824953980079897969683154154640280966926936339210577848921808469767022795780839976199316051565924204419894695455614692833074865718929367039072417735292456166795257785289358901862034514699829258228122666968769637478255954299580428815376518296201156388940868482968409246649279827585879906551
400,7,11452518711930195378349018501690817247370733979765043216083329682607679110685667116668558137218885266874080814465156657420746639883173326302735321033642353647524546458396267682521668456884599738662210799635810221443558799913214009997674455918140890198640146136252096789780778569423276888149072336037869073525736842076543998434437591196608997266654340061270165487819836389598434093576779028836309782617237411409896210424784132447894630574120753112235405368927173338649576296083839714586250107417946014089624714442393755061722123059163569087741028924143179889155583070409871859612514829370676795000251484723407337002843550597258344008369141384991837556155826707145141215591891742220617384257142712071771825880443562210044839524995969843008367761391243552754198688809134239259119647190092648443319909985854788478603994067944927506821261559872389509431182553204880572565196703923090045471219693632462083327765975104138080589519798275992171552961880964154414204830639896649737687829719873091368898965347261554245474289356201630365139839274901037356757099118487246144265042845834788732895159208962101783032756004658050169220252392758375136448250157757330926163153051745092477032066527158780175547805465576607324991797062477873389437184997227030821466741653592456323575175901208760772640013055785559941298338536263623525191789116748252201078594257746358845545788993666798296604345849223951796943802202958297484843084262442889762453290365562290549050833389028288840817920513010969424426086905210457296573520618187956148448476107113385218760334907021157637243565249267486655955075748584008769251931632292103264574715512778789
