depth_m,index_j,binary_digit_sum,thue_morse_sign
8,173,5,-1
8,174,5,-1
8,175,6,1
8,176,3,-1
8,177,4,1
8,178,4,1
8,179,5,-1
8,180,4,1
8,181,5,-1
8,182,5,-1
8,183,6,1
8,184,4,1
8,185,5,-1
8,186,5,-1
8,187,6,1
8,188,5,-1
8,189,6,1
8,190,6,1
8,191,7,-1
8,192,2,1
8,193,3,-1
8,194,3,-1
8,195,4,1
8,196,3,-1
8,197,4,1
8,198,4,1
8,199,5,-1
8,200,3,-1
8,201,4,1
8,202,4,1
8,203,5,-1
8,204,4,1
8,205,5,-1
8,206,5,-1
8,207,6,1
8,208,3,-1
8,209,4,1
8,210,4,1
8,211,5,-1
8,212,4,1
8,213,5,-1
8,214,5,-1
8,215,6,1
8,216,4,1
8,217,5,-1
8,218,5,-1
8,219,6,1
8,220,5,-1
8,221,6,1
8,222,6,1
8,223,7,-1
8,224,3,-1
8,225,4,1
8,226,4,1
8,227,5,-1
8,228,4,1
8,229,5,-1
8,230,5,-1
8,231,6,1
8,232,4,1
8,233,5,-1
8,234,5,-1
8,235,6,1
8,236,5,-1
8,237,6,1
8,238,6,1
8,239,7,-1
8,240,4,1
8,241,5,-1
8,242,5,-1
8,243,6,1
8,244,5,-1
8,245,6,1
8,246,6,1
8,247,7,-1
8,248,5,-1
8,249,6,1
8,250,6,1
8,251,7,-1
8,252,6,1
8,253,7,-1
8,254,7,-1
8,255,8,1
