n,m_2n_exact,classical_kappa_2n_exact,free_r_2n_exact,boolean_b_2n_exact,free_decimal,boolean_decimal
20,134692129950210994558727807513170963382350563797470049973431460207786458300543663061905481809917676157997627047401238313/37950360176590058780084424204962493645674857158199447891304441672942043999556264606081965928172129705758499144432545166015625,-17941467799888372341391319105536/37190980809489375,9019911706317364401618351566715491339926485367765084388861960521578214540787450010752945216040505259351771174979900886391861721954815286076225694/12680877719488146318140835176109900259840081055026083705547674325669345723620893428046926327397115406496606796983267734468289061821131111752605438232421875,4144005899338960673095541331434441163609157091479958118235455804862516118355985439571981077683578931437328558502866408411203664078567501887305440281632/1864089024764757508766702770888155338196491915088834304715508125873393821372271333922898170127375964755001199156540356966838492087706273427632999420166015625,7.11300266893626828706244e-10,0.0000022230729564334631998385
21,208766406036598900491071695406768068826873486654890495942400036504400422644931348094670766367611572623615742799535443691578005538629/77347354493300698557835509514003191594860759502448594522626211008646639682576316267990039580781715338014505109238101203129469796142578125,1671365034842820454648400331145216/83400155990046189,139372702847653340279636220990959758113104253372447492076796149093154180859138259279919001630766639214127154659609085961541773118254538752377577687321740466996/347808797710692416286075960031342911469564267248562196685800660956528975911888746371780820077074797529053224405133485352198518831278511064749875707633979206085205078125,865300628498151912496617734350567716030191488757939238684114405978880391851460413356750042043785948583896216302088040942332292637247694364904166032835462683178784/507862403736851758293827729249306021172372602619581968612009814671037885181076488064989693032896828250387451565017921089493412452751808191891411431500943088531494140625,4.00716438931437395615676e-10,0.00000170380918558111323374335
22,2056335423664999590182640962033292883125306770437002517895761878594652021311821408201864746174580307721400623378706359887507315133277843783294723/992483345348552252661452379897199529888442312017249256735194850317805173687879250923070041809432963031732042927199846685592493629768737150360107421875,-5564182462084634885991666167054336/6069304185323175,7637040070235758042534063025483566521642162610435467419877062388743510582214829158422648028728341442408269437385058677766439406041408181207149175557434048802605385194686852/33507260184725825549412634969513886700562542107179895359459955071954937225085981133317103854051148535389191137480517046489899736859948133796089832125766468658897204399585723876953125,12400974725050970430121597833176649497040938564727450442482159757034593676200902483459364775580844517837487569182315719418747510030212957385272707083735238123167311192598693882976/9413728908654728556382279473191806817631016897409054385448276566837069525804561456238683636834099703388395726327296613466554263909707050021901454187766011938087471344153881072998046875,2.27921949694862776733127e-10,0.0000013173286426008984185707
23,1387660457319426767476834917285244199669291878605078054937136143269022618578638081353326610791649804029268160032775340037022938269226270705317089403574856921/864946221760975320862290988808198821515116302373905760614376436057816352899371852371348518755316431235927038807126242363410332703581178723499711093639508056640625,456212127024297035504498358995648512/9921992929050483,1572823825824301385843827794963842840299220747061957859534381217364077184843585007928600153998725043402443437244894482802622446317606750142118775614801586082038678012655855032576026426648/12025363925409476715442329774964050176720500771848304672769863596588451894891526943535125651326463909940119898137266256896707220207902904592436079788114327522716200628117855568217678546905517578125,3548643199641409439200908545655876364799836084154599879658190354791576776107816719480221632555726983216884666164431103553111579444601245323039322119226247307625385603598213658488785668710446883232/3455909211703802465867393942378043560036821114317625038383967249705572247813401470667842085306455830758141356926178263238260204479448176236297242789907236015115795317511649922472237549202442169189453125,1.30792201847707908318106e-10,0.00000102683345604784798867776
24,32467925858267075280969102562199242197931522590216173770745055607910035203965104788697782061190405647071975533588433455160176603867692973090887623556781702620973496478578541/25925976419549542868643981233959854252683708992561762946976603431346045509589056227003720757702146050483852089146873629696925090330272263839892197470174390597367688473663330078125,-49340833832791751183995682248494495563776/19594880503712247825,318983376717202524927480656699876068250065457900264179919589735986587793259701173954287291362350013863387277945433336814673601886617478137565180509440624352199899759489421089921104542258946426494428718982342/4215258514473352142472568838809058156472278423182860116556578355543154205889245601219189633973813007211724830828931761166698143663172151892690381847564893955917850716338351439729571502091111551717286789417266845703125,356951389824085227879209933366190566791819339858952101691890982167175778742426058345204283439872514818479648335517951261176843685996515583672088598238335934273227127340526394756552735879220938376842350180786129568/442602144019701974959619728074951106429589234434200312238440727332031191618370788128014911567250365757231107237037834922503305084633075948732490093994313865371374325215526901171605007719566712930315112888813018798828125,7.56735027334511684187059e-11,0.000000806483643712751439643813
25,774500781055245396413766677952522505836270837351823942545588349203840512236518807968424270706355225076987020095688737961232023689603588919760566428221939762098110170750880161364967891651/786344323570588359119785851607964508763850613542628327575462994708839075912670694311245620572367746888510007506214185126395220068199376587458388072266955771788663309659264619580898260498046875,5573848612627013657700010109200033120256/37154696925806559,4863563786906889354542135408977438629780879997876958261562689799249304323126474096396091529694267876933643015941258290075010857751198570408712183783420554818295026593150160516062769052283158761271891158320158606278399756/110237965609279120838793342819488372527844554027794399324924737578259810851840875756998851454088202945293043769593440294458114039400789374569593272646604476748252893722469298619654242597719826878938311865563069975540637969970703125,617080520281607088284415523392547994882399849642760507962993192340322409920850529199360829310091901892824579070556815999163438804185899063807114398083866667497340476702057897104266808660620798723037328642242858343758809111884128/967338148221424285360411583241010468931835961593895854076214572249229840224903684767664921509623980844946459078182438583869950695741926761848180967473954283465919142414668095387465978794991480862683686620315939035369098186492919921875,4.41187730563263036858255e-11,0.000000637916039407924792332879
26,3312653665667769769665872672848301551183823583170812769587306909989789667316737914609232161834709024375206720676994788192027896773398975516012310932843878820517892635983091652267138100093178080083476737/4246451134360237583044701842033491915440028489596482819906044051946818898183776631581985329479842182175516376584462256472012129638526232422265064338004856266869587106166995336873418461977050113112945556640625,-34693554131317388473852763363180054390505472/3580361703759543525,8910926065040287063852569432043971337785562191729404225287364329058490901614053049068722387178002945990165214869973376117585284870443172957176877812716033770232546038154613536117269143814273104903698758543718889344702666647752861375371236/343972681284331040541655902822372820123224855720636117294563362625989486202839392246062798481046172229224810575834874859613625584804436698527933592988502939792625093917350360917383310319310546312985632126119339543679960808828486700356006622314453125,29906310466538163738523549401238033332086680352800564478207502213441145423217501712992113886553116717673235572043763716642486306325808595077925960128916045383107181106656698565396268020599248327847129836480853467661348538925822865421461134996142816/58878147828120228540555782542008377993312521778557004833427705344053246342826221610150815278799154346648640051076231364594923904976560234123724921045435036707243429950926778628589418610666705522940063636659973469031242571607980896986638009548187255859375,2.59059121549086978354152e-11,0.000000507935653034501487686012
27,13265657717194580452159578887613313425881130953069981951693040961262103751242504086890093915362553872121203329205090544327518025510068315554439967211459815474478424929259192443751456374091077748539194947156190243292671/21329425528425890144618768541475935431293219778111662764675215996029267104872612534599710095808293355759222875395352059274149833878673141538265132058333200958852744157680730210905580378388020639116174506776109844818115234375,131279765363930975515915281201560734666363764736/194069115142649402859,189742254681785277259793203487727306663382983270851367774561618483672717504566977910666232578701769857355247505213630975136533373288453817289221075281740590456865674755051553662139583697995816259168538499067527272614324150333110730706682200396798690789932024/12390604976486710904632672073205384693249824301310444034713887737038905382439608282698623214192646203587368869380354060880013099517708214564360591118188918140801982828072321975202332301151483282747146503934113015149214430733935665479010206989054642141163349151611328125,6378785765515194754248744751981897909572221832068660047422531320079224573278944461558769627562892264230003390901135532707568850742404612854118053929833713949118022241730724506942908956451967175528309262666946816545317311099107670214889819133572557711876743333328544/15674115295255689294360330172604811636961027741157711703913067987354215308786104477613758365953697447538021619766147887013216570889900891423916147764508981448114508277511487298630950360956626352675140327476652964163756254878428616830947911841154122308571636676788330078125,1.53133971296682939212292e-11,0.000000406963049930221829415308
28,237958473570622320756893062662497117514244925033297176550236176544561104052760517096188903500179758275427405255343094402516560276039205083854313506617540844922150054374984031966560462461349922952376744151346739242278622988418426707/476943313217394431049820742908356538669108548628647418978920272024844342650576678960114011728519779850520956821109919733479568193062698494067764571382431651791401909276430086249406455842319525884166317776509061563614338675798797607421875,-1595170438937155790971841779974382717128264384512/31345053406498651725,3738698701273191939786012350282198352823430798023311998992667516953394175118536008572207981558445319436053608051523801775117718244439171905619486193236092547599622872068675480326158639525379242456691696089161287205788193952648538978455567021078136849299236655396244247711966252/410447770283548006672427015581276382878239461280957984852804947103705724390191882649328810421879919055272484034666217404433593135215015813368832833694147893229690707885649069092886960398912567928211912209057588528616910473297838989890928041217436893954864989382446780093014240264892578125,161136852693917632862847709168889777798055736069114754019015272532390176627253695949757642982925896035707053116453066933051528036101939043905924007121895514713287608456647048953346707910358944947392906277295404848257358401747541835924839747770627969461429514050328057091293983854310432/491305981029406963986895137650787830305252635153306707868807521683135752095059683531246586074990263109161163389495462233107010982852373928602492901931895028195939777339121935704185691597498343810069658914241933468754441836537513270899440865337271962063973392290788795771338045597076416015625,9.10882936138354834098972e-12,0.000000327976574509221856079358
29,21426168848516959457190706474728948995175208806244333984853997458012385192352778449271504492703596967748711761134759853451423013031618684680916789915097326987524347354696528925252507132367820312457075739275080245846921719995960935726476909071781719/53222850904396224847793609349746515622565407021360994551051024613115905104487984062935647017618560709048410645838582015304128270830796942898347051466059717607208325211413980153750291614374824159267590275423460718067812062427915195344967914186859130859375,209920203915547154873911672172697412810400296075264/51016776578852978511,44862976349436406495951856807391130726285763235358698778257945068366483173604897667930586151376290872186193919600601540602696749854726784576620226822882591942100103794889489009962857229464466179967635395568516101809092381125155625586269173124733072211684407859499782454031155161343790847481989128/8231477000338730697438613844597494568929707805889225668789347021805804465769634364506371856462278535806104836322756554515026892116395436126187050442733966480131102420956297819389070048741667966361146930729926458614493879876410358121363756058288713630439855516728832877553970494045892659597098827362060546875,27191061025088461745679379167396153552664675849172690741199403771179085281111863947716466378434229290125128357516681378593044235860550908616617886820395246338170423894205518094620711701854321072879047470276253489480456564429751595212789302777957982452446437720121292042625702414504696966978058615634016/102305499861352795811022772068568861070983511301766090454953312985300712645994027101722050216031176087875874394297117177543905659160914706139753341216836440538772272946171130040978442034360730439059968996214800271351566792749671593794092396724445440835466775707915494335313633283141808769278228282928466796875,5.45017332218631789718496e-12,0.000000265782983924994544651888
30,20887238291241064174380943453104220932103430922723880185741310567073322144331083048618476702561331023605154744779922854928387966569653672612498985208185933594893501138906527445401369711600683227994530182297558678764378273710618799018522046792604632048346216078447078371857/63949808049311296468600753226383601702970675504180684297670604989669308516228830969931741457353330306038627921147850831976205248698617062351628432470525028995073379898466273466777884052942544428102558573944046007045926695786470893545257535837221650689499963132065219879150390625,-175133552596829414765329878551128336236355333632039847985152/491029816449770814904813125,52128336392804982879172018748906261646644383078131336799233983874323327244362291183586593473665071332702606953054305376577036078173226457411678691135120901274205754211805318873358144048513108579782889152841644239963002694255540812381656376105176537892473141869891504414731394931525700112425734069238643951380685528797384/15896654655412727095629770471832144891978399941274667923850086319194752156918743021797360962795708662870393910251174486759282643069180895554246386231242216721803366055086894813952009421961783507982850233932755031681065141628945912661793529949867700627171080724682983022711323706531907262136021627622069610189910046756267547607421875,31399366015704340508506668873549336783490428804819753027044004855882344702014564287572961803066445007605041127330709368763493264804917494863548984752317912760859925772064276336352737596063285373191506390285562341672211821734391137307559540737492721829927952464701482842592019061190092400274058450730803618474921929085669472/145025780122529194346585396759543690557212327893604679834582031842739992555106474514630316994355524087993237777420922826520947923126414022069643204706820584870565762481683679160735846621004189149839432560741005056020237586982246758071758183975944338753677156278442600108568828094439196687523498041098851543608121573925018310546875,3.27920166366925252302661e-12,0.000000216508857867723135742316
31,124628651165501415664713006030784964580900459540194594335972185745803766689044672887542929884629054449344519198482732662783995593018430876774952837616147036451440124699362878067363239451095414471761713949574837152248106443489305698813754211451405295135015414919726337273125096458655411607/467873774186341832067392721211488459984741552234899568792382225376328057397086612854675841400816308343771134513103354230763028621084199962224433315971539182005889949888383578250499961287844067575761973592958534420245974440663599950074874710511622735517817900616675656280852732757167816162109375,457471273103628609371903330235271898947626038770794496/13835058055282163709,218075435773048009560677781783530619071196020002667034330575621602319318987552783546211738493544361517753744687457720954658107354133002518072375986823148215933068393448767524417277565683408461430568282905871773806178007957408781564476650401365964851241245738651999762206766957820095718623087133382373079864183350771710728451345086416/109952294024620711816896067763811436272461116834102761927289253868906889333696706554237117324044033599997691111509289854873720066324787285824227778355336558803610969417726750695077860032786524191695975052239386386421568137888078178342246779621989916510996617750542635378693176668623081612374471017292231159707396790563457253761589527130126953125,227731590510068039309233652434237385918879580718749073510492008944837800977068051856431166312342834451514718252229971027021406000459539284853663009047361222479232463536497656375854083835468663272769469740239960164512814104877883602901012443496687533592445845465115449540340060677211938574745415994640277574490712744817260287540642414075205405024/1284860870774059367449009418034870937791350066179344803810088176176172920065750452382096124835139287343165019203437176541922407620551611230325004485288606886887387684356346358939982446806146695438813940642548371291456639828688918185660486789526817310797543494997856228916379531107101397876302750712341780826909370751371503358250523917376995086669921875,1.98336412812102103967236e-12,0.000000177242217963157396323707
32,448608384209810930030479548041313701215644955132897428806660811681504454792231199099459655724557250481538377448299505239729783682980915553546366968588608605858317560461922354081951980280204780755107918027312411061179792835921044995943725282597742025901487145550643091641209684284510791200152935592145629553/2054939945527624328650286232013534148311020307729045182885002959978754332144375914057274450033978870683246118083746624804024308604730790030355215786038336260514721334481396413594884168538187648235863310202676524421407143081271279149406754759199384337093222221988416728600161209337952931228513463629245758056640625,-15389171765220033304850361607778627643982480426226704973824/4703919738795935661825,542358731998901805951733373285227496765841016102336887088425734740715635156491836442498644315867727897212552997560053564308295138602169670372678961914575033821539400290873770853428365417729156178219417758461029846126986536430010294206739043697155929884764708366982756267155050209945955639433237091064449896578574675177084764904347107560723733365922820269149/449878614801559240386029461525044854138909526013566100156548505960778794085054611395444527146930911502887882694893433174433033714651918993729795832715764340817360463444904305848422321277503109668222950343747556798276117638736142753751894931686813980987375375506451054749429314785058445633325766918160972775127731979861035861871488877624400363829410634934902191162109375,984716416648468392216067858539357368657376381919766560170862206452616536382280964095671911520104073382736189337352771042662333256824354990627700763623911892639786019264675183539681417739162468651205527375031717335664541229184261833939936391113864997492009294960857472653447195862853326765820114954668422662178583819248574121718333761988427829480017832029777174095392/6754927401245411994396232364798548484895726533093694993850575817001093593187094990102599575111167636215861558663824899114112001225498563690852884428227201577372667358625238152314061153981709191668367599411369565326115906345623183447584702399277511924525441263229362587062681161497652561184386390276187006218542895677613453466000405497530371462898600683547556400299072265625,1.20556682214853756030233e-12,0.000000145777498136680987500113
33,633573682828764158012610146902854995635572949756965973887639715071778464090254579058134974994152908263922946576319535177502415671504776531174665734798165091195854912544627218114879219622395034107309027787897617356325649263378454700175924373864892487576877616527420894002302678502444629245062096500283711247494409049509649239/3524753807476539793784598957190444653674086939309769895171452595448203138592499820730687220579507474246108380826078818154247496803354873965029226459558967223074920043939561294660799848474897618266956890309878118318064185125018119242383194660704190055847253276479440306123177107472267055617530789021200616080787182940578460693359375,2469515975554866982636969668107522583626707264272380267547590656/7163461019631777598047429,11111873809383142212652800777028888388079034452312644265893972278774588014561031397691993082783134307050191347673084087701461996635273474745010096536281779179492732224065499682103167750559336611405839721829486573282767495429977835128039011596243908210033416388833709127709377995074635030381981023319351045596296532986246091731546972905695299033285250049890053639388381591126652362/15092614934044503295420172088572711723845386993293967717551293737651036801740292026191087896831815706863860844798341227653031296662693555601472549017268214972854954150405175675854368138488264629099120539738878551270115264900743066603644026902227529139080022654242293440154816587057329446960728888617494411484877140607226793818303718869123582928172818814502869345539076155982911586761474609375,17500183865677149425572803220170676200523352613417775903798005276661026490209300386275273886689858164985524762310836524746374670352635474789786507367314723281557634768402275700056128757930305126897041707027691572719369347074625852302985770755885534090356312443172507404086759382978690900533083683163863328475020911019137069105256087715612851777093775538570788238673952260030502166752346912/145311288676468746795783919026289188133623282042056124050321219584651813380214944052707626943996807252287769406668569925215610918017152399451096581058555204347432015993772642078053536049036944598570951499294037857073230037619356927879706214149054698455680320817135227125771650997036966365893385287477111396630140761735552348536849332198438907146422813794173774629948994443961419165134429931640625,7.36245763768743670905475e-13,0.000000120432376762143973588945
34,1321807751588384926198588644298027729527015570934856031221873488383014623411603889567217430729780511537081413395319922989337351400117923077016792219078384781717477641236996002928274969727557574185110842251847935220126452355200744207229278090012667318959291540142006326672062767190521358474490069644186177083709544710789822383532878805719152468189/8891616544618814085732025587327375562223796883599451782383326345353026154161166292093442530984540474883761853860617690621291640039133248649386537899268222675990210330131597487441126461905058181896959804336296233260395260295855797203971931600015064354197294719988646168865890386289100405314138386555109692970811083565930981321854562449581623077392578125,-170953857039484317767534616742171517441761777436201785696976896/4427218577690292387825,29094957397567647242750169289604435466809016525913541735568549472013966216299460619286780956154959015107857847967563875984754139619551646308450601525192741935500045571578966473165856058699622591457287097691071172979217302713896484721308998302659665899033610521758769796786138705057604270879801097583479286810213970747039828089285902306116653915729973067001876542925735779802601678159555928286699091566/64420408830250584812965311054576746735171753102140789492347255453837299459430487890435556815176950063637589892947873161288462652950841535890894690699151440040221597313666376834145090002303157044081082173308766733607532828442199540873054321862251817269280577932211718219813413699554160133398419113032178222861508074415823271796795159105679833215113365648448907472662447161400931186290288929711095988750457763671875,82009667171133825278593925586754397097282613218226390969358925645655878026983242307029104618255275817965583227733285032876322235045220893257243499370523748185107620159858501707475409748311199222453533470449756609095238690111197409576371489615826806097478885959291279826799119757134014769120580396547727497571775850173369435487112173079506216725927002272140582063776445371243360235735118111861806931275697454112/820793757266670339154021296831408104652147824568121069430167212203986653922836831830223657428407143578061078534302565301044155446623144596689866680685619356471092382738384755459739311393138103862163429573335267732217770429146569632927214022637680524893545763553881683573446803272991875810001685178269816981248721584699124821122649217715626550821321139319780312641772790134546105816494148554606945253908634185791015625,4.51641924133601817684457e-13,9.99150717766600157039372e-8
35,1257382546515676244289497454101958182613810653099450430139847109312626544239794550153456153010362688775091764318232186427926591178983287847176139696730516209163834152588116066278940683752177608003095404547321225669448896753524575799701683979818860163631716503356597574200834687631052450420250969771374427515513521330070614646372924434992509962525273784875411061018659/10184402978894960453237267861504402011167921105566121072243172957989635406892976705375170595973713668965315111940989186263063539145296289903324865907147790680680422526010606442585940656081573827585458054966423439905370862737274470385976918916873627189078361050826699445226243524729753331528845836341340262033048596367685984277964929484393270603935548602244567394256591796875,12694575747471857325821631532211302279635834742828594486049742258176/2766126167340894683920089,128799136478862040203478243884478830109075404388672432858001891979218207231224152106063681337954751860151924396827450176620139551043978707070098886329998644967501170729394110393678057271322571508362328939525647782544204072392856125056073806500210005319054233898530299116073144985702663308629240659767803852650094388587522490383689750198587082108163291709547729144380398139649130921432230004087604060712412994267531355349324/462915853410763995800339596122303563225793928997618232672924818999163420948620757277310928934454040688149358095958170637233523920203526897455623794617379810004413511504705648730784956044226413683403220661263797825659973778602672009038629139540579909333913077679934292997687388118181780120800571858267307531745551520412657648280890728252729447428802511287349186717442126183455422953121910379884049814296936852321983315050601959228515625,5479871474982497181707177630039652398663163039332533997828955389428557114555317758154109499217127656291761942225052798812503156885151385579454791038172284451431198601394500024135097950316518374779667820116935859159724454388408808486816273341112869717440953213056215122345326345697275110129012929388524805393436054903764906585695813513378236546462255426343035510136964764662247720178956571794563471299948110243538086371445505771671597216/65842153608996236065767496953551566917665041444930957837340269066237985412581174195721335943371892157568908928475418862285220355342366348057426903382305956640757999298942338506391320315140378716298674071004380919630953521938227614264396083684573561048742859082015876261443894060092111177356391157417159542499219195817401751933201278419202800179100767709251962732704972590567661486988439068064997496363048725208160121890832670032978057861328125,2.78234446994783190081424e-13,8.32274033368459535647398e-8
36,7435265853139960297283349277751545524199760901980044579709692069885000602288122424203327755184812425201615437922464825959155966396453155192607637294745841903838778315143221423204000748912147521979868914153129360645208329566454257050831929050284039415156049306337408024128808262022247740168772131329090497786267033909070790035987964191289038073132746814752094280596715057649085748434337098681/72224140342444244570673778080352852649677493194463444859342111186124275641270942352666036197589139673674422025374023659229688931547619711543972612451418041402149133214743243282489840301195480338555047900288403899279456734791487838854245477387242260253518985302125105800905705165629598826269504853483508659810429785337880796190879206748115658354447399844309033559751213586112579912912845611572265625,-1720108698416499496999946801553672680321753019867815966540782049355548852224/2977234437189948259635024365925,34578845301783141503128659460191625019795497359475528610377459875936224064508393643646938003763092145386111487574678998302586797200378338148979692429499935504514149903488779791519780754472424617933493531298101450726429589647626451011669242251891027361084513765946294658263550610683796799193669803387374544558809667426105850582128785744574425619325452901121065413738345891189234506664720738468013177974928054097882949455088109271725130889372712304376303098/200920957052466859879397898201027161735131989991253591918200188585357256803062281397886729981375840497508737883834183942024052270082542753159807327218361924022107586235423270006861709635158046936248708948890635720234982661291187066320446196619529051205013849341004522871136574012305128080254261154570370201273590639737903288608749569850581846383382995005992210791121402274841543237795879459120721703265281787203006418731835368293204083762851290521211922168731689453125,21166591916719796407821461473608729644548608579018140244318388819529289084375939412654474677731717604447263823869592676653043779535391213362810778749468401624397321784381103181085169955551793167679640902368997413300056864000401926755579837439664599851848147550872380978583959793286875271906671318363348105702822694660767803736460164329776667526254582098541247068160207086864824081941151508329084960151112877348206876294525321969645901816067933109702653519955616/304146402877587448441290396359353042993548425216117822628468175381504104334910792941755141714926731028338915145253581196641913986822197745608882651293850618932548180998576509643414514585330988481477403454742705448062129716633448311402510297635066912374562249002438039208601235890186661772861954958753312690001306931713339840554529165370146831681267836476960686059954416287604170956296514777568064963658454081545835404502319594205308934136426265467889606952667236328125,1.72101734976075710654402e-13,6.95934317041352810424375e-8
