n,numerator,denominator
91,-3443561607162303434774015250548618206863105663144724805805102055918322921266315813406049965295120942717796169572332322468377151907939973607561375916076901798700130506837085960781834541829351899931871707161900033513072089844142601685694926108375962782611555664029265431103074885930303814380000641024,9262160428797908298367712798051716427439534604550858259450917848098735048070974483451528089269536781975775606467000797621514494165139951217562490796151466073643454067953371284908802017697217553975704022529316716827452182769775390625
92,1598225466146571765058465089501521021028537594200386485445763276562866757485487208868339877728140907436630962972086713514396909989245558309720655394250551883611216884860884943383645259098277179328584420403599120036595644899104100633980474224699150739034827430776653185742049883777671883311638424584192,298606834105893128098080205559723646512804150842491754308213393722507105986400853417190814032929150618909160045112180644445727847098666877985923118766066279472815019176693899593749969274773675789442063486895858659408986568450927734375
93,677149100540124597043455941736727362909800888270900320928282054550931452674989708742156245021208102562170215278477832040787087021467364820098541982529369113662270259545151809274729103856899752200785882785682945405808034535506422658395291428903525951152384603097205519466058389549757730828154615042670592,8496486830256973154336450889509259473599318107071029575938028586876593484613593996285465612269570331644905256426931820381251588839214690707256571769281510562111558125421872769890091743382973421827115414877813964267261326313018798828125
94,-10456080432425793750595230577500632415610749432403269197070245163233953205563372800411097126670201359143015333753698896907662306567181400126867260976411825611319257919460832692904547193736594712638229989723477905206357884688045236244898681255953783767887610568715237339607921100622662554326304625480592601207187439616,8916269960712408257908136054663592660158637642075352290140836682889873543999449647718080143429615101742846567396551980859356340001064975545906443954608795814304202657664797158459425580845472967170113868569828896709968268623924814164638519287109375
95,-92074401555290018118687238943131901037062167156821876193914650366862435346957235593073068612597139452083825938281759592297251539855144666882514242980306699741463588359303407194082973234448510160466712934855449499042214118181206708603583606127256806136012028324071088100553864927733994844513021064085683737833410849144832,5162520307252484381328810775650220150231851194761628975991544439393236781975681346028768403045747143909108162522603596917567320860616620841079831049718492776482133338787917554748007411309528847991495929901930931195071627533252467401325702667236328125
96,101277238115372202986394780965248587547953685706242202394146738773464067329688149557006999821109789867293005872048213360767141003911601288217540371692737233294923457241277306885845071903518357383106037295998489615825375359506095275461070896517057126040214559964557694363788938597182855421676925618627530311147785830793216,377745388335547637658205666510991718309647648397192364096942276053163666973830342392348907539932717847007914330922214408602486892240240549347304710955011666571863415033262260103512737412892354731085068041604702282566216648774570785462856292724609375
97,934191964205184163173788892811301662066562875714067198440708419875394272143332743925036629287677569488884249561838909318102461707419195069701667307046808985162760579865610533202116466711224976995334285070153189600679526621124193899572257276932914009205379203174620855380646417300223974976170811922580562944461845646485995121012637696,224407513062455320963718976164133330585386247323710122723369703446323591398475802088845646658979424172618205575645406325314007092650457783142298447377355034789802779447343121550493365422124743077619720406811107951825744324978776656416812329553067684173583984375
98,-62492144732545203495806709784050125449972397506836064505514913488716209176136888844929295308932717238934390454605209878348571708772542818347966873668315730974253229443263177850197038459722299738299374373770074649497316081576410373924085534735161812698660629237824431255959950473034385305227314341225411708988877903039949289847890378752,977892593418144719820001669853924075616610143447116374203297174871935650108686524430955117192778950591628238895330712235127461564323527711941256737841466830434396053504115646464558679978164026403934110093914098155036272715418464699860123801045119762420654296875
99,-92937401527167756785122765981801579645176776303549500220442768725544843457006640395023658447861585959762099354081580473000389049988300646375896816707497293649964097505114191917601355338995778650786928338094601161452280717476381016756990331041360038868676270333346322031819297776511164927646622088698995578823586116102023910665100460032,91782109133331235406718585592592554254036713623376302762629627511387429137855711701558016251708643227485546057543028711723541151618399152685055153974159138458218035622331932107086918810464812708841497887325575323525898169910250968632681178860366344451904296875
100,286963555752211476159471775437471063086569151290186442194053554528679600157196528770307365320359888776152752617438295984493215393226581286589774022685233240706010321447386499948883158895542814541832400571659195241220800803078829104356145980901902838194984183119334265895595697080827843971026521005285659029378949489135420775235525718770188288,18086123515268586593070930883948325778529204603054417340889981249256449848760157269350514892480446691192164278369141522788682401632163645032353543366377929028884155009558618881362012786196143668340761366186941245377395863871664504623912989700329490005970001220703125
101,431364958598167848866999494350802797573486944885058718880542983162543348445862089618107084829855089108411732267397934689886979309004267177656350304177695183308125996921557817362904774832154288642420517539889922410663060700333577877062160184976895514576072415078687800739745560221483389144008876692325631893956259314562498617743516781488543629312,1682009486919978553155596572207194297403216028084060812702768256180849835934694626049597885000681542280871277888330161619347463351791218988008879533073147399686226415888951555966667189116241361155690807055385535820097815340064798930023908042130642570555210113525390625
102,-6227522959538974688291995725627001066421364444815823631376361894853986081047946121919652277325726925410566078697432288018688591323212708148565313609671324309630458426394296173469384873872579129568236830951332314067772188911828298391956806110070667473451389830417271458856771887261761225535165996308216614959621607130275859537793440608796623656452096,1518854566688740633499503704703096450555104073359906913870599735331307401849029247322786890155615432679626763933162135942270759406667470746172018218365052101916662453547723255037900471771965949123588798771013138845548327252078513433811588962043970241211354732513427734375
103,-10821908968816898939778644881825586645420541087247468832142057536893096971838072559304482130947476094392535569696417152136492731600543246275135897640507200215235378098797725699636424721490589563629382841932271884783702897780021066762620479237960605701363913838090329229121204356621342365887787602519209256839267230031062364707228278246556957645878608265216,160140431238827368693020173105370974264277397974701785463946683094656395913952398691478035763557313144576447855292949803073317518041984778122646740853319268365583305789804201394921036241277229845845584998421770294180387883822898063893924882213106002382119186222553253173828125
104,1452096362447573897258894300784841765701501215937251637997592079788521858904426231208499184060667594827438026705399345738970391969839989074893082081543560093949677350191790708539587784078421122614751610246365007008486880166895657664754552888023171321175216376942735409914847956511101833654606928188660504116610084792223169528402382972118277125723291342369456128,1317795608664310416974863004484097747220738707933820992582817255185927481975914288832172756298313129866719589401205683929490329855967492739171260030481964259380385023344298773278805207229470324401463318952012747750810411895978628167783107855731649293602458783425390720367431640625
105,73185838380687155960054067990232190950209890698774745413449979454828954706303079050270927181347820420706922269048920384152145700210336919357315247133256985714317037903810117056039570250022056217747348578261860444175990077048532784946298577202420172647054719286300409822749683695061472570268571132605021272694390472445161250023248950697374556118260217065982918656,3953386825992931250924589013452293241662216123801462977748451765557782445927742866496518268894939389600158768203617051788470989567902478217513780091445892778141155070032896319836415621688410973204389956856038243252431235687935884503349323567194947880807376350276172161102294921875
106,-3996714889370259273984395412100872516086060157875402093771496347858432321380482431581402773579082355362027973879843945313061575471249420954374986458823308870304255996416676627762344924661310951095177357959135212205105991961784172784186520400732072340587128929130806104468383425648786150485277650796048082072004606693561145359310555905001398306322560765253978744160256,12986875723386779159287274909190783298860379966687805881903664049857315334872635316441062513319875894836521553548882015125127200730559640944532767600399757776193694405058064410662625317246430046976421008272085629084236609234869380593502527918235403788452231310657225549221038818359375
107,-13949105340804955529788050280352294236359257215903075948883771606073839809779242014501496050978108956519806199155729388828695839290421714742063154696279629596783914345836940256360332748904772037518342822445077789086805336333552197152908496900214901368800807441942501263662278531647058112641929797633600096408135046108534464300072500589290089199676473967012833914781696,2647809613506042352864395855271907274524931837868387606990067427640811864391508171313226337667159163024921870141034197258521079760599538445001826403964999158253083325303100510911797394778398359092280011395279594279310376640118999926830612488183917277257251043920405209064483642578125
108,44447261096263645641942397549202081709170886420460425563356678003870795333908378703514109482955624132275874877497174197697787127371954766799539607677881475983625035690955975134500950878215678464282455814374062257980951210242142699894144937537474266788734812273428734406477688217265254901731545227112378779013901145032356933800976006772941183598480866995172428813959168,497975149466443753521058015385891264655023699270439300401662102946446053619583703551909274704292258901217807591953479581791243850289261947355790845298347376689106967448970211729607665846941626877367330201546801358677362374800225792690602105203183468455563343013636767864227294921875
109,57300290709896365116872763876320575109034265140405188086927385896027745434116002616134905556314309366410880493410246213647144812405373231405170405783177497334965986228517140906096065259474263996748581948305063094448863329274549588528911976765889447294352123569533984776855674118719879175298995234269123822738858907521699011595196294715575360918860833536505034554330111279104,36817792675801518916579424367555870652269177205559929675196887581345488974363921122110412225261848161861538604311080512879735614071136582077750396147133313295509123638339612604228542774393629183178153558451362758453810787180854693982579666648197369740262075765713234432041645050048828125
110,-546600609568803653866516276984878466223605993701352608901818134031513381412175069266622374108764091503407581805655304335340851750183364161906353039131299586977793024062646735642795335425829560103536312794048855214908564183135106337979915327156733202105190776615992711281328978223457812583915096756411844277383822284947461488100967088450010992785570107098835062513827550106484736,20347433160961439432549611440695768341782326585211837656583810349847065667527817451441106512839276173279218139104267147791926930019922482382186316757661371534748542198562383296189087269796409589016413473107620522726364735471993218052720440989792902902977010654694822733290493488311767578125
111,-669633044496918249582711643957476498318999265212004601498812200896143588281891763230978871180460899565039970829391318731537109536505297082038170565569043195012073641495278934252904273390505243205724212734514207649212698421544325164979891847958122307771117643179298475721462443642170781928164212916318278472432587083992945372782024202104516343722387055879877313317686837811060146176,1403972888106339320845923189408008015582980534379616798304282914139447531059419404149436349385910055956266051598194433197642958171374651284370855856278634635897649411700804447437047021615952261642132529644425816068119166747567532045637710428295710300305413735173942768597044050693511962890625
112,554844607590597662383074355198260009677004528083576058563253494235692409099232527864741925593915604566851280017419364895703626210417771947993367333386457248727237333732023196939244253896572798748152737193169570590068130219807926577422125169710516863290202601112035979592138374643272550139718418802870316956542909173114958542206056553795437217837861390612604372383103754064270589946170118766592,66175291058143567341139809471120583500960009909071147485604247958292367681087064643638287474389726457456149589572958007546040513596798911295625737792511844852355652308743050061069252716221584719518958544879195514365758811727893836576782416856243334984259227675649202719654340398847125470638275146484375
113,6889094681602323496805681860651702813104795793056498016884487366850045869684265656127820712366248976458297118287419120921004251992958848723931507988127846970352158161933727649437008804548777621844193475158878873006935252530702411371106808686426658553199193921406720829429623333407519509436651546887044143223880721448584403522741572532919673953863059124449397512930776956087484745312063368191803392,45462424956944630763363049106659840865159526807531878322610118347346856596906813410179503494905742076272374768036622151184129832841000852060094881863455637413568333136106475391954576616044228702309524520332007318369276303657063065728249520380239171134186089413171002268402531854007975198328495025634765625
114,-369891452593350890835392460242975712228586712617772286994532479554839504503954385559667970053532208324350049141380965956096081771874173735136856739612351352359986163702640341975746625824559757268877283913805894191895026594777404777361995511257816485212799431882333106515208842338987936646109535972085966183186539640054183275157923695336239325260566408119305145456446098179162893861944906539729944576,136387274870833892290089147319979522595478580422595634967830355042040569790720440230538510484717226228817124304109866453552389498523002556180284645590366912240704999408319426175863729848132686106928573560996021955107828910971189197184748561140717513402558268239513006805207595562023925594985485076904296875
115,-1684832545481460305671927622767814966966545807417810592984677982160238068187885316913200356316953967006115371840839291614928714520073484135822259559850439682510576607847915258763400232748689807580665958719182326275370180235883964350474410677797249236943031480655354047537941084700920672530566728805800468170718872869792318303818616050536884951163601134039713634416713084217060838265402994888103192054529523712,33778516049805797872187292426642302639343478262479948710135141760457702535293979833417993387332416223873074239069670445410800004733255177834419270387443245904885208913885729542365309051357651741905501881343749557797797250012939073379959416321960754707097975535086852653324803325869396530833910219371318817138671875
116,92071458626657729427546332563738511117493230869320041064026191726439920799647351140837618033752586355399120320909134417833176778395294067147260672974206807997639451711352365777434919200426017437971445999273868086499919050946756968826712854137912378023109967220924085442509243356026500882630521682295746352553491620724066547981921954411132404037600792492195555012611812877769180269608863353577894804302701002752,101335548149417393616561877279926907918030434787439846130405425281373107605881939500253980161997248671619222717209011336232400014199765533503257811162329737714655626741657188627095927154072955225716505644031248673393391750038817220139878248965882264121293926605260557959974409977608189592501730658113956451416015625
117,36175260782370625484224597066777793990504856080918430272982267604434559025262679929582835326353318123431109332336432013944003540939358725987643871482334673905096511481587811048371051830480363952052589780075788362571718378200335606883230360250667842122766530302128057804976249601431874579690906282704719526540027476002106952517763587254174783451127216325473486661296452694812746303444611387024199518465323159257088,2128046511137765265947799422878465066278639130536236768738513930908835259723520729505333583401942222104003677061389238060880400298195076203568414034408924492007768161574800961169014470235532059740046618524656222141261226750815161622937443228283527546547172458710471717159462609529771981442536343820393085479736328125
