theta,x,rate,center_series,lambert_rate,lambert_theta
0.6163522012578617,0.10145506365316055,0.03107183246918896,0.03107183246918866,,
0.628930817610063,0.10347342622666178,0.03232854561243292,0.032328545612433174,,
0.6415094339622642,0.10548873311741312,0.033608705879212,0.03360870587921152,,
0.6540880503144655,0.1075009333136482,0.03491220335221621,0.034912203352215815,,
0.6666666666666667,0.1095099763525645,0.03623892655169631,0.03623892655169556,,
0.679245283018868,0.11151581232642563,0.03758876246718542,0.03758876246718498,,
0.6918238993710693,0.11351839188843395,0.038961596589457345,0.038961596589456415,,
0.7044025157232705,0.11551766625837648,0.04035731294268593,0.04035731294268494,,
0.7169811320754718,0.11751358722804355,0.04177579411680787,0.04177579411680649,,
0.729559748427673,0.11950610716641774,0.04321692130005216,0.0432169213000507,,
0.7421383647798743,0.12149517902463688,0.04468057431163597,0.04468057431163379,,
0.7547169811320755,0.12348075634072445,0.04616663163459216,0.046166631634589485,,
0.7672955974842768,0.12546279324409768,0.04767497044873137,0.04767497044872842,,
0.779874213836478,0.1274412444598414,0.049205466663703276,0.04920546666369955,,
0.7924528301886793,0.12941606531276137,0.05075799495215256,0.05075799495214742,,
0.8050314465408805,0.13138721173120446,0.05233242878294378,0.052332428782937694,,
0.8176100628930818,0.13335464025065813,0.053928640454452614,0.05392864045444424,,
0.8301886792452831,0.13531830801712158,0.05554650112788467,0.05554650112787424,,
0.8427672955974843,0.13727817279025448,0.05718588086063276,0.05718588086061945,,
0.8553459119496856,0.13923419294630293,0.05884664863963327,0.05884664863961622,,
0.8679245283018868,0.1411863274808029,0.060528672414719,0.060528672414697844,,
0.8805031446540881,0.14313453601106496,0.06223181913195208,0.062231819131925825,,
0.8930817610062893,0.145078778778439,0.06395595476691476,0.06395595476688211,,
0.9056603773584906,0.1470190166503644,0.06570094435795104,0.06570094435791105,,
0.9182389937106918,0.1489552111222012,0.06746665203933981,0.06746665203929039,,
0.9308176100628931,0.15088732431885332,0.06925294107438608,0.0692529410743253,,
0.9433962264150944,0.15281531899617568,0.07105967388841651,0.07105967388834178,,
0.9559748427672956,0.15473915854217565,0.07288671210166467,0.07288671210157373,,
0.9685534591194969,0.15665880697800466,0.07473391656203372,0.07473391656192283,,
0.9811320754716981,0.15857422895874884,0.07660114737772064,0.07660114737758593,,
0.9937106918238994,0.1604853897740147,0.07848826394969252,0.07848826394952874,,
1.0062893081761006,0.1623922553483145,0.08039512500399457,0.08039512500379685,,
1.0188679245283019,0.16429479224125826,0.08232158862389313,0.0823215886236547,,
1.0314465408805031,0.166192967647547,0.08426751228181996,0.08426751228153309,,
1.0440251572327044,0.1680867493967769,0.08623275287112424,0.08623275287078007,,
1.0566037735849056,0.16997610595305362,0.08821716673761189,0.08821716673719987,,
1.069182389937107,0.17186100641442006,0.09022060971086161,0.09022060971036969,,
1.0817610062893082,0.17374142051210237,0.09224293713531055,0.0922429371347245,,
1.0943396226415094,0.17561731860957508,0.09428400390109479,0.09428400390039826,,
1.1069182389937107,0.17748867170144778,0.09634366447463527,0.09634366447380925,,
1.119496855345912,0.17935545141218065,0.0984217729289629,0.09842177292798542,,
1.1320754716981132,0.18121762999462787,0.10051818297376905,0.10051818297261488,,
1.1446540880503144,0.18307518032841225,0.1026327479851727,0.10263274798381264,,
1.1572327044025157,0.1849280759181381,0.1047653210351986,0.10476532103359927,,
1.169811320754717,0.18677629089144113,0.10691575492095393,0.10691575491907701,,
1.1823899371069182,0.18861979999688258,0.10908390219349887,0.10908390219130047,,
1.1949685534591195,0.1904585786016871,0.11126961518639894,0.11126961518382898,,
1.207547169811321,0.19229260268933226,0.11347274604395713,0.11347274604095846,,
1.2201257861635222,0.19412184885698808,0.11569314674911202,0.11569314674561952,,
1.2327044025157234,0.19594629431281618,0.11793066915100296,0.11793066914694271,,
1.2452830188679247,0.19776591687312453,0.12018516499218646,0.12018516498747443,,
1.257861635220126,0.1995806949593892,0.12245648593550684,0.12245648593004799,,
1.2704402515723272,0.20139060759514046,0.12474448359060869,0.12474448358429541,,
1.2830188679245285,0.20319563440271982,0.12704900954008833,0.12704900953279893,,
1.2955974842767297,0.20499575559991154,0.1293699153652792,0.1293699153568767,,
1.308176100628931,0.2067909519964505,0.1317070526716652,0.13170705266199526,,
1.3207547169811322,0.2085812049904118,0.13406027311391822,0.13406027310280705,,
1.3333333333333335,0.21036649656448456,0.1364294284205554,0.136429428407808,,
1.3459119496855347,0.2121468092821335,0.13881437041821126,0.138814370403609,,
1.358490566037736,0.2139221262836532,0.14121495105552384,0.14121495103882176,,
1.3710691823899372,0.2156924312821165,0.14363102242662773,0.14363102240755193,,
1.3836477987421385,0.21745770855922192,0.14606243679425365,0.14606243677249822,,
1.3962264150943398,0.21921794296104352,0.14850904661243075,0.1485090465876543,,
1.408805031446541,0.22097311989368665,0.15097070454879002,0.15097070452061231,,
1.4213836477987423,0.2227232253188521,0.1534472635064647,0.15344726347446266,,
1.4339622641509435,0.22446824574931457,0.15593857664558947,0.155938576609293,,
1.4465408805031448,0.22620816824431508,0.1584444974043912,0.1584444973632783,,
1.459119496855346,0.22794298040487504,0.1609648795198762,0.16096487947336827,,
1.4716981132075473,0.2296726703690332,0.1634995770481096,0.1634995769955659,,
1.4842767295597485,0.23139722680700606,0.16604844438408245,0.16604844432479424,,
1.4968553459119498,0.23311663891628281,0.16861133628117622,0.16861133621436047,,
1.509433962264151,0.2348308964166483,0.17118810787021121,0.17118810779500374,,
1.5220125786163523,0.2365399895451465,0.17377861467809136,0.17377861459353955,,
1.5345911949685536,0.23824390905098064,0.17638271264603594,0.17638271255109073,,
1.5471698113207548,0.2399426461903577,0.17900025814740417,0.17900025804091138,,
1.559748427672956,0.2416361927212774,0.18163110800510995,0.18163110788580128,,
1.5723270440251573,0.24332454089827193,0.18427511950863112,0.18427511937511443,,
1.5849056603773586,0.2450076834670959,0.1869321504306101,0.18693215028135846,,
1.5974842767295598,0.24668561365937353,0.18960205904305177,0.18960205887639242,,
1.610062893081761,0.24835832518720158,0.1922847041331141,0.19228470394721606,,
1.6226415094339623,0.2500258122377161,0.1949799450185007,0.19497994481136197,,
1.6352201257861636,0.2516880694676203,0.19768764156244867,0.19768764133188219,,
1.6477987421383649,0.253345091997682,0.20040765418832168,0.2004076539319406,,
1.6603773584905661,0.2549968754071988,0.20313984389380446,0.2031398436090058,,
1.6729559748427674,0.25664341572843635,0.20588407226470357,0.2058840719486521,,
1.6855345911949686,0.25828470944104276,0.20864020148835877,0.2086402011379683,,
1.6981132075471699,0.2599207534664389,0.2114080943666622,0.2114080939785766,,
1.7106918238993711,0.261551545162191,0.2141876143286946,0.21418761389926738,,
1.7232704402515724,0.2631770823163655,0.21697862544297697,0.21697862496824952,,
1.7358490566037736,0.2647973631418693,0.21978099242934201,0.21978099190502065,,
1.748427672955975,0.26641238627077823,0.22259458067042964,0.22259458009186064,,
1.7610062893081762,0.2680221507486561,0.225419256222808,0.22541925558495218,,
1.7735849056603774,0.2696266560288665,0.22825488582772574,0.22825488512513056,,
1.7861635220125787,0.27122590196687935,0.23110133692149665,0.231101336148267,,
1.79874213836478,0.2728198888145759,0.2339584776455229,0.23395847679529036,,
1.8113207547169812,0.2744086172145514,0.23682617685595664,0.23682617592184674,,
1.8238993710691824,0.2759920881944215,0.2397043041330102,0.23970430310760787,,
1.8364779874213837,0.27757030316113135,0.2425927297899122,0.24259272866522524,,
1.849056603773585,0.27914326389527083,0.2454913248815181,0.2454913236489387,,
1.8616352201257862,0.28071097254539756,0.24839996121257663,0.24839995986284072,,
1.8742138364779874,0.2822734316223701,0.25131851134565925,0.25131850986880383,,
1.8867924528301887,0.2838306439936924,0.25424684860875346,0.25424684699407146,,
1.89937106918239,0.2853826128778719,0.25718484710252737,0.25718484533851976,,
1.9119496855345912,0.28692934183879315,0.260132381707267,0.26013237978159354,,
1.9245283018867925,0.2884708347801082,0.26308932808949453,0.2630893259889209,,
1.9371069182389937,0.29000709593964624,0.2660555627082689,0.26605556041861134,,
1.949685534591195,0.29153812988384287,0.2690309628211737,0.26903096032724144,,
1.9622641509433962,0.29306394150219156,0.2720154064899982,0.27201540377553246,,
1.9748427672955975,0.29458453600171924,0.2750087725861168,0.27500876963372667,,
1.9874213836477987,0.29609991890148607,0.27801094079556815,0.27801093758666484,,
2.0,0.29761009602711136,0.2810217916238426,0.2810217881385682,,
2.01,0.2988069765197247,0.2834215342742587,0.28342153055421127,,
2.047782710450972,0.30329950777933823,0.2925362448336704,0.29253624009294327,,
2.0862756364288213,0.3078284861795359,0.30189762024466227,0.30189761421243744,,
2.1254921281164374,0.3123930045284134,0.31150980269042033,0.3115097950267884,,
2.1654457866450167,0.31699211628497687,0.32137688259185776,0.3213768728709919,,
2.206150468811229,0.3216248364437582,0.3315028932832859,0.33150288097274094,,
2.247620291883056,0.326290142545651,0.3418918057941612,0.34189179022946664,,
2.2898696384959654,0.3309869758140437,0.35254752376343773,0.3525475041169853,,
2.3329131616411227,0.3357142424145204,0.3634738785130064,0.3634738537560465,,
2.376765789747366,0.3404708148355676,0.37467462430642406,0.37467459316275303,,
2.4214427318587095,0.34525553338689213,0.3861534338186117,0.38615339470827603,,
2.4669594829091723,0.35006720781110906,0.39791389384141734,0.39791384481244835,,
2.513331829096753,0.3549046190037301,0.4099595012489142,0.4099594398947601,,
2.560575853358433,0.3597665208355598,0.42229365924501067,0.42229358260492006,,
2.608707940948081,0.3646516420708199,0.434919673914427,0.4349195783535689,,
2.657744785119222,0.36955868837356043,0.4478407510962986,0.4478406321618732,,
2.707703392914616,0.3744863443942105,0.46105999359768834,0.4610598458466642,,
2.7586010910646697,0.37943327592746035,0.4745803987620556,0.4745802155554795,,
2.8104555319967264,0.3843981321320756,0.4884048564053378,0.48840462966337733,,
2.8632846999573065,0.3893795478027224,0.5025361471297188,0.5025358670407114,,
2.917106917249439,0.39437614568344065,0.5169769410224471,0.5169765956982416,,
2.9719408505872322,0.3993865388120485,0.5317297967442437,0.5317293718130096,,
3.027805517569896,0.40440933288449304,0.5467971610089208,0.5467966391353705,,
3.0847202932774582,0.409443128628002,0.5621813684528978,0.5621807287745048,,
3.1427049169904633,0.41448652417181986,0.5778846418903328,0.5778838593566237,,
3.201779499035985,0.41953811740434577,0.5939090929466524,0.5939081375470026,,
3.2619645277623217,0.42459650830562995,0.6102567230604024,0.610255558923964,,
3.323280876644802,0.4296603012444227,0.6269294248405775,0.6269280091900056,,
3.3857498115251627,0.4347281072293045,0.6439289837639519,0.6439272657024786,,
3.4493929979869984,0.4397985461038582,0.6612570801944813,0.6612549993035973,,
3.5142325088698616,0.44487024867636865,0.6789152917046046,0.6789127764271622,,
3.5802908319246005,0.4499418587751298,0.6969050956762249,0.6969020614571585,,
3.647590877612599,0.45501203522113126,0.7152278721574252,0.7152242193115149,,
3.716155987051626,0.4600794537106279,0.7338849069494511,0.7338805182226251,,
3.7860099401110388,0.46514280860090895,0.7528773948973337,0.7528721326849219,,
3.8571769636591577,0.4702008145934235,0.7722064433566238,0.7722001465387691,,
3.929681739965673,0.4752522083093073,0.7918730758081587,0.7918655561592476,,
4.00354941526199,0.4802957497532589,0.8118782355925218,0.8118692737180455,,
4.078805608462489,0.4853302236626331,0.832222789735924,0.832212130486648,,
4.155476420049723,0.49035444073954093,0.8529075328396121,0.8528948801493128,,
4.23358844112663,0.4953672387646513,0.8739331910055659,0.8739182020949443,,
4.313168762638903,0.5003674835922793,0.895300425772189,0.8952827046578875,,
4.394244984770727,0.5053540700272033,0.9170098380349005,0.916988928278878,,
4.47684522651711,0.510325922584466,0.939061971927944,0.9390373485588415,,
4.560998135436172,0.5152819961341842,0.9614573186453819,0.961428379179928,,
4.646732897584735,0.5202212764341028,0.9841963201810098,0.9841623746700823,,
4.734079247640681,0.5251427805532716,1.007279372968901,1.007239632989515,,
4.823067479215589,0.5300455571908121,1.0307068314082906,1.030660397919669,,
4.913728455361212,0.5349286868942419,1.0544790112586662,1.054424861237586,,
5.006093619273459,0.5397912821822662,1.0785961928930548,1.0785331646610095,,
5.100195005197574,0.5446324875773035,1.103058624399659,1.1029854015519678,,
5.196065249538308,0.5494514795532983,1.127866524524146,1.1277816183690657,,
5.293737602178939,0.5542474664045866,1.153020085446941,1.152921815861126,,
5.3932459380130435,0.5590196880417172,1.178519475391883,1.1784059499972117,,
5.4946247686930585,0.5637674157202105,1.2043648410645016,1.204233932630379,,
5.59790925459966,0.568489951708234,1.2305563099199153,1.2304056318947048,,
5.703135217036157,0.5731866288991309,1.2570939922619613,1.2569208723372303,,
5.810339150652088,0.5778568103746261,1.2839779831766758,1.283779434788436,,
5.919558236100365,0.5824998889243839,1.3112083643044676,1.3109810559766537,,
6.030830352932331,0.587115286527388,1.3387852054565097,1.3385254278934953,,
6.144194092735204,0.5917024538003884,1.3667085660817806,1.3664121969188467,,
6.259688772516493,0.5962608694183935,1.3949784965919827,1.3946409627153347,,
6.377354448339973,0.6007900395118951,1.4235950395521377,1.4232112769032828,,
6.497231929218007,0.6052894970452213,1.4525582307451437,1.452122641528234,,
6.619362791265001,0.6097588011800839,1.4818681001188114,1.4813745073338933,,
6.743789392116895,0.6141975366280711,1.511524672624065,1.510966271854048,,
6.870554885621716,0.6186053129955156,1.5415279689530217,1.5408972773376046,,
6.999703236806273,0.6229817641238381,1.5718780061855036,1.5711668085212147,,
7.131279237124176,0.6273265474281641,1.6025747983524021,1.6017740902643356,,
7.265328519990493,0.6316393432366967,1.633618356923968,1.6327182850616702,,
7.401897576608398,0.6359198541330485,1.6650086912307671,1.6639984904480896,,
7.541033772093349,0.6401678043034515,1.6967458088246135,1.6956137363110755,,
7.682785361900319,0.6443829388905105,1.7288297157863344,1.727562982125668,,
7.8272015085598445,0.6485650233549237,1.7612604169867492,1.7598451141267748,,
7.974332298728666,0.6527138428463756,1.7940379163067135,1.7924589424334807,,
8.124228760560857,0.656829201584598,1.8271622168215935,1.8254031981397503,,
8.276942881405501,0.6609109222514227,1.8606333209550217,1.8586765303856887,,
8.432527625837032,0.6649588453944757,1.8944512306063,1.8922775034231565,,
8.59103695402451,0.6689728288430231,1.9286159472553335,1.9262045936892513,,
8.752525840446157,0.6729527471363469,1.9631274720485292,1.9604561869008124,,
8.917050292955727,0.6768984909649179,1.9979858058686917,1.9950305751827209,,
9.08466737220722,0.6808099666245372,2.0331909493915337,2.0299259542424353,,
9.255435211444784,0.6846870954835304,2.0687429031310876,2.0651404206027753,,
9.429413036664561,0.6885298134630102,2.1046416674759305,2.100671968904577,,
9.606661187155566,0.6923380705301689,2.14088724271795,2.1365184892904963,,
9.787241136426658,0.6961118302044998,2.1774796290749636,2.1726777648807274,,
9.971215513526886,0.699851069076822,2.214418826708455,2.209147469351066,,
10.158648124766602,0.7035557763409407,2.251704835737331,2.2459251646232925,,
10.349603975846883,0.7072259533377485,2.2893376562485477,2.283008298677344,,
10.54414929440492,0.7108616131115645,2.327317288305255,2.3203942034944323,,
10.742351552983193,0.7144627799784757,2.365643731952991,2.3580800931396255,,
10.944279492430416,0.7180294891064513,2.4043169872243437,2.396063061992069,,
11.150003145742364,0.7215617861069816,2.4433370541424777,2.4343400831304804,,
11.359593862350831,0.7250597266379931,2.4827039327237204,2.472908006881013,,
11.573124332869163,0.7285233760177878,2.5224176229795097,2.5117635595341317,,
11.790668614302945,0.7319528088497541,2.562478124917776,2.550903342236559,,
12.012302155734575,0.7353481086575994,2.60288543854399,2.590323830063844,,
12.238101824490652,0.7387093675308518,2.6436395638618864,2.6300213712785077,,
12.468145932801217,0.7420366857803876,2.684740500873996,2.669992186778213,,
12.702514264960172,0.7453301716037383,2.726188249582024,2.710232369737772,,
12.941288104996161,0.7485899407599386,2.767982809987104,2.7507378854482574,,
13.184550264863667,0.7518161162536823,2.8101241820899796,2.7915045713558952,,
13.432385113163978,0.7550088280285533,2.8526123658911446,2.8325281373028255,,
13.684878604406082,0.7581682126691058,2.895447361390918,2.8738041659711815,,
13.942118308817516,0.7612944131115749,2.938629168589503,2.915328113531437,,
14.204193442715654,0.7643875783629982,2.98215778748703,2.957095310495277,,
14.471194899449847,0.7674478632285412,3.0260332180835814,2.9991009627727467,,
14.743215280925222,0.7704754280468151,3.0702554603792045,3.0413401529327926,,
15.02034892971903,0.7734704384329886,3.114824514373936,3.0838078416657866,,
15.302691961800695,0.7764330650294945,3.1597403800677952,3.1264988694460274,,
15.590342299866936,0.7793634832641397,3.2050030574607913,3.169407958391689,,
