alpha,beta,m,r,n,base_exponent,predicted_bit,actual_valuation
-4,-5,3,4,48,9,0,13
-4,-5,3,5,96,12,0,16
-4,-5,3,6,192,15,0,19
-4,-5,3,7,384,18,0,22
-4,-5,5,2,20,3,0,6
-4,-5,5,3,40,6,0,11
-4,-5,5,4,80,9,0,13
-4,-5,5,5,160,12,0,16
-4,-5,5,6,320,15,0,19
-4,-5,5,7,640,18,0,22
-4,-5,7,2,28,3,0,8
-4,-5,7,3,56,6,0,10
-4,-5,7,4,112,9,0,13
-4,-5,7,5,224,12,0,16
-4,-5,7,6,448,15,0,19
-4,-5,7,7,896,18,0,22
-4,-5,9,2,36,3,0,5
-4,-5,9,3,72,6,0,9
-4,-5,9,4,144,9,0,14
-4,-5,9,5,288,12,0,17
-4,-5,9,6,576,15,0,20
-4,-5,9,7,1152,18,0,23
-4,-5,11,2,44,3,0,8
-4,-5,11,3,88,6,0,12
-4,-5,11,4,176,9,0,15
-4,-5,11,5,352,12,0,18
-4,-5,11,6,704,15,0,21
-4,-5,11,7,1408,18,0,24
-4,-5,13,2,52,3,0,7
-4,-5,13,3,104,6,0,13
-4,-5,13,4,208,9,0,14
-4,-5,13,5,416,12,0,17
-4,-5,13,6,832,15,0,20
-4,-5,13,7,1664,18,0,23
-4,-5,15,2,60,3,0,12
-4,-5,15,3,120,6,0,14
-4,-5,15,4,240,9,0,17
-4,-5,15,5,480,12,0,20
-4,-5,15,6,960,15,0,23
-4,-5,15,7,1920,18,0,26
-4,-4,1,2,4,3,0,7
-4,-4,1,3,8,6,0,10
-4,-4,1,4,16,9,0,13
-4,-4,1,5,32,12,0,16
-4,-4,1,6,64,15,0,19
-4,-4,1,7,128,18,0,22
-4,-4,3,2,12,3,0,7
-4,-4,3,3,24,6,0,10
-4,-4,3,4,48,9,0,13
-4,-4,3,5,96,12,0,16
-4,-4,3,6,192,15,0,19
-4,-4,3,7,384,18,0,22
-4,-4,5,2,20,3,0,7
-4,-4,5,3,40,6,0,10
-4,-4,5,4,80,9,0,13
-4,-4,5,5,160,12,0,16
-4,-4,5,6,320,15,0,19
-4,-4,5,7,640,18,0,22
-4,-4,7,2,28,3,0,7
-4,-4,7,3,56,6,0,10
-4,-4,7,4,112,9,0,13
-4,-4,7,5,224,12,0,16
-4,-4,7,6,448,15,0,19
-4,-4,7,7,896,18,0,22
-4,-4,9,2,36,3,0,10
-4,-4,9,3,72,6,0,13
-4,-4,9,4,144,9,0,16
-4,-4,9,5,288,12,0,19
-4,-4,9,6,576,15,0,22
-4,-4,9,7,1152,18,0,25
-4,-4,11,2,44,3,0,8
-4,-4,11,3,88,6,0,11
-4,-4,11,4,176,9,0,14
-4,-4,11,5,352,12,0,17
-4,-4,11,6,704,15,0,20
-4,-4,11,7,1408,18,0,23
-4,-4,13,2,52,3,0,9
-4,-4,13,3,104,6,0,12
-4,-4,13,4,208,9,0,15
-4,-4,13,5,416,12,0,18
-4,-4,13,6,832,15,0,21
-4,-4,13,7,1664,18,0,24
-4,-4,15,2,60,3,0,8
-4,-4,15,3,120,6,0,11
-4,-4,15,4,240,9,0,14
-4,-4,15,5,480,12,0,17
-4,-4,15,6,960,15,0,20
-4,-4,15,7,1920,18,0,23
-4,-3,1,2,4,3,0,infinity
-4,-3,1,3,8,6,0,8
-4,-3,1,4,16,9,0,11
-4,-3,1,5,32,12,0,14
-4,-3,1,6,64,15,0,17
-4,-3,1,7,128,18,0,20
-4,-3,3,2,12,3,0,5
-4,-3,3,3,24,6,0,10
-4,-3,3,4,48,9,0,12
-4,-3,3,5,96,12,0,15
-4,-3,3,6,192,15,0,18
-4,-3,3,7,384,18,0,21
-4,-3,5,2,20,3,0,8
-4,-3,5,3,40,6,0,11
-4,-3,5,4,80,9,0,14
-4,-3,5,5,160,12,0,17
-4,-3,5,6,320,15,0,20
-4,-3,5,7,640,18,0,23
-4,-3,7,2,28,3,0,5
-4,-3,7,3,56,6,0,9
-4,-3,7,4,112,9,0,14
-4,-3,7,5,224,12,0,17
-4,-3,7,6,448,15,0,20
-4,-3,7,7,896,18,0,23
-4,-3,9,2,36,3,0,7
-4,-3,9,3,72,6,0,8
-4,-3,9,4,144,9,0,11
-4,-3,9,5,288,12,0,14
-4,-3,9,6,576,15,0,17
-4,-3,9,7,1152,18,0,20
-4,-3,11,2,44,3,0,5
-4,-3,11,3,88,6,0,12
-4,-3,11,4,176,9,0,12
-4,-3,11,5,352,12,0,15
-4,-3,11,6,704,15,0,18
-4,-3,11,7,1408,18,0,21
-4,-3,13,2,52,3,0,8
-4,-3,13,3,104,6,0,10
-4,-3,13,4,208,9,0,13
-4,-3,13,5,416,12,0,16
-4,-3,13,6,832,15,0,19
-4,-3,13,7,1664,18,0,22
-4,-3,15,2,60,3,0,7
-4,-3,15,3,120,6,0,11
-4,-3,15,4,240,9,0,15
-4,-3,15,5,480,12,0,18
-4,-3,15,6,960,15,0,21
