n,numerator,denominator,decimal,v2
43,8755378199227406238744346084971712310896951711865612116993498969122241951001620089682707635505498139280946788490439521502917999876589792710372896484864375551612889586998341400432468768811420396931948316879858053340074589117790786180715912207657463336288393413308245639870205255438011481735085169473371478943827675262677467169093073923642530463174290584665432306843825223886891736508552659237915215633820105333845065203847090511354279225021534098023030561945603528799796905618861328902815451656402046946734751473540604304069666849,2780840897280899873261129262316144794269539731042820796447787323985050822490190179177772227146619759597792558369322390069656236821042316433747174757818461011117377709656698557979881441703051763762083933213433015687599183314896125103257796321555623724971529486039213592529669847388064357988731534199635964217923270227521781327557839461772311858945937082840783006961895985100520783886814927809458913676294350807666717835197615529614906481686893721175478394974393660456705785691805637677722939065057128900758481900951486229896545410156250,3.1484642676926952e-06,-1
44,-425701453515802056535491938069026949983291713676131511295049817873148831486316407755858083107622516737601022780365818654909074116474859832126728641791217872593279995411817077611492975787653713303452462840621915084949484619476801386907873873127698847273857892451101964865052740618066636919280040436304375134501416218910221821631655132038697634489644523497863469500256366733685434917739292425976696125674659915656737635685581681922159544837562189846599360793201281130865122604634194175487207744839768464901482063707891457275325284477769055184630725812259743,201299564393402833281012053981598347829357242399557474798467028186265351587286891506408516775462192705545607181324277449765131290149131366329330894317860790249863392666251035661240420024957676707137093643443732309492885213472237727233057158920476987104293849695003101407465810106118203496731731558065638550369332221188015372933707926275112105016480964051268428869571595845114012880778979224483970790954562179746517980487651646645044525363082892928168626669927904967894196295354927859381157047774854729792015383845567410135791621128352876591008305549621582031250,-2.1147658952895058e-06,-1
45,15572780406347991175266759681645254884382176843230090689309274672230553046580650150262941732802815037241392659868289748452503504899459437809668644728962352661303445803957046013078591688555054064309888267781294831782272920046008409191087613298116780477371040698225865186419462935947531217821909989183835256566229843929103308061640393376207033941635230566440175412575464591300314545961341293825766301439095167166339920563082974615524560805038628884819692095146435587625396429500028502119574345938521144265031472953775446685714335787928595064200547301908454725702778035281593719816583,14539155296574068217531129941903167841839968761609230316139990045924106283542124891543068910527230393158175868442975224693430430380582890930934241641232167561078153965617205086987874621401524716795742615479651185469618929567239847800922979646726137080284748716028567774257343435819366465222182833059964819756785235276500984033962486217237390797681460073782317569850794553922803787526994457361092915405766455699041042910760335852352717823222734289797843916932359398707449330357877545350586583849782511736981658002635810587977541324602433451258543243729917352503083060061335563659667968750,1.0710925145711513e-06,-1
46,-109416208623550850580555011697438221605831714682674763053447529223876499284588899196110298860950272829909122373441416945485760940139392868884095793914914798708670259518907839710071106512574186518806030014748018790047039187290640977062194310638126520185247310962153510292907952222419016740422800277325316913357515188980407248233046764991075325553147890954423158202989170559035878568827848165073873273839356058682660354618311099033129050424246372683715574126178092711833390675521772621561258284992797975056273635794898426195567268895146688046368693540388286650649474009790093946822699703786600860888172086729,147116204116939812784605574974311015640581909407569667390962285527180585146139842805024251069580856492984661766801979998522162998669402497418509332207137317618904813224687922974076953844092044271100826515507895636914645130254131037549509083007490362973866614038477002681998963531236400235827612438584405999766762226407063201245449823520795534440139839776461947973095693833080372091877454768496911343611851988222185491342252089587591695440529490595133427653777298519259715216268410844509341431532793511995415618886102663147559509704328384422538435239770113588425160314685973335544283146943130287528038024902343750,-7.4374002021271589e-07,-1
47,212766035574438256084413820851233903437242657924903927969452406906508739322258230286676521988365554160935776390400033103437703871799360565063779582920387398347063005671795602558076395029972016731829181017283763738237937715112972753827184671244916837133898107974268639494778880341629138105396988668321133111613685422674804101630743496624655456180551297063397902283755313021438401016784984531942081373557620550381628153611603920877954435533295633546273728624784378781892189025447691040541782627699729059824794736627667206241364530902527655754250731565794238383759612911760498256107547922066944415123583168014799967501252953400192763335371,263279165158248736419347269939771776688393719732249376653843155039499908104631961675074099709203082796422773279812634098527986880471511911785030966083038862387348728890429730471580044270912799717166289393073525337988139483472973666888229526917135691833560970862934049129234435553263675201602487085374725115298297790263310612468883825749315771317456020203784660874761073340777543422889800771185080026382549146942362285718259573662485195848845274070928819108961018358578514309524065226733627966452257866589454222628323890372280974494563908330703337548282189722217508617374096279346965712869847416785852933009889322493885310170054435729980468750,8.0813852264591982e-07,-1
48,-195676158567573213758493605802425205969135329973187361153856794014683027803856539285765740353196815947269797733446462605090107940708171066436735347399476759956824345270796635704389067840496260142213848543900433204129026642371756231594848138569936546194630551422077418380003667881735148094515420218370037370896354432493615996576817858564342964926813342765424925375258118217413533065678471770412959585856645637084899020674310368864620050783948631120139244118283920667094155379995289451771440851969467998309655526157393204567719191199995324002795986689108208601089767434747149234681665988776377930302346907099469789036653360846234687810008533767377700565374868648737,586772535374892571115432300852609706315092743242514845802405840748913809551204132196505548915231950024550966229740257856918903778639293745487590141800824086951878342947967957564563381924904630767733035086428837062339327645313235781692876415613655709823106179282478211227076935700607812523724875968746498359465199504303262064648447502818127459034073897524874480311404809230815448172768772803197451491609246215007508054452213821557455180566689175558106235950908467184854339015381756053884905441397642451253621554825866986310479774331035865507227710320749010651316023371261732334434955347987375359938936218684129300197269405086921258504644730145442243739962577819824218750,-3.3347872773655728e-07,-1
49,-37289637447554557631959630396020080674512098579981276316693522350596814503409130750820179354753534390299280208573893954434684522679382073206741280099797338822016530972866812112687040255553640921458930225335085728233741754477223564463389932966731596659040959613153688783857769597809968194299223407809720469896472317118878927661061937532602950510938407153738170259926137174207081172108472356766212712196466979164939015208697022945082777162226038859120168513263014274802889369259301401013809324594555543334642617818325427606186611042749133589702050111830697378367162586858891703011139822736473032586704468237475221354874053450086932517554493736228445142672980657950577339045498874336907745732947,101070666548831592347102132443702009003255944722751767646488302545764674519895739845709482318918621062430709181360211924642007884175454149980116349898007075509862669149119784621653266358520617733732989324849612346502790489384527166323188472669794127005819130299667301554464247754982777001187549928092076346734737742832205575232459647116402025134694770149170994879894071937681177767304247040746775931106668611720686672017065640442124253055871072762004114657527452156040038338092411323194545378564809745869348620293450940347569998060017047938900241343009625908863486438811931199900281725641300058755935540982419975712296305459099297387038240973537826533905953465273337918591896962299942970275878906250,-3.6894619102505204e-07,-1
50,1421253844584116852097969258465979856973266480467412441410886779278028689365581368333940313701708822697606932364304626189636097221205626488668778819457593570856494329263491515023282743884597429088098208753624373658612333098185216341819869148304704616830845396032333432614282358996085966762673573799622266452263903957648574818377902365181271536468101402296254716002075107805445305163964594997829359892560361967718216989120166422522202926089051400218524412676511512445849659162268483337620738584126570051733328068267170793272739442142186267083847087248932745351968537550094270199582981678717704204340184960377686449067705436768899299496912822886635643371788936813035968993291514425553196401756196879803117922861406047143,6244324353368829677251029124558458632869004185415803632044415138267814836384104928023966720402325700300410266939066693880711620572158182237964472113848715805517090324805861667051808642729939379173523656348836293090495722796528764876527180187846283143479965625855213678578719354602432872735185094794298054897357835771964509796177977662487981463305012219223691233840986278743222061807948861846576253997927428077152912076657659619363175940838675232403310480809195703559741414083729415622261686651603061523340686132954577171081191505326287878986201561003323897654387759326327670431006328367955739622460190182217089939799446208450743035381925640590845741876233767822046384196974995007283424493954027670610612258315086364746093750,2.2760730611588851e-07,-1
51,196648709077114243663423222464297174060749197439142957149116293801223113260273918471639350074087054668692548248207769404898275709798277264632926661746251820468411599282488612977511584796454756397642858811949491350624683749089553947828740460963698970038124423179024957546035271768909609803414560950150269396133844973384547468788725487243583708719134540736185008630989462934752044556173962961637463635412609758693268232127317316621544635870871677095296656765660957948169763872618746159657618286501195550466771658776542165189582067817390822555968057502536295216612207226497096579770962796383232716729944951746036965907985347460085576430533276652920177614883608804462953870331136101472357542395223886212933168940448699110356015581317299408922511439324841903,378093175407025163764820740200188470345678537310672613870043509160738605922265137540683959193760396034172874094895140494871112633690933033072802038179080823320196814956442654605975377848975606738929157705263416554330926947713777934696834126292341464944074360280506039444613235452902605280114755273238784343140449244524475370495464799348077835725516496017529828269689414011200938701347268653387592980682052583270557967862699457707795371965468923874726760263816341638591414338496837773227607028752342062123126254531180090295659035374305391067851510502002254675259973450096397394393336910728368128491452632638920304940258302667862071879127641352033213172072166658211126307884255492392132414015307217638804650972823668445402975651972518556168302893638610839843750,5.201064760436837e-07,-1
52,-520764721391945666936346241665970721095820440956678453087263350694477358170781841082077895525809451808736059372560427625321128690394488585478714679229509355030164625326457962733970491979523529818463224720385151310366321870228817802140810144868586252074728200578147019282868683745917757459365103638567579601519749450649073838768436138692887504195565929600635909641416549103395722233852401852380408821549302306782666161857045489666512140299556145285507856005770365313407722007599225707046158474501240814276622723865786624761705451691680715078854208154148568217950552849792709575947183331476253407090168391956086717765968696692175140590961507670351807730092077187629610014218706746602042258952192539501023243962519864608688963294390746880576174436756065910781122629912653075949474499,840526585071852440169272769571129940310681130461983151174029780276950738627124828639058844702880453582035603335922154630815722641780120257104518201969575952622342758563412956060770468009821824551319177342716601189356246233259169091012181271804394718237809085493715797355771959080590899255201987740339499434126409406713333669820155177961258239746835314976838691392488315546621294199631212567555720651447308646299173666018227659957918132455182945133723732783470780073670665676742836687824017245993343878464004197683385393331703506746204352514019920333357469194818666665714763596785077763310609081926485057630743946196145237060027625404662574338923041005178244655869685926548523406349057061146919121712272989968066000043920504584692209625829438524412629996777846881235018372535705566406250,-6.1956960153429061e-07,-1
