x,cdf_a_2_5,cdf_a_2_2,cdf_a_2_1,cdf_a_2_05,cdf_a_2_02,exp1_cdf
1.53,0.83222783999999994,0.80215533109986481,0.80012746039878391,0.78894459418888263,0.7861116827593273,0.78346433268399296
1.54,0.83222783999999994,0.80215533109986481,0.80012746039878391,0.79409228701354406,0.78822938887062111,0.78561889857302203
1.55,0.83222783999999994,0.82014121009078622,0.80012746039878391,0.79409228701354406,0.79032612759467435,0.7877520261732569
1.5600000000000001,0.83222783999999994,0.82014121009078622,0.80012746039878391,0.79409228701354406,0.79240210652938059,0.78986392879923528
1.5700000000000001,0.83222783999999994,0.82014121009078622,0.80012746039878391,0.799114426354677,0.79445753121720852,0.79195481764297959
1.5800000000000001,0.83222783999999994,0.82014121009078622,0.80964520037979426,0.799114426354677,0.79649260516555298,0.79402490179511653
1.5900000000000001,0.83222783999999994,0.82014121009078622,0.80964520037979426,0.80401407449236784,0.79850752986688411,0.79607438826578658
1.6000000000000001,0.86578227199999991,0.82014121009078622,0.80964520037979426,0.80401407449236784,0.80050250481869711,0.79810348200534464
1.6100000000000001,0.86578227199999991,0.82014121009078622,0.80964520037979426,0.80879421901694415,0.80247772754326452,0.80011238592485556
1.6200000000000001,0.86578227199999991,0.82014121009078622,0.81870971464742315,0.80879421901694415,0.80443339360719257,0.80210130091638532
1.6300000000000001,0.86578227199999991,0.82014121009078622,0.81870971464742315,0.80879421901694415,0.80636969664078473,0.80407042587309063
1.6400000000000001,0.86578227199999991,0.83649200917344202,0.81870971464742315,0.81345777465067726,0.80828682835721266,0.80601995770910806
1.6500000000000001,0.86578227199999991,0.83649200917344202,0.81870971464742315,0.81345777465067726,0.81018497857149763,0.80795009137924589
1.6600000000000001,0.86578227199999991,0.83649200917344202,0.81870971464742315,0.818007585025051,0.81206433521930466,0.80986101989847947
1.6699999999999999,0.86578227199999991,0.83649200917344202,0.82734258537849814,0.818007585025051,0.81392508437554911,0.81175293436125329
1.6799999999999999,0.86578227199999991,0.83649200917344202,0.82734258537849814,0.818007585025051,0.81576741027282096,0.81362602396059003
1.6899999999999999,0.86578227199999991,0.83649200917344202,0.82734258537849814,0.82244642441468385,0.81759149531962461,0.81548047600701068
1.7,0.86578227199999991,0.83649200917344202,0.82734258537849814,0.82244642441468385,0.81939752011844025,0.81731647594726531
1.71,0.86578227199999991,0.83649200917344202,0.82734258537849814,0.82677699942895988,0.82118566348360422,0.8191342073828779
1.72,0.86578227199999991,0.83649200917344202,0.8355643670271411,0.82677699942895988,0.82295610245901407,0.82093385208850678
1.73,0.86578227199999991,0.85135637197585645,0.8355643670271411,0.82677699942895988,0.82470901233565752,0.82271559003012218
1.74,0.86578227199999991,0.85135637197585645,0.8355643670271411,0.83100195066239979,0.82644456666896782,0.82447959938300319
1.75,0.86578227199999991,0.85135637197585645,0.8355643670271411,0.83100195066239979,0.82816293729600776,0.82622605654955483
1.76,0.86578227199999991,0.85135637197585645,0.8355643670271411,0.83512385430478031,0.82986429435248288,0.82795513617694949
1.77,0.86578227199999991,0.85135637197585645,0.84339463526394398,0.83512385430478031,0.83154880628958705,0.82966701117459052
1.78,0.86578227199999991,0.85135637197585645,0.84339463526394398,0.83512385430478031,0.83321663989068029,0.8313618527314045
1.79,0.86578227199999991,0.85135637197585645,0.84339463526394398,0.83914522371198075,0.83486796028780219,0.83303983033295936
1.8,0.89262581759999993,0.85135637197585645,0.84339463526394398,0.83914522371198075,0.83650293097802197,0.83470111177841344
1.8100000000000001,0.89262581759999993,0.85135637197585645,0.85085203358470851,0.84306851093851787,0.83812171383962575,0.83634586319729598
1.8200000000000001,0.89262581759999993,0.86486942906896036,0.85085203358470851,0.84306851093851787,0.83972446914814425,0.83797424906611928
1.8300000000000001,0.89262581759999993,0.86486942906896036,0.85085203358470851,0.84689610823270023,0.84131135559222203,0.83958643222482721
1.8400000000000001,0.89262581759999993,0.86486942906896036,0.85085203358470851,0.84689610823270023,0.8428825302893288,0.84118257389307938
1.8500000000000001,0.89262581759999993,0.86486942906896036,0.85085203358470851,0.84689610823270023,0.84443814880131562,0.84276283368637239
1.8600000000000001,0.89262581759999993,0.86486942906896036,0.85795431769972241,0.85063034949531735,0.8459783651498175,0.84432736963200272
1.8700000000000001,0.89262581759999993,0.86486942906896036,0.85795431769972241,0.85063034949531735,0.84750333183150239,0.84587633818486863
1.8800000000000001,0.89262581759999993,0.86486942906896036,0.85795431769972241,0.85427351170274868,0.8490131998331707,0.84740989424311619
1.8900000000000001,0.89262581759999993,0.86486942906896036,0.85795431769972241,0.85427351170274868,0.85050811864670373,0.84892819116362916
1.9000000000000001,0.89262581759999993,0.86486942906896036,0.85795431769972241,0.85427351170274868,0.85198823628386511,0.85043138077736491
1.9100000000000001,0.89262581759999993,0.87715402642632756,0.86471839780925941,0.85782781629536453,0.85345369929095549,0.85191961340453759
1.9199999999999999,0.89262581759999993,0.87715402642632756,0.86471839780925941,0.85782781629536453,0.85490465276332228,0.85339303786964982
1.9299999999999999,0.89262581759999993,0.87715402642632756,0.86471839780925941,0.86129543053206292,0.85634124035972503,0.8548518015163763
1.9399999999999999,0.89262581759999993,0.87715402642632756,0.86471839780925941,0.86129543053206292,0.85776360431655951,0.85629605022229704
1.95,0.89262581759999993,0.87715402642632756,0.86471839780925941,0.86129543053206292,0.85917188546194001,0.85772592841348638
1.96,0.89262581759999993,0.87715402642632756,0.87116037886596143,0.86467846881176869,0.8605662232296436,0.85914157907895494
1.97,0.89262581759999993,0.87715402642632756,0.87116037886596143,0.86467846881176869,0.86194675567291446,0.86054314378494912
1.98,0.89262581759999993,0.87715402642632756,0.87116037886596143,0.86797899396270117,0.86331361947813312,0.86193076268910718
1.99,0.89262581759999993,0.87715402642632756,0.87116037886596143,0.86797899396270117,0.8646669499783497,0.86330457455447618
2,0.91410065407999996,0.87715402642632756,0.87116037886596143,0.87119901850019621,0.86600688116668278,0.8646647167633873
2.0100000000000002,0.91410065407999996,0.88832184220575239,0.87729559891996323,0.87119901850019621,0.86864707495998705,0.86601132533119507
