N,block_index_n,atom_amplitude_exact,log10_abs_atom_amplitude
10,16,20196238200600550530497165988477928759829649557349536032499907654735431204864/588174579633375,61.535764233488486
10,17,-754101710844249394051139407505836063042858725887990017491123854368114246418432/74688835509,67.00417423777584
10,18,1594235754218696271586982138548996701571870217704399869836195976620071260848962666496/373444177545,72.63032685226413
10,19,-96121883372185975844733139152270959513532482462805457368795320367743754420545482127310848/41493797505,78.36483908839864
10,20,50395549989436640903683448059865836821430918165459347632970960924963637517638949733563549876224/41493797505,84.08440900601427
11,0,44841175126234248726074366838060132365983139740213326328161619900866564110776961/2468306440034251826594904613616344911125833289923746283567914883300781250,7.259277909040113
11,1,46821345281140784613893666875163521825994451489140298819725811148444/20802059191488607427918045032971137855863884948369861474609375,6.35233755997333
11,2,-17965089516184410538829692088846921012569876267185260136945634305520184/2971722741641229632559720718995876836551983564052837353515625,9.781421097745834
11,3,131125826919594849872536817962992380000368915046995076568167047232/1895978434604434366486251646441508507667597240017578125,10.839854846762435
11,4,2011545501024732395910520991335146932041811742880336115594955666944/1895978434604434366486251646441508507667597240017578125,12.025696467488798
11,5,53914160079161985035712366848466307351186506694979136487424/2719706746382914216845084777446442683203125,16.297180765229232
11,6,-2280095089540718312775160668621091444163829503204541399829577728/84310909137870340722197628100839723179296875,19.432069186889045
11,7,23254037761145121314745119743298932589226949558749632508461056/428834002888381987854823774069020234375,22.73420915945278
11,8,-12673576473907976453380942030952682191328330523028572502610673664/61262000412625998264974824867002890625,26.315708015867447
11,9,107337062132917090052811563627233444186851740458855493023232425984/75036570934100085363923670003328125,30.15547672508793
11,10,-1288855815873917942259107615299456149524016316659504545516664544821248/75036570934100085363923670003328125,34.23493135642909
11,11,312411936930982997854683850738908052983685254604783103368006517915648/872568997431246995336050584375,38.553927841110635
11,12,-11350958772741824471579381283099522915701664772886940970512105767471939584/872568997431246995336050584375,43.114232767951606
11,13,4232685752419873179745816516141753748016845082684816398683750523169931264/5169400737173772892183125,47.9131758258955
11,14,-9292509958006361392120037554328034921163683759746738674457961757037614333952/105497974228036181473125,52.944888914773415
11,15,107721697681443495686832628975659670930673865263588280222188254599333755513470976/6757386584540879597625,58.2025244239574
11,16,-32262679343721014114560292204951338313746674232538259945781843305445786098254592606208/6757386584540879597625,63.67892166647431
11,17,2372172016206108863885768251672070827170441378735942533339467420786576822106930297176064/1021524804919256175,69.36589726161712
11,18,-1827794956212703635789043743171827581353981376901498991834829044305788410626805003594904895488/1021524804919256175,75.25267855781667
11,19,1111433904387318212080946738924045893519509889727863803723921568997486441279280865720637505667072/527919795823905,81.32331569345399
11,20,-1880168180232479884008002932356994985769801008142814555537176692751599408327032721192230000025535512576/527919795823905,87.5516287510671
11,21,90698798604419008612357987613626671639524834512010201275939373357293999628946059360751296862703769727533056/11731551018309,93.88824610082406
11,22,-190209166890854532749423778439892401682172785746531217626238808714995825909843486280518303718212936091635403456512/11731551018309,100.20987600976767
12,0,-98181273743644084976405409253755273798020535465261811861752271149798914184967178843346068976319/694766414900785124532797651817886680989697474849422265232077941556336556842883300781250,8.150189845640208
12,1,20084611754437587408024447574696045007069605055696484090789858210584654436203101604/4809675706195034873278215169237322426029500250779096980821123704859130859375,6.62074764609262
