x,estimated_G,estimated_G_at_1_minus_x,antisymmetry_residual,samples,digits,q_step
0.495,-0.024999999999997247,0.028533333333324862,0.0035333333333276151,1500000,32,0.005
0.5,-0.0026000000000026002,-0.0026000000000026002,-0.0052000000000052005,1500000,32,0.005
0.505,0.028533333333324862,-0.024999999999997247,0.0035333333333276151,1500000,32,0.005
0.51000000000000001,0.046466666666666878,-0.030400000000002647,0.016066666666664231,1500000,32,0.005
0.51500000000000001,0.060199999999999143,-0.055066666666664377,0.0051333333333347664,1500000,32,0.005
0.52000000000000002,0.075466666666668125,-0.076133333333333608,-0.00066666666666548302,1500000,32,0.005
0.52500000000000002,0.089133333333335507,-0.10240000000000249,-0.013266666666666982,1500000,32,0.005
0.53000000000000003,0.1211333333333342,-0.12579999999999814,-0.0046666666666639323,1500000,32,0.005
0.53500000000000003,0.13640000000000319,-0.1537333333333335,-0.017333333333330314,1500000,32,0.005
0.54000000000000004,0.16246666666666076,-0.15020000000000033,0.012266666666660431,1500000,32,0.005
0.54500000000000004,0.17746666666667021,-0.18146666666666866,-0.0039999999999984492,1500000,32,0.005
0.55000000000000004,0.20040000000000058,-0.20393333333333374,-0.0035333333333331662,1500000,32,0.005
0.55500000000000005,0.22386666666666111,-0.22286666666666566,0.00099999999999544897,1500000,32,0.005
0.56000000000000005,0.23400000000000087,-0.23726666666666896,-0.0032666666666680833,1500000,32,0.005
0.56500000000000006,0.25779999999999692,-0.26326666666666165,-0.0054666666666647323,1500000,32,0.005
0.57000000000000006,0.25966666666665805,-0.26413333333333289,-0.0044666666666748345,1500000,32,0.005
0.57500000000000007,0.2838666666666656,-0.28880000000000017,-0.0049333333333345664,1500000,32,0.005
0.58000000000000007,0.29179999999999762,-0.305466666666665,-0.013666666666667382,1500000,32,0.005
0.58500000000000008,0.3182666666666667,-0.32280000000000086,-0.0045333333333341663,1500000,32,0.005
0.58999999999999997,0.32680000000000486,-0.33033333333333803,-0.0035333333333331662,1500000,32,0.005
0.59499999999999997,0.34973333333333523,-0.34939999999999971,0.00033333333333551707,1500000,32,0.005
0.59999999999999998,0.36166666666667124,-0.35646666666666604,0.0052000000000052005,1500000,32,0.005
0.60499999999999998,0.37353333333333127,-0.36353333333333238,0.0099999999999988987,1500000,32,0.005
0.60999999999999999,0.38126666666666864,-0.37419999999999676,0.0070666666666718836,1500000,32,0.005
0.61499999999999999,0.39133333333333242,-0.39739999999999776,-0.0060666666666653324,1500000,32,0.005
0.62,0.39946666666667019,-0.39120000000000266,0.0082666666666675326,1500000,32,0.005
0.625,0.40133333333333132,-0.40586666666666549,-0.0045333333333341663,1500000,32,0.005
0.63,0.41120000000000045,-0.41653333333333264,-0.0053333333333321908,1500000,32,0.005
