function,N,m,degree,grid_level,max_abs_error,argmax,max_boundary_error,min_interpolant,max_interpolant
up,32,0,32,12,449.7186249093475289939448741,0.007080078125,449.7186249093475289939448741,-449.7186249084848714837767238,18.39095184950544012281610061
up,32,1,34,12,14.56831716738281206901386009,0.012451171875,14.56831716738281206901386009,-14.56831706821651471081879625,2.378318583523827136621262068
up,32,2,36,12,0.6763035033699000798175095701,0.0166015625,0.6763035033699000798175095701,-0.6763026024917430278253459035,1.000011874685353611360003142
up,32,3,38,12,0.03826630337678922103820075285,0.04443359375,0.03826630337678922103820075285,-0.03664462089974622986983426086,1.000011810167576446318350371
up,32,4,40,12,0.00445102063932202927927054564,0.04638671875,0.00445102063932202927927054564,-0.002032649627636906137122256793,1.00001176113481104838570791
up,32,5,42,12,0.0004292625221756078687882324303,0.0478515625,0.0004292625221756078687882324303,-0.00009059316780652390454495728918,1.000011727441303551655289681
up,32,6,44,12,0.00004547007926631355757471637775,0.172607421875,0.00002120312835973269935502540198,-0.0000002080305319739456750054032948,1.000011708404318406846025631
up,32,7,46,12,0.00005066510609619406396597748344,0.17236328125,0.000002526283969056570191517449201,0.0,1.000011702453251816732794181
up,32,8,48,12,0.00004084843386411196807505095301,0.1728515625,0.00001259197562945970889720556659,0.0,1.00001172217918516370736622
up,32,9,50,12,0.0001700818141070035942602250034,0.10888671875,0.00006102520459465642261003565002,0.0,1.000012048578084869117325566
up,32,10,52,12,0.00101080811474288783664368889,0.10986328125,0.0001826569709337770305912674491,0.0,1.000016214153704313892583522
up,32,11,54,12,0.005323846698711656512915276707,0.140625,0.0004439719067220425984136996107,0.0,1.000061730584286588951274234
up,32,12,56,12,0.02704734438142256001538502908,0.171630859375,0.0009573263779906808379149472573,0.0,1.000503205948840321865071105
up,32,13,58,12,0.142163394573139317672085404,0.202880859375,0.001918171614060429080458306651,-0.008813785862473669357013988149,1.010968920984959794471717535
up,32,14,60,12,0.8046162636583558992588726785,0.203369140625,0.003671288995171787580583083342,-0.4916916514212419542700667382,1.277999317382225736389663599
up,32,15,62,12,4.848186011891921531982715861,0.234375,0.006834124585530681927717966486,-4.143104421586318086417208879,5.2859727731845410049438581
up,32,16,64,12,30.84253773080320615362713987,0.265625,0.01251663881535760818681793263,-30.28003830347874627708393,30.19981433765393913295207552
up,64,0,64,12,10456425823.0141253036411025,0.003173828125,10456425823.0141253036411025,-204976832.9422646600492717061,10456425823.01412530364150396
up,64,1,66,12,175491808.4865640392325904414,0.005615234375,175491808.4865640392325904414,-15274361.63139449437440988367,175491808.4865640393376727498
up,64,2,68,12,4517460.049031602854060320686,0.0078125,4517460.049031602854060320686,-1174381.173764640897955628888,4517460.049031604906235953724
up,64,3,70,12,147986.3533417085790721163436,0.00927734375,147986.3533417085790721163436,-93521.47827879320324747730452,147986.3533417175353080060744
up,64,4,72,12,7722.591353510575233214591299,0.022216796875,7722.591353510575233214591299,-7722.591346255483176940173493,5629.345254092679438023327052
up,64,5,74,12,661.4168647074219899874496366,0.023193359375,661.4168647074219899874496366,-661.41685496046785861452024,341.2964898231878705274812129
