n,set_size,count
62,42,1071980
62,43,2728
63,34,7686
63,35,971964
63,36,27346410
63,37,261080820
63,38,984233250
63,39,1535128560
63,40,969751944
63,41,226525068
63,42,16037406
63,43,220500
63,44,126
64,34,256
64,35,115200
64,36,6547968
64,37,109025280
64,38,682007040
64,39,1759746560
64,40,1901824000
64,41,821587968
64,42,125520384
64,43,5243392
64,44,32256
65,35,8190
65,36,1112150
65,37,33963930
65,38,356826600
65,39,1507184250
65,40,2699327150
65,41,2028117000
65,42,594914320
65,43,58116630
65,44,1351350
65,45,2990
66,35,264
66,36,126852
66,37,7770840
66,38,141080940
66,39,976833000
66,40,2845840140
66,41,3569485920
66,42,1863193200
66,43,366754872
66,44,22208340
66,45,264264
66,46,132
67,36,8710
67,37,1266970
67,38,41863878
67,39,481941720
67,40,2267535270
67,41,4624618050
67,42,4081492600
67,43,1473319280
67,44,191308986
67,45,6882106
67,46,36850
68,36,272
68,37,139264
68,38,9169800
68,39,180887616
68,40,1379729520
68,41,4508824320
68,42,6501563640
68,43,4041376000
68,44,1000240560
68,45,83680256
68,46,1685992
68,47,3264
69,37,9246
69,38,1437408
69,39,51237606
69,40,643821750
69,41,3356457390
69,42,7737862860
69,43,7935063480
69,44,3465182760
69,45,580445250
69,46,30305352
69,47,314226
69,48,138
70,37,280
70,38,152460
70,39,10763200
70,40,229946220
70,41,1923831000
70,42,7010503500
70,43,11524476600
70,44,8424486000
70,45,2568948200
70,46,286016500
70,47,8925840
70,48,41860
71,38,9798
71,39,1624480
71,40,62297104
71,41,851351202
71,42,4894345950
71,43,12669891780
71,44,14953462650
71,45,7785294840
71,46,1641638570
71,47,118555800
71,48,2083708
71,49,3550
72,38,288
72,39,166464
72,40,12570624
72,41,289981440
72,42,2650611600
72,43,10713193920
72,44,19928039040
72,45,16945251840
72,46,6258189600
72,47,899870400
72,48,40803840
72,49,370944
72,50,144
73,39,10366
73,40,1829234
73,41,75276432
73,42,1115133984
73,43,7038495750
73,44,20337743790
73,45,27393069690
73,46,16790134320
73,47,4366927890
73,48,420169750
73,49,11450780
73,50,47304
74,39,296
74,40,181300
74,41,14612928
74,42,362965856
74,43,3611563488
74,44,16111931940
74,45,33686835000
74,46,33001252380
74,47,14546279160
74,48,2635870380
74,49,165502480
74,50,2553000
74,51,3848
75,40,10950
75,41,2052750
75,42,90433200
75,43,1447749600
75,44,9992385000
75,45,32054519250
75,46,48901938750
75,47,34901442000
75,48,11005517250
75,49,1369046250
75,50,54268500
75,51,435000
75,52,150
76,40,304
76,41,196992
76,42,16912280
76,43,451145728
76,44,4870134720
76,45,23875138560
76,46,55770831480
76,47,62411990400
76,48,32419561680
76,49,7253500800
76,50,607412520
76,51,14543360
76,52,53200
77,41,11550
77,42,2296140
77,43,108050096
77,44,1864036944
77,45,14016826824
77,46,49674424800
77,47,85258507950
77,48,70171288110
77,49,26434990890
77,50,4148284140
77,51,227927700
77,52,3103100
77,53,4158
78,41,312
78,42,213564
78,43,19492200
78,44,557068512
78,45,6503955744
78,46,34895512080
78,47,90575184960
78,48,114912427500
78,49,69570207720
78,50,18890120340
78,51,2047205160
78,52,71365320
78,53,507000
78,54,156
79,42,12166
79,43,2560548
79,44,128436462
79,45,2381407600
79,46,19443277128
79,47,75782247840
79,48,145445326320
79,49,136869540570
79,50,60820895250
79,51,11795854980
79,52,865237230
79,53,18301140
79,54,59566
80,42,320
80,43,231040
80,44,22377600
80,45,683612160
80,46,8607385600
80,47,50353205760
80,48,144507417600
80,49,206439168000
80,50,144259293600
80,51,46839408000
80,52,6409603200
80,53,310003200
80,54,3744000
80,55,4480
81,43,12798
81,44,2847150
81,45,151929918
81,46,3020190624
81,47,26689619880
81,48,113938432920
81,49,243186332400
81,50,259666728480
81,51,134606649690
81,52,31711147650
81,53,3013085790
81,54,92874600
81,55,587574
81,56,162
82,43,328
82,44,249444
82,45,25594824
82,46,834016260
82,47,11294411040
82,48,71793665328
82,49,226780157760
82,50,362568713760
82,51,289932894000
82,52,111140942700
82,53,18813642120
82,54,1215847620
82,55,22833720
82,56,66420
83,44,13446
83,45,3157154
83,46,178898034
83,47,3804010848
83,48,36278785400
83,49,168993178536
83,50,399117378960
83,51,480258889440
83,52,287599287780
83,53,81090024750
83,54,9737446290
83,55,416796120
83,56,4486482
83,57,4814
84,44,336
84,45,268800
84,46,29171688
84,47,1011915072
84,48,14701934016
84,49,101222854656
84,50,350469756000
84,51,623605086720
84,52,566288442720
84,53,253443778560
84,54,52158146040
84,55,4370184000
84,56,119705040
84,57,677376
84,58,168
85,45,14110
85,46,3491800
85,47,209740050
85,48,4760202810
85,49,48860594200
85,50,247485566160
85,51,643811658000
85,52,867664815600
85,53,595069586100
85,54,198251076000
85,55,29474029650
85,56,1687169250
85,57,28263690
85,58,73780
86,45,344
86,46,289132
86,47,33137520
86,48,1221372516
86,49,18993485280
86,50,141222989424
86,51,533915639712
86,52,1051996135200
86,53,1077389145360
86,54,557472597000
86,55,137420996160
86,56,14563638180
86,57,554416200
86,58,5342148
86,59,5160
87,46,14790
87,47,3852360
87,48,244888644
87,49,5920262478
87,50,65237258328
87,51,358146712560
87,52,1021946700600
87,53,1533957155280
87,54,1195584253380
87,55,465411149280
87,56,84188473200
87,57,6253129350
87,58,152908938
87,59,777084
87,60,174
88,46,352
88,47,310464
88,48,37523200
88,49,1466919168
88,50,24363404208
88,51,195092330752
88,52,802552633344
88,53,1742995584000
88,54,2000732986560
88,55,1186509118080
88,56,345865006080
88,57,45416616960
88,58,2314026000
88,59,34727616
88,60,81664
89,47,15486
89,48,4240138
89,49,284811748
89,50,7320339000
89,51,86393014136
89,52,512529343096
89,53,1597980332088
89,54,2657914212960
89,55,2338041436500
89,56,1053029571660
89,57,228338592240
89,58,21468551520
89,59,730180386
89,60,6323450
89,61,5518
90,47,360
90,48,332820
90,49,42361200
90,50,1753591320
90,51,31041527400
90,52,267013066320
90,53,1191289065120
90,54,2839795362000
90,55,3633056420400
90,56,2450286531000
90,57,835185384000
90,58,133540336800
90,59,8835372000
90,60,193698540
90,61,887400
90,62,180
91,48,16198
91,49,4656470
91,50,330014412
91,51,9001768776
91,52,113528404990
91,53,725790062088
91,54,2463802384680
91,55,4520058510240
91,56,4459521486420
91,57,2303651450100
91,58,591125655120
91,59,68915901600
91,60,3139502184
91,61,42377062
91,62,90090
92,48,368
92,49,356224
92,50,47685624
92,51,2086972160
92,52,39298431120
92,53,362251828224
92,54,1747567768544
92,55,4554746763264
92,56,6461297834400
92,57,4921589164800
92,58,1942270009680
92,59,372543298560
92,60,31223924160
92,61,952796160
92,62,7443720
92,63,5888
93,49,16926
93,50,5102724
93,51,381040716
93,52,11011654212
93,53,148099779750
93,54,1017654993888
93,55,3748950588264
93,56,7553855662920
93,57,8311691248740
93,58,4886243901000
93,59,1467142324560
93,60,208422218160
93,61,12338386632
93,62,243463584
93,63,1009050
93,64,186
94,49,376
94,50,380700
94,51,53532248
94,52,2473235128
94,53,49451275224
94,54,487397967628
94,55,2535275579200
94,56,7198789636368
94,57,11270832258960
94,58,9635118911880
94,59,4364089274160
94,60,991255380000
94,61,103090559520
94,62,4216511376
94,63,51379648
94,64,99076
95,50,17670
95,51,5580300
95,52,438475730
95,53,13403489580
95,54,191864622950
95,55,1413604435360
95,56,5634126855600
95,57,12419575286040
95,58,15162429626100
95,59,10073400183000
95,60,3504298673700
95,61,597595866000
95,62,44845823880
95,63,1232564960
95,64,8717200
95,65,6270
96,50,384
96,51,406272
96,52,59938560
96,53,2919189504
96,54,61870298880
96,55,650645329152
96,56,3639700187136
96,57,11221839851520
96,58,19308165626880
96,59,18419931763200
96,60,9500806909440
96,61,2526815416320
96,62,320429491200
96,63,17042623488
96,64,303790080
96,65,1142784
96,66,192
97,51,18430
97,52,6090630
97,53,502947522
97,54,16237836472
97,55,246933385582
97,56,1946317750650
97,57,8368928682160
97,58,20109578270688
97,59,27112178342340
97,60,20228094472740
97,61,8081442101700
97,62,1633068021600
97,63,152170630248
97,64,5609594584
97,65,61920144
97,66,108640
98,51,392
98,52,432964
98,53,66943800
98,54,3432328284
98,55,76986021112
98,56,862123945956
98,57,5173771849792
98,58,17267674832800
98,59,32522191477776
98,60,34444923534840
98,61,20090247943920
98,62,6194418141240
98,63,943572420000
98,64,63659685936
98,65,1581607104
98,66,10159072
98,67,6664
99,52,19206
99,53,6635178
99,54,575129214
99,55,19583051400
99,56,315828541314
99,57,2657426009238
99,58,12294924730704
99,59,32096731097376
99,60,47582738131500
99,61,39640723216380
99,62,18045776899260
99,63,4272517925280
99,64,485751081816
99,65,23300461800
99,66,376480368
99,67,1289376
99,68,198
100,52,400
100,53,460800
100,54,74589000
100,55,4020878400
100,56,95297202000
100,57,1134288812800
100,58,7285872175400
100,59,26247837888000
100,60,53917433661600
100,61,63098580480000
100,62,41353958646000
100,63,14652218448000
100,64,2646404280000
100,65,221835801600
100,66,7396972000
100,67,74201600
100,68,118800
