n,a_n
298,951145813382874685505182774527049710776
299,1264228126661039586782460262548909325882
300,1680346857633877327230982198654489931400
301,2233405608896402636035039226445781414930
302,2968461859822899012896255633902277778712
303,3945395839484667923488730178823997517504
304,5243786013099772111561504222416760093344
305,6969387947789936995490507739148879988820
306,9262743769919298457903152517033184681724
307,12310622753752549628787743250056945674470
308,16361223883526463935352100298397096434024
309,21744377233869547031279545171373863019376
310,28898387595959082567834014879160379464280
311,38405703993410938393178734916269723880062
312,51040316498706397547396380785524312502624
313,67830735424065017391254010572635205126790
314,90143675037010031315405025883282870828316
315,119795247426344179317174472870354689430830
316,159198708840662740511730207414612012183184
317,211560772511819670385933490447321566506192
318,281142450150167376012499932755855809643508
319,373605629780535562456088860514311521164500
320,496473566593612962335382667367750490426240
321,659742722241916546210609208393434381312626
322,876695688733827592286845934699013068342404
323,1164981275078369032224961535049025036520024
324,1548049545646636813734849965032665556911312
325,2057058442414715215686151535852829326395250
326,2733406941638738044876175981309748865468776
327,3632100601334763295832740388930504212095666
328,4826222983569704050653036064495427685434288
329,6412876277160644806037019739513320678390986
330,8521073797694129402988223888803790719889320
331,11322225594433743112108867720614665458222080
332,15044069021831579730855794432968037821466216
333,19989175938620928827018350961402232094867572
334,26559539896945522620214024874839546797271012
335,35289240453922370391625955551004972256275870
336,46887837662739707536402997909482398326477472
337,62298021125017954622841153303736064911071680
338,82772195437305195850951385690362692357034312
339,109974221389080979859415946164350628529412838
340,146114574657116330007716144101865624899911760
341,194129896748352611333461559035720807952591806
342,257921516742313807101227490325115286352994052
343,342672309422228556498195535426360787550453990
344,455267614108749351291878676600742614295399968
345,604854384877418475990536258099149461525067920
346,803583962165820455804281671555784276533618492
347,1067598758317126872530717794287471983431901876
348,1418342944390957592200138621531288000368070824
349,1884303518448748921597509784959517042264718890
350,2503323059386762170384479967282694153720791100
351,3325671858153226767465479417483420087241372648
352,4418128732479990390898123622822406148205526912
353,5869401669532186897171413947222663455491565082
354,7797328140591216710947567921878636232275499416
355,10358439308648854546307126003081813770446510250
356,13760664112073601120024401313130658899125065688
357,18280203905834748068076247239570004166300027778
358,24283946629309330436474535193278576047678995384
359,32259238776453223510827621311339576440361112768
360,42853430200325630085515343624524237755664460720
361,56926399372894303040172137140323169241083546900
362,75620319400505279500034498886178385112647030348
363,100452323205533233799522022592228081291476883926
364,133437583164257757536768150612521142023395472856
365,177252786662078239877082597256101711615474247440
366,235453264392962467006686229618149485279266128696
367,312761378273233898987938338232337686519884949070
368,415449553134251909131690959065346704070484481216
369,551849009136265743239108214627602266644560078454
370,733025441933594911941639019852494730647128764140
371,973676430819798231863204952661159572736197665438
372,1293323328066039136247240603812022432193857177136
373,1717894251828782827119259474036675245461238869200
374,2281826504431296428669344704773318041853376282884
375,3030858835966390127747408948703644054635176820500
376,4025739880880927999661918828633150266315849032016
377,5347153342014713781356561672632044510391955317858
378,7102259097539735035663551298014897676932340506612
379,9433380349133517749831603170243434169612440444280
380,12529540821863892950214144510480127957209012693040
381,16641786953603545662562500657914674595430731699394
382,22103536679544730802052901889534987289610806100296
383,29357603664707175623038022897884331071410412009506
384,38992086648625889443689902945917429796716841511168
385,51788031742038963537359456725720272042581238689850
386,68782729218050415056063803971759057298573224849224
387,91353772803929523072392392008406423432533404492544
388,121330691262593785695027670763737579453160455447672
389,161143195339961958209135106444891498754787924961844
390,214018048782292385960367505175170974590935176140340
391,284240510223042171086446097739613346343635667938190
392,377501522156005441443128964487815463074645712922384
393,501358767341590061422044365848795560775499447807328
394,665848934033285136985484735626166067282891280209448
395,884300775867602104514030446138375253419996376278710
396,1174414811365368227238669537807710125763929231094448
397,1559697097925131367604281970965042808137348771386030
398,2071363183593469962232697536080598106459315325999828
399,2750866407305236749778858734306002919041277620456022
400,3653255265903345086421743848380655129306514930910400
401,4851631685273943497427461048054363737915982283058064
402,6443071155608062747721274149554922248197643002866508
403,8556484029937269125849874015437795794347737384095220
404,11363054417656723942085311542145312898378865074026872
405,15090101746704793327092488850863759169520471008588570
406,20039487103128691306872431021121912532117082416351148
407,26612054302295696419635717423416140107139666492344584
408,35340084066527644326423506021395516668003124004795616
409,46930388198893265115903310938483924517887559276653930
410,62321531723451679588975726624628569780748691486725240
411,82759814275583946524180565603235158030887064229263642
412,109900160070442160937190703236875279182872962120922408
413,145940081363827002037926544051036357662238037653388018
414,193797556504286360775536683157228938942993118655543384
415,257347216947157755132199164784847051579949993069252800
416,341733955391164992052398893348556428185066530551687872
417,453789331122592961378983179756129906987015197325095892
418,602584465374262968580615641770630026079690891158639516
419,800164161707958428141565071059031383215989187719839942
420,1062521647203944996826863736978040395845452541621733960
421,1410892795312362092828381294421233003654261906259234480
422,1873474534813192966545876721442697289884095642322628632
423,2487706461453536852628710528442125456637042728399722014
424,3303300224256985297057906510861127398719593288943672864
425,4386261741105249123725500660333300314481120564222158950
426,5824231598779182150343731031343302017675200038223958204
427,7733575604332183963017969076640102386341931787027449870
428,10268798997791610579277259094165129062434866816826488784
429,13635045755149975656253376005469128239476913779993589456
430,18104693899000923389737817478739432852196562752095928340
431,24039388962887375083630338399608507867650108765942631252
432,31919297503066637436325458689628486330553022635073688864
433,42381946368711216168910448486256392689004763835403102290
434,56273788524815539758389765594631170002821005673123044196
435,74718665227516509691112464989213256227595424890825504920
436,99208700459211200861276475194190190465601736097997413264
437,131724977166932232773812756902566979243071943256403986962
438,174897752608150811572241759110034451675010765998642898728
439,232219166606428061893376019528782350495105158636328104850
440,308325640111106328690217861257954988912551826957322304080
441,409372795116286602743757384997472987938361008926717688746
442,543533206033842303186044013464116078188557582577852531944
443,721657221465123945056278197859437720613627037878062096384
444,958150276368144547810391137497623990676064272780519028872
445,1272137613053005174467075295604942281345799419434138854900
446,1689010559289015148369562025997106379601551193928552036996
447,2242479350193204290382809256419989679114624172468830918526
448,2977298419351805904564283096523481811802825295610886030208
449,3952884431710020662360606796374564134120795729921526902016
450,5248119477326850344780080951182328048865684630582085121800
451,6967727620299413372260771181776947172183716071304752017030
452,9250740139046512380581911859753216816339335886530124143376
453,12281733574645690672209722020077033005257730910161544396702
454,16305748758593153931619788442605389848136002529633727364772
455,21648096420721271381401727879144332239158252530992887917510
456,28740649809505499737775485750875406497215014219868830223712
457,38156748885590721820408715722139030364468391366726685864080
458,50657536413522494581733282917526804797755733265236495980892
459,67253469877639173199517376161596728782678822672769145131828
460,89285979188685236372085267327562209500780727452438030266440
461,118535867657000342885139903055212891562812439538554047996426
462,157367214138439381182879086865637604543011570031855652863772
463,208918402101096274331057683046760833384527653412015333568040
464,277355708233393370783184677273418520347753913077606585209408
465,368209936567061322199045725952862836508025729771542719202490
466,488823292027853986903240560336733110295145956417842058431832
467,648942591565934006382505046619313779678196052684017921531786
468,861506730615805317576393442346614101946522582445276650059384
469,1143692012052631648475018450365633069358622808864948736737890
470,1518299770968108645833280288415978459590485941220055061136120
471,2015598373148170629714791892178851505833777087329206015996608
472,2675768360265953271371953381641248286300156855938853044193232
473,3552148223382382261085833979511484877918662030659002195877012
474,4715542941139070541813779916146340884013613745140888935708396
475,6259943240159651495059203802929024834064265994561445605133750
476,8310117451512502429164410336900721766306354579782462125848248
477,11031689045534984640201434803177898479803006649538754781424208
478,14644513635174519513089827022848934274590146486290069090308344
479,19440435648274799298959092665424049012208566943140208142117358
480,25806858488448132345485925793148553190337805957611405471640960
481,34258031378178996630508380096637599727117445055195429826596950
482,45476579095688872066232929951039751404590231436353186448511628
483,60368627769095434986648430265272489793718635460354569492317566
484,80136977527563486936988681948509116774070266652915341704033136
485,106378229726218553485323396084265727276616109879857062969662160
486,141211710252822846174538608490099709086414876722184370819354916
487,187450597168911905095001485801560095771356209677288437131452820
488,248829067796639570343205536718637024959964204194105200440854256
489,330303802293028540193130998336763159097066894152903300031569474
490,438454182698279510794239962433253961048923464607973436681901780
491,582013492778560070143270971244775126893260123692502759205022648
492,772573997595329875266994804728177314702889217250887027903827696
493,1025522815898459575900478309780460871096015664382550253729118050
494,1361284125666803729296824056120487578989277224778894337031805704
495,1806967966519431270410064334569230163509635816205521630665495810
496,2398558717279797084046828022150915370632252849079023198526072736
497,3183819880504790602836037890897844857602771859392004866652806938
498,4226149612539403952549009233030704432399579559774207785989267592
499,5609698161817677068861541069506854263885843486796195571899534080
500,7446160210102925756606313500447235303363901132063464508395279000
501,9883790267130346001481342335306211630193932719385233821407155124
502,13119368653012423408667796102930869616262113110082079442768671956
503,17414083687065267939379714245040785880827893237160780649073992046
504,23114611694007854973419872003982514229376923993504563090168039408
505,30681095831001508112539510290235774493372434224177361773588080800
506,40724281364770204657362378224056072040395754780414675884505801704
507,54054803789798265413722115802227840701952664258653676371493749334
508,71748606670392611278956680431588737460241554431275871485103069552
509,95233767403054454143410019509326236651742662629789435909000950414
510,126405736199600677529496321659123021067870890157585133191343635060
511,167780285796553948003747017341254188947851826078470224874114606390
512,222696511590550916582049392076798024534684467845751238088092801024
513,295586259458671308951441181826022867757266996721115860880215644048
514,392331717098107532076319777726740195133474818000003049429966209388
515,520740016499634693860831467636815316848566660110304270770814063220
516,691173133730298191936482170687096702283224619281960999592698058008
517,917383898759157361755015507406237918189595197729526078471044692730
518,1217625552853864705033375743192240083080889279496544531448533943948
519,1616124354824390040418083151270350666072856341191547925616523375432
520,2145034019398369021842317617509488471427136196949568629274864879520
521,2847029632637121051414106472507934858702880144972432565702859766794
522,3778750264343040504040912608867865653256680782044675421799455122488
523,5015367944779703334272998034973777909835802585929839322970813336570
524,6656651512059309303198178499509171137265383695205006963048184204232
525,8835014391987238541110996428886024658554957855885911739671424016850
526,11726195364662373646230909897572674252112795293330583389557955546008
527,15563433701990190294849420131572947516588638807190214673166633093824
528,20656281847337467898898725474592805211141836649323629227669493125856
529,27415572772419567400380308595413098694481340368815831136710571517780
530,36386555437959156355845209957477610748972856212720273969723264655420
531,48292870416211894470135831784407487131877166786541627536806161084582
532,64094911804777225377622561470470044390476483606037568249306957486888
533,85067281539257408158934903807598539128346393523870498747842660616688
534,112901581611842480640012233886858449695629927185482826101412336326104
535,149842832623519492490908370261361359713341534679018127381335974293950
536,198870518227039606924154840392151348244748968026865552405867449574112
537,263938852905700192877525349763493503776766396206514644182233884565062
538,350295645205983676494621818334499843573381807572505967728002232689756
539,464905464879017737673492638468612905810082945892906114844199360715502
540,617011231137446666198310521394254177333234442987656590550520500021520
541,818879498186703929119485512797067938787323639991560288769098428803280
542,1086789522788505138569778961472095966914971209748724602291102270080052
543,1442345850451615907095330443481538135507503208714001064156800146989524
544,1914220235848952317338611331872347978877807557134594994153479943624384
545,2540463321139627092140619615853079005581073365065671748181466044577330
546,3371572422301776785860823042247286206947768598977690346240740553519684
547,4474562719761828705604088016228055960792992576197522927161788860450520
548,5938370027342118485903834135893210208249898743775402464086230688510544
549,7881020640838063349016649393871371236637330662301563746159832749124786
550,10459146193777911095535170698416740141098059753702221945738886511623400
551,13880610450855354300374613342953455509504855672935357052667390863203442
552,18421265780064396206130806973979614418687128336859432719146889558565104
553,24447189873982401765391162400854543687275710127225266395318471763057290
554,32444194959043344733538537011813447033761348197508827641483778145153576
555,43056987828844356102582334616010009183587371085528033538625726007669760
556,57141136790498477095444194467032715863279217213035819303383942019826344
557,75832033690808853194214353563879684400542616092194233473939366562255732
558,100636408751613121925601389378583301266733279808308912532751724825158948
559,133553773341701213244266525021333353589257889002689150337734863103129950
560,177237577477613416205484085174059790070336484219405577991263010594509920
561,235209069085978506852050751685878184401293916018202220121640199246999616
562,312141088714899953490026929417410901388091017238456257873981347425782984
563,414234668591447535825386016377496308419993735763714387348628740367315494
564,549718782689127956064536837611268373063184324480224164791758631719636432
565,729513517229788426123540444534483301484944732544638764003319092047047550
566,968110098196680600380233190014302302705340786993610828172249987659611716
567,1284738684730606814718663937393307053498788427790896734371923813067486886
568,1704918022266015071802211469313899317089308225830389986988140699533268128
569,2262511814655082956119794118680702356376951312300213644152882505600561296
570,3002457498647858364349899896719875462437778730679460921749482221728166780
571,3984387275488439614241340414032808386538104341938450107562303529833900980
572,5287433136681973339319615496686339910837234217553554847900491141329602536
573,7016603004354876042739599626803559653897409953483931706122483785389551082
574,9311241674116786558730212218043117102469687537873731713882201409864449532
575,12356258194634459465057495920826537461678675226477387512831799374547511400
576,16397024170636614270787427468221521366382973350605410855234789967782429952
577,21759143184295229711955245243530261266186742798172746943942231970941264730
578,28874683911033635488160819809759541335021555491770446762105518562686728472
579,38316990162640779340227825439787233944623972041847532951635357897781427818
580,50846871956635410640599498578661891810206585238452469817314910940514084120
581,67473898427145911938189694398293709098659690341375003260238141639882676546
582,89537729788291670778795910271856666275883100121878654032675765204239335992
583,118816039598559365129073675651074623936878725336093772735317478166697371840
584,157667720237924560624755240072304849714609496112589332103136668389480356848
585,209222906270644559256122654850457853761826818055817377689483165323181143060
586,277635121073748946211883033799652971019567376854285079306441333687836684172
587,368415855414849621136900599252443741365568012415587335524332517210264279446
588,488878525465452049274312875653910885698538342913549382385401608094921217944
589,648727566632144089062860455458051247642346242922655015030473721527362698640
590,860840107907640715473543366239835725870382201579764269030923917886691667640
591,1142303180362200203857557340521716729515239587492433923005052309335449042318
592,1515789991710669371312810535437322607576215144405829435382287302624822271552
593,2011386103561784029913814607504788150366252636979055268746342999516812005942
594,2669012577508358207467158599108229567329296433457903035297406254884204344876
595,3541641227735281078585745757424782086986585329195151932159886737647073478750
596,4699560901797573980260477830505443642914021619903455057664182669619620677808
597,6236038343141955595708815694164873213597841012022961872398616070960650055888
598,8274829482723114479084848826305322984163197046375370971475759257990737684804
599,10980146003565277628504709486194604341012294430762820588624555234228247292948
600,14569879716953645804688201096477155011305587405045003730467388258104803501200
601,19333149598104399580363599512399312063938513373251359200313760836591005065250
602,25653584370233247215622863120203005650362862981290898864246712915134443113908
603,34040215317962628587720378384782810627551672021056201457587608368221244414456
604,45168466729867978051190456370032948751109379396138500249928689518898860586416
605,59934544340814782788441771818423406128267087390590013393795549979682515696130
606,79527600812265521096783406268152733967776625701550782419690972927818953256136
607,105525488484831999079934752239324575766537022216567668901053683962081616857570
608,140021808570134125328196279913350704535511839764739789597622426644527145375296
609,185794485475681672874893254071682505210589777632313687290248776394099658943994
610,246529437886169184091404658030318065628677544083745607540141458807134679230920
611,327117353641453772344235731376012969661845873783847706641511226279851569572608
612,434047460371638069347746633543848551642172133532692679841359702905959344003256
613,575929991954463990260060212674953580532896356356825692976758056528736931054900
614,764189410618517028214577283752689262022667075519968001247480420131760684657524
615,1013984189762730305813675390929272658220346240195384136624192598581171963137870
616,1345427199605247238821652238529093128516585438569453687783953339048198069045456
617,1785204934423300766756716138225260187006940134224645516442357348805358106956768
618,2368725923836872011188210916270286598743231435763363581773935639163546173596072
619,3142971265102867658653846582399101868248474397996052576356709880333682088496630
620,4170276726771120677226273804850765864520398145495828234152767019595505881126960
621,5533350854482953789470418991126057831722954415959895287626834413511530315999854
622,7341932991459255888236945343249835364264047944201653318576350124035915482692116
623,9741627115308236485606401038788712139744827719164021787212264358747939851608086
624,12925622511070691349692550782832530192213426343071800243766246655668475365667648
625,17150244640406921945109879580850403579005526221783745879288150632531486501850000
626,22755587825561571526193846512889767771686153202854371933974236058178348438732684
627,30192890350245524538054150010951426842442027106183868534116995556068622602043124
628,40060855198790566733465153983820552865416229123674738489757647884219399329589432
629,53153839573757650998394610862378213125079153990985112782149554925877564996758234
630,70525791480626075776932451532120854293805880470223550111432502901666247055164780
631,93575078903320845928167807074816166016170906495643344262460787315237122671336840
632,124157038383924266214886824270384960515783632383520478295198240600552631131437664
633,164733300446309534406821448372903294921599934587215330452004734183421753195023018
634,218569908747558279778922435449704419654528660182459130949828795193938731227278328
635,290000176222136952762989224285140423145905312514396060226930601523501586874496730
636,384773430716543594523332877693077282310325863694318205872114740622027845315326568
637,510517713821911552319060415481200303631529839543810751048656790735116498074314930
638,677353665853259479765192047490539440898950190677018262049054180129723995630884568
639,898708994913347246957131042791102614507148839009728261262950136619487884255206592
640,1192399067441966284340271164230416940804294911536088568919617202866711237118800640
641,1582060570056077759315930785410788819414111179926649823604191759995749984192717524
642,2099053600497000883668158657897021780150551767632675690346652176750413405653173468
643,2784985234554310328505828346029029720500233123017901248637902638110870069031745670
644,3695057617984237027948453589312459588411783114886087674407116217256915778431683592
645,4902509970249264849394369851189377685771719939292598655262733327373906606684312880
646,6504511897025972026268272477733962258040963436785913939615384811126947083769449368
647,8629982170862613899527570433769812448151558270147470206404300337654197905701182814
648,11449962046960615182697015718579139078062565623602459327726662606772638058759176096
649,15191377695005122617794580447164222829289524121784093039324501897563681746361838630
650,20155298980137719411443706535272725834432061357242660143713958205721995853350959100
651,26741163548767652799524707091059609164698974407761207993204525721390640930317635022
652,35478915064573869050456144901021171095036525357370192685926272113363374245494604368
653,47071641098021777539220644934572356564695857890871254372654840405462117797755814608
654,62452140809574463870231820835981249948397324305849495808171971061886032946790666324
655,82857973121143078939146879062417771656612145252452272797205281007252669703119446100
656,109931022672945588757955665922694097767319828863306231545604341172829649529612128352
657,145849593085497917179099757969123735290551056103230689473042593784697898080757566482
658,193503653517985447395075834364076604675038382786554811446211320373990995677666248996
659,256727335678573227655279682114683037997639118178051323251089806378568241826282796312
660,340607383482160518641869939782889788902237434105510728890320954068156765634205944080
661,451892366840585176466553064080589582863552142846916844033145696367508608164796821330
662,599535575959540622083068227570127480776292780710801682344920671777233573552183970472
663,795415264845449350592314898914998760893312214050463510230378259960082616335632670034
664,1055290177242959175751737444925101657707135793867268865917420849090200118469523797904
665,1400067212126500503945193627209200284673543860286540760085720452592241998516141775210
666,1857483191053945559030060392166004401795261515325318652994065199520157914094329378664
667,2464335995133803588168857726132760579451909389988635533052917303482825862366533713920
668,3269444523467493626931072568425182712667557748544721257436473263437200900527969199304
669,4337575540917630088356852820623127601513214148556366369943024595273242701130904144116
670,5754653244652688687527675497606379955389449247301044541895854180045211496192869099460
671,7634670539402052220401678640422650960645567513276361655632227562305503514246412440382
672,10128857866351591189470208223602306840438688747867510847141384480713897855292180481344
673,13437846985123060885470852592451808225769794485520367977187275059070959656325186823040
674,17827807961551844328571320020772097731085077229329246466328847452009904940094539256456
675,23651857133324244466068239175849691659479286310340940539290358561900545815471679825350
676,31378457703541426110283104224393823196590470407977950186730551236791612812861577697424
677,41629096932523882104466170713164505913835987584808622684136140445016642629976477937502
678,55228269875581783863719453371209008689076158488400288184197037546518595148629421661668
679,73269789230579622420816818065270962873433680731053344292598054838625195533690166108550
680,97204753684469572565380345571881724959190171888428744005026240170467866173312322593760
681,128958248739391833777971924535158099158523463727801801356702583289787167293467862382736
682,171084164385927415789459428252373531951909101172968692856048720344842630192561022170524
683,226970578933455740433982644693226162070005285939798547378329376543831038472634882583604
684,301112224229427897864129270501430602825731437962605267651083219875022742582735692633992
685,399471941299855711117334712147006876093491285989821846809403075307999242156609135829450
686,529960190776586620685440207494742074563327247287806590484345065742822731157932080905436
687,703071174613864812172054539563743632706098495891316494473843189842740503327464867619496
688,932726717670617869083995851143241442395985955540085819323705588794116496908515953498048
689,1237395762088735618435413596273877170723892038503415240426477619569250703176078493368826
690,1641579486963239421727861879123783720628127645632749075840863121039870042418075597036760
691,2177781462051813210378549228134002568313511711630250597248430020090349192369250728473930
692,2889121240429015966213005813029851000332529173661803233778944446995821256466930411168696
693,3832801525986269095437362376391468889661316269051095972630854295260214269254077383036962
694,5084707676150329825500425159512927632820184092404442286037224985199852951993613742012792
695,6745509334763542451031049796187192599694031844026634423462963602772731071060535172495040
696,8948754752777316033177608923387153187375320480356023013219490952703744758871874784946192
697,11871608552931630314821026680815067006388545544857200381563203966602962071551108895167380
698,15749096206529832985829161713822975161663358844596877408287031088236848912896120995627052
699,20893000398367421498528008716799923632532015752539831821397121970180762416544127320669558
700,27716928420468195840560243114001618316520240518094421433517826966230562115907900909639800
701,36769565816544704136507046537469231607557530844677537627903156642052039998525102995038416
702,48778789572500825029527679662762821536288742126601205325196967898676131250033842889710712
703,64710187109667082169127220477680758885908263738953131103307579103307781914978529602265390
704,85844685354358186508624030139039665544444915074786523421601147086627406635225615222892288
705,113881530308487297081154258798614768971263984097702460540673161459273899683139712848964630
706,151074895301992108212400485381737945792782313293428607035296344230859603737416339860888012
707,200415099254477530814866951534633235465374519508144888542943945549090528223159337766988606
708,265869002074765634710703337603541424675542410102968144198525738188347905125895588102571504
709,352698900986068525787005334278367503570251587616918352669297544824063769052581882358738640
710,467885561385161442167807545158342171002078662658606013944695553238842056959188470957410660
711,620689385954719276674595162667093960469384865247068430581436770554739712975823210584891028
712,823394828856747131356788032818873507745586738138362204908276222608423086713910103134861872
713,1092297890289684111661526454630788674556216128480349359442971680837313432342490966753733122
714,1449016064190868687610244839653316333611818958775450407497609605251008099189218803662046356
715,1922226028581751799239413387637178558559811955056224317562370385034985442166020104918739000
716,2549968746809758471669756685256806416649635043220494453865317255219898493438674545569504368
717,3382707251587343322649618771645360133826487357659207250278999083963087763964343433553222818
718,4487382877156036499528254364054202759949056042678926211563546090975709820621278460672112264
719,5952795949541030302517321392229733200612578800671928916288071401991657441919087279248889538
720,7896743389322628886596917971214645920170008888567873427197422719336717692211310229381641440
721,10475486879605521538862605982771720395437700287545289780131231006496864332073018850231033050
722,13896312550586836761731230134287028797313509577261769520984126728534966426272155143912999688
723,18434191582415854226695599015989233776878240108537337824963144783760999201442670525079012096
724,24453880694823990610027857114389183304158197197023461130893603855767919120019584739736532696
725,32439238658213572362279894983121779711993202506245249141080395177429974097014924749740818100
726,43032114855359180947393552189711718653713955570201375403269485818192423860295007455874382356
727,57083935142880076655594838927686914265359839855931253896885368819067990048009019315818657070
728,75724130616902970794196609065012317076186129161533342786895741839419911965442783477422844336
