kind,r,n,row_sum
cycle,7,23,107283459139086880925718327534887179532836259782393735261701408166729903289834020685816609154803375812539693487299748609654220126894832733878763320943907975377212065681721624677503156276663629356103325511306044737589616620399377076577422540800000
cycle,7,24,2125140942533375394231695076071136919111388170305959834428998618483454715872085855865931419920899243240640478544144765636998570724438267502901370870101799423428812516753839871146512956902814805262976018907128843275674893260292763487766293796235247091712000000
cycle,7,25,54055921233613561354438385375704830723369906825020561072282179604731693799488093093271022277225637470468865161894728259817253418619047123520006688819660769398363124110786629329284322702022762668094403737512781827744947709883303246789808931403976879948797309950623744000000
cycle,7,26,1748047865893718507649225243430914028830374380565897765973123264076583778455460360725705971431256750264070221518297522189399248877334909257701436923538945567138230286601055719666996230172918622277745829628174585231213642692144467201353442019363022751121900669276229980597768945664000000
cycle,7,27,71204323014738455729265569580397040590610281657089089214770414658354526290236523445014795288588887371528193580668020958244884271873034042333575558557513080569708183808148623158738254003938063776515792080378002695835937836065383672640172289718770691368039548728202972753805129127157137166827520000000
cycle,7,28,3622331636283207692592070139349474065326102810971723862011513027135690042503043507596364064568804402856999652481077820774203970468931563421287510267845782594690753243682029537728403348708242232776506659334057483669847220554432658604081971261504991283157808365781048568522045156396947866035467561792325025792000000
cycle,7,29,228323242946215925081127880624229375372121081608742623096803591845872958180239686576329280883500860794121101721704251835557888111830743770285256136209653986675572159491420659548649183916629960814764701717282272602210732220321212134317190002064791432357645157503399808650765456000809590226254376385581253749668213214412800000000
cycle,7,30,17700329034458624495638198781456248114296667356186539310306288480843350191860066954243880842155584138052160794208477129847756265310835677726945689677781442686629595940625877275764397737626820886821086396385296204797490138812949671978358164973135663790415473356109649592101072094887469488509986712869123132496286715834454150916582932480000000
cycle,8,0,1
cycle,8,1,5040
cycle,8,2,163459336320
cycle,8,3,201968885712642410880
cycle,8,4,2676705304538134754948132294400
cycle,8,5,207497986979893611861404533474014069945600
cycle,8,6,65771291519125894367280285958961831572514485329484800
cycle,8,7,67267965512288654477245634184502756761382718763483639453078604800
cycle,8,8,187575657751504160419907475323168791389316259454920033194353997888614329395200
cycle,8,9,1257253823515844187345098525000789625589623044927073848366952705761952005848277690558208000
cycle,8,10,18368124725204668503395162676783513504539717438586084165244668226868143736892409852363255948842590208000
cycle,8,11,540950714792597601555637935571539623629052206448737774777590102295493838663655199444620195238683437105595923296256000
cycle,8,12,30126858119700336209754360075865252476437818875062038644965122135247437826967373731968318983171441698264272288442616489347145728000
cycle,8,13,3008469527925029154107594915386241533184689435461527194277009602230272608576027978802588550198257057409620534936486450853446903349817255698432000
cycle,8,14,514980134546847917013106226614061672708550571541382846615010752811580770377490759431379577947115516656485064644786578644122603516275389127842089297492541440000
cycle,8,15,145393312504569275375870581020823992996702071288654299650430230293695883504359942094212517131231085682502306075424053025199617040166715366688540394021454836782217252208640000
cycle,8,16,65478799426544936137758770444854210086892259042127773434388559436847200508373776905099903717976387633072998542847348503687398917252308516220350274896775498996187818445104201296285204480000
cycle,8,17,45684534619522865945754908928578208925031066329411184138740484188278925924958726743598707625937916230346877816813779264409165596237507102620108786974221823065449921896467225447710797090289949990256640000
cycle,8,18,48123276536023595917917251336235324809657493801254183398745737318340258036677093360951635934219414290837520215019586314441442366930517594044984943288683195903707331784528333879612742609819198026705766972661940879360000
cycle,8,19,74801373442712292287643454523425776394513014885829285750827721884851293664325437968607509503049875128874082134965342384104700080573117380085732461258996158322671524662085579086715438023126013808095831813800778213910672552322662400000
cycle,8,20,168086132253168608750193591379180776352010310090865118456968776643889985330012459563510154658612485572621369856710293856446214672612688717802442341024102003327550156611511468280924674330562288801446658001457238437827203374789770237538864804659200000
cycle,8,21,536059170989780679157311328858220492194323540833452195299077718713421746611985320284586230328018950501643675971334227423048301666177262019444446611871949045074905162474397876427594909571503006058991669269196649983884661696372116559313219998079496731689405644800000
cycle,8,22,2386197101217890036358832998845072778654716806568954759065606873323976269445209064289840397110809260602886615824592233535651500846863621209057531443241795066693995149104431572441964093591333042691733926389506218411756263327699812576207215390658468817046677148169981002252288000000
cycle,8,23,14602464904182644430678822796455347305172748061917200575724387907181259535972699680804154499409309689340871000795312861319460175059685078080258039961186604693799237837435001327074092908520599719846068727898736646543502525954466532952032111397397231315239539841152730564815452216575634440192000000
cycle,8,24,121159946228097065995869504885384372178683861386892614134068948816543442152180139796324724075515583778645536385005996404304907860010262449035786991714364283139665473365286054612913558292619888334779309678550406175350211165503498895687857151187207153708846299498769771251925702664006242117490364493975257088000000
cycle,8,25,1345839549073314256284708846927114450978009948473046928817641739135964992803991174465647178410576903083398180157433300797620062301399673151903765202803161076471498856525547517641329623139305956454749087685731581698447001022138220626735397108351734196269613001821760603488569556856564831397589011202547672461839128218042368000000
cycle,8,26,19781460150409017992086026464710038913082447092273411294323412803803789008908698355176309408127524651247622215743853492323378990243188452454837500752486347665064061657950609261652250907071009953583040657813842272948219864782010152261797099250752223814518124699901531582348566489547648530049475975040541762651105352066203961776882447286272000000
cycle,8,27,380604640654362341202857212618987667468721668360610370286146382923976363003631811699242050300923776978191642892552105720710645880191270465027975423682373936090323969716476198839985788043206553779156991965026419099226293406770304865924260918088791099999341132600767503079520568597964363494632053090907452454396579719778784236793343729265372861628059484160000000
cycle,8,28,9490895980076364752128714379583961487326374358026280242787371339612490679623737821560274314648773021789918077107655310047277402962910689622311731490342465530770961122094708036902471275955926747664565335217524875103109544577912317108614276083338720576281447474774691857142401511364119275152898808073030951792784253572370763103553125597430456776986966228244534320640819200000000
cycle,8,29,303902430394642288731338428509567549636987403543186548190611294910250208677727711920199605566308234714788824053423041168341896267364097330572735748267965882324316818937118750685246483377962738184177282174203298267295177084466100022179530963900285523135279153363669128389901249296947322665220148890348497522464604702777121174694312267865947206057211572599997251883136161781317892214620160000000
cycle,8,30,12388223185063009162707591257907108829053060956423314119683777400997960398804762393218912143838398966766140404770846174838031996427554411017476075791647702690669898682271216020009094155425357294724753568340922410743736631035805611590792515390710992600507814280254858632840445312732898638670482583857122229142382025882210335764733683593356168863873307893316594114154590382820484188340730856362176550010880000000
