kind,r,n,row_sum
subset,4,27,6616172361392233897379067402390256811856140891404289826607688271484962534199917829102720516386510673205993038
subset,4,28,1467423524726991758221719078686139248680297327252285803124636448012100805644185654443452847920602271149418227339695
subset,4,29,362281369627485363902079067463284640911540905352464291823123418706037499019039379321687654137471169483009496082163617853
subset,4,30,99191125646400592336596326133536278333765088000347078956905840624358388429916792328551247951904554114469284736690300568470387
subset,5,0,1
subset,5,1,1
subset,5,2,127
subset,5,3,126589
subset,5,4,489874639
subset,5,5,5201522272948
subset,5,6,123491285503997126
subset,5,7,5725635622071541888856
subset,5,8,470864932383423096215197008
subset,5,9,63913486193150092418157291089830
subset,5,10,13540690594554534106469660952701642762
subset,5,11,4282013329663033685671134634376929351891702
subset,5,12,1948771416986081052943294969564876193774276520810
subset,5,13,1238161025884573353785637365036443144217251060464430008
subset,5,14,1070362973692359793586894756200885285055638845448103471318124
subset,5,15,1231561069388586812630496358683212658827386836387626587359988690064
subset,5,16,1850389311900565223594121648651588563912692854338195569257794719385549680
subset,5,17,3570276222964757350112546306069061416320139198914226275094627350741753522740636
subset,5,18,8717173345466833273379175585713258603767347117709002125636512560920195127712169378724
subset,5,19,26582755718830289593136172950489516870934861886168478781696076292991917766431672519283403340
subset,5,20,100066610472947524399961977105671346501211411983953676129500118420901115621298587186805911527557220
subset,5,21,460115414581875701560561901373751766884990164900990191182336640727638891376425469306390065727367360965936
subset,5,22,2559720823635374035980720767381977827431220092333240354869779560313023520480285756298755416671757047105932354888
subset,5,23,17080602385764668682205228179722295854020810568135339930651625075193471263284437624695690659676984399933587199469963168
subset,5,24,135632132971719112942504556181295103836396112910974495520065844205775634383024096989766488944073587185643953974668303437814144
subset,5,25,1272393477140790526890900558242125982747848827811690927436646561073691126481868249573118696703253335057037115486006261502974151541768
subset,5,26,14008203498561042928293341306683613234439569286862835383074055622115987282159082858135401017473411194192711245245333307165275967627679767992
subset,5,27,179875227399767730280873164747269139360788129587669421273987181432120611260119567692335038261645711194475629370563805274365622058990775004511486344
subset,5,28,2678626279087559524624525444545493142014558880997313886789101924631060219578962264610372392240744705903440576362480038323218505476378356560279238518945336
subset,5,29,46015660127547417880373308292443187620110825298240224267151281494655265707398319237207228337452901959450187732907945133249889122336441901010309445226307063921824
subset,5,30,907426578331573386087056361577590176280703470802866318332827087152095995707099472789941271366428246340339162921931952412476937444574405276238195866753628018836980247120
subset,6,0,1
subset,6,1,1
subset,6,2,463
subset,6,3,2860573
subset,6,4,96220929520
subset,6,5,11425325773378661
subset,6,6,3708833160821017841184
subset,6,7,2779320195352540556782971842
subset,6,8,4263246729712609006895976090204044
subset,6,9,12234070979660956569562136543357481993136
subset,6,10,61248151574992490168145040220030367197238092999
subset,6,11,505901063767591859350361011640506021723195744144208046
subset,6,12,6586769585979440986017536748214460948246633454301101771668100
subset,6,13,130139946833712588866342410919564655866452959649225471531288174258183
subset,6,14,3778529912538212205430702646959147891082461999284996859341412362704162987464
subset,6,15,156837716725411390552435450848827569039922418417993084117318635328065708506407172956
subset,6,16,9087252071136854501486387679151735329124175954228365071765919023397590441511948026385429891
subset,6,17,719789424359550569189466507327716415463238913344783187430537613439033075987981868251730869012164196
subset,6,18,76519747388236588096570749538339945280612683269036503566417895473877880320116733723592404355951261700623871
subset,6,19,10740654705651268086851424056156125151019676817855730783099670887675209663458015124863747378905063514414711396176501
subset,6,20,1961643321201560968975424162933738116005239900051267496469140752583767519091133219380111751837421205826199518028616492464436
subset,6,21,460066601091048925656818730504431938662777575405596248615573403249579478815504711751872411916123212030718630035355330291844383364677
subset,6,22,136917015882375968391676597913295766991295337311592061801422295352176158721032791636111305415539094686097297386891536079618845366671269610771
subset,6,23,51147662681448040033681968204850672444143044803997853587382883439878969789885245030500073534336365827599115812707371002528646951089497683829798080496
subset,6,24,23748206573434348527929363296763657018759010784207135895662307177670142557588195669871936659465041092774050014485628991315012367736842329058436682581290572690
subset,6,25,13581123511124530359764156835757843866130125320768534206179095495493966021680148396246386027312181222468995509920859303817737372165876840625481958293883503778233342027
subset,6,26,9486779263352315678344639738835397107648556120704994886009012262491922876219374193927971052234038646407521028476954338667562449749862820066244687922173853058506260056947635823
subset,6,27,8032250342940034436102164677929388922600585447753495787362660354653136809094242692187807878803515243513852612263511040655789485088694013874349768170511912943244110345698135901403254624
subset,6,28,8184570885476175771980226310092174961124611368017594554253274915487287349931182708016545661982515414265128455120331211101463185721898319645011645401812333208407838078012529780088216569283203083
subset,6,29,9970591602324693812049606076291909281632448026129363772729735650606574077205655466021020334093096096337186641111862895224397384134443767657995425488293267010237819193229650516044196162652203309261029647
subset,6,30,14432337439086044683215574418181857976383370212753188573820036108411005693681778050266909221997161485708178667701739931972885401550064688694165507498676752099416527471421739924452543360067958354669053501726866133
subset,7,0,1
subset,7,1,1
subset,7,2,1717
subset,7,3,66518596
subset,7,4,19688813224796
subset,7,5,26479111137176676694
subset,7,6,119059669702499054118220424
subset,7,7,1461038694059362118942759797819099
subset,7,8,42354989512966570937810193127548245465029
subset,7,9,2603751092319455550110924099245634825380062073507
subset,7,10,312130996722406433666825659426272945335024026010891017797
subset,7,11,68237734361724068307118339805532536961135843612878628894486366211
subset,7,12,25756135083413488746586779871918463339990015755834986726323393186015476173
subset,7,13,16036145242493929116672416044094620953916700761469538924260705956668085033905008961
subset,7,14,15846474770204733046954497762926402042382233794686164084127687079898928913189879896118850811
subset,7,15,24045148031869092980409734183588682246609907127287836240835373670369923430775894039778062782940506666
subset,7,16,54444060452927862121638151754075349930345603725630989205326177641860773610505276318484702818296863488355954616
subset,7,17,179401056472653504421312758955593154128332253568363186082823384554458496611282673328397789406334094020337047072712409036
subset,7,18,841503158249705202969265546928163055531630024766794633140596253097744702130436463278454086451548667354801086378159377083118522546
subset,7,19,5509538589345348888615731313821400045729589953532546454772033148264816823254364902301848746782332411809051392623774080350265142005031400581
subset,7,20,49473730421542574881177964465302943903466397481071609517143703042373880780678983545482074302222060360512650815928998606122055677149728945867945223647
subset,7,21,599748269756330913324076384228801782526154358573887408047563133491088668398859275997942064202861216896378318893759253549723560076418653411320165231641875540501
subset,7,22,9675818518162462373448159617912004814952736945942702260826267650314589068924508796241095284900631790081659696791904221339689866054536739179444876602567346588752489602557
subset,7,23,205062080247694404202511169193933302661985676155066229927840191366823771141735122392673341515823261071006602766545204411582782002189554893585292157435861200866774076611808024809087
subset,7,24,5641671975792588214757331532806621549508389831370681028717727593129848055777725882614994350908970461886613247503474845100747623213873499298991959810902480156673225830184678939490760581922811
subset,7,25,199310816590449238483867854514190566401698931232699647463973281341565788358384079453905289254907683546366249286182792440745207985650695362769355342486621373993922534065156728081359004618067429287774389
subset,7,26,8951759762881716862052483798922388547338669605228954327648253751233086597996880425499732721728064105197326045445119935579664609341857615559026863784382940741755181783904984171738182351746045438726614549897179909
subset,7,27,506441122320477510876338201069402474786899368411755157939861414572291876415753673915042171552214930694423639917183132092195864092456638436079302402612420506067644073125707606412623217732054226332364387363075382068844155552
subset,7,28,35783128885187843152779683232988980584031715870147809874707200258031452840504703075376711910679881705986090882864298107735242729487033124511767083053680459330785302508646961316568746666989133790359396918611161763408016262549860033684
subset,7,29,3132620106666950711641583133770942597289130183305980772776002676103066279717256671682262420857329353007260523676834791406473926871145297540179427236301312735417624178386718715619380615369709746298751829076029858350368257751089072763069324179042
subset,7,30,337292317687757306054203827075070873401378672975069253458931640906029186347440422710763613609191056783811288850278268960691793811991693363410756165280761342119355967885442690269849600268528615726510566065562221562158697981266614034346902248418847079853908
subset,8,0,1
subset,8,1,1
subset,8,2,6436
subset,8,3,1577609606
subset,8,4,4148391998711819
subset,8,5,63806014619238640731061
subset,8,6,4012853531473136805396603773034
subset,8,7,814319074059869220679167617353404451402
subset,8,8,450538824088350782147104358012745139035009739713
