x,u_plus,u_minus,up
-0.544375,0.152593398,0,0.414843826
-0.543125,0.164026168,0,0.421089534
-0.541875,0.174248512,0,0.423752791
-0.540625,0.182826573,0,0.425653634
-0.539375,0.190032026,0,0.428749926
-0.538125,0.196966665,0,0.433063912
-0.536875,0.204723372,0,0.437040139
-0.535625,0.213497387,0,0.439091485
-0.534375,0.222799381,0,0.439533937
-0.533125,0.232433782,0,0.44077339
-0.531875,0.242878196,0,0.444998453
-0.530625,0.254591911,0,0.451929705
-0.529375,0.267227962,0,0.459029119
-0.528125,0.27985585,0,0.463361926
-0.526875,0.291805284,0,0.463037771
-0.525625,0.302845301,0,0.45787011
-0.524375,0.312696242,0,0.449786406
-0.523125,0.321204983,0,0.44257878
-0.521875,0.329153697,0,0.440165442
-0.520625,0.337959457,0,0.444089745
-0.519375,0.348203073,0,0.452264635
-0.518125,0.359055858,0,0.460315014
-0.516875,0.369376393,0,0.464799489
-0.515625,0.378847482,0,0.465712922
-0.514375,0.387912701,0,0.465891215
-0.513125,0.39702884,0,0.468080285
-0.511875,0.406230445,0,0.472917026
-0.510625,0.415214528,0,0.479293182
-0.509375,0.42373939,0,0.485565713
-0.508125,0.432059076,0,0.490337882
-0.506875,0.440898026,0,0.493058181
-0.505625,0.450849209,0,0.494275258
-0.504375,0.461872444,0,0.495012682
-0.503125,0.473405715,0,0.495976456
-0.501875,0.484714377,0,0.497658833
-0.500625,0.495102801,0,0.500857746
-0.499375,0.504230786,0,0.506148147
-0.498125,0.512178749,0,0.51249564
-0.496875,0.518921723,0,0.517108609
-0.495625,0.524282162,0,0.517522979
-0.494375,0.529044031,0,0.513948909
-0.493125,0.535361394,0,0.509195384
-0.491875,0.545152659,0,0.506263358
-0.490625,0.558464718,0,0.506198136
-0.489375,0.573982307,0,0.50806388
-0.488125,0.590597067,0,0.510539845
-0.486875,0.607869127,0,0.513263907
-0.485625,0.62533946,0,0.516558532
-0.484375,0.642124336,0,0.520274138
-0.483125,0.65742606,0,0.523535517
-0.481875,0.670974194,0,0.525583453
-0.480625,0.682283526,0,0.526525234
-0.479375,0.689872867,0,0.527359317
-0.478125,0.692488403,0,0.52907031
-0.476875,0.691448181,0,0.53139088
-0.475625,0.690666454,0,0.53290525
-0.474375,0.693841858,0,0.532822388
-0.473125,0.702034804,0,0.532182374
-0.471875,0.713932985,0,0.533029147
-0.470625,0.727626412,0,0.536696034
-0.469375,0.741759571,0,0.54284627
-0.468125,0.755632568,0,0.549900966
-0.466875,0.768884074,0,0.556300326
-0.465625,0.781029103,0,0.561297796
-0.464375,0.791218855,0,0.564812153
-0.463125,0.798867003,0,0.567245929
-0.461875,0.804568697,0,0.569437929
-0.460625,0.810039464,0,0.572065829
-0.459375,0.817183973,0,0.574784441
-0.458125,0.827250467,0,0.576301451
-0.456875,0.840458271,0,0.575797533
-0.455625,0.856098424,0,0.574448717
-0.454375,0.872730133,0,0.575009456
-0.453125,0.888218876,0,0.579047544
-0.451875,0.900563462,0,0.584957337
-0.450625,0.909427672,0,0.589781589
-0.449375,0.916347842,0,0.592673923
-0.448125,0.923110223,0,0.595230312
-0.446875,0.93044599,0,0.598691574
-0.445625,0.938367969,0,0.602258174
-0.444375,0.947086051,0,0.604335295
-0.443125,0.956886092,0,0.6045998
-0.441875,0.96680391,0,0.604627087
-0.440625,0.974059932,0,0.606912428
-0.439375,0.975944473,0,0.613126649
-0.438125,0.972561177,0,0.622652783
-0.436875,0.967253519,0,0.632667208
-0.435625,0.964141719,0,0.640127993
-0.434375,0.965406325,0,0.643869193
-0.433125,0.970603169,0,0.644695364
-0.431875,0.977947283,0,0.643956104
-0.430625,0.985866348,0,0.642808325
