r,shift,coefficient_x5
12,29,-2708407810111952423036100
12,30,-6589976141034187586821500
12,31,-15966570652338839315821220
12,32,-38528029029119557558705620
12,33,-92609063242010500822536900
12,34,-221774335375298351322727050
12,35,-529194646040258214785393625
12,36,-1258424867773440710946217329
12,37,-2982665539581113015444170785
12,38,-7046957043164684705832744675
12,39,-16598536816586834860789830825
12,40,-38981412219213226622475965525
13,1,-22523055732100
13,2,-77610264699825
13,3,-260443851621525
13,4,-852246980635050
13,5,-2723840198679600
13,6,-8517654770785875
13,7,-26105223157284375
13,8,-78543215129574000
13,9,-232334151661755000
13,10,-676596825154261440
13,11,-1942183154426706576
13,12,-5501356646853373152
13,13,-15392003602462679104
13,14,-42574364808267222128
13,15,-116512223471599148336
13,16,-315698951852547220672
13,17,-847482649558287212184
13,18,-2255254583336615679273
13,19,-5952440790639480492901
13,20,-15589652586970087351154
13,21,-40532983645067563156936
13,22,-104660878594615674649747
13,23,-268486514948611771502119
13,24,-684492701288727884607208
13,25,-1734834367640334180043516
13,26,-4372345922348006454918220
13,27,-10961087141201756329849540
13,28,-27338988783337764905652280
13,29,-67857928218319865573780560
13,30,-167648995384613570993971260
13,31,-412354045446108575370020460
13,32,-1009926212559132851855592720
13,33,-2463401089053170864118060540
13,34,-5985191460606638668588905705
13,35,-14487232643379133823517590973
13,36,-34939796347344482590921014090
13,37,-83973506755381758206467855200
13,38,-201144087108756659321821611915
13,39,-480250998607926096930390463375
13,40,-1143076756922402053823185227232
14,1,-342280923908625
14,2,-1195384978692450
14,3,-4071367916424900
14,4,-13535706961945350
14,5,-43985581514307225
14,6,-139921495023819600
14,7,-436386573031593600
14,8,-1336338053294727600
14,9,-4023681354648905040
14,10,-11927486884560712416
14,11,-34849637886271817280
14,12,-100468313212603604512
14,13,-286058034377295218064
14,14,-805091525127057193792
14,15,-2241494561985015577344
14,16,-6177804456373338664512
14,17,-16865861602256878339401
14,18,-45636172294890352763770
14,19,-122450930157009382327620
14,20,-325966645393127858701166
14,21,-861253129101434302615265
14,22,-2259476209167045892346232
14,23,-5887932934507684670067584
14,24,-15245526930136124837782280
14,25,-39235733772585471244412100
14,26,-100393623450873431550205880
14,27,-255465196425128915039643920
14,28,-646646206866228463092667560
14,29,-1628590340870680420972005540
14,30,-4081888677955562904094719600
14,31,-10183629641245754063807586240
14,32,-25294061255755338595480910160
14,33,-62558505134692035509012313705
14,34,-154091475125516627102728909026
14,35,-378062542327647668674307259876
14,36,-924072097284626745618059294406
14,37,-2250432367537538285058108839121
14,38,-5461366730531009332781713912736
14,39,-13208886972441750438606301875968
14,40,-31842852517700407965415029892704
15,1,-5208803299299600
15,2,-18402846053114250
15,3,-63491654367352575
15,4,-214044071645547000
15,5,-705850218783824400
15,6,-2279859381791690400
15,7,-7222447587222504000
15,8,-22471368589547120880
15,9,-68754903963802330176
15,10,-207123347774101071264
15,11,-615015252340602492496
15,12,-1801823681037792095840
15,13,-5213221741602427943104
15,14,-14908305584602456895232
15,15,-42170168264647348334136
15,16,-118068383561138351689985
15,17,-327402624348521935395000
15,18,-899695824269450509251210
15,19,-2451305576141533389213091
15,20,-6625084615183942688359124
15,21,-17769066787713152965578616
15,22,-47313908749824523260638800
15,23,-125118723109104797717889160
15,24,-328708674030962639164734620
15,25,-858204211280429557816526800
15,26,-2227338207381526539122408040
15,27,-5747967874030455296411069700
15,28,-14753114945078853000069801480
15,29,-37670004956582285120623367760
15,30,-95707265694711340464349900800
15,31,-242002648590546437415211228020
15,32,-609122299457802753971850827325
15,33,-1526427537226562214284529963552
15,34,-3808980141399647411398447465050
15,35,-9466104451286170932150622647519
15,36,-23433073599489165312592426691184
15,37,-57788880604576221762169612118560
15,38,-141995535073921093526938194860096
15,39,-347676775068220967086154019084736
15,40,-848397871922319598300495372357696
16,1,-79387294293491625
16,2,-283306820081531400
16,3,-988539074964619200
16,4,-3373812009736581600
16,5,-11272144704924600000
16,6,-36908841145079988000
16,7,-118582057034198649360
16,8,-374288110328789452656
16,9,-1162008424908332423184
16,10,-3552366658169801240800
16,11,-10704986168590023510080
16,12,-31829697031972338576448
16,13,-93462957779522611180096
16,14,-271241367227188461657400
16,15,-778572842461994644124025
16,16,-2211864851297197068198975
16,17,-6222964956188645047006185
16,18,-17348261043235650012589916
16,19,-47946196864593757072795984
16,20,-131429665705750875975540000
16,21,-357485666402985813682827600
16,22,-965206258760300748659232520
16,23,-2587825630309810564223601380
16,24,-6892052644068683613942950460
16,25,-18238770126952449103745446500
16,26,-47973457157399344052243987400
16,27,-125453113825231063056225359760
16,28,-326246189044123341548857970640
16,29,-843906832681304664608210046480
16,30,-2171818842038768234215083610500
16,31,-5561882095472709013115264405025
16,32,-14176618975928225121312224611479
16,33,-35971197791255329573420699339377
16,34,-90874603810953862525567002990096
16,35,-228615353803332639094317891840000
16,36,-572808467290554214677061607961920
16,37,-1429608002458002728154528543488512
16,38,-3554569551693214085649282605932032
16,39,-8805934842293246983729088794876992
16,40,-21738788980077736896889132973579200
17,1,-1211835674603386800
17,2,-4362757417129082400
17,3,-15375280460683176000
17,4,-53051171328763632000
17,5,-179332016920031520000
17,6,-594450249096987101520
17,7,-1934335109561394127536
17,8,-6185705714961322032960
17,9,-19461000010119210896320
17,10,-60299855072149617345600
17,11,-184192433153996158108736
17,12,-555175145700761463236480
17,13,-1652562300443373005860800
17,14,-4861739602473679838862825
17,15,-14146186325211349262507775
17,16,-40736363952936633435460440
17,17,-116165631253932970553441416
17,18,-328217000149134227745331200
17,19,-919281259857569617012712400
17,20,-2553512250259278225886500000
17,21,-7037398854043253626366707040
17,22,-19250382367879129496035337940
17,23,-52284755154873450442441200300
17,24,-141046854662993824898161023600
17,25,-378040293136082186934676002000
17,26,-1006986262079923508520166829520
17,27,-2666463989974794358697606107920
17,28,-7020740151580708838147631400800
17,29,-18385115563897974311845003017600
17,30,-47893991422025556391436786999625
17,31,-124141214583429214099115362371183
17,32,-320224814926344497983827069087264
17,33,-822198822065930698491344921670240
17,34,-2101628327753338998595588535417280
17,35,-5348873553028911546804591195539200
17,36,-13556963054125264929682996845195264
17,37,-34223065125035185139059442527780608
17,38,-86057999803614707896437741815519040
17,39,-215593577370385640628631237622937280
17,40,-538153459210306357296232708861804800
18,1,-18527471992046001600
18,2,-67218354547169443200
18,3,-238993430650599686400
18,4,-832714041394196020800
18,5,-2844604552227112256400
18,6,-9534541654564403196096
18,7,-31385973688936522113792
18,8,-101569760561738573680384
18,9,-323463022614464259434048
18,10,-1014710237086269644288896
18,11,-3138491910292030647548160
18,12,-9579439842404471273823600
18,13,-28876895378448140763882585
18,14,-86035177951426634012565000
18,15,-253521371378256956840095104
18,16,-739331786649577897456047920
18,17,-2135016749672690773530300240
18,18,-6108443568812730467667989280
18,19,-17323628134174442418296490560
18,20,-48721533855691210319620407600
18,21,-135942890521158838255685403780
18,22,-376453606606405999326027686160
18,23,-1034997944848798440696350915520
18,24,-2826071272881418764338058263040
18,25,-7666106077514448180089221474320
18,26,-20665124756657153321863322006880
18,27,-55371703782869769543935033847360
18,28,-147513595050318412816542097858920
18,29,-390815100465773867608160059788465
18,30,-1029912510818821864028003755979616
18,31,-2700274456900893239534235811901184
18,32,-7044946243156613415847678493531328
18,33,-18293148636760381467848870157566976
18,34,-47284043575577471971694205470047232
18,35,-121682011989246138059212697804866560
18,36,-311810152236721869889626604052392704
18,37,-795736300979342121975831432097314368
18,38,-2022659751903930950573634476986765056
18,39,-5121626414862817934184185343918984192
18,40,-12920466618591353055469094608906417152
19,1,-283697237822654304000
19,2,-1036326573328255279200
19,3,-3713771157556767629400
19,4,-13053545232658608848040
19,5,-45016699702859858681136
19,6,-152414158249018150719360
19,7,-507033331677807433942192
19,8,-1658815263700932820114544
19,9,-5342095437356532604734336
19,10,-16950144568489604234855136
19,11,-53035129372032240586800306
19,12,-163772692494664044963357291
19,13,-499508083424436366757730526
19,14,-1505837261877676371207769380
19,15,-4489889524272237740685492700
19,16,-13248919443521552108990924980
19,17,-38712975387656439720900715120
19,18,-112069826258824582775305491960
19,19,-321576283734822336789740202570
19,20,-915026260461862052436983092350
19,21,-2582937327019277015192022114420
19,22,-7235829526056384274992580967280
19,23,-20123727410507656062236641596540
19,24,-55579534338022722091650102657420
19,25,-152489083669959441552444268675200
19,26,-415721164659417918179589631857720
19,27,-1126468809126114768075845902132755
19,28,-3034566601538020881797010397041540
19,29,-8128956157200890968949878774821192
19,30,-21658457749917337631719742315037456
19,31,-57406802186381042165885667828345312
19,32,-151399892058569562130437422930555520
19,33,-397367855550072288377934634834177408
19,34,-1038099709516680221035517815412516992
19,35,-2699819682259101435019535285737648096
19,36,-6991111900418536098389601805369680672
19,37,-18027543199622945913413602676976024000
19,38,-46298339063182871887849426674883365888
19,39,-118437611103625557307323164322853037760
19,40,-301830573052218899984889807392469912000
20,1,-4350504521370664484100
20,2,-15989125945555266601500
20,3,-57704246229475517389380
20,4,-204432280279114219673796
20,5,-711095500242140670080004
20,6,-2429757350437352898816436
