n,size,k_zeros,trees,unicyclic,total
67,40,29,1851049200,416486070,2267535270
67,41,28,3494155860,1130462190,4624618050
67,42,27,2787360800,1294131800,4081492600
67,43,26,876027680,597291600,1473319280
67,44,25,92755872,98553114,191308986
67,45,24,2373140,4508966,6882106
67,46,23,5896,30954,36850
68,36,34,272,0,272
68,37,33,134912,4352,139264
68,38,32,8558480,611320,9169800
68,39,31,161506800,19380816,180887616
68,40,30,1167463440,212266080,1379729520
68,41,29,3569485920,939338400,4508824320
68,42,28,4728409920,1773153720,6501563640
68,43,27,2626894400,1414481600,4041376000
68,44,26,555689200,444551360,1000240560
68,45,25,36610112,47070144,83680256
68,46,24,481712,1204280,1685992
68,47,23,272,2992,3264
69,37,34,9108,138,9246
69,38,33,1368960,68448,1437408
69,39,32,46895436,4342170,51237606
69,40,31,561880800,81940950,643821750
69,41,30,2764141380,592316010,3356457390
69,42,29,5926873680,1810989180,7737862860
69,43,28,5536090800,2398972680,7935063480
69,44,27,2132420160,1332762600,3465182760
69,45,26,298514700,281930550,580445250
69,46,25,11731104,18574248,30305352
69,47,24,69828,244398,314226
69,48,23,0,138,138
70,37,35,280,0,280
70,38,34,147840,4620,152460
70,39,33,10068800,694400,10763200
70,40,32,206158680,23787540,229946220
70,41,31,1638819000,285012000,1923831000
70,42,30,5608402800,1402100700,7010503500
70,43,29,8518091400,3006385200,11524476600
70,44,28,5616324000,2808162000,8424486000
70,45,27,1487285800,1081662400,2568948200
70,46,26,134596000,151420500,286016500
70,47,25,2975280,5950560,8925840
70,48,24,6440,35420,41860
71,38,35,9656,142,9798
71,39,34,1549504,74976,1624480
71,40,33,57190784,5106320,62297104
71,41,32,746799300,104551902,851351202
71,42,31,4063230600,831115350,4894345950
71,43,30,9825630360,2844261420,12669891780
71,44,29,10633573440,4319889210,14953462650
71,45,28,4937016240,2848278600,7785294840
71,46,27,887372200,754266370,1641638570
71,47,26,50296400,68259400,118555800
71,48,25,574816,1508892,2083708
71,49,24,284,3266,3550
72,38,36,288,0,288
72,39,35,161568,4896,166464
72,40,34,11784960,785664,12570624
72,41,33,260983296,28998144,289981440
72,42,32,2271952800,378658800,2650611600
72,43,31,8652964320,2060229600,10713193920
72,44,30,14946029280,4982009760,19928039040
72,45,29,11553580800,5391671040,16945251840
72,46,28,3754913760,2503275840,6258189600
72,47,27,449935200,449935200,899870400
72,48,26,15301440,25502400,40803840
72,49,25,79488,291456,370944
72,50,24,0,144,144
73,39,36,10220,146,10366
73,40,35,1747328,81906,1829234
73,41,34,69302112,5974320,75276432
73,42,33,982829952,132304032,1115133984
73,43,32,5886741900,1151753850,7038495750
73,44,31,15951171600,4386572190,20337743790
73,45,30,19816263180,7576806510,27393069690
73,46,29,10933110720,5857023600,16790134320
73,47,28,2463395220,1903532670,4366927890
73,48,27,192077600,228092150,420169750
73,49,26,3693800,7756980,11450780
73,50,25,7008,40296,47304
74,39,37,296,0,296
