n,j,C_n_j,parking_functions
26,25,266641713069655582251639786301687983,608266787713357709119683992618861307
26,26,236773830007967588876795164938469376,608266787713357709119683992618861307
27,1,42277452950578284263485622772148731904,42277452950578284263485622772148731904
27,2,30169059817881923869915048507011497984,42277452950578284263485622772148731904
27,3,26615853425581968265191682423864128561,42277452950578284263485622772148731904
27,4,24958966211129815696033422775410491392,42277452950578284263485622772148731904
27,5,24007086486059271971336351084706013628,42277452950578284263485622772148731904
27,6,23389475142923781447755045141848522752,42277452950578284263485622772148731904
27,7,22954853562086785101138731497787510362,42277452950578284263485622772148731904
27,8,22630329716202620898210662809333661696,42277452950578284263485622772148731904
27,9,22376521379190600078341180112020456892,42277452950578284263485622772148731904
27,10,22170253606944456212822871446848012288,42277452950578284263485622772148731904
27,11,21996922250444059926542934684253017767,42277452950578284263485622772148731904
27,12,21846761067010792994331938549139505152,42277452950578284263485622772148731904
27,13,21712859127412303407448889556848115256,42277452950578284263485622772148731904
27,14,21590026148245366342964251771170455552,42277452950578284263485622772148731904
27,15,21474089665168600270115911560027179148,42277452950578284263485622772148731904
27,16,21361413240151082631441819189989343232,42277452950578284263485622772148731904
27,17,21248514639016547522954505737166270872,42277452950578284263485622772148731904
27,18,21131697838231059688006843485300719616,42277452950578284263485622772148731904
27,19,21006613036759375231178779878494524687,42277452950578284263485622772148731904
27,20,20867622372893064965274959962815070208,42277452950578284263485622772148731904
27,21,20706747223202551056165497261796009612,42277452950578284263485622772148731904
27,22,20511716917260822113446311804547366912,42277452950578284263485622772148731904
27,23,20261954580808853901947808793858212026,42277452950578284263485622772148731904
27,24,19919271504306522610127908868783603712,42277452950578284263485622772148731904
27,25,19402607028773243476905409617083431468,42277452950578284263485622772148731904
27,26,18501286542911485293244043718475907072,42277452950578284263485622772148731904
27,27,16423203268260658146231467800709255289,42277452950578284263485622772148731904
28,1,3053134545970524535745336759489912159909,3053134545970524535745336759489912159909
28,2,2178994287417133959321940161962646646731,3053134545970524535745336759489912159909
28,3,1922560838343218473132285477705937704046,3053134545970524535745336759489912159909
28,4,1803037664108836755766504846762951691740,3053134545970524535745336759489912159909
28,5,1734416118458892618655311198351826383459,3053134545970524535745336759489912159909
28,6,1689933174038219584574465097972992322497,3053134545970524535745336759489912159909
28,7,1658670241776734403380688430535818486732,3053134545970524535745336759489912159909
28,8,1635368062942642109192473547996889772842,3053134545970524535745336759489912159909
28,9,1617187001760566594525187088605506755505,3053134545970524535745336759489912159909
28,10,1602458150290672294585411057566800496799,3053134545970524535745336759489912159909
28,11,1590132335576975306999581457889996168282,3053134545970524535745336759489912159909
28,12,1579511046366178207711603129599266998952,3053134545970524535745336759489912159909
28,13,1570103885361077237049455858621245742287,3053134545970524535745336759489912159909
28,14,1561547499735989347757827445100491796045,3053134545970524535745336759489912159909
28,15,1553556112122626785679035314389420363864,3053134545970524535745336759489912159909
28,16,1545888707074053978525643282467416564182,3053134545970524535745336759489912159909
28,17,1538324618578376994369281692117796090877,3053134545970524535745336759489912159909
28,18,1530642198467067741545249543072485663307,3053134545970524535745336759489912159909
28,19,1522596115257116556574243652213111663110,3053134545970524535745336759489912159909
28,20,1513888040289189326820149670884405404404,3053134545970524535745336759489912159909
28,21,1504122418050788117670417718060549032827,3053134545970524535745336759489912159909
28,22,1492731424824486561920696893699980434137,3053134545970524535745336759489912159909
28,23,1478834571234586186909062564745088536932,3053134545970524535745336759489912159909
28,24,1460948844339806747548853390078066576450,3053134545970524535745336759489912159909
28,25,1436315922049694836691936160773835468169,3053134545970524535745336759489912159909
28,26,1399075230856341308399336998824198728247,3053134545970524535745336759489912159909
28,27,1333989950064689004517877695947124661270,3053134545970524535745336759489912159909
28,28,1183768682616191959377597437620164493312,3053134545970524535745336759489912159909
29,1,228767924549610000000000000000000000000000,228767924549610000000000000000000000000000
29,2,163289562633894156284356817936658848546816,228767924549610000000000000000000000000000
29,3,144086846423122282370983257018236152036743,228767924549610000000000000000000000000000
29,4,135140134558112435164700435293722340491264,228767924549610000000000000000000000000000
29,5,130006557486865227164871990680694580078125,228767924549610000000000000000000000000000
29,6,126681514270577953551432474963821671219200,228767924549610000000000000000000000000000
29,7,124347307562120787180789185434792149452370,228767924549610000000000000000000000000000
29,8,122610177681271948245783930199848265973760,228767924549610000000000000000000000000000
29,9,121257632980793793180901783912669086644430,228767924549610000000000000000000000000000
29,10,120164912970637500000000000000000000000000,228767924549610000000000000000000000000000
29,11,119253732813415526535393422657201862023325,228767924549610000000000000000000000000000
