base_a,log_scale_x,epsilon,normalized_tube_volume,periodic_profile,difference
3.0,1.542713567839196,0.03060464290073624,2.2743667081439853,2.4960169249205233,-0.22165021677653796
3.0,1.5924623115577892,0.02897684738348645,2.2846216974896136,2.498758984573204,-0.21413728708359026
3.0,1.642211055276382,0.027435630829257818,2.296308861296779,2.5031878726796073,-0.20687901138282827
3.0,1.691959798994975,0.025976388288129794,2.3094159203739353,2.509282678441294,-0.19986675806735876
3.0,1.7417085427135681,0.024594759737621846,2.3239317506803916,2.517023938782717,-0.1930921881023253
3.0,1.791457286432161,0.023286617055526596,2.3398463592288126,2.5263936043368664,-0.18654724510805387
3.0,1.841206030150754,0.022048051685630163,2.3571508611113083,2.5373750068906444,-0.1802241457793361
3.0,1.8909547738693468,0.020875362959466424,2.3758374576172976,2.549952828246745,-0.1741153706294476
3.0,1.94070351758794,0.01976504703921224,2.3958994154124955,2.5641130704604094,-0.16821365504791386
3.0,1.990452261306533,0.018713786448686383,2.417331046749593,2.579843027410953,-0.16251198066135997
3.0,2.040201005025126,0.017718440161172317,2.4117696287242185,2.5687731957114273,-0.15700356698720874
3.0,2.089949748743719,0.016776034214448426,2.401266447021517,2.552948310391778,-0.15168186337026102
3.0,2.139698492462312,0.01588375282498476,2.392570973059527,2.5391115142521286,-0.14654054119260174
3.0,2.1894472361809045,0.015038929974756643,2.3856515138862515,2.5272250002338024,-0.14157348634755085
3.0,2.2391959798994976,0.014239041445537651,2.3804780535255357,2.5172528454942444,-0.1367747919687088
3.0,2.2889447236180906,0.013481697276871575,2.377022208416583,2.5091609598220446,-0.13213875140546172
3.0,2.3386934673366837,0.012764634625188672,2.3752571846141133,2.5029170360506923,-0.12765985143657899
3.0,2.3884422110552768,0.012085711002730273,2.3751577366945917,2.4984905024084343,-0.12333276571384255
3.0,2.4381909547738694,0.011442897876080544,2.3767001283158926,2.4958524767437957,-0.11915234842790312
3.0,2.4879396984924624,0.01083427460517863,2.379862094379672,2.494975722568511,-0.11511362818883875
3.0,2.5376884422110555,0.010258022704701834,2.3846228047475355,2.495834606861668,-0.1112118021141324
3.0,2.5874371859296486,0.00971242041067348,2.390962829463864,2.4984050595809073,-0.10744223011704346
3.0,2.6371859296482416,0.009195837536061362,2.3988641054398747,2.5026645348284458,-0.10380042938857104
3.0,2.6869346733668342,0.00870673059999586,2.4083099045551344,2.508591973621593,-0.10028206906645876
3.0,2.7366834170854273,0.008243638216054536,2.4192848031343557,2.5161677682192507,-0.09688296508489502
3.0,2.7864321608040203,0.0078051767258340505,2.431774652758855,2.5253737279576365,-0.09359907519878163
3.0,2.8361809045226134,0.007390036064763,2.445766552373542,2.5361930465502063,-0.09042649417666437
3.0,2.8859296482412065,0.006996975847803366,2.4612488216517763,2.548610270808368,-0.08736144915659194
3.0,2.935678391959799,0.006624821663345122,2.478210975581808,2.5626112707412023,-0.08440029515939429
3.0,2.985427135678392,0.006272461564220649,2.4966437002399022,2.5781832109939473,-0.08153951075404509
3.0,3.035175879396985,0.0059388427453546284,2.4917080564670733,2.5704837503370133,-0.07877569386993999
3.0,3.0849246231155782,0.0056229683981225895,2.4783503128705773,2.5544558706217035,-0.07610555775112626
3.0,3.1346733668341713,0.005323894732019431,2.4668940787791813,2.5404200058268405,-0.07352592704765915
3.0,3.184422110552764,0.005040728154739013,2.457304421581184,2.528338155620636,-0.07103373403945223
3.0,3.234170854271357,0.004772622602239277,2.4495481942235684,2.5181742092116837,-0.06862601498811527
3.0,3.28391959798995,0.004518777010815525,2.443593986946061,2.5098938935585062,-0.06629990661244545
3.0,3.333668341708543,0.0042784329236286766,2.4394120809009157,2.50346472358431,-0.06405264268339428
3.0,3.383417085427136,0.004050872224537195,2.436974403599613,2.498855954334051,-0.06188155073443813
3.0,3.4331658291457288,0.0038354149924616446,2.436254486129719,2.496038535013179,-0.059784048883460006
3.0,3.482914572864322,0.0036314174698709946,2.4372274220872234,2.4949850648495744,-0.05775764276235096
3.0,3.532663316582915,0.0034382701393208194,2.4398698281716023,2.4956697507222856,-0.055799922550683334
3.0,3.582412060301508,0.003255395902296292,2.4441598063927685,2.498068366502702,-0.05390856010993339
3.0,3.632160804020101,0.003082248354918643,2.450076907840902,2.502158214055739,-0.052081306214836864
3.0,3.6819095477386936,0.0029183101553630995,2.4576020979719284,2.507918085850517,-0.0503159878785886
3.0,3.7316582914572867,0.0027630914781103643,2.4667177233631334,2.515328229131844,-0.04861050576871051
3.0,3.7814070351758797,0.002616128550413176,2.4774074798950614,2.524370311605563,-0.04696283171050153
3.0,3.831155778894473,0.0024769822666050644,2.489656382317455,2.535027388592575,-0.04537100627511981
3.0,3.880904522613066,0.002345236876111063,2.503450735158552,2.5472838716079598,-0.04383313644940756
3.0,3.9306532663316585,0.0022204987412403365,2.518778104938555,2.5611254983232588,-0.042347393384703835
3.0,3.9804020100502515,0.002102395161049147,2.535627293649548,2.5765393038715114,-0.040912010221963335
3.0,4.030150753768845,0.0019905732577600505,2.532689755446054,2.572215035436643,-0.039525279990588746
3.0,4.079899497487437,0.0018846989224100652,2.5177982002467783,2.5559837538252657,-0.03818555357848741
3.0,4.12964824120603,0.0017844558165775583,2.5048571949306506,2.541748432701585,-0.03689123777093428
3.0,4.179396984924623,0.00168954442720515,2.4938300845553125,2.5294708779112147,-0.0356407933559022
3.0,4.229145728643216,0.0015996811716945708,2.4846820568919066,2.5191147901855278,-0.034432733293621176
3.0,4.2788944723618085,0.001514597550599595,2.477380092196902,2.510645713145075,-0.03326562094817298
3.0,4.328643216080402,0.0014340393453854362,2.471892914935649,2.5040309833146868,-0.032138068379037765
3.0,4.378391959798995,0.0013577658588576104,2.4681909473965993,2.4992396820871328,-0.031048734690533486
3.0,4.428140703517588,0.0012855491959907457,2.466246265137273,2.496242589574493,-0.02999632443721989
3.0,4.477889447236181,0.001217173583008591,2.4660325542051873,2.4950121402885217,-0.028979586083334397
3.0,4.527638190954773,0.0011524347226806839,2.467525070078968,2.4955223805934303,-0.027997310514462193
3.0,4.577386934673367,0.0010911391839094242,2.4707005982768506,2.4977489278764926,-0.027048329599641985
3.0,4.6271356783919595,0.0010331038237837023,2.4755374165816644,2.501668931383878,-0.02613151480221365
3.0,4.676884422110553,0.0009781552403722526,2.4820152588332425,2.507261034671,-0.025245775837757556
3.0,4.726633165829146,0.0009261292546217693,2.490115280240983,2.514505339618493,-0.02439005937750993
3.0,4.776381909547738,0.0008768704198117436,2.4998200241709925,2.5233833719667373,-0.02356334779574487
3.0,4.826130653266332,0.000830231557100355,2.511113390363928,2.5338780483235226,-0.02276465795959437
3.0,4.875879396984924,0.0007860733157736852,2.523980604541254,2.5459736446011605,-0.021993040059906654
3.0,4.925628140703518,0.0007442637568843273,2.5384081893591897,2.5596557658409083,-0.0212475764817186
3.0,4.9753768844221105,0.0007046779590353794,2.5543839366711434,2.5749113173841676,-0.02052738071302418
