word,degree,A_word,B_word,mask
acaaa,1,aaa,ac,BBAAA
acaab,1,aab,ac,BBAAA
acaac,1,aac,ac,BBAAA
acaba,1,aca,ba,AAABB
acabb,1,aca,bb,AAABB
acabc,1,aca,bc,AAABB
acaca,1,aca,ac,BBAAA
acacb,1,aca,cb,AAABB
acacc,1,aca,cc,AAABB
acbaa,1,baa,ac,BBAAA
acbab,1,bab,ac,BBAAA
acbac,1,bac,ac,BBAAA
acbba,1,cbb,aa,BAAAB
acbbb,1,bbb,ac,BBAAA
acbbc,1,bbc,ac,BBAAA
acbca,1,cbc,aa,BAAAB
acbcb,1,cbc,ab,BAAAB
acbcc,1,bcc,ac,BBAAA
accaa,1,acc,aa,AAABB
accab,1,acc,ab,AAABB
accac,1,acc,ac,AAABB
accba,1,acc,ba,AAABB
accbb,1,acc,bb,AAABB
accbc,1,acc,bc,AAABB
accca,1,acc,ca,AAABB
acccb,1,acc,cb,AAABB
acccc,1,acc,cc,AAABB
baaaa,1,aaa,ba,BAAAB
baaab,1,aaa,bb,BAAAB
baaac,1,aaa,bc,BAAAB
baaba,1,aab,ba,BAAAB
baabb,1,aab,bb,BAAAB
baabc,1,aab,bc,BAAAB
baaca,1,aac,ba,BAAAB
baacb,1,aac,bb,BAAAB
baacc,1,aac,bc,BAAAB
babaa,1,baa,ba,BBAAA
babab,1,bab,ab,AAABB
babac,1,bab,ac,AAABB
babba,1,bab,ba,AAABB
babbb,1,bab,bb,AAABB
babbc,1,bab,bc,AAABB
babca,1,bab,ca,AAABB
babcb,1,bab,cb,AAABB
babcc,1,bab,cc,AAABB
bacaa,1,aca,ba,BAAAB
bacab,1,aca,bb,BAAAB
bacac,1,aca,bc,BAAAB
bacba,1,bac,ba,AAABB
bacbb,1,bac,bb,AAABB
bacbc,1,bac,bc,AAABB
bacca,1,acc,ba,BAAAB
baccb,1,acc,bb,BAAAB
baccc,1,acc,bc,BAAAB
bbaaa,1,aaa,bb,BBAAA
bbaab,1,aab,bb,BBAAA
bbaac,1,aac,bb,BBAAA
bbaba,1,bab,ba,BAAAB
bbabb,1,bab,bb,BAAAB
bbabc,1,bab,bc,BAAAB
bbaca,1,aca,bb,BBAAA
bbacb,1,bac,bb,BAAAB
bbacc,1,acc,bb,BBAAA
bbbaa,1,baa,bb,BBAAA
bbbab,1,bab,bb,BBAAA
bbbac,1,bac,bb,BBAAA
bbbba,1,bbb,ba,AAABB
bbbbb,1,bbb,bb,AAABB
bbbbc,1,bbb,bc,AAABB
bbbca,1,bbb,ca,AAABB
bbbcb,1,bbb,cb,AAABB
bbbcc,1,bbb,cc,AAABB
bbcaa,1,bbc,aa,AAABB
bbcab,1,bbc,ab,AAABB
bbcac,1,bbc,ac,AAABB
bbcba,1,bbc,ba,AAABB
bbcbb,1,bbc,bb,AAABB
bbcbc,1,bbc,bc,AAABB
bbcca,1,bbc,ca,AAABB
bbccb,1,bbc,cb,AAABB
bbccc,1,bbc,cc,AAABB
bcaaa,1,aaa,bc,BBAAA
bcaab,1,aab,bc,BBAAA
bcaac,1,aac,bc,BBAAA
bcaba,1,cab,ba,BAAAB
bcabb,1,cab,bb,BAAAB
bcabc,1,cab,bc,BAAAB
bcaca,1,aca,bc,BBAAA
bcacb,1,cac,bb,BAAAB
bcacc,1,acc,bc,BBAAA
bcbaa,1,baa,bc,BBAAA
bcbab,1,bab,bc,BBAAA
bcbac,1,bac,bc,BBAAA
bcbba,1,cbb,ba,BAAAB
bcbbb,1,bbb,bc,BBAAA
bcbbc,1,bbc,bc,BBAAA
bcbca,1,cbc,ba,BAAAB
bcbcb,1,cbc,bb,BAAAB
bcbcc,1,bcc,bc,BBAAA
bccaa,1,bcc,aa,AAABB
bccab,1,bcc,ab,AAABB
bccac,1,bcc,ac,AAABB
bccba,1,bcc,ba,AAABB
bccbb,1,bcc,bb,AAABB
bccbc,1,bcc,bc,AAABB
bccca,1,bcc,ca,AAABB
bcccb,1,bcc,cb,AAABB
bcccc,1,bcc,cc,AAABB
caaaa,1,aaa,ca,BAAAB
caaab,1,aaa,cb,BAAAB
caaac,1,aaa,cc,BAAAB
caaba,1,aab,ca,BAAAB
caabb,1,aab,cb,BAAAB
caabc,1,aab,cc,BAAAB
caaca,1,aac,ca,BAAAB
caacb,1,aac,cb,BAAAB
caacc,1,aac,cc,BAAAB
cabaa,1,baa,ca,BBAAA
cabab,1,bab,ca,BBAAA
cabac,1,bac,ca,BBAAA
cabba,1,cab,ba,AAABB
cabbb,1,bbb,ca,BBAAA
cabbc,1,bbc,ca,BBAAA
cabca,1,cab,ca,AAABB
cabcb,1,cab,cb,AAABB
cabcc,1,bcc,ca,BBAAA
cacaa,1,aca,ca,BAAAB
cacab,1,aca,cb,BAAAB
cacac,1,aca,cc,BAAAB
cacba,1,cac,ba,AAABB
cacbb,1,cac,bb,AAABB
cacbc,1,cac,bc,AAABB
cacca,1,acc,ca,BAAAB
caccb,1,acc,cb,BAAAB
caccc,1,acc,cc,BAAAB
cbaaa,1,aaa,cb,BBAAA
cbaab,1,aab,cb,BBAAA
cbaac,1,aac,cb,BBAAA
cbaba,1,bab,ca,BAAAB
cbabb,1,bab,cb,BAAAB
cbabc,1,bab,cc,BAAAB
cbaca,1,aca,cb,BBAAA
cbacb,1,bac,cb,BAAAB
cbacc,1,acc,cb,BBAAA
cbbaa,1,baa,cb,BBAAA
cbbab,1,bab,cb,BBAAA
cbbac,1,bac,cb,BBAAA
cbbba,1,bbb,ca,BAAAB
cbbbb,1,bbb,cb,BAAAB
cbbbc,1,bbb,cc,BAAAB
cbbca,1,bbc,ca,BAAAB
cbbcb,1,bbc,cb,BAAAB
cbbcc,1,bbc,cc,BAAAB
cbcaa,1,caa,cb,BBAAA
cbcab,1,cab,cb,BBAAA
cbcac,1,cac,cb,BBAAA
cbcba,1,cbc,ba,AAABB
cbcbb,1,cbb,cb,BBAAA
cbcbc,1,cbc,bc,AAABB
cbcca,1,bcc,ca,BAAAB
cbccb,1,bcc,cb,BAAAB
cbccc,1,bcc,cc,BAAAB
ccaaa,1,aaa,cc,BBAAA
ccaab,1,aab,cc,BBAAA
ccaac,1,aac,cc,BBAAA
ccaba,1,cab,ca,BAAAB
ccabb,1,cab,cb,BAAAB
ccabc,1,cab,cc,BAAAB
ccaca,1,aca,cc,BBAAA
ccacb,1,cac,cb,BAAAB
ccacc,1,acc,cc,BBAAA
ccbaa,1,baa,cc,BBAAA
ccbab,1,bab,cc,BBAAA
ccbac,1,bac,cc,BBAAA
ccbba,1,cbb,ca,BAAAB
ccbbb,1,bbb,cc,BBAAA
ccbbc,1,bbc,cc,BBAAA
ccbca,1,cbc,ca,BAAAB
ccbcb,1,cbc,cb,BAAAB
ccbcc,1,bcc,cc,BBAAA
cccaa,1,caa,cc,BBAAA
cccab,1,cab,cc,BBAAA
cccac,1,cac,cc,BBAAA
cccba,1,ccb,ca,BAAAB
cccbb,1,cbb,cc,BBAAA
cccbc,1,cbc,cc,BBAAA
cccca,1,cca,cc,BBAAA
ccccb,1,ccb,cc,BBAAA
ccccc,1,ccc,cc,AAABB
