n,A225114,connected_A006958
188,394590119384579260146563083050114168457542422009064262286552737182675121290264598083495684669,63389753188508435735546984681098639740650570163503696146429593401584
189,1234650098350686191975294431862063289671294666662815124927115588114789224150197915664014279091,146375725509279612497462227821290427925459304129475255746359075665510
190,3863150115706956345169854934141648893843692207448426567856887599255680615624666415276055349488,338001836900228538887544604627424911873028593266847482398699437404619
191,12087577554501375542750305166822629750797318982887948721410777655257899611711969052386931654756,780493086202917035862445082787444026904959154278213882342549465425732
192,37821344436507203913652299360301244147461983179532652835764730842113445417535145063807839041065,1802266707178780409336180372724020682814795199592723615875940487750097
193,118340841126782914246926077726015356589231302776295736700574957886687950284116695863280685528502,4161683609021191644627738729212847982417166215448905501847806074466893
194,370281778377939469019638804996086393526581989928748001711011847684795062984852202111170181992130,9609904234821771086740463199104561796639108372172135957140734233601309
195,1158590678359637300963713622837913970990963516113988523790148116883379209760255632260206833504540,22190600746837108808975828893252261384410373586814872174221663979594202
196,3625164505426329092961600429588879849297822281011297188876202342443143755122919668899429323593970,51241172593710067262091343552456414593279975820946007008055989183467155
197,11342934080921009290061352897484272006258646238262329775750246493086761505590234242360938951314926,118322969203644762925062292447866301212700179313036193184372671799941511
198,35491397251498887919058434256254154660062006242978633246948509634767675604037249409513010162726331,273224134665591716222357646173223808126141540584197084991615614172893467
199,111050568563422719840561445278052970904666410044395008295155140303632347675927241822415414236137712,630912393985646118026135489348217451396265381740878757182077335106895219
200,347470929106309852717397301014181652999719947004259979385828853609687044445514169577955002817537875,1456864157962789761171918436712553982405551271042807267275136013191723565
201,1087216825054326124238355274746447194140048555941531638663836568849312691694292397183213640236613579,3364101252391812023600605554231984981547635840499895229430354390277252934
202,3401839767491916116443401734541960867733660495151709126018837648546065749832177255071664789833212698,7768176033769384439695685226534585142604927145102660875816287666381782653
203,10644163645196713862968753711524682547570229667742566658323686774787269922447085401023165421274183749,17937795079361898120963124266084883322264519715344002520748834005197454059
