n,omega_coefficient,finite_tail,j_Q
5,4,13,17
5,4,14,18
5,4,16,20
5,4,20,24
5,4,28,32
5,5,1,6
5,5,2,7
5,5,3,8
5,5,4,9
5,5,5,10
5,5,6,11
5,5,7,12
5,5,8,13
5,5,9,14
5,5,10,15
5,5,11,16
5,5,12,17
5,5,13,18
5,5,15,20
5,6,0,6
5,6,1,7
5,6,2,8
5,6,3,9
5,6,4,10
5,6,5,11
5,6,6,12
5,6,7,13
5,6,8,14
5,6,9,15
5,6,10,16
5,6,12,18
5,6,14,20
5,6,18,24
5,7,0,7
5,7,1,8
5,7,2,9
5,7,3,10
5,7,4,11
5,7,5,12
5,7,6,13
5,7,7,14
5,8,0,8
5,8,1,9
5,8,2,10
5,8,3,11
5,8,4,12
5,8,5,13
5,8,6,14
5,8,7,15
5,8,8,16
5,8,9,17
5,8,10,18
5,8,12,20
5,8,16,24
5,8,24,32
5,9,0,9
5,9,1,10
5,9,2,11
5,9,3,12
5,9,4,13
5,9,5,14
5,9,6,15
5,9,8,17
5,9,9,18
5,10,0,10
5,10,1,11
5,10,2,12
5,10,3,13
5,10,4,14
5,10,5,15
5,10,6,16
5,10,8,18
5,10,10,20
5,11,0,11
5,12,0,12
5,12,1,13
5,12,2,14
5,12,3,15
5,12,4,16
5,12,6,18
5,12,8,20
5,12,12,24
5,13,0,13
5,14,0,14
5,15,0,15
5,16,0,16
5,16,1,17
5,16,2,18
5,16,4,20
5,16,8,24
5,16,16,32
5,17,0,17
5,18,0,18
5,20,0,20
5,24,0,24
5,32,0,32
6,1,6,7
6,1,7,8
6,1,8,9
6,1,9,10
6,1,10,11
6,1,11,12
6,1,12,13
6,1,13,14
6,1,14,15
6,1,15,16
6,1,16,17
6,1,17,18
6,1,18,19
6,1,19,20
6,1,20,21
6,1,21,22
6,1,22,23
6,1,23,24
6,1,24,25
6,1,25,26
6,1,26,27
6,1,27,28
6,1,29,30
6,1,31,32
6,1,32,33
6,1,33,34
6,1,35,36
6,1,39,40
6,1,47,48
6,1,63,64
6,2,5,7
6,2,6,8
6,2,7,9
6,2,8,10
6,2,9,11
6,2,10,12
6,2,11,13
6,2,12,14
6,2,13,15
6,2,14,16
6,2,15,17
6,2,16,18
6,2,17,19
6,2,18,20
6,2,19,21
6,2,20,22
6,2,21,23
6,2,22,24
6,2,23,25
6,2,24,26
6,2,25,27
6,2,26,28
6,2,28,30
6,2,30,32
6,2,31,33
6,2,32,34
6,2,34,36
6,2,38,40
6,2,46,48
6,2,62,64
6,3,4,7
6,3,5,8
6,3,6,9
6,3,7,10
6,3,8,11
6,3,9,12
6,3,10,13
6,3,11,14
6,3,12,15
6,3,13,16
6,3,14,17
6,3,15,18
6,3,16,19
6,3,17,20
6,3,18,21
6,3,19,22
6,3,20,23
6,3,21,24
6,3,22,25
6,3,23,26
6,3,24,27
6,3,25,28
6,3,27,30
6,3,29,32
6,3,30,33
6,3,31,34
6,3,33,36
6,3,37,40
6,3,45,48
6,4,3,7
6,4,4,8
6,4,5,9
6,4,6,10
6,4,7,11
6,4,8,12
6,4,9,13
6,4,10,14
6,4,11,15
6,4,12,16
6,4,13,17
6,4,14,18
6,4,15,19
6,4,16,20
6,4,17,21
6,4,18,22
6,4,19,23
6,4,20,24
6,4,21,25
6,4,22,26
6,4,23,27
6,4,24,28
6,4,26,30
6,4,28,32
6,4,29,33
6,4,30,34
6,4,32,36
6,4,36,40
6,4,44,48
6,4,60,64
6,5,2,7
6,5,3,8
6,5,4,9
6,5,5,10
6,5,6,11
6,5,7,12
6,5,8,13
6,5,9,14
6,5,10,15
6,5,11,16
6,5,12,17
6,5,13,18
6,5,14,19
6,5,15,20
6,5,16,21
6,5,17,22
6,5,18,23
6,5,19,24
6,5,20,25
6,5,21,26
6,5,22,27
6,5,23,28
6,5,25,30
6,5,27,32
6,5,28,33
6,5,29,34
6,5,31,36
6,5,35,40
6,6,1,7
6,6,2,8
6,6,3,9
6,6,4,10
6,6,5,11
6,6,6,12
6,6,7,13
6,6,8,14
6,6,9,15
6,6,10,16
6,6,11,17
6,6,12,18
6,6,13,19
6,6,14,20
6,6,15,21
6,6,16,22
6,6,17,23
6,6,18,24
6,6,19,25
6,6,20,26
6,6,21,27
6,6,22,28
6,6,24,30
6,6,26,32
6,6,28,34
6,6,30,36
6,6,34,40
6,6,42,48
6,7,0,7
6,7,1,8
6,7,2,9
6,7,3,10
6,7,4,11
6,7,5,12
6,7,6,13
6,7,7,14
6,7,8,15
6,7,9,16
6,7,10,17
6,7,11,18
6,7,12,19
6,7,13,20
6,7,14,21
6,7,15,22
6,7,17,24
6,7,18,25
6,7,19,26
6,7,21,28
6,8,0,8
6,8,1,9
6,8,2,10
6,8,3,11
6,8,4,12
6,8,5,13
6,8,6,14
6,8,7,15
6,8,8,16
6,8,9,17
6,8,10,18
6,8,11,19
6,8,12,20
6,8,13,21
6,8,14,22
6,8,15,23
6,8,16,24
6,8,17,25
6,8,18,26
6,8,19,27
6,8,20,28
6,8,22,30
6,8,24,32
6,8,25,33
6,8,26,34
6,8,28,36
6,8,32,40
6,8,40,48
6,8,56,64
6,9,0,9
6,9,1,10
6,9,2,11
6,9,3,12
6,9,4,13
6,9,5,14
6,9,6,15
6,9,7,16
6,9,8,17
6,9,9,18
6,9,10,19
6,9,11,20
6,9,12,21
6,9,13,22
6,9,14,23
6,9,15,24
6,9,16,25
6,9,17,26
6,9,18,27
6,9,19,28
6,9,21,30
6,9,24,33
6,9,25,34
6,9,27,36
6,10,0,10
6,10,1,11
6,10,2,12
6,10,3,13
6,10,4,14
6,10,5,15
6,10,6,16
6,10,7,17
6,10,8,18
6,10,9,19
6,10,10,20
6,10,11,21
6,10,12,22
6,10,13,23
6,10,14,24
6,10,15,25
6,10,16,26
6,10,17,27
6,10,18,28
6,10,20,30
6,10,22,32
6,10,24,34
6,10,26,36
6,10,30,40
6,11,0,11
6,11,1,12
6,11,2,13
6,11,3,14
6,11,4,15
6,11,5,16
6,11,6,17
6,11,7,18
6,11,8,19
6,11,9,20
6,11,10,21
6,11,11,22
6,12,0,12
6,12,1,13
6,12,2,14
6,12,3,15
6,12,4,16
6,12,5,17
6,12,6,18
6,12,7,19
6,12,8,20
6,12,9,21
6,12,10,22
6,12,12,24
6,12,13,25
6,12,14,26
6,12,15,27
6,12,16,28
6,12,18,30
6,12,20,32
6,12,24,36
6,12,28,40
6,12,36,48
6,13,0,13
6,13,1,14
6,13,2,15
6,13,3,16
6,13,4,17
6,13,5,18
6,13,6,19
6,13,7,20
6,13,8,21
6,13,9,22
6,13,10,23
6,13,12,25
6,13,13,26
6,14,0,14
6,14,1,15
6,14,2,16
6,14,3,17
6,14,4,18
6,14,5,19
6,14,6,20
6,14,7,21
6,14,8,22
6,14,9,23
6,14,10,24
6,14,12,26
6,14,14,28
6,15,0,15
6,15,1,16
6,15,2,17
6,15,3,18
6,15,4,19
6,15,5,20
6,15,6,21
6,15,8,23
6,15,9,24
6,15,10,25
6,15,12,27
6,15,15,30
6,16,0,16
6,16,1,17
6,16,2,18
6,16,3,19
6,16,4,20
6,16,5,21
6,16,6,22
6,16,7,23
6,16,8,24
6,16,9,25
6,16,10,26
6,16,11,27
6,16,12,28
6,16,14,30
6,16,16,32
6,16,17,33
6,16,18,34
6,16,20,36
6,16,24,40
6,16,32,48
6,16,48,64
6,17,0,17
6,17,1,18
6,17,2,19
6,17,3,20
6,17,4,21
6,17,5,22
6,17,8,25
6,17,9,26
6,17,16,33
6,17,17,34
6,18,0,18
6,18,1,19
6,18,2,20
6,18,3,21
6,18,4,22
6,18,5,23
6,18,6,24
6,18,8,26
6,18,9,27
6,18,10,28
6,18,12,30
6,18,16,34
6,18,18,36
6,19,0,19
6,20,0,20
6,20,1,21
6,20,2,22
6,20,3,23
6,20,4,24
6,20,5,25
6,20,6,26
6,20,8,28
6,20,10,30
6,20,12,32
6,20,16,36
6,20,20,40
6,21,0,21
6,22,0,22
6,23,0,23
6,24,0,24
6,24,1,25
6,24,2,26
6,24,3,27
6,24,4,28
6,24,6,30
6,24,8,32
6,24,12,36
6,24,16,40
6,24,24,48
6,25,0,25
6,26,0,26
6,27,0,27
6,28,0,28
6,30,0,30
6,32,0,32
6,32,1,33
6,32,2,34
6,32,4,36
6,32,8,40
6,32,16,48
6,32,32,64
6,33,0,33
6,34,0,34
6,36,0,36
6,40,0,40
6,48,0,48
6,64,0,64
