vertices,natural_poset_index,codomain_size,isotone_maps,height
5,17,2,20,6
5,17,3,126,11
5,17,4,480,16
5,18,0,0,0
5,18,1,1,1
5,18,2,16,6
5,18,3,90,11
5,18,4,320,16
5,19,0,0,0
5,19,1,1,1
5,19,2,18,6
5,19,3,108,11
5,19,4,400,16
5,20,0,0,0
5,20,1,1,1
5,20,2,16,6
5,20,3,93,11
5,20,4,340,16
5,21,0,0,0
5,21,1,1,1
5,21,2,14,6
5,21,3,75,11
5,21,4,260,16
5,22,0,0,0
5,22,1,1,1
5,22,2,18,6
5,22,3,108,11
5,22,4,400,16
5,23,0,0,0
5,23,1,1,1
5,23,2,16,6
5,23,3,93,11
5,23,4,340,16
5,24,0,0,0
5,24,1,1,1
5,24,2,14,6
5,24,3,75,11
5,24,4,260,16
5,25,0,0,0
5,25,1,1,1
5,25,2,15,6
5,25,3,84,11
5,25,4,300,16
5,26,0,0,0
5,26,1,1,1
5,26,2,14,6
5,26,3,77,11
5,26,4,273,16
5,27,0,0,0
5,27,1,1,1
5,27,2,13,6
5,27,3,67,11
5,27,4,227,16
5,28,0,0,0
5,28,1,1,1
5,28,2,24,6
5,28,3,162,11
5,28,4,640,16
5,29,0,0,0
5,29,1,1,1
5,29,2,18,6
5,29,3,108,11
5,29,4,400,16
5,30,0,0,0
5,30,1,1,1
5,30,2,20,6
5,30,3,126,11
5,30,4,480,16
5,31,0,0,0
5,31,1,1,1
5,31,2,16,6
5,31,3,90,11
5,31,4,320,16
5,32,0,0,0
5,32,1,1,1
5,32,2,16,6
5,32,3,93,11
5,32,4,340,16
5,33,0,0,0
5,33,1,1,1
5,33,2,14,6
5,33,3,75,11
5,33,4,260,16
5,34,0,0,0
5,34,1,1,1
5,34,2,18,6
5,34,3,108,11
5,34,4,400,16
5,35,0,0,0
5,35,1,1,1
5,35,2,15,6
5,35,3,84,11
5,35,4,300,16
5,36,0,0,0
5,36,1,1,1
5,36,2,16,6
5,36,3,93,11
5,36,4,340,16
5,37,0,0,0
5,37,1,1,1
5,37,2,14,6
5,37,3,75,11
5,37,4,260,16
5,38,0,0,0
5,38,1,1,1
5,38,2,14,6
5,38,3,77,11
5,38,4,273,16
5,39,0,0,0
5,39,1,1,1
5,39,2,13,6
5,39,3,67,11
5,39,4,227,16
5,40,0,0,0
5,40,1,1,1
5,40,2,20,6
5,40,3,126,11
5,40,4,480,16
5,41,0,0,0
5,41,1,1,1
5,41,2,16,6
5,41,3,93,11
5,41,4,340,16
5,42,0,0,0
5,42,1,1,1
5,42,2,16,6
5,42,3,93,11
5,42,4,340,16
5,43,0,0,0
5,43,1,1,1
5,43,2,14,6
5,43,3,78,11
5,43,4,280,16
5,44,0,0,0
5,44,1,1,1
5,44,2,12,6
5,44,3,60,11
5,44,4,200,16
5,45,0,0,0
5,45,1,1,1
5,45,2,15,6
5,45,3,84,11
5,45,4,300,16
5,46,0,0,0
5,46,1,1,1
5,46,2,13,6
5,46,3,70,11
5,46,4,246,16
5,47,0,0,0
5,47,1,1,1
5,47,2,13,6
5,47,3,70,11
5,47,4,246,16
5,48,0,0,0
5,48,1,1,1
5,48,2,12,6
5,48,3,63,11
5,48,4,219,16
5,49,0,0,0
5,49,1,1,1
5,49,2,11,6
5,49,3,53,11
5,49,4,173,16
5,50,0,0,0
5,50,1,1,1
5,50,2,24,6
5,50,3,162,11
5,50,4,640,16
5,51,0,0,0
5,51,1,1,1
5,51,2,18,6
5,51,3,108,11
5,51,4,400,16
5,52,0,0,0
5,52,1,1,1
5,52,2,18,6
5,52,3,108,11
5,52,4,400,16
5,53,0,0,0
5,53,1,1,1
5,53,2,15,6
5,53,3,84,11
5,53,4,300,16
5,54,0,0,0
5,54,1,1,1
5,54,2,20,6
5,54,3,126,11
5,54,4,480,16
5,55,0,0,0
5,55,1,1,1
5,55,2,16,6
5,55,3,90,11
5,55,4,320,16
5,56,0,0,0
5,56,1,1,1
5,56,2,16,6
5,56,3,93,11
5,56,4,340,16
5,57,0,0,0
5,57,1,1,1
5,57,2,14,6
5,57,3,75,11
5,57,4,260,16
5,58,0,0,0
5,58,1,1,1
5,58,2,16,6
5,58,3,93,11
5,58,4,340,16
5,59,0,0,0
5,59,1,1,1
5,59,2,14,6
5,59,3,75,11
5,59,4,260,16
5,60,0,0,0
5,60,1,1,1
5,60,2,14,6
5,60,3,77,11
5,60,4,273,16
5,61,0,0,0
5,61,1,1,1
5,61,2,13,6
5,61,3,67,11
5,61,4,227,16
5,62,0,0,0
5,62,1,1,1
5,62,2,20,6
5,62,3,126,11
5,62,4,480,16
5,63,0,0,0
5,63,1,1,1
5,63,2,16,6
5,63,3,93,11
5,63,4,340,16
5,64,0,0,0
5,64,1,1,1
5,64,2,15,6
5,64,3,84,11
5,64,4,300,16
5,65,0,0,0
5,65,1,1,1
5,65,2,13,6
5,65,3,70,11
5,65,4,246,16
5,66,0,0,0
5,66,1,1,1
5,66,2,16,6
5,66,3,93,11
5,66,4,340,16
5,67,0,0,0
5,67,1,1,1
5,67,2,14,6
5,67,3,78,11
5,67,4,280,16
5,68,0,0,0
5,68,1,1,1
5,68,2,12,6
5,68,3,60,11
5,68,4,200,16
5,69,0,0,0
5,69,1,1,1
5,69,2,13,6
5,69,3,70,11
5,69,4,246,16
5,70,0,0,0
5,70,1,1,1
5,70,2,12,6
5,70,3,63,11
5,70,4,219,16
5,71,0,0,0
5,71,1,1,1
5,71,2,11,6
5,71,3,53,11
5,71,4,173,16
5,72,0,0,0
5,72,1,1,1
5,72,2,20,6
5,72,3,126,11
5,72,4,480,16
5,73,0,0,0
5,73,1,1,1
5,73,2,15,6
5,73,3,84,11
5,73,4,300,16
5,74,0,0,0
5,74,1,1,1
5,74,2,16,6
5,74,3,93,11
5,74,4,340,16
5,75,0,0,0
5,75,1,1,1
5,75,2,13,6
5,75,3,70,11
5,75,4,246,16
5,76,0,0,0
5,76,1,1,1
5,76,2,16,6
5,76,3,93,11
5,76,4,340,16
5,77,0,0,0
5,77,1,1,1
5,77,2,13,6
5,77,3,70,11
5,77,4,246,16
5,78,0,0,0
5,78,1,1,1
5,78,2,14,6
5,78,3,78,11
5,78,4,280,16
5,79,0,0,0
5,79,1,1,1
5,79,2,12,6
5,79,3,60,11
5,79,4,200,16
5,80,0,0,0
5,80,1,1,1
5,80,2,12,6
5,80,3,63,11
5,80,4,219,16
5,81,0,0,0
5,81,1,1,1
5,81,2,11,6
5,81,3,53,11
5,81,4,173,16
5,82,0,0,0
5,82,1,1,1
5,82,2,18,6
5,82,3,108,11
5,82,4,400,16
5,83,0,0,0
5,83,1,1,1
5,83,2,14,6
5,83,3,77,11
5,83,4,273,16
5,84,0,0,0
5,84,1,1,1
5,84,2,14,6
5,84,3,77,11
5,84,4,273,16
5,85,0,0,0
5,85,1,1,1
5,85,2,12,6
5,85,3,63,11
5,85,4,219,16
5,86,0,0,0
5,86,1,1,1
5,86,2,14,6
5,86,3,77,11
5,86,4,273,16
5,87,0,0,0
5,87,1,1,1
5,87,2,12,6
5,87,3,63,11
5,87,4,219,16
5,88,0,0,0
5,88,1,1,1
5,88,2,12,6
5,88,3,63,11
5,88,4,219,16
5,89,0,0,0
5,89,1,1,1
5,89,2,11,6
5,89,3,56,11
5,89,4,192,16
5,90,0,0,0
5,90,1,1,1
5,90,2,10,6
5,90,3,46,11
5,90,4,146,16
5,91,0,0,0
5,91,1,1,1
5,91,2,24,6
5,91,3,162,11
5,91,4,640,16
5,92,0,0,0
5,92,1,1,1
5,92,2,18,6
5,92,3,108,11
5,92,4,400,16
5,93,0,0,0
5,93,1,1,1
5,93,2,20,6
5,93,3,126,11
5,93,4,480,16
5,94,0,0,0
5,94,1,1,1
5,94,2,16,6
5,94,3,93,11
5,94,4,340,16
5,95,0,0,0
5,95,1,1,1
5,95,2,16,6
5,95,3,90,11
5,95,4,320,16
5,96,0,0,0
5,96,1,1,1
5,96,2,14,6
5,96,3,75,11
5,96,4,260,16
5,97,0,0,0
5,97,1,1,1
5,97,2,18,6
5,97,3,108,11
5,97,4,400,16
5,98,0,0,0
5,98,1,1,1
5,98,2,15,6
5,98,3,84,11
5,98,4,300,16
5,99,0,0,0
5,99,1,1,1
5,99,2,16,6
5,99,3,93,11
5,99,4,340,16
5,100,0,0,0
5,100,1,1,1
5,100,2,14,6
5,100,3,77,11
5,100,4,273,16
5,101,0,0,0
5,101,1,1,1
5,101,2,14,6
5,101,3,75,11
5,101,4,260,16
5,102,0,0,0
5,102,1,1,1
5,102,2,13,6
5,102,3,67,11
5,102,4,227,16
5,103,0,0,0
5,103,1,1,1
5,103,2,20,6
5,103,3,126,11
5,103,4,480,16
5,104,0,0,0
5,104,1,1,1
5,104,2,18,6
5,104,3,108,11
5,104,4,400,16
5,105,0,0,0
5,105,1,1,1
5,105,2,14,6
5,105,3,75,11
5,105,4,260,16
5,106,0,0,0
5,106,1,1,1
5,106,2,14,6
5,106,3,75,11
5,106,4,260,16
5,107,0,0,0
5,107,1,1,1
5,107,2,12,6
5,107,3,60,11
5,107,4,200,16
5,108,0,0,0
5,108,1,1,1
5,108,2,15,6
5,108,3,84,11
5,108,4,300,16
5,109,0,0,0
5,109,1,1,1
5,109,2,14,6
5,109,3,77,11
5,109,4,273,16
5,110,0,0,0
5,110,1,1,1
5,110,2,12,6
5,110,3,61,11
5,110,4,206,16
5,111,0,0,0
5,111,1,1,1
5,111,2,12,6
5,111,3,61,11
5,111,4,206,16
5,112,0,0,0
5,112,1,1,1
5,112,2,11,6
5,112,3,53,11
5,112,4,173,16
5,113,0,0,0
5,113,1,1,1
5,113,2,16,6
5,113,3,90,11
5,113,4,320,16
5,114,0,0,0
5,114,1,1,1
5,114,2,14,6
5,114,3,75,11
5,114,4,260,16
5,115,0,0,0
5,115,1,1,1
5,115,2,12,6
5,115,3,60,11
5,115,4,200,16
5,116,0,0,0
5,116,1,1,1
5,116,2,10,6
5,116,3,45,11
5,116,4,140,16
5,117,0,0,0
5,117,1,1,1
5,117,2,12,6
5,117,3,60,11
5,117,4,200,16
5,118,0,0,0
5,118,1,1,1
5,118,2,11,6
5,118,3,54,11
5,118,4,179,16
5,119,0,0,0
5,119,1,1,1
5,119,2,10,6
5,119,3,47,11
5,119,4,152,16
5,120,0,0,0
5,120,1,1,1
5,120,2,9,6
5,120,3,39,11
5,120,4,119,16
5,121,0,0,0
5,121,1,1,1
5,121,2,18,6
5,121,3,108,11
5,121,4,400,16
5,122,0,0,0
5,122,1,1,1
5,122,2,15,6
5,122,3,84,11
5,122,4,300,16
5,123,0,0,0
5,123,1,1,1
5,123,2,12,6
5,123,3,60,11
5,123,4,200,16
5,124,0,0,0
5,124,1,1,1
5,124,2,15,6
5,124,3,84,11
5,124,4,300,16
5,125,0,0,0
5,125,1,1,1
5,125,2,12,6
5,125,3,60,11
5,125,4,200,16
5,126,0,0,0
5,126,1,1,1
5,126,2,13,6
5,126,3,70,11
5,126,4,246,16
5,127,0,0,0
5,127,1,1,1
5,127,2,11,6
5,127,3,54,11
5,127,4,179,16
5,128,0,0,0
5,128,1,1,1
5,128,2,11,6
5,128,3,54,11
5,128,4,179,16
5,129,0,0,0
5,129,1,1,1
5,129,2,10,6
5,129,3,46,11
5,129,4,146,16
5,130,0,0,0
5,130,1,1,1
5,130,2,16,6
5,130,3,93,11
5,130,4,340,16
5,131,0,0,0
5,131,1,1,1
5,131,2,14,6
5,131,3,77,11
5,131,4,273,16
5,132,0,0,0
5,132,1,1,1
5,132,2,11,6
5,132,3,54,11
5,132,4,179,16
5,133,0,0,0
5,133,1,1,1
5,133,2,13,6
5,133,3,70,11
5,133,4,246,16
5,134,0,0,0
5,134,1,1,1
5,134,2,12,6
5,134,3,63,11
5,134,4,219,16
5,135,0,0,0
5,135,1,1,1
5,135,2,10,6
5,135,3,47,11
5,135,4,152,16
5,136,0,0,0
5,136,1,1,1
5,136,2,10,6
5,136,3,48,11
5,136,4,158,16
5,137,0,0,0
5,137,1,1,1
5,137,2,9,6
5,137,3,40,11
5,137,4,125,16
5,138,0,0,0
5,138,1,1,1
5,138,2,14,6
5,138,3,75,11
5,138,4,260,16
5,139,0,0,0
5,139,1,1,1
5,139,2,12,6
5,139,3,61,11
5,139,4,206,16
5,140,0,0,0
5,140,1,1,1
5,140,2,10,6
5,140,3,47,11
5,140,4,152,16
5,141,0,0,0
5,141,1,1,1
5,141,2,11,6
5,141,3,54,11
5,141,4,179,16
5,142,0,0,0
5,142,1,1,1
5,142,2,10,6
5,142,3,48,11
5,142,4,158,16
5,143,0,0,0
5,143,1,1,1
5,143,2,9,6
5,143,3,41,11
5,143,4,131,16
5,144,0,0,0
5,144,1,1,1
5,144,2,8,6
5,144,3,33,11
5,144,4,98,16
5,145,0,0,0
5,145,1,1,1
5,145,2,24,6
5,145,3,162,11
5,145,4,640,16
5,146,0,0,0
5,146,1,1,1
5,146,2,18,6
5,146,3,108,11
5,146,4,400,16
5,147,0,0,0
5,147,1,1,1
5,147,2,18,6
5,147,3,108,11
5,147,4,400,16
5,148,0,0,0
5,148,1,1,1
5,148,2,15,6
5,148,3,84,11
5,148,4,300,16
5,149,0,0,0
5,149,1,1,1
5,149,2,20,6
5,149,3,126,11
5,149,4,480,16
5,150,0,0,0
5,150,1,1,1
5,150,2,16,6
5,150,3,93,11
5,150,4,340,16
5,151,0,0,0
5,151,1,1,1
5,151,2,16,6
5,151,3,90,11
5,151,4,320,16
5,152,0,0,0
5,152,1,1,1
5,152,2,14,6
5,152,3,75,11
5,152,4,260,16
5,153,0,0,0
5,153,1,1,1
5,153,2,16,6
5,153,3,93,11
5,153,4,340,16
5,154,0,0,0
5,154,1,1,1
5,154,2,14,6
5,154,3,77,11
5,154,4,273,16
5,155,0,0,0
5,155,1,1,1
5,155,2,14,6
5,155,3,75,11
5,155,4,260,16
5,156,0,0,0
5,156,1,1,1
5,156,2,13,6
5,156,3,67,11
5,156,4,227,16
5,157,0,0,0
5,157,1,1,1
5,157,2,18,6
5,157,3,108,11
5,157,4,400,16
5,158,0,0,0
5,158,1,1,1
5,158,2,15,6
5,158,3,84,11
5,158,4,300,16
5,159,0,0,0
5,159,1,1,1
5,159,2,12,6
5,159,3,60,11
5,159,4,200,16
5,160,0,0,0
5,160,1,1,1
5,160,2,15,6
5,160,3,84,11
5,160,4,300,16
5,161,0,0,0
5,161,1,1,1
5,161,2,12,6
5,161,3,60,11
5,161,4,200,16
5,162,0,0,0
5,162,1,1,1
5,162,2,13,6
5,162,3,70,11
5,162,4,246,16
5,163,0,0,0
5,163,1,1,1
5,163,2,11,6
5,163,3,54,11
5,163,4,179,16
5,164,0,0,0
5,164,1,1,1
5,164,2,11,6
5,164,3,54,11
5,164,4,179,16
5,165,0,0,0
5,165,1,1,1
5,165,2,10,6
5,165,3,46,11
5,165,4,146,16
5,166,0,0,0
5,166,1,1,1
5,166,2,20,6
5,166,3,126,11
5,166,4,480,16
5,167,0,0,0
5,167,1,1,1
5,167,2,15,6
5,167,3,84,11
5,167,4,300,16
5,168,0,0,0
5,168,1,1,1
5,168,2,18,6
5,168,3,108,11
5,168,4,400,16
5,169,0,0,0
5,169,1,1,1
5,169,2,14,6
5,169,3,75,11
5,169,4,260,16
5,170,0,0,0
5,170,1,1,1
5,170,2,14,6
5,170,3,75,11
5,170,4,260,16
5,171,0,0,0
5,171,1,1,1
5,171,2,12,6
5,171,3,60,11
5,171,4,200,16
5,172,0,0,0
5,172,1,1,1
5,172,2,14,6
5,172,3,77,11
5,172,4,273,16
5,173,0,0,0
5,173,1,1,1
5,173,2,12,6
5,173,3,61,11
5,173,4,206,16
5,174,0,0,0
5,174,1,1,1
5,174,2,12,6
5,174,3,61,11
5,174,4,206,16
5,175,0,0,0
5,175,1,1,1
5,175,2,11,6
5,175,3,53,11
5,175,4,173,16
5,176,0,0,0
5,176,1,1,1
5,176,2,16,6
5,176,3,90,11
5,176,4,320,16
5,177,0,0,0
5,177,1,1,1
5,177,2,12,6
5,177,3,60,11
5,177,4,200,16
5,178,0,0,0
5,178,1,1,1
5,178,2,14,6
5,178,3,75,11
5,178,4,260,16
5,179,0,0,0
5,179,1,1,1
5,179,2,12,6
5,179,3,60,11
5,179,4,200,16
5,180,0,0,0
5,180,1,1,1
5,180,2,10,6
5,180,3,45,11
5,180,4,140,16
5,181,0,0,0
5,181,1,1,1
5,181,2,11,6
5,181,3,54,11
5,181,4,179,16
5,182,0,0,0
5,182,1,1,1
5,182,2,10,6
5,182,3,47,11
5,182,4,152,16
5,183,0,0,0
5,183,1,1,1
5,183,2,9,6
5,183,3,39,11
5,183,4,119,16
5,184,0,0,0
5,184,1,1,1
5,184,2,16,6
5,184,3,93,11
5,184,4,340,16
5,185,0,0,0
5,185,1,1,1
5,185,2,13,6
5,185,3,70,11
5,185,4,246,16
5,186,0,0,0
5,186,1,1,1
5,186,2,14,6
5,186,3,77,11
5,186,4,273,16
5,187,0,0,0
5,187,1,1,1
5,187,2,11,6
5,187,3,54,11
5,187,4,179,16
5,188,0,0,0
5,188,1,1,1
5,188,2,12,6
5,188,3,63,11
5,188,4,219,16
5,189,0,0,0
5,189,1,1,1
5,189,2,10,6
5,189,3,47,11
5,189,4,152,16
5,190,0,0,0
5,190,1,1,1
5,190,2,10,6
5,190,3,48,11
5,190,4,158,16
5,191,0,0,0
5,191,1,1,1
5,191,2,9,6
5,191,3,40,11
5,191,4,125,16
5,192,0,0,0
5,192,1,1,1
5,192,2,14,6
5,192,3,75,11
5,192,4,260,16
5,193,0,0,0
5,193,1,1,1
5,193,2,11,6
5,193,3,54,11
5,193,4,179,16
5,194,0,0,0
5,194,1,1,1
5,194,2,12,6
5,194,3,61,11
5,194,4,206,16
5,195,0,0,0
5,195,1,1,1
5,195,2,10,6
5,195,3,47,11
5,195,4,152,16
5,196,0,0,0
5,196,1,1,1
5,196,2,10,6
5,196,3,48,11
5,196,4,158,16
5,197,0,0,0
5,197,1,1,1
5,197,2,9,6
5,197,3,41,11
5,197,4,131,16
5,198,0,0,0
5,198,1,1,1
5,198,2,8,6
5,198,3,33,11
5,198,4,98,16
5,199,0,0,0
5,199,1,1,1
5,199,2,20,6
5,199,3,126,11
5,199,4,480,16
5,200,0,0,0
5,200,1,1,1
5,200,2,15,6
5,200,3,84,11
5,200,4,300,16
5,201,0,0,0
5,201,1,1,1
5,201,2,16,6
5,201,3,93,11
5,201,4,340,16
5,202,0,0,0
5,202,1,1,1
5,202,2,13,6
5,202,3,70,11
5,202,4,246,16
5,203,0,0,0
5,203,1,1,1
5,203,2,16,6
5,203,3,93,11
5,203,4,340,16
5,204,0,0,0
5,204,1,1,1
5,204,2,13,6
5,204,3,70,11
5,204,4,246,16
5,205,0,0,0
5,205,1,1,1
5,205,2,14,6
5,205,3,78,11
5,205,4,280,16
5,206,0,0,0
5,206,1,1,1
5,206,2,12,6
5,206,3,63,11
5,206,4,219,16
5,207,0,0,0
5,207,1,1,1
5,207,2,12,6
5,207,3,60,11
5,207,4,200,16
5,208,0,0,0
5,208,1,1,1
5,208,2,11,6
5,208,3,53,11
5,208,4,173,16
5,209,0,0,0
5,209,1,1,1
5,209,2,16,6
5,209,3,93,11
5,209,4,340,16
5,210,0,0,0
5,210,1,1,1
5,210,2,14,6
5,210,3,77,11
5,210,4,273,16
5,211,0,0,0
5,211,1,1,1
5,211,2,11,6
5,211,3,54,11
5,211,4,179,16
5,212,0,0,0
5,212,1,1,1
5,212,2,13,6
5,212,3,70,11
5,212,4,246,16
5,213,0,0,0
5,213,1,1,1
5,213,2,12,6
5,213,3,63,11
5,213,4,219,16
5,214,0,0,0
5,214,1,1,1
5,214,2,10,6
5,214,3,48,11
5,214,4,158,16
5,215,0,0,0
5,215,1,1,1
5,215,2,10,6
5,215,3,47,11
5,215,4,152,16
5,216,0,0,0
5,216,1,1,1
5,216,2,9,6
5,216,3,40,11
5,216,4,125,16
5,217,0,0,0
5,217,1,1,1
5,217,2,16,6
5,217,3,93,11
5,217,4,340,16
5,218,0,0,0
5,218,1,1,1
5,218,2,13,6
5,218,3,70,11
5,218,4,246,16
5,219,0,0,0
5,219,1,1,1
5,219,2,14,6
5,219,3,77,11
5,219,4,273,16
5,220,0,0,0
5,220,1,1,1
5,220,2,11,6
5,220,3,54,11
5,220,4,179,16
5,221,0,0,0
5,221,1,1,1
5,221,2,12,6
5,221,3,63,11
5,221,4,219,16
5,222,0,0,0
5,222,1,1,1
5,222,2,10,6
5,222,3,48,11
5,222,4,158,16
5,223,0,0,0
5,223,1,1,1
5,223,2,10,6
5,223,3,47,11
5,223,4,152,16
5,224,0,0,0
5,224,1,1,1
5,224,2,9,6
5,224,3,40,11
5,224,4,125,16
5,225,0,0,0
5,225,1,1,1
5,225,2,14,6
5,225,3,78,11
5,225,4,280,16
5,226,0,0,0
5,226,1,1,1
5,226,2,12,6
5,226,3,63,11
5,226,4,219,16
5,227,0,0,0
5,227,1,1,1
5,227,2,12,6
5,227,3,63,11
