n,C_n,C_n_div_2_pow_n,C_n_minus_2n_minus_nnm1_minus_2,error_after_four_edge_model,scaled_error_times_4n_div_n6
17,131346.52210677375192395018340124702263056188061036,1.0020944374601268915096296951389085588879538010434,0.52210677375192395018340124702263056188061035978810,0.0012327503144239501834012470226305618806103597880983,0.87740770987908237434209849514102023568748813249184
18,262452.33149868664292082038826671538848586564932895,1.0011761913249459950287642985027900256571413014563,0.33149868664292082038826671538848586564932895404429,0.00044399914292082038826671538848586564932895404428881,0.89707126393002867914573994050455644282133951186839
19,524632.20773725729894276877418040698006757079676289,1.0006565241570611933570266231163158036567130980737,0.20773725729894276877418040698006757079676288923377,0.00015669089269276877418040698006757079676288923377297,0.91550766411569983546212812414038517643492324511098
20,1048958.1286477352335732626345684462950316826176483,1.0003644262769081435902239175495589208905054260715,0.12864773523357326263456844629503168261764830085225,0.000054290409354512634568446295031682617648300852253034,0.93270213065633694196110364277377650660449836158284
21,2097574.0788187019446691269039870292366356144188086,1.0002012628644475673051485557494302924326011747401,0.078818701944669126903987029236635614418808632450293,0.000018500528653501903987029236635614418808632450292607,0.94869844350444194324674099992126743837117950393117
22,4194768.0478215329869431335006404971417753199046727,1.0001106376222450702054818870164149145544337999040,0.047821532986943133500640497141775319904672732974477,0.0000062101109665710006404971417753199046727329744765446,0.96356958884340838888840843460335811889200842213391
23,8389116.0287581978360812458814529029456588147849334,1.0000605617473361296750600196663025552819746476332,0.028758197836081245881452902945658814784933364445564,0.0000020561734835896314529029456588147849333644455639172,0.97740045896313009983777462477087486480153254587127
24,16777770.017154412262763324766311681380477753671949,1.0000330219956882156588628748841095793531986279457,0.017154412262763324766311681380477753671949123374056,0.00000067233356410601631168138047775367194912337405647206,0.99027800748918365415434565297835273161778718851933
25,33555034.010156848805850532787152691057999357737256,1.0000179413007750751331607337937560992836760800259,0.010156848805850532787152691057999357737256173210785,0.00000021733612397028715269105799935773725617321078542413,1.0022859642129747399975284337318891222996170374058
26,67109516.005972693344317151038123582220679088655839,1.0000097156460984549569659089762506219845874407267,0.0059726933443171510381235822206790886558387645059958,0.000000069519243908850623582220679088655838764505995844060,1.0135022724219118293099410203319482398685652666747
27,134218432.00349011239244246334158814718415877134274,1.0000052452347435980472152184068273543131259928848,0.0034901123924424633415881471841587713427406375801557,0.000000022022264240685338147184158771342740637580155748480,1.0239980986468177000947867120688816962668294153820
28,268436214.00202754831286556462767165763199443610131,1.0000028237775994401904402845638679624795706424911,0.0020275483128655646276716576319944361013140813305367,0.0000000069138634894323591576319944361013140813305366842747,1.0338377104079869566804055284468384519805684286816
29,536871726.00117151654450913267223281627238350760155,1.0000015161953335936078971860413119499988546736567,0.0011715165445091326722328162723835076015529751466023,0.0000000021526100237855140662723835076015529751466022895282,1.0430788016525059607327666255757133523443219066406
30,1073742696.0006734958981020658545753824716550041097,1.0000008121139123066310790049420440406274562739858,0.00067349589810206585457538247165500410973778776281526,0.00000000066504313641121600747165500410973778776281526447210,1.0517730225784303676869652281540360991390942642608
31,2147484580.0003853703094920425336677970821264438179,1.0000004339964992228473965276655125418129034544425,0.00038537030949204253366779708212644381790245284742898,0.00000000020398705290964435958212644381790245284742898025352,1.0599665781483273751330467415721181854689114269511
