k,x_k,abs_Phi_xk,Carleman_envelope,delta,absPhi_div_Bc_x_minus_delta,minus_log_absPhi
25,22369621.33333333333333333333333333333333,1.214424307066378956964015845071030482330e-108,6.276229800301363865968977530672628422360e-107,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,248.4849199001977707246598514322664425080
26,44739242.66666666666666666666666666666667,7.482773197311333411724759991752841295701e-117,4.465399667763506742292286667506549394200e-115,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,267.3898524087234750253929103290646565687
27,89478485.33333333333333333333333333333333,2.305285491924052311359994559193884985010e-125,1.588516898465460363464878562711373430660e-123,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,286.9879320978091246355432013473210471976
28,178956970.6666666666666666666666666666667,3.551050565841710969130529880100800593288e-134,2.825487217781518683303609645959378654482e-132,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,307.2791589674547195551107244870356143946
29,357913941.3333333333333333333333333333333,2.735010515040401578328821454280889076789e-143,2.512840129544373354408943503033267542547e-141,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,328.2635330176602597840954797482083581596
30,715827882.6666666666666666666666666666667,1.053249225642679612927747467568993641959e-152,1.117394104087722426177039083768198017995e-150,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,349.9410542484257453224974671308392784927
31,1431655765.333333333333333333333333333333,2.028024984212020756785732718370509386760e-162,2.484379267049499360649017648971806415006e-160,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,372.3117226597511761703166866349283753938
32,2863311530.666666666666666666666666666667,1.952474892197777512669631228470403656055e-172,2.761845762370720383562598839059218901156e-170,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,395.3755382516365523275531382604756488631
33,5726623061.333333333333333333333333333333,9.398696353200792660198958403517691294412e-183,1.535150473257658157461915383908828394600e-180,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,419.1325010240818737942068220074810989004
34,11453246122.66666666666666666666666666667,2.262141589954998109033969270089098172149e-193,4.266507217116050478538547383744551965525e-191,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,443.5826109770871405702777378759447255058
35,22906492245.33333333333333333333333333333,2.722337428882570118059921958533009542495e-204,5.928762082545427997603871775066848471286e-202,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,468.7258681106523526557658858658665286793
36,45812984490.66666666666666666666666666667,1.638076305569006310040753974030409243872e-215,4.119320329567873574583443447770206282937e-213,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,494.5622724247775100506712659772465084208
37,91625968981.33333333333333333333333333333,4.928290582934842808816153031354272591885e-227,1.431057591900016541081850712906386896060e-224,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,521.0918239194626127549938782100846647304
38,183251937962.6666666666666666666666666667,7.413588728214799252819184195300626013894e-239,2.485756954411829562092331201255829163107e-236,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,548.3145225947076607687337225643809976081
39,366503875925.3333333333333333333333333333,5.576101581898155989544759600672575576977e-251,2.158888528100021007663778985708294714663e-248,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,576.2303684505126540918907990401355070539
40,733007751850.6666666666666666666666666667,2.097021428590517865881463570035898172290e-263,9.375010836215675079553165810337151179662e-261,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,604.8393614868775927244651076373481930677
41,1466015503701.333333333333333333333333333,3.943166033993652224723575208055354192280e-276,2.035557348959366033737434614215170374388e-273,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,634.1415017038024766664566483560190556497
42,2932031007402.666666666666666666666666667,3.707296015113198793266244431142807323855e-289,2.209860763518353700022025721487042055274e-286,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,664.1367891012873059178654211961480947997
43,5864062014805.333333333333333333333333333,1.742767566111613611184266481980746646362e-302,1.199544831452303558695048950800358168904e-299,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,694.8252236793320804786914261577353105177
44,11728124029610.66666666666666666666666667,4.096299266512520840933284143859586631028e-316,3.255652633003510717781174205400306296518e-313,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,726.2068054379368003489346632407807028039
45,23456248059221.33333333333333333333333333,4.814086515928533491000133733582968258196e-330,4.418039988530491873561857028825461761622e-327,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,758.2815343771014655285951324452842716581
46,46912496118442.66666666666666666666666667,2.828825175482828434754552079888880161460e-344,2.997721123928251171627147828974933922244e-341,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,791.0494104968260760176728337712460170804
47,93824992236885.33333333333333333333333333,8.311287974331297659084044416503612391186e-359,1.017004368472754565008097358701922722195e-355,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,824.5104337971106318161677672186659390708
48,187649984473770.6666666666666666666666667,1.220957526660759177979968763537854959514e-373,1.725140269447928969619840291306249565919e-370,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,858.6646042779551329240799327875440376292
49,375299968947541.3333333333333333333333333,8.968148417631377378089656844045211114585e-389,1.463174122713024805640641831789672322205e-385,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,893.5119219393595793414093304778803127558
50,750599937895082.6666666666666666666666667,3.293631608162028384823915707507802757065e-404,6.204940407721580058214646197190195319428e-401,0.2075187496394219092731305280260917456201,0.6484307237021602497560540918702998353096,929.0523867813239710681559602896747644504
