D,record_index,position,S_at_record
6,27,4324395,-23
6,28,5696500,-24
6,29,7068605,-25
6,30,15065819,5
6,31,53679784,-26
6,32,100290963,-27
6,33,146902142,-28
6,34,193513321,-29
6,35,240124500,-30
6,36,511794360,6
6,37,1823532481,-31
6,38,3406940462,-32
6,39,4990348443,-33
6,40,6573756424,-34
6,41,8157164405,-35
6,42,17385942431,7
6,43,61946424580,-36
6,44,115735684755,-37
6,45,169524944930,-38
6,46,223314205105,-39
6,47,277103465280,-40
6,48,590610248304,8
6,49,2104354903249,-41
6,50,3931606341218,-42
6,51,5758857779187,-43
6,52,7586109217156,-44
6,53,9413360655125,-45
6,54,20063362499915,9
6,55,71486120285896,-46
6,56,133558879916667,-47
6,57,195631639547438,-48
6,58,257704399178209,-49
6,59,319777158808980,-50
6,60,681563714748816,10
6,61,2428423734817225,-51
6,62,4537070310825470,-52
6,63,6645716886833715,-53
6,64,8754363462841960,-54
6,65,10863010038850205,-55
6,66,23153102938959839,11
6,67,82494920863499764,-56
6,68,154126831688149323,-57
6,69,225758742512798882,-58
6,70,297390653337448441,-59
6,71,369022564162098000,-60
6,72,786523936209885720,12
6,73,2802398885624174761,-61
6,74,5235775207086251522,-62
6,75,7669151528548328283,-63
6,76,10102527850010405044,-64
6,77,12535904171472481805,-65
6,78,26718660728197154651,13
6,79,95199067190358442120,-66
6,80,177862230209244402435,-67
6,81,260525393228130362750,-68
6,82,343188556247016323065,-69
6,83,425851719265902283380,-70
6,84,907647940822493372424,14
6,85,3233965885586562857329,-71
6,86,6042080051907223431278,-72
6,87,8850194218227884005227,-73
6,88,11658308384548544579176,-74
6,89,14466422550869205153125,-75
6,90,30833311327236577507775,15
6,91,109859641042752778707076,-76
6,92,205252859534636352261027,-77
6,93,300646078026519925814978,-78
6,94,396039296518403499368929,-79
6,95,491432515010287072922880,-80
6,96,1047424937185221141891936,16
6,97,3731993829568007913183265,-81
6,98,6972555144125728753443650,-82
6,99,10213116458683449593704035,-83
6,100,13453677773241170433964420,-84
8,0,0,0
8,1,1,-1
8,2,2,-2
8,3,3,-3
8,4,4,-4
8,5,5,-5
8,6,6,-6
8,7,7,-7
8,8,15,1
8,9,70,-8
8,10,133,-9
8,11,196,-10
8,12,259,-11
8,13,322,-12
8,14,385,-13
8,15,448,-14
8,16,944,2
8,17,4353,-15
8,18,8258,-16
8,19,12163,-17
8,20,16068,-18
8,21,19973,-19
8,22,23878,-20
8,23,27783,-21
8,24,58527,3
8,25,269830,-22
8,26,511877,-23
8,27,753924,-24
8,28,995971,-25
8,29,1238018,-26
8,30,1480065,-27
8,31,1722112,-28
8,32,3627744,4
8,33,16725121,-29
8,34,31728130,-30
8,35,46731139,-31
8,36,61734148,-32
8,37,76737157,-33
8,38,91740166,-34
8,39,106743175,-35
8,40,224861615,5
8,41,1036687686,-36
8,42,1966632197,-37
8,43,2896576708,-38
8,44,3826521219,-39
8,45,4756465730,-40
8,46,5686410241,-41
8,47,6616354752,-42
8,48,13937792400,6
8,49,64257911425,-43
8,50,121899468098,-44
8,51,179541024771,-45
8,52,237182581444,-46
8,53,294824138117,-47
8,54,352465694790,-48
8,55,410107251463,-49
8,56,863918267199,7
8,57,3982953820678,-50
8,58,7555800389893,-51
8,59,11128646959108,-52
8,60,14701493528323,-53
8,61,18274340097538,-54
8,62,21847186666753,-55
8,63,25420033235968,-56
8,64,53548994773952,8
8,65,246878878970625,-57
8,66,468337724705282,-58
8,67,689796570439939,-59
8,68,911255416174596,-60
8,69,1132714261909253,-61
8,70,1354173107643910,-62
8,71,1575631953378567,-63
8,72,3319173757717839,9
8,73,15302507542358086,-64
8,74,29029383131337605,-65
8,75,42756258720317124,-66
8,76,56483134309296643,-67
8,77,70210009898276162,-68
8,78,83936885487255681,-69
8,79,97663761076235200,-70
8,80,205735223983732080,10
8,81,948508588747230721,-71
8,82,1799353416418226242,-72
8,83,2650198244089221763,-73
8,84,3501043071760217284,-74
8,85,4351887899431212805,-75
8,86,5202732727102208326,-76
8,87,6053577554773203847,-77
8,88,12752264713233671135,11
8,89,58792229994785946630,-78
8,90,111530882434798689413,-79
8,91,164269534874811432196,-80
8,92,217008187314824174979,-81
8,93,269746839754836917762,-82
8,94,322485492194849660545,-83
8,95,375224144634862403328,-84
8,96,790434676996503878304,12
8,97,3644169751087981460353,-85
8,98,6913115357541100517378,-86
8,99,10182060963994219574403,-87
8,100,13451006570447338631428,-88
10,0,0,0
10,1,1,-1
10,2,2,-2
10,3,3,-3
10,4,4,-4
10,5,5,-5
10,6,6,-6
10,7,7,-7
10,8,8,-8
10,9,9,-9
10,10,19,1
10,11,108,-10
10,12,207,-11
10,13,306,-12
10,14,405,-13
10,15,504,-14
10,16,603,-15
10,17,702,-16
10,18,801,-17
10,19,900,-18
10,20,1880,2
10,21,10601,-19
10,22,20302,-20
10,23,30003,-21
10,24,39704,-22
10,25,49405,-23
10,26,59106,-24
10,27,68807,-25
10,28,78508,-26
10,29,88209,-27
10,30,184239,3
10,31,1038808,-28
10,32,1989407,-29
10,33,2940006,-30
10,34,3890605,-31
10,35,4841204,-32
10,36,5791803,-33
10,37,6742402,-34
10,38,7693001,-35
10,39,8643600,-36
10,40,18053560,4
10,41,101792601,-37
10,42,194941602,-38
10,43,288090603,-39
10,44,381239604,-40
10,45,474388605,-41
10,46,567537606,-42
10,47,660686607,-43
10,48,753835608,-44
10,49,846984609,-45
10,50,1769064659,5
10,51,9974636108,-46
10,52,19102287607,-47
10,53,28229939106,-48
10,54,37357590605,-49
10,55,46485242104,-50
10,56,55612893603,-51
10,57,64740545102,-52
10,58,73868196601,-53
10,59,82995848100,-54
10,60,173350283040,6
10,61,977412546001,-55
10,62,1871829243902,-56
10,63,2766245941803,-57
10,64,3660662639704,-58
10,65,4555079337605,-59
10,66,5449496035506,-60
10,67,6343912733407,-61
10,68,7238329431308,-62
10,69,8132746129209,-63
10,70,16986558673279,7
10,71,95776454872008,-64
10,72,183420163614807,-65
10,73,271063872357606,-66
10,74,358707581100405,-67
10,75,446351289843204,-68
10,76,533994998586003,-69
10,77,621638707328802,-70
10,78,709282416071601,-71
10,79,796926124814400,-72
10,80,1664509399698320,8
10,81,9385115164910801,-73
10,82,17973304205007202,-74
10,83,26561493245103603,-75
10,84,35149682285200004,-76
10,85,43737871325296405,-77
10,86,52326060365392806,-78
10,87,60914249405489207,-79
10,88,69502438445585608,-80
10,89,78090627485682009,-81
10,90,163104934611762099,9
10,91,919645509706386508,-82
10,92,1761200391927091007,-83
10,93,2602755274147795506,-84
10,94,3444310156368500005,-85
10,95,4285865038589204504,-86
10,96,5127419920809909003,-87
10,97,5968974803030613502,-88
10,98,6810529685251318001,-89
10,99,7652084567472022500,-90
10,100,15982619082552987400,10
12,0,0,0
12,1,1,-1
12,2,2,-2
12,3,3,-3
12,4,4,-4
12,5,5,-5
12,6,6,-6
12,7,7,-7
12,8,8,-8
12,9,9,-9
12,10,10,-10
12,11,11,-11
12,12,23,1
12,13,154,-12
12,14,297,-13
12,15,440,-14
12,16,583,-15
12,17,726,-16
12,18,869,-17
12,19,1012,-18
12,20,1155,-19
12,21,1298,-20
12,22,1441,-21
12,23,1584,-22
12,24,3288,2
12,25,21889,-23
12,26,42194,-24
12,27,62499,-25
12,28,82804,-26
12,29,103109,-27
12,30,123414,-28
12,31,143719,-29
12,32,164024,-30
12,33,184329,-31
12,34,204634,-32
12,35,224939,-33
12,36,466895,3
12,37,3108106,-34
12,38,5991273,-35
12,39,8874440,-36
12,40,11757607,-37
12,41,14640774,-38
12,42,17523941,-39
12,43,20407108,-40
12,44,23290275,-41
12,45,26173442,-42
12,46,29056609,-43
12,47,31939776,-44
12,48,66295824,4
12,49,441329185,-45
12,50,850718594,-46
12,51,1260108003,-47
12,52,1669497412,-48
12,53,2078886821,-49
12,54,2488276230,-50
12,55,2897665639,-51
12,56,3307055048,-52
12,57,3716444457,-53
12,58,4125833866,-54
12,59,4535223275,-55
12,60,9413540135,5
12,61,62665636186,-56
12,62,120796049097,-57
12,63,178926462008,-58
12,64,237056874919,-59
12,65,295187287830,-60
12,66,353317700741,-61
12,67,411448113652,-62
12,68,469578526563,-63
12,69,527708939474,-64
12,70,585839352385,-65
12,71,643969765296,-66
12,72,1336656403368,6
12,73,8898079009249,-67
12,74,17152188253202,-68
12,75,25406297497155,-69
12,76,33660406741108,-70
12,77,41914515985061,-71
12,78,50168625229014,-72
12,79,58422734472967,-73
12,80,66676843716920,-74
12,81,74930952960873,-75
12,82,83185062204826,-76
12,83,91439171448779,-77
12,84,189795795738143,7
12,85,1263464553677194,-78
12,86,2435489935905609,-79
12,87,3607515318134024,-80
12,88,4779540700362439,-81
12,89,5951566082590854,-82
12,90,7123591464819269,-83
12,91,8295616847047684,-84
12,92,9467642229276099,-85
12,93,10639667611504514,-86
12,94,11811692993732929,-87
12,95,12983718375961344,-88
12,96,26949666338412960,8
12,97,179403068543152321,-89
12,98,345822418710343298,-90
12,99,512241768877534275,-91
12,100,678661119044725252,-92
14,0,0,0
14,1,1,-1
14,2,2,-2
14,3,3,-3
14,4,4,-4
14,5,5,-5
14,6,6,-6
14,7,7,-7
14,8,8,-8
14,9,9,-9
14,10,10,-10
14,11,11,-11
14,12,12,-12
14,13,13,-13
14,14,27,1
14,15,208,-14
14,16,403,-15
14,17,598,-16
14,18,793,-17
14,19,988,-18
14,20,1183,-19
14,21,1378,-20
14,22,1573,-21
14,23,1768,-22
14,24,1963,-23
14,25,2158,-24
14,26,2353,-25
14,27,2548,-26
14,28,5264,2
14,29,40377,-27
14,30,78206,-28
14,31,116035,-29
14,32,153864,-30
14,33,191693,-31
14,34,229522,-32
14,35,267351,-33
14,36,305180,-34
14,37,343009,-35
14,38,380838,-36
14,39,418667,-37
14,40,456496,-38
14,41,494325,-39
14,42,1021215,3
14,43,7832956,-40
14,44,15171587,-41
14,45,22510218,-42
14,46,29848849,-43
14,47,37187480,-44
14,48,44526111,-45
14,49,51864742,-46
14,50,59203373,-47
14,51,66542004,-48
14,52,73880635,-49
14,53,81219266,-50
14,54,88557897,-51
14,55,95896528,-52
14,56,198110472,4
14,57,1519553113,-53
14,58,2943209698,-54
14,59,4366866283,-55
14,60,5790522868,-56
14,61,7214179453,-57
14,62,8637836038,-58
14,63,10061492623,-59
14,64,11485149208,-60
14,65,12908805793,-61
14,66,14332462378,-62
14,67,15756118963,-63
14,68,17179775548,-64
14,69,18603432133,-65
14,70,38432410379,5
14,71,294785470992,-66
14,72,570967509851,-67
14,73,847149548710,-68
14,74,1123331587569,-69
14,75,1399513626428,-70
14,76,1675695665287,-71
14,77,1951877704146,-72
14,78,2228059743005,-73
14,79,2504241781864,-74
14,80,2780423820723,-75
14,81,3056605859582,-76
14,82,3332787898441,-77
14,83,3608969937300,-78
14,84,7455689503080,6
14,85,57186861819361,-79
14,86,110764753701422,-80
14,87,164342645583483,-81
14,88,217920537465544,-82
14,89,271498429347605,-83
14,90,325076321229666,-84
14,91,378654213111727,-85
14,92,432232104993788,-86
14,93,485809996875849,-87
14,94,539387888757910,-88
14,95,592965780639971,-89
14,96,646543672522032,-90
14,97,700121564404093,-91
14,98,1446365331187167,7
14,99,11093956407485068,-92
14,100,21487791250566043,-93
16,0,0,0
16,1,1,-1
16,2,2,-2
16,3,3,-3
16,4,4,-4
16,5,5,-5
16,6,6,-6
16,7,7,-7
16,8,8,-8
16,9,9,-9
16,10,10,-10
16,11,11,-11
16,12,12,-12
16,13,13,-13
16,14,14,-14
16,15,15,-15
16,16,31,1
16,17,270,-16
16,18,525,-17
16,19,780,-18
16,20,1035,-19
16,21,1290,-20
16,22,1545,-21
16,23,1800,-22
16,24,2055,-23
16,25,2310,-24
16,26,2565,-25
16,27,2820,-26
16,28,3075,-27
16,29,3330,-28
16,30,3585,-29
16,31,3840,-30
16,32,7904,2
16,33,68609,-31
16,34,133378,-32
16,35,198147,-33
16,36,262916,-34
16,37,327685,-35
16,38,392454,-36
16,39,457223,-37
16,40,521992,-38
16,41,586761,-39
16,42,651530,-40
16,43,716299,-41
16,44,781068,-42
16,45,845837,-43
16,46,910606,-44
16,47,975375,-45
16,48,2007615,3
16,49,17426446,-46
16,50,33877517,-47
16,51,50328588,-48
16,52,66779659,-49
16,53,83230730,-50
16,54,99681801,-51
16,55,116132872,-52
16,56,132583943,-53
16,57,149035014,-54
16,58,165486085,-55
16,59,181937156,-56
16,60,198388227,-57
16,61,214839298,-58
16,62,231290369,-59
16,63,247741440,-60
16,64,509926336,4
16,65,4426248705,-61
16,66,8604755970,-62
16,67,12783263235,-63
16,68,16961770500,-64
16,69,21140277765,-65
16,70,25318785030,-66
16,71,29497292295,-67
16,72,33675799560,-68
16,73,37854306825,-69
16,74,42032814090,-70
16,75,46211321355,-71
16,76,50389828620,-72
16,77,54568335885,-73
16,78,58746843150,-74
16,79,62925350415,-75
16,80,129519281759,5
16,81,1124249744654,-76
16,82,2185574138893,-77
16,83,3246898533132,-78
16,84,4308222927371,-79
16,85,5369547321610,-80
16,86,6430871715849,-81
16,87,7492196110088,-82
16,88,8553520504327,-83
16,89,9614844898566,-84
16,90,10676169292805,-85
16,91,11737493687044,-86
16,92,12798818081283,-87
16,93,13860142475522,-88
16,94,14921466869761,-89
16,95,15982791264000,-90
16,96,32897387640480,6
16,97,285555008893441,-91
16,98,555127226522882,-92
16,99,824699444152323,-93
16,100,1094271661781764,-94
18,0,0,0
18,1,1,-1
18,2,2,-2
18,3,3,-3
18,4,4,-4
18,5,5,-5
18,6,6,-6
18,7,7,-7
18,8,8,-8
18,9,9,-9
18,10,10,-10
18,11,11,-11
18,12,12,-12
18,13,13,-13
18,14,14,-14
18,15,15,-15
18,16,16,-16
18,17,17,-17
18,18,35,1
18,19,340,-18
18,20,663,-19
18,21,986,-20
18,22,1309,-21
18,23,1632,-22
18,24,1955,-23
18,25,2278,-24
18,26,2601,-25
18,27,2924,-26
18,28,3247,-27
18,29,3570,-28
18,30,3893,-29
18,31,4216,-30
18,32,4539,-31
18,33,4862,-32
18,34,5185,-33
18,35,5508,-34
18,36,11304,2
18,37,109513,-35
18,38,213518,-36
18,39,317523,-37
18,40,421528,-38
18,41,525533,-39
18,42,629538,-40
18,43,733543,-41
18,44,837548,-42
18,45,941553,-43
18,46,1045558,-44
18,47,1149563,-45
18,48,1253568,-46
18,49,1357573,-47
18,50,1461578,-48
18,51,1565583,-49
18,52,1669588,-50
18,53,1773593,-51
18,54,3639887,3
18,55,35262880,-52
18,56,68752167,-53
18,57,102241454,-54
18,58,135730741,-55
18,59,169220028,-56
18,60,202709315,-57
18,61,236198602,-58
18,62,269687889,-59
18,63,303177176,-60
18,64,336666463,-61
18,65,370155750,-62
18,66,403645037,-63
18,67,437134324,-64
18,68,470623611,-65
18,69,504112898,-66
18,70,537602185,-67
18,71,571091472,-68
18,72,1172032344,4
18,73,11354537881,-69
18,74,22137984290,-70
18,75,32921430699,-71
18,76,43704877108,-72
18,77,54488323517,-73
18,78,65271769926,-74
18,79,76055216335,-75
18,80,86838662744,-76
18,81,97622109153,-77
18,82,108405555562,-78
18,83,119189001971,-79
18,84,129972448380,-80
18,85,140755894789,-81
18,86,151539341198,-82
18,87,162322787607,-83
18,88,173106234016,-84
18,89,183889680425,-85
18,90,377390774915,5
18,91,3656125934836,-86
18,92,7128362189247,-87
18,93,10600598443658,-88
18,94,14072834698069,-89
18,95,17545070952480,-90
18,96,21017307206891,-91
18,97,24489543461302,-92
18,98,27961779715713,-93
18,99,31434015970124,-94
18,100,34906252224535,-95
20,0,0,0
20,1,1,-1
20,2,2,-2
20,3,3,-3
20,4,4,-4
20,5,5,-5
20,6,6,-6
20,7,7,-7
20,8,8,-8
20,9,9,-9
20,10,10,-10
20,11,11,-11
20,12,12,-12
20,13,13,-13
20,14,14,-14
20,15,15,-15
20,16,16,-16
20,17,17,-17
20,18,18,-18
20,19,19,-19
20,20,39,1
20,21,418,-20
20,22,817,-21
20,23,1216,-22
20,24,1615,-23
20,25,2014,-24
20,26,2413,-25
20,27,2812,-26
20,28,3211,-27
20,29,3610,-28
20,30,4009,-29
20,31,4408,-30
20,32,4807,-31
20,33,5206,-32
20,34,5605,-33
20,35,6004,-34
20,36,6403,-35
20,37,6802,-36
20,38,7201,-37
20,39,7600,-38
20,40,15560,2
20,41,166401,-39
20,42,325202,-40
20,43,484003,-41
20,44,642804,-42
20,45,801605,-43
20,46,960406,-44
20,47,1119207,-45
20,48,1278008,-46
20,49,1436809,-47
20,50,1595610,-48
20,51,1754411,-49
20,52,1913212,-50
20,53,2072013,-51
20,54,2230814,-52
20,55,2389615,-53
20,56,2548416,-54
20,57,2707217,-55
20,58,2866018,-56
20,59,3024819,-57
20,60,6192879,3
20,61,66227218,-58
20,62,129429617,-59
20,63,192632016,-60
20,64,255834415,-61
20,65,319036814,-62
20,66,382239213,-63
20,67,445441612,-64
20,68,508644011,-65
20,69,571846410,-66
20,70,635048809,-67
20,71,698251208,-68
20,72,761453607,-69
20,73,824656006,-70
20,74,887858405,-71
20,75,951060804,-72
20,76,1014263203,-73
20,77,1077465602,-74
20,78,1140668001,-75
20,79,1203870400,-76
20,80,2464750320,4
20,81,26358266401,-77
20,82,51512662402,-78
20,83,76667058403,-79
20,84,101821454404,-80
20,85,126975850405,-81
20,86,152130246406,-82
20,87,177284642407,-83
20,88,202439038408,-84
20,89,227593434409,-85
20,90,252747830410,-86
20,91,277902226411,-87
20,92,303056622412,-88
20,93,328211018413,-89
20,94,353365414414,-90
20,95,378519810415,-91
20,96,403674206416,-92
20,97,428828602417,-93
20,98,453982998418,-94
20,99,479137394419,-95
20,100,980964434519,5
