N,sigma_N,C_N,det_B_N,det_bit_length,simple_baseline,sigma_over_baseline
23,-9393575799808,736335108039604595805923406147184530889923370574768772191969612422073040099331944991573923112581267542507986451953227192970402893063850485730703075899286013451337291468249027691733891486704001513279827771740183629161065194874727962517148100775228363421083691764065477590823919364012917984605619526140822066036736,6916819651429838831987699522243026553521677207754714741907843101322506529724476130940708274623021877083012889473634164293013687111484256422109918437492801342662293544191033774936697529792515823212861600494236785894269441059998604102868441715654853958757053130952736711093905299301504944749685639871719614602609647363909746689,1080,-8796093022208,1.0679259275784716
24,37821227113984,7292309700590022739414262022877422190801598279886340981745171257367098068725104131911619179029222940482597888335407858675057769817714232283870412932659462176092204209742620236052248859049791622115618325727203836689963075885156833957320229072129729133236389394983621105149364781798798084034090722628823189432924536844353025348744168091942912,275804101371523912874601802934121420268804651502720214804551668741998038988245070237229562279431880968066771932422550464556408513607303435241330378754534380376153365026725056165828512944792707192664469197915155622411624235939493789394833257220206849554281773490884803897658062367563005951972621769680555518530422606182609847518342587682785001585044881407,1175,35184372088832,1.0749439273349708
25,-152288971923456,1155512596125385269765799592641029651509139402872550750935766433791630276547808297894741551751476758540795499058870921848128206638009303753660262548761097441177195744786889746810530182859098452582742246946577703427171810129653159878389268187475009718371537924021104174314535549264821368516534242575457414253466772691496591399429143042080543105507356534926287283750436864,175971825308538549678754810632367806630730114623039034424359383554606131111394886651384516767862097702804929608155769488981568871162887546180878474280756266376336167278902527530148231542718901873849729773971034822766028100894627399867375198371444361558723880625157062154998025536263192892089677972885444982742789932728328396825190488641494325726389773673451287609628600722070368681985,1274,-140737488355328,1.0820782273658551
26,613228038538240,2929572472099248521370752248903701710326929586813269608269849191300018275398392146977579480512045381056466763473038486251629026189534736981024082694234338794252593107572832752109724258835381224528473361192546346434995059170915338374882989067764829472956472206797929876184679233114627182295131137556781078500125075560421759798612467599178061002268465696456132453093430032964690057361817786378226761728,1796495980821044999417286996321898341210955777652018575050722428091960505112021521196099284012673203983022786476614127594304676874135809947974618294001479760371493860387726884898388068462162978375188784709576038176676460180246060263889075592497895458939413326300316401021231548339869206531928539035184357842717530532426506883451806622187707321647004322169076633739159861358219988097009753728647928353771701896478719,1377,562949953421312,1.089311820369403
27,-2469391630782464,118837577685398727027621620820150347781418698055648421827960597679050161590687763114543532190858894802912136178436075010321661762048067240053863588532825793202844565193285879767770539781303071095061684918514170150329008600025923687243545812143162188257424339366575299587506894617232596153146498245967631950322371635396794988087045590833840649666690807994557178487609583635428623894758683651690278106072866904302887275945030420791296,293456519758784516120691438805253928066442524230555487240090086615637256484532153817372439540400707709549942967516071843264280159768877649245390379606230312920964262931960053555118157323140641894877785292802470033698567215609071121508634152043210899768155207462757824844259953351525221493528447048777773192579457484575301471727217886992032862226898861160494138500372352645241360557847117046490266752344771471579760553460612850682456602426520633345,1484,-2251799813685248,1.096630178124542
28,9944136172746752,77129997661473042834563731392906051613186983934262046443509601250088236530937702421410720771435073589230360520988416153211597343321438666399027615612504788846566826860212007192665026493365807989659057380396410241843115067452947171502764387907184254879930100522953621684143147369011757709177413246969147851851807011495090942177735424370008270402578546811228831798876553071252692197808482041755948005832336199903770812758591072400826986380839455579424152330858135552,766991199749326476067790930866285147589507018994528692792525832126082532831695294533273126850412558185658181770266624441909680850864887604937982465050027476306236517076646879404821499827154243121949138291717387201789168632333901738996350153995302639818846086141996788093408093477993715313235239527421524218616356383237594227987161437776677837268590745356402217048890912961996253595673595803935616542593939057979418980301085248786437918480919351686003557256570642144495361383727103,1595,9007199254740992,1.1040208938991327
29,-40045048607621120,800963689112930163398906062858920420155058144631373052965307457194076188344927734248861093986672375044165194115404169819166872940028448221667216677626302420403058493045152522354711186000914112178795254334763799088782346120441814664724426905571953567733354498394204715760025714823542665567269794308950940316091907448375486381271889161953351651242342690954080905706804611635954405707725973680011226698484619325186916846805696771222816631081502653795308119566967204370263090036889206435065881620905984,32074629863466819672087468800902794142417098530041279717939161038694164562546302602002822657384143271524730915676382233227979665085713133119956872193388271429529474844818051894623268673538181780480994407893037092746679849726614835386503903618401115795418099503348572435761457130731553642570862961821974994777431986098672700879634318074274057736835790773426992966244973095766162445781008851925634994218641287245964391246061397680008605197648676615729949604926311269807522935883703505249583042657436197049541412782081,1710,-36028797018963968,1.1114733746603633
30,161261808076427264,133082919897009075359259926756889854863113372490720869358057746643080549849798676867342520412385873566555750271502765682873319819372929239265785407531943221134177591931769102767366750766494211022953102187037426313713553469288902407555027716094352368246068818056041631717076128731245944492662799065287082041401838189287334993898167573176259392815776936414960702104472959164143819502172349491203683136335697104827492515198649518141922982194240198823542878840398191418706740833374440970026060313009354655549472271561517006315765102542848,21461192286682020737702070743641687718952739713375960197290853024806890088348494024271154820769331350984992650520804767738719738609411487771712324781303329102232702062635468392256952831934911536748002178213356331483909585320933447953335465559929659277702963849107837373702901575073217700195364560278990696182440335895799089995632594172469534593835694838188688354814129411283911535845212033620260766889094578897923286362088145371006499871900518876390492562226956804565860489257423712067564704061532251089413714687185798020539451821549712803213315407871,1829,144115188075855872,1.1189785769945786
31,-649399628573425664,353795085775811751952282576620150245691435302178133713985983119646404557998091108631736738265756908864427167357459589464146937342539648410954151445932385810006363178001464150020282622037968618217321520048749714277973253310405162579168661631325103010859897000613849941891042355517507072775778183934804454378605971103212503776658530216776624886161572954604802061126036385283010792931338847272751639657739947752880232776554024949414309333344411153270517613788190470311873656291172763300258144726698621995774634404632667215533103480108693334104544774631376929389702488784896,229754397293915425096772388010247999670167218435922050861292806335853068577495769538239331523365672368224768843199634844640130889230417992536610410422082624610949357634125252049147500403897598555785806388482695252665736573383974461950927873628137406248017466187685572460469832730545218912709836888924517165739065755214785931735087117034424950988067889641343728287581769207017885568666768816693214236498567469288121373168246316422426687441255339387341428014650896523864472175545890613793210623653604803483921000016530494248725095826191827795609357036232447884182734217156898812619541970945,1952,-576460752303423488,1.1265287809769404
32,2615096670980399106,15048778649098708900024591334476113300977322584816945731700558880122683541322076177782007219047710981075054947716136472064126077643824238840065967471547556631560845937254371164250279660518119161387932318441601269076015902051059415639302737237176005947674459708871461936685990491668258704528004116902095445209142907238410945246315083832742911528263323025464230244084170860858180649908473861473732904002152903343524599316744998729600734613976276435145967459880414992210979426610665493516790262296298203742913223142110136307331732133567798248592543027545063446994685630981451647656652367955517092809805578371072,39354010947578941279721933628237692810264232495703463330968987733557502706147808924237132607209006498171731231031859383002221071092189394249233044295103486583961490070963559716062846970812817233030721906768209632417116359731363084223128726716478795408343940024469652646269886122053299763665758770352933902963730934283003048287969925081879082887602230917172289342172148984219544460570696501878766965338675311930977574249600049476078119103034791917035286990487605321520857961240701911813153863928385955079870171996857132034652597877071315848307533451473308637646237479423311214918186008732896434031375516904066828599051925061631,2079,2305843009213693952,1.1341173967746236
33,-10530681715508641920,10241668035969183036294057212010772785982141606467078592450159594252694763281123428565240037267573057369250046990508676828532836069753497675139271054016925775027599406728982512504417354195289562436059043091250775440900068398600515966180581300383036151028880454615165655983785911867291271128719868953970116790995545602528451377410834541208959796510211257632323529424304573609813831304566203795010013573980225070131958825765932218821444312115676127923986206057638586962156626735652984583822999814438915528422947061513470099680830466329952369729520407857972389388187376958549089573060915209311554626549111573723439290520198993131400642146790658801664,107851746322689979797608003966097762305268753462309295875408131960083418513487891523419338065501956695481657386746405994488417482235570075046448804751163192655910937531493270320214517273359685185794969959734868566326353943049140042393018897642043307231166734083625552065050365358953138050535447552696921926834247020550191233714084467709232498433123046933635626737960508343971292830858766956308386216850820535641118575165330227477170891701858503137278719217848818861703493107669739337305587615474806412305368945124187742170334718265160001572320142381597065298837107010976600463232889905710556270233045813822337119688746544084863883149242889171486263418904703276154881,2210,-9223372036854775808,1.1417387993707848
34,42404939468136009924,111521889295939607392787926600525452471552158103214975277997804990851171448205118342278136317250997256538311482781079175598939676423419841197725874365286767766313548338484531244556576986828102699718717260017569832107202577938711027023719563123716690242396749532245661469399007244792884240625767107404332925546187581145752292958026229012539407221651593036375425556481281306019207401356793393491203248812642353120180184619213823420416678211207797719405151696665965547560029642684207975471619806452603678519733846640624492044682281907398731102990240346678486569974818751738729284939699015305950848384345258666623600737763014761992173313847161982610231276046704252410042941033293104533209088,4729078964966484273362334486766591753094535301522318144040267645817134579387000429076062223835025238133512113676046970984849761511029819543410672246138753072737155788323830477749463958997475293752538225286904802902881326115834186697362988437912069288887910320792234512197212604520518401721906530211854500605425198375133198699608682508321085858796739941516492127168685299722229150677726698062775553922717482505733882234717883681667975195947061473912802735180501434467528541121819766256536092927276623672655958946184066167854818708050890615528681892150686696619926610062569430859444620212089274033576043504207466502646048599984418028031243303657188906547111399041823599295618254227679202449044771007534989311,2345,36893488147419103232,1.1493881873867344
35,-170752133413798578192,19429853415996006997741646256923554390811810167366177575146770565489692595360822769579303252925838872239892269275229122443640130307691372698042674549794176823135230924847822650628208549223236773056516141429955131522023919164647938209028850920881447957151304993557554845348144921166482408567395470272233681586242100010259847808935737448180815010646909985895038340640547946212318635824964939929599163597574116848325997475041232802565365781469903353291107702109636871730351936363405858957098377328529556796593881662958568112593248721962800101992711244779319814286359526113912126703826969126780190664055713036723834700436709427599050288507370613190544965708376734667186987037114922645594551088923802814126315466214271837104595009536,3317688922698700232365434286515938706233017730621767568911012700144509095892237010732092380362140794299988782020707896090311941726646410768125049108796996073575318503519726426446098616545628625440071483397051062186294539856551072327790733334419930886980350979442956693059146787807416532993316597594689877012525162647511823110168947265008765761500609118288040405082727788008908388629226121403231454140418556550591474760393274634469848219387617683392964197499462526713113010398170123640573110874775060040978910309178220976429637417869947355234300801218850471615452783845368757654916447302193420287880522119553428481910065647062489508160428092057660845977767890999766912056004334760027762376064300358082645861198214143838563440991896585223975481638913,2484,-147573952589676412928,1.1570614625235944
36,687550071343671119392,54162526284365847412654465374391316140856490539031695784603920818387206994158534859198999921056719921919057390080263646159280013827605439746262788903057303445505827028395139475207769044924431494861729435113126280837904930462740681717960465867348720992572190569465545299629919823431031092624244463547789635441481391719816441605586788092147886677321398756661624714551726964302217554281789458783416944151200818173737619831692712777345957859118638749932574624890714894471058347305403714989897466986372317128322006263437608667539273610887636907917483237635098393221489465296090105565231380046947786409353071805557802480239523359382296800541125406337321854029481983896049892510285362589803764571952137132336466908364713167673271452306584132940848004906578880254623616568655872,37239448810969200615792377255791418055753694059694378357132506823623339461332661391473122679023115588699044931892509255681906054818094265738435602483461602211935575250524803208741290899326016483371004316183170318648431413519123965725978130916517352636035743225398340153192037536623811480390760302944570605366582050921648112535975906664776447252126642064964220406322492190098008622212383827461524999474723904953714523333405997664306393755959654666229255342277004878795100167584968756890361369330253835124524250554060211342619681179179084865037206077054976864196871608216568657631615153783205451135263058852258259815862464928093007634554569858657078210415220226442646859390441453204971369642103436389998096913652071455108459154362940422503834793913333632254140837812308545457956273551073869823,2627,590295810358705651712,1.1647551266302685
37,-2768407528020951748608,2415729395952720688026951826603551601333797522842726743170363282532947759609194751713259494755479430375836280289543241056260603647921583591805501926736403931727209809735343898883302318616583623472448660943881669856220020470004535258819904323099104938177336014904946355230791931982345059096381119453704548388870704284418506843685863044861230440021528548201542594613282664110677978650344997693489103372091984022263865186199155508475889443470206832723208255008350504341928422632218557366874651891402735194552125140946985185790569448589396823333050273718208591896178973263044776941755507463501946423313495491016820618599698602548272561103089258766161438397658666111992851808118873487272511625549605626061146666185928422038040127775937603800041128865607951312047814033852554349790911331217751671642413817317565350805504,6687723445417018439824110000171804414868463922696658239032330246103147518144493087597607147461754964536002927104839088924062862106486690121401211406908331681442646448766265032504251368739834170971162551969366072729452619036001426978682600551669973251036296476782876620164519538952109443075675097425201200104941565151795837869762507607422465820137802041332949668389877907076037894635529800308921489885413957207930400316137288995330967959034136288276755274173841806488956647959921526340675864983801954725464829652875544934352368893549879331518512651420777074472431159866238292570219632020550070171528516138104971683058548377726049675658792602909077563045240183553330924735955783886021538262324535303786104185892002889425416258586610703388492910687479519940983395480237387865303517275799201206584335491484388300572661403566800250110738433,2774,-2361183241434822606848,1.1724661938302894
38,11146599379258090565440,1723922103287741390071453368315797938046959225045312768763925434978572326548690714659228043230943849369940685855041522537316816722540528303652919280893878179705460398131926746795196373943370365527363351692762034428914391252821267044584016494697477289319534920094022208720662955152475344017537929370959701019847105928458358593599692817211191826638072832418996342612923468005052041343343106533470094409755627992716695604557469276183975663009839796590553697198293836101207100061510670189225023134999917227449086433317175306421514797220282324602437842859494183691746556976693031115951897157884288653959149993807293092810701094816434782944264311932177404948736640295894176950697147890583392216762026452335449584367744402011323448135217479710086880615346676092935928670268258628087565633913603187171737304526142534377144380584281269276238173755917301974363168309248,19215869046396440067295106139280364573954933041043730350829310833246392658801838819326505413535501727562229452807418098485259210032061668820170886031154935037519114484761087642710222635777255837581193483664196582990832307803983829960947394379914583652698489948230879813702841490183520121045663371588430149489851190368766842558201043287833459210858161354031682371923405094901900837809260227196838276608002909476914948829554860774032482501522343351899160603842526701217833042658652923654507403017581148548844598683316082986978454180632843902614119686496818258258594819763188753661984975155968416205396892225132720550558246960754812315004537077130039796390807566930371702755970159333856841532349008393081301889802801250876228435564651009378348316418818447896774367577250831207453293238410389106070781691667174098266057302373521084673363917407307105583569630808778855249835705101189119,2925,9444732965739290427392,1.1801921155094919
39,-44878753588440270458624,19683710754577874830904941012428040234251422331789339452257888466560940809834767180405761085417495353318874388064828878536206146894371789177361319713045573299759349605693520278608373121781770670761995651836110086662951653051098800214609452115339046028692746540970607069191895815227624084859406656085547966537979242775694709662989009691785926437643916430461447646138417605158548831735813820846888647719806556215745572063051658962112710541819756068339401479548458303191787016187536824991526924491959277180428935426891153649341788994949577048363843132746921955288189528193288832164960804092825429594334848018139927587531440218934622520684465020157342017621667762947921546720674571530070585304037939968134887154957473577765129286687875306595957259553953416218298942522725763346602458730258094991952034728010808021995583980256093241268811572055598249796002162750226798385278580664198396381954856304291679830016,883380404660832143854230176807759048083208740624625542506509874695175237897522308783170564524228701845221294369204833156561527365040658060631676876349743461042312377285562516311676924620654354134266453831139400272971310461576781537472245316817608654904557438515466422391809277358625731906733605361145287101247742323795258757211533638093339116016990143488274059669651454001267917072745652822814919254401873940448373698673460542777565160025352204611498430887809477069727267298436621278117632382074030871871180738333170658523294556135156405554876360830073057441719491604607654359711857946816418989505328513122999590114158610178688313076803123965100873738698339717682084727745821094437800766937051639231963070882389756029149606443526380151994641767676760872619962334229146658456988669721381558363488973861610934538624791021146279749145284544190026843015208993446878462482811950048042988129533132332663252832632305675636514681257985,3080,-37778931862957161709568,1.1879307162848771
40,180686074057351798309940,3595971937070433329889467931639889393982940751131125269090745332793341005697495578272166037958619314120904609268408655096150993008535898495947293185236338129887970539484925346334524986854281645509764204925556794322999567669578868542547436926524353410076160075819832641580774782755533950809300472857389298987322689152808078358612790708535417642563265636322081962318981841480175580112854528963682639168207595945203236426371190583974534098706655051701406533533378922874963053385631621540550026026566603901425351378455091732035433239873092798485763066707828192948344242641179635901802524335394752588943751237404843585734770001507331290536885395886917904149685269189115634751630615487975420137868643614281376156758198947878938509058573137018259893879821864683667105398144690967327860179452983112672216384571679629448885003032614802839639545770761354928338118789381761419680640418933357561456904018947627021740330480708341115826088912030496763955650286845952,649742051729667117119542560800810229801847223295013436250113548267421275560484185220205111691718133490217224244467911063607491003090500876321223215920998056066314553124376432000243662045617239932361113647729976348065735766080825781858502354246321407160091564957685084547368129327646256301076227823152364278087574914445052511341543558121611043185740265131540746408376823578371215940648444595097974101950464893002819170483977865051899375655530305334397407156094876080046382256820109357517825630686878040310095311818150587915293840327306823438815015597914152490716098439440872700675883169612879648475900711172651807837616888937247204770005948331875967024173745707981914109553337026117671938214454631424948505713110337517958313417408607901240104756913362381787512565767969562924619864877872541414870649401776744072765847738454951049921850524659638826896306378845149969124505114509484093650980697149122125772598271184543456572420978070417528400801978087939212902693346126730362879,3239,151115727451828646838272,1.195680139348496
41,-727434118710861808627776,10511037747648833807375964227980446845001219312136414557971919721403348752281897905455737919462735423546944182536662064704153963607829519415690865021054297158034984496960855220033307686824006744542373596082351395082670864979654840526871217991174385901000026186534720385698212884526220757201760703768364064444890514400566289413011031384676455588231817225085081648372921391558969490469623984717870371500785398918855203982990908713337748372185704423627770322341926717704953978353709764138110298836991429855395534504549203880045057969334956068971917319701594253915185300634899019949084540490744582619572287847459842271273802947547147891821693243011474805144249820197686520329327396563323889755557605560252815946013003290512302837187859201905176985994113336495692075035559367679630402918224167105142189275149510738812480892407752924918306914500472886833917554875031580462499864906544959472704484493903721569536328770398541866504305277184641095297703354693522344642060637206460029232533992047394275463266304,7646087480697531298245591415051303231044102631318634940657956741519040173795603556546604838539729637594047592955652479427825222190009000362859813542725580341920449784077786656954759582290654336529873829125867027632427374004756256810875327845346814963051047117480866706540608331261476822703640748260704586259588310571954143789478593623896619582789845095695793542949483592237038991823124419234288818236774531794741361313812788867146322974379169860535670545170262666910410144104096537047050470578652436176668874253658097194013772908439370859146755582773224467555164545087460344405933950129128744166803094505831272727549519843734231758123150472319727426044104872783223414819892276635235026423864524865079978776601405733832220476446431953637618994274722843284771446700762493867638633210405173719078685120004041156228319093864401839011041534539838310751167243762422093742338211577309640645021147868092135051834129938546982914591795734464215026214460655771414540294703006325534256107253085652909886289621740985572383120145099259905,3402,-604462909807314587353088,1.2034387998144451
42,2928514828603655182784712,491580764103542290389344003363488311062969810712349922950599774733041575563632045350838283083871987455171335931407342682680717201183371703685174955816593532050173778613198750299409984983114585069503870574316115011832273610552315180593120587012451297348595879648367038580742589916924929458075098309119941596150264781422412791167044744644512096092893664088575496131199113239879791394700259830388709521310004694953161827594685985046611263824408277271440340445151941401762175596309439311534804991519681288440882037066695104175933148121875339324910503310089608103880047567773082849318342395952108111196228471393174721112896352782400967939746829014435634293038974558987792428521448420075385030683955244112860897403710788795703260001867255101895634186646659237618203276865199656402546057935845979230559646064581353308805843310002383509210463719836898912777400961330646465730432059223747226730680060410613651809943713333186362580641534580104154278272333152706344741470433854227018577102016581210085064981107523450403116588706337588967284774946664250005782528,1439601557133539000738648019753752575739581592524429286182403260289311812342623166486643950002162050115208519202960118607087027437996678462460286919419869342055335887784063045945425746051591698721659405493333272691807968936568842799113133504204059270807737084772763744088749220410726529471051292127056956679184755276921300986245561349121542036146200451038286035468955914715532641338090275209928470885219746602775459966033639269910995671853242257960418030627772431295834285199262086571761521308207471054556689606209829523075272949332144615517980387387044147622614599325292229638605892948035489725318308879510892184539325147225465904193040784817982846535316571313936209775769537192577703449261339751104666969111025108293004923812702076985434410405018956259492421644666197560234275285465532981542474325369903611938086136674449837285688139729463227728987799008587149508159770353899172900270279232368106918537874592621567228925778071291156261775412612573085773931949213486090593271935836285871691349510786237898043809648916495226399936456708364230259386837439406133942797715111935,3569,2417851639229258349412352,1.2112053448974982
43,-11789237817466849302438816,367844398908264142990036465664553756470978741336772183990252469985116790084866593143660130415713409183812212713134815009978075580954106609326754605023865883674688502213432220921150074550092018349759290665177215923859198271113837480218549232551336654543192696348989319391577493754099532532653061708913918693724812072925979619527783402590143217864230118594918311256550354638222066553754673117821805283150176087978666371342065227370190893325903897504206742238357235001049250676600379053905729968346291787626219959932588128528150549014819616728122147320182540486186992514760149266312633780466062945208742835556107233337251927230565848067267685259154599689475712193294065701952995385700304886514774956940880359650419712141153816545014851240646071985236336300956046527797456085029744006846598614886931105467635641416030446372224380766031818794682452680362981675349710112970764712139502422084623661664274059919326802325862611339522172394758789160142070200941944520596328434213879066950396848231860073324444761153579295034732145164444908931565185724241800315247098130310057213091052190150683027607485400743936,4336605098552669049399582040159434737337430769437546994061046026913498251936354230997780422422196991130527181042141950303539015533102753183814828678155997186512767245882977598186279431166952266355533976273131814815556524694003628575777809775989103706027682292087454698442326079056402622532120458340156930796541871128466071214140429589636510099320148840660551907015225067944175890322476290373642092492470133022295878049232799077967720355149843743133918422297430647194802839345046806119054455974972698438841210229528972137801313074309455482331317663624259646824225296025522642197959337999293040013395757421633633335008362675210754918873172555854128803204541673641992750975876101733035960064221491992240050259679086508970021378546866528204462827403199171299125601611733371398451520099158784436688257298195193186658795211157100235259547947862839923429963279795593681420984246498757141979205077966605196741283188227088657034603548068247462708613457133884969525881971819787246320642381794205638855954551886241466207336149709295237193423846074154505495795809249968472526697998802885811106868320887402722860773637382815115945523019777,3740,-9671406556917033397649408,1.2189786199231933
44,47457887506497930709959920,4404061727026625272643299846929312821753649825451914258543024867262843878884261054176279347301776450108387713042181203704804678702655605245698511838941051608370327217983502970549415627959228903130683903343695625529688071701955597331105343573818084107471266915710709745043740181506958960032436024829153084161149514140921445981425264894153533791111549047105111940088230946718572312225319047498868108250479642899625547249648962922902857310134797970999619797824836946038303547079212232001510095013028007427782255778252549428081360703769955920286223078103331134055778632239146163353933326029897908435489045216423320027420377170313091630440527793656426072806659734368002835064481033304034931256044387538055606643821563006541325891194259445242741188274491352695102192078338763983208407795456098765891707598537976677142042555961972798500243515214455891016176580417743334822132949508702760493761586376131852879679255152649528532407655182685918972346720342213254697472517785405888678094815305572936839430045443123913999924743423236293220260798998739900703004493689130512669642442594145464222950624056261634439617925233381404197282512436789543776652351007895846912,209007466012902579638367982317090342157265003656496453939075035064131966151951389075586936089744473460712810448412338469080316240743761138643950078127141565183039084220468745766270365573243434453934982022149861015032258096099347085296486991015475650950292273273132702548615658063421143164430034815918783515127441805766304690948501170017979001156690016687575389082121796931067522045900314466428567758705937697187244423548405963773428016615545760371251170362357772670861714859044293685022294678005916597358406684167506701822951235379365841859439051053298663431099853162019061032043178780683771555291630465043885086848094461590345706602699473175467209881785844737781902769643393265605729646509025185694008927708666868284642905551254849545349542187978435189232361836138096435082292990622310566104428086037549408521774207252171390600577069041568604459784444243684597704430928714722602805908189809117877528021563940572351054361952168569935030170832859349979485688534843917984332173082874448553096217919040996037827041149564740462411069750373128404978715139372749749836683641637225216961232176243599202114464304419917037915718794337975600039157437027957964882160256049902547001975767039,3915,38685626227668133590597632,1.2267576393155513
45,-191036053694460465486742656,843650619795803584066489468311418472437772263099694572219394208154724433992214051269104135883015810121020208414765876674460596332431397202030787996960779778466859164440760893205054121137407611522341539387151968927285259736922613272039680594235046972551106469040260986448988218789320037507227625426214632735412726400500915947038009613484102687237727062220297773364487664960392060470937456759978835281839694944306981567648899483853891443438893007378137652219274838295347166253830052921216463562794404408742596213279157158792001129174814062874064183972301934956468751147220693872363637710205100404509188609296248599758516918070952716429624008932261596504964352943870452094191879345308111924908074696271229064227573879965482606696351530150411477649445063041336398641111116838622654279690809215844758638569855934030277939088364906628350252729999162984240945461626593669533720906340514215485229039669792190417862021605587133979105058024069817496918492737283638478149059133870008252371790852606628840952141351759170620168122417127082121029080240514777831131229103627556937654733115978461497760814883280674536910173248382543825067286017161961440608985389526495202947998684453937859555546967214240292845242300760064,161167685102675984794888543047218441049794102836095868380456819622671681856820079050931501338409859076103415888073680917385999482329221798644206031132680553273759221211942792983740971480308157892196263340977736173665315612560548701781229716018780062323154430312526843399593602011173599196506188941295963273240271213288378512115876423423125642965265205165498160043660751678571414178380071968299236578168801754106513974378135452826820629920941320936986369674847416535424574246067219041765231884759964451699203284132800986212881700178910992939453879336344357889069860328424181211616645967505090248663910083326642534226696790599700061813005832707975750423419553891632594634851060253093524872630955479615347590391199543368948727032629499586829694752949506488599169037248747827831220610444124504736841301178346630879316870322527510511799407819974166833031036509695205540509676226404592946455774181479389012559276823854293106385054412656233741842706599612284839667663020387487561355228469000240373739296771551782446732970129350327759019801060273076851028501222954480103067503787607426774785343286922927680105544777366345853901309906423117684564568078382212269753054999427350130143676197893456394334538682207711488908972606933305264370089985,4094,-154742504910672534362390528,1.2345415618335696
