n,decimal_digits_Dn,log_Dn,root_Dn,root_norm,normalized_norm,linear_log_remainder
31,916,2107.9722315011016675598904160122694106364170274786,8.9667159273086265290390461314678820248612256036439,8.4297692467529254278452390855822399049685166109611,0.6308441301107931792189436437067238502548009631864,-0.45529534069398589288112440433948904921067382235064
32,975,2244.4204382521213381845803522487147156141494601296,8.9514616717408880074269272496081494515731778371944,8.4317406245870034539462600534925132565416690034348,0.63090977479555551729191024727232082004944030174459,-0.45546087424449709089897487332059643579198383370917
33,1036,2385.1471631520879554585735887718147584613053914715,8.9371592433245365415914947511787836922149413110074,8.433594749462757083731759696822481590812193967623,0.63098433698296895368011793787489939869768837866196,-0.45561279439708689251842973288923956653502606855597
34,1099,2530.152418473699032238997870261271442820493867611,8.9237223626099192315508535575317719660948973315904,8.435341703034205739611434690909314833206097627787,0.63106665282490723545177458482108043838952375864975,-0.45575194137223327809441375211999165099585220991238
35,1164,2679.4362146179675358768452817539422778395742150788,8.9110748566825636240639703638907604825228373362229,8.4369904157451037012017158111104907189238524387072,0.63115554402831889779180292905595284956865076007192,-0.45587911284191804468802200198874308891695716491446
36,1231,2832.9985601064357366543437909646582376879899923547,8.8991492216386142248323238961675285993173790737844,8.4385488279359292624696041781446348026074562426251,0.63124982695199031478045678203508859895137421865234,-0.45599507005542215270812002675257798502544107465618
37,1299,2990.8394615890477718648550790111979166027406093562,8.8878854237012654849877125381633183345587158545227,8.4400240250222611931292306715062976174056747924365,0.63134832237689592863590433079400947728051518364054,-0.45610054254854032329954159823679783630612699908721
38,1370,3152.9589238682711858759945947052239536482345468903,8.8772298940135649803200761697981127722289778720505,8.4414223514587308089943485511833374794464316507123,0.6314498656804830410267426963132027146663552905881,-0.4561962316816308050062493624460396446030916000222
39,1442,3319.3569499396452393293754870341223827128680751422,8.8671346815680272803490622881110314782882392157381,8.4427495072405281680216959467172179569807324736828,0.63155331715577428888018214266169909079609206100952,-0.45628281321215058308570466385309572377671676939628
40,1516,3490.0335410485439359414667753925210545812294382382,8.8575567359931640459945241024956448383136891443348,8.4440106299485379685666708256187836545221965378441,0.6316575722291216089854828597488861612145962188358,-0.45636093907594236739822595230243373389654686141219
41,1592,3664.9886967625796459944330082544830894231680803229,8.8484572975502806699567628228066541226091410012994,8.4452103647620962534086893519066413467821449598302,0.63176157134666040301965519329142610829204915743726,-0.45643123852636746767884380254551791977506824406193
42,1670,3844.2224150587444744835348213793453893176018323064,8.8398013760957261571145154846219227072698994544784,8.4463529244062344163471015748820318266134920358064,0.63186430931933099024707450029725508331549048629304,-0.45649431875980671861410760875572588602671175586802
43,1750,4027.7346924240964495498287645735134609343053226671,8.8315573042262036762172428790473116633424490447457,8.4474421406391041017998972819476273248296252573597,0.63196484393967353495728981967918073924570322635486,-0.45655076513888638548261068083289767890975658599453
44,1831,4215.5255239685507575605505427970124247996290339541,8.823696352565353828569235035311488113807452388953,8.4484815085982313154330853589525820813043260214607,0.63206230371004121960719702545837727859292247714328,-0.45660114111014947703354795610371484373682349571564
45,1915,4407.594903548136054354601439911619012871136110071,8.8161923973320226575722970907533334875701128863435,8.4494742250947921586018526106651623300969058947018,0.63215589455073709969324209736090153430886625672897,-0.45664598790014696853472862409356253443246337075289
46,2000,4603.9428238969243850428756354795691918558092637535,8.8090216320780379860651694125422730452796903406517,8.4504232217606201455914123457105937870335194581156,0.63224490538701071303684136452199937514620098401555,-0.45668582406261259236126334261998296220127552346393
47,2087,4804.5692767657409906323248199099208266052108085044,8.8021623168901036763501799331915480574181665482265,8.4513311938034647024749162368267618841549985269643,0.63232871254490320195249605827109474494860841621418,-0.45672114493919219098277439762621904060109335096109
48,2176,5009.4742530657063005065609430522140708163388185955,8.7955945594887840529492781108154605249260417352949,8.4522006250046535590756088227305524114814127174765,0.63240678291663432317645252484507909840016962911839,-0.45675242208691136214932681288352908944668578456872
49,2267,5218.6577430146543180295282047815836911228006675967,8.7893001235832027005282092180821648791084274143905,8.4530338094939803985399241348913868521295127583043,0.63247867588565430621251994246685005435188770624904,-0.45678010271704720623685275255746436292285491840874
50,2360,5432.1197362845057684118198203779398186005382126446,8.7832622605962692852082452445669467423399326474929,8.4538328707548404661850461970778757604211805933798,0.63254404402880868481556176734220735788457391122501,-0.45680460918224021865822949958482472603292900773473
51,2454,5649.8602221477461456040207966212325557079797258607,8.7774655614957406461456571307227414902836331616529,8.4545997782448563247289371501795108599713319365361,0.63260263263759465953392379134263571404046056019136,-0.45682633854149695910783824608305375275082987631256
52,2551,5871.8791896212627759869718873198194114241433846102,8.7718958259777259094325260554375246294812520293813,8.455336361960722822023840012117968434412597021744,0.63265427812169962226039301037870169386189198604399,-0.45684566222617285902942034192195692442575641446782
53,2649,6098.1766276059253592577983443339308417817859148267,8.7665399466722796567212806962683811077542371328973,8.4560443252285963230704741964413710704574004258439,0.63269890537556292698426958514298028031288601934059,-0.45686292582408004718634990204016672280058026480019
54,2749,6328.7525250204451209291197545411816571009955826203,8.7613858063920858430959982738345279661612437882084,8.4567252559613608276414928312428347781769456379804,0.63273652420242867417525180176946078391719242624123,-0.45687844899353483140593008809596592194589479681413
55,2851,6563.6068709282127676494772824456856507645037674611,8.7564221867381442382400232157736207695797463208821,8.4573806365901840706412920620916426394465508530616,0.63276722490026867855242279660124720248316431541295,-0.45689252551443994920217696587250794758819361932817
56,2955,6802.7396546559892355618763877710870266839663122341,8.7516386866214217632653907081797120111002657347333,8.4580118528488709731673972230685896621994746377615,0.63279117312021064913063269232129798123154581141205,-0.45690542347937955872267161039110650702842680811684
57,3061,7046.150865903500614744658417154539366659532705319,8.7470256494651423152778044078491232872393349767603,8.4586202015647884509392511894155651857370844195701,0.63280860411099218069888777801427137829975140418513,-0.45691738562417482569523700520650280374829100391047
58,3168,7293.8404948431651002571753819148167549539677016771,8.7425740980256424270329116140165773583238064999553,8.4592068975889024693444399363897181960040078134193,0.63281981646285775417017198450457300712454670126317,-0.45692862979438157715938653704861963990979227597502
