matrix_order,m,r,C_mr,D_rm
9,6,6,676039/1024,1024/676039
9,7,0,940994212343/583710208856775,0
9,7,1,-761962882/3958779825,0
9,7,2,1175239/331452,0
9,7,3,2717/648,0
9,7,4,3926065/896,0
9,7,5,7436429/384,0
9,7,6,16900975/1024,0
9,7,7,5014575/2048,2048/5014575
9,8,0,-144048691053129139/191267242687143748125,0
9,8,1,18626224060786/194570069618925,0
9,8,2,-8749025969/4318668900,0
9,8,3,902291/106920,0
9,8,4,902807477/120960,0
9,8,5,1983401849/24192,0
9,8,6,511761523/3072,0
9,8,7,177738825/2048,0
9,8,8,300540195/32768,32768/300540195
9,9,0,6628725909429910867663/50139368799735923564731875,0
9,9,1,-352166132379256883/25502299024952499750,0
9,9,2,1733576873881/1931216571900,0
9,9,3,-644445211/9950850,0
9,9,4,4034254211/362880,0
9,9,5,180329591299/725760,0
9,9,6,29124822467/27648,0
9,9,7,634473745/512,0
9,9,8,14325749295/32768,0
9,9,9,2268783825/65536,65536/2268783825
10,0,0,1,1
10,1,0,-1/3,0
10,1,1,3/2,2/3
10,2,0,11/135,0
10,2,1,-5/6,0
10,2,2,35/8,8/35
10,3,0,11/2835,0
10,3,1,-7/15,0
10,3,2,35/8,0
10,3,3,231/16,16/231
10,4,0,-7291/722925,0
10,4,1,389/945,0
10,4,2,-77/24,0
10,4,3,1001/16,0
10,4,4,6435/128,128/6435
10,5,0,99137/26101845,0
10,5,1,-8899/85050,0
10,5,2,-7865/4536,0
10,5,3,4004/45,0
10,5,4,60775/128,0
10,5,5,46189/256,256/46189
10,6,0,-5726162257/2672176381875,0
10,6,1,16326089/87006150,0
10,6,2,-101101/24300,0
10,6,3,75361/810,0
10,6,4,3371797/1920,0
10,6,5,2263261/768,0
10,6,6,676039/1024,1024/676039
10,7,0,940994212343/583710208856775,0
10,7,1,-761962882/3958779825,0
10,7,2,1175239/331452,0
10,7,3,2717/648,0
10,7,4,3926065/896,0
10,7,5,7436429/384,0
10,7,6,16900975/1024,0
10,7,7,5014575/2048,2048/5014575
10,8,0,-144048691053129139/191267242687143748125,0
10,8,1,18626224060786/194570069618925,0
10,8,2,-8749025969/4318668900,0
10,8,3,902291/106920,0
10,8,4,902807477/120960,0
10,8,5,1983401849/24192,0
10,8,6,511761523/3072,0
10,8,7,177738825/2048,0
10,8,8,300540195/32768,32768/300540195
10,9,0,6628725909429910867663/50139368799735923564731875,0
10,9,1,-352166132379256883/25502299024952499750,0
10,9,2,1733576873881/1931216571900,0
10,9,3,-644445211/9950850,0
10,9,4,4034254211/362880,0
10,9,5,180329591299/725760,0
10,9,6,29124822467/27648,0
10,9,7,634473745/512,0
10,9,8,14325749295/32768,0
10,9,9,2268783825/65536,65536/2268783825
10,10,0,190920333865973179103798951/1695964149651067614577055671875,0
10,10,1,-349191617605904987521/8626127965545965344470,0
10,10,2,8201052496357697/3287331897129000,0
10,10,3,-1681650144479/16302477555,0
10,10,4,1545401248789/114307200,0
10,10,5,38085520577/62208,0
10,10,6,493290961553/103680,0
10,10,7,350797194275/32256,0
10,10,8,274099336511/32768,0
10,10,9,139908335875/65536,0
10,10,10,34461632205/262144,262144/34461632205
11,0,0,1,1
11,1,0,-1/3,0
11,1,1,3/2,2/3
11,2,0,11/135,0
11,2,1,-5/6,0
11,2,2,35/8,8/35
11,3,0,11/2835,0
11,3,1,-7/15,0
11,3,2,35/8,0
11,3,3,231/16,16/231
11,4,0,-7291/722925,0
11,4,1,389/945,0
11,4,2,-77/24,0
11,4,3,1001/16,0
11,4,4,6435/128,128/6435
11,5,0,99137/26101845,0
11,5,1,-8899/85050,0
11,5,2,-7865/4536,0
11,5,3,4004/45,0
11,5,4,60775/128,0
11,5,5,46189/256,256/46189
11,6,0,-5726162257/2672176381875,0
11,6,1,16326089/87006150,0
11,6,2,-101101/24300,0
11,6,3,75361/810,0
11,6,4,3371797/1920,0
11,6,5,2263261/768,0
11,6,6,676039/1024,1024/676039
11,7,0,940994212343/583710208856775,0
11,7,1,-761962882/3958779825,0
11,7,2,1175239/331452,0
11,7,3,2717/648,0
11,7,4,3926065/896,0
11,7,5,7436429/384,0
11,7,6,16900975/1024,0
11,7,7,5014575/2048,2048/5014575
11,8,0,-144048691053129139/191267242687143748125,0
11,8,1,18626224060786/194570069618925,0
11,8,2,-8749025969/4318668900,0
11,8,3,902291/106920,0
11,8,4,902807477/120960,0
11,8,5,1983401849/24192,0
11,8,6,511761523/3072,0
11,8,7,177738825/2048,0
11,8,8,300540195/32768,32768/300540195
11,9,0,6628725909429910867663/50139368799735923564731875,0
11,9,1,-352166132379256883/25502299024952499750,0
11,9,2,1733576873881/1931216571900,0
11,9,3,-644445211/9950850,0
11,9,4,4034254211/362880,0
11,9,5,180329591299/725760,0
11,9,6,29124822467/27648,0
11,9,7,634473745/512,0
11,9,8,14325749295/32768,0
11,9,9,2268783825/65536,65536/2268783825
11,10,0,190920333865973179103798951/1695964149651067614577055671875,0
11,10,1,-349191617605904987521/8626127965545965344470,0
11,10,2,8201052496357697/3287331897129000,0
11,10,3,-1681650144479/16302477555,0
11,10,4,1545401248789/114307200,0
11,10,5,38085520577/62208,0
11,10,6,493290961553/103680,0
11,10,7,350797194275/32256,0
11,10,8,274099336511/32768,0
11,10,9,139908335875/65536,0
11,10,10,34461632205/262144,262144/34461632205
11,11,0,-45956358119729097218525273579033/520491769812725988952930853832609375,0
11,11,1,1213882755024941247545314759/41364979259782136940903796875,0
11,11,2,-23410341668085375405953/13838707966116521943000,0
11,11,3,111154176817047211/98619956913870000,0
11,11,4,1688173809080671/130653129600,0
11,11,5,1643621739394279/1285956000,0
11,11,6,174689802926171/10264320,0
11,11,7,49052718213389/725760,0
11,11,8,600701956465127/6193152,0
11,11,9,15525348215377/294912,0
11,11,10,2668861960765/262144,0
11,11,11,263012370465/524288,524288/263012370465
12,0,0,1,1
12,1,0,-1/3,0
12,1,1,3/2,2/3
12,2,0,11/135,0
12,2,1,-5/6,0
12,2,2,35/8,8/35
12,3,0,11/2835,0
12,3,1,-7/15,0
12,3,2,35/8,0
12,3,3,231/16,16/231
12,4,0,-7291/722925,0
12,4,1,389/945,0
12,4,2,-77/24,0
12,4,3,1001/16,0
12,4,4,6435/128,128/6435
12,5,0,99137/26101845,0
12,5,1,-8899/85050,0
12,5,2,-7865/4536,0
12,5,3,4004/45,0
12,5,4,60775/128,0
12,5,5,46189/256,256/46189
12,6,0,-5726162257/2672176381875,0
12,6,1,16326089/87006150,0
12,6,2,-101101/24300,0
12,6,3,75361/810,0
12,6,4,3371797/1920,0
12,6,5,2263261/768,0
12,6,6,676039/1024,1024/676039
12,7,0,940994212343/583710208856775,0
12,7,1,-761962882/3958779825,0
12,7,2,1175239/331452,0
12,7,3,2717/648,0
12,7,4,3926065/896,0
12,7,5,7436429/384,0
12,7,6,16900975/1024,0
12,7,7,5014575/2048,2048/5014575
12,8,0,-144048691053129139/191267242687143748125,0
12,8,1,18626224060786/194570069618925,0
12,8,2,-8749025969/4318668900,0
12,8,3,902291/106920,0
12,8,4,902807477/120960,0
12,8,5,1983401849/24192,0
12,8,6,511761523/3072,0
12,8,7,177738825/2048,0
12,8,8,300540195/32768,32768/300540195
12,9,0,6628725909429910867663/50139368799735923564731875,0
12,9,1,-352166132379256883/25502299024952499750,0
12,9,2,1733576873881/1931216571900,0
12,9,3,-644445211/9950850,0
12,9,4,4034254211/362880,0
12,9,5,180329591299/725760,0
12,9,6,29124822467/27648,0
12,9,7,634473745/512,0
12,9,8,14325749295/32768,0
12,9,9,2268783825/65536,65536/2268783825
12,10,0,190920333865973179103798951/1695964149651067614577055671875,0
12,10,1,-349191617605904987521/8626127965545965344470,0
12,10,2,8201052496357697/3287331897129000,0
12,10,3,-1681650144479/16302477555,0
12,10,4,1545401248789/114307200,0
12,10,5,38085520577/62208,0
12,10,6,493290961553/103680,0
12,10,7,350797194275/32256,0
12,10,8,274099336511/32768,0
12,10,9,139908335875/65536,0
12,10,10,34461632205/262144,262144/34461632205
12,11,0,-45956358119729097218525273579033/520491769812725988952930853832609375,0
12,11,1,1213882755024941247545314759/41364979259782136940903796875,0
12,11,2,-23410341668085375405953/13838707966116521943000,0
12,11,3,111154176817047211/98619956913870000,0
12,11,4,1688173809080671/130653129600,0
12,11,5,1643621739394279/1285956000,0
12,11,6,174689802926171/10264320,0
12,11,7,49052718213389/725760,0
12,11,8,600701956465127/6193152,0
12,11,9,15525348215377/294912,0
12,11,10,2668861960765/262144,0
12,11,11,263012370465/524288,524288/263012370465
12,12,0,-288790922470991027558048162741110956139/20375605431716765189752206901394276822578125,0
12,12,1,142226916845578937073679011841621/11566483773616133087842907862946875,0
12,12,2,-97830529432974941952517307/89317094218153062220575000,0
12,12,3,-1165510246044364375199/280570107840168006000,0
12,12,4,17565994541076155467/1427058808056000,0
12,12,5,75439918942077247/32663282400,0
12,12,6,384005038227439471/7544275200,0
12,12,7,130669077279029/399168,0
12,12,8,24447118754703359/30965760,0
12,12,9,4819852564084415/6193152,0
12,12,10,82357940271607/262144,0
12,12,11,24986175194175/524288,0
12,12,12,8061900920775/4194304,4194304/8061900920775
