base_q,length_k,T_q_k
7,60,31549049737920512
7,61,58112808641953792
7,62,107715193495191552
7,63,198409539412951040
7,64,367762674504925184
7,65,677412540367896576
7,66,1255620311029317632
7,67,2312831082645684224
7,68,4286955895107420160
7,69,7896499249846943744
7,70,14636582958371045376
7,71,26960334834096406528
7,72,49972420043269341184
7,73,92048340836691738624
7,74,170616514256335273984
7,75,314272693678574141440
7,76,582521216938802413568
7,77,1072994093040913088512
7,78,1988851839242539106304
7,79,3663430984806504071168
7,80,6790364923092551598080
7,81,12507735753144190107648
7,82,23183756013885128179712
7,83,42704081042963752288256
7,84,79154294209355409522688
7,85,145800852665566628937728
7,86,270249664809651381731328
7,87,497795248576339011174400
7,88,922690070819894707879936
7,89,1699579288974222786822144
7,90,3150260953660276068057088
7,91,5802726658744213124939776
7,92,10755663673001314856468480
7,93,19811748057028406926114816
7,94,36722132784684707289759744
7,95,67641538910625201454579712
7,96,125377203792736199446102016
7,97,230942659528443991966089216
7,98,428064549601575383204888576
7,99,788487560292525564955197440
7,100,1461503790820829133927350272
8,1,7
8,2,13
8,3,24
8,4,45
8,5,84
8,6,158
8,7,296
8,8,557
8,9,1045
8,10,1966
8,11,3691
8,12,6942
8,13,13038
8,14,24516
8,15,46055
8,16,86585
8,17,162680
8,18,305809
8,19,574624
8,20,1080106
8,21,2029680
8,22,3814941
8,23,7169145
8,24,13474502
8,25,25322375
8,26,47592650
8,27,89441626
8,28,168100324
8,29,315917527
8,30,593742597
8,31,1115852904
8,32,2097145317
8,33,3941301308
8,34,7407288854
8,35,13921049240
8,36,26163167869
8,37,49170436573
8,38,92410552846
8,39,173674477587
8,40,326402095110
8,41,613433985606
8,42,1152880762916
8,43,2166704051927
8,44,4072076274353
8,45,7652992918696
8,46,14382932874985
8,47,27031055030440
8,48,50801791543650
8,49,95476097966304
8,50,179436429661389
8,51,337230085442561
8,52,633785386950470
8,53,1191126685989071
8,54,2238586246293970
8,55,4207165444917682
8,56,7906885424870980
8,57,14860082581047015
8,58,27927821719530621
8,59,52487133168012024
8,60,98643547739638877
8,61,185389221223566692
8,62,348417776386928654
8,63,654811211410338952
8,64,1230642550384352653
8,65,2312851410617945509
8,66,4346738862563396910
8,67,8169196782238189179
8,68,15353067998308136238
8,69,28854329209277964446
8,70,54228400777162597892
8,71,101916055626142029575
8,72,191539531540765758121
8,73,359976567655588686616
8,74,676534650248439303937
8,75,1271469234507531817968
8,76,2389580518400906598426
8,77,4490942353771034757840
8,78,8440210789710251613245
8,79,15862407579714010871945
8,80,29811574722901789597574
8,81,56027433528852284229079
8,82,105297131748419379664666
8,83,197893875309458642284810
8,84,371918828774110423223076
8,85,698978757676795306519095
8,86,1313650361631789911954037
8,87,2468855101804496342780360
8,88,4639929842572165042381205
8,89,8720215667045278940295116
8,90,16388644629520991469923974
8,91,30800576843708001863266552
8,92,57886149555608253350067037
8,93,108790375160644997059723629
8,94,204459025510532761913467662
8,95,384257275037543244529237923
