n,A_n
266,36343031446365
267,37167404351056
268,38007301509451
269,38862955923300
270,39734603224201
271,40622481643876
272,41526832081695
273,42447898125856
274,43385926022779
275,44341164745932
276,45313866017239
277,46304284275592
278,47312676746979
279,48339303466132
280,49384427244133
281,50448313739868
282,51531231481903
283,52633451835184
284,53755249073817
285,54896900403184
286,56058685925713
287,57240888715008
288,58443794838193
289,59667693320752
290,60912876222009
291,62179638657712
292,63468278763919
293,64779097773852
294,66112400040709
295,67468493000596
296,68847687250755
297,70250296572616
298,71676637893751
299,73127031367500
300,74601800396251
301,76101271592416
302,77625774859455
303,79175643415396
304,80751213752809
305,82352825721252
306,83980822551019
307,85635550812112
308,87317360498109
309,89026605050152
310,90763641314893
311,92528829629808
312,94322533847413
313,96145121292184
314,97996962847317
315,99878432979184
316,101789909693203
317,103731774622068
318,105704413050433
319,107708213869732
320,109743569667879
321,111810876754192
322,113910535113139
323,116042948495532
324,118208524443679
325,120407674244056
326,122640813019995
327,124908359757076
328,127210737254701
329,129548372220300
330,131921695294951
331,134331141003856
332,136777147852065
333,139260158350336
334,141780618964489
335,144338980212672
336,146935696691449
337,149571227024032
338,152246033959089
339,154960584397072
340,157715349337303
341,160510803978348
342,163347427744573
343,166225704232084
344,169146121310667
345,172109171150584
346,175115350167343
347,178165159125228
348,181259103164323
349,184397691744112
350,187581438748599
351,190810862513572
352,194086485769009
353,197408835745812
354,200778444203299
355,204195847370416
356,207661586054085
357,211176205666936
358,214740256167301
359,218354292169200
360,222018872970301
361,225734562490696
362,229501929384525
363,233321547068176
364,237193993657819
365,241119852082692
366,245099710113529
367,249134160298852
368,253223800079919
369,257369231819392
370,261571062736363
371,265829905022988
372,270146375873383
373,274521097417384
374,278954696838867
375,283447806404884
376,288001063398133
377,292615110236988
378,297290594504863
379,302028168881392
380,306828491264169
381,311692224798352
382,316620037806529
383,321612603912192
384,326670602069569
385,331794716492176
386,336985636778025
387,342244057939696
388,347570680331551
389,352966209776700
390,358431357597301
391,363966840540436
392,369573380906835
393,375251706581416
394,381002550957799
395,386826653068812
396,392724757617259
397,398697614899072
398,404745980935599
399,410870617504612
400,417072292062073
401,423351777876228
402,429709854058843
403,436147305485584
404,442664922931917
405,449263503104584
406,455943848560573
407,462706767844848
408,469553075522053
409,476483592094072
410,483499144139589
411,490600564346032
412,497788691425699
413,505064370257172
414,512428451917489
415,519881793596836
416,527425258741815
417,535059717087856
418,542786044572451
419,550605123480300
420,558517842475951
421,566525096515576
422,574627786993995
423,582826821777556
424,591123115114429
425,599517587783532
426,608011167127639
427,616604786962192
428,625299387726129
429,634095916515232
430,642995326989433
431,651998579525568
432,661106641250953
433,670320485949184
434,679641094214817
435,689069453487184
436,698606557954663
437,708253408711308
438,718011013790893
439,727880388069652
440,737862553424859
441,747958538769112
442,758169379951519
443,768496119918252
444,778939808747059
445,789501503546896
446,800182268620455
447,810983175498916
448,821905302840001
449,832949736592500
450,844117570031251
451,855409903653616
452,866827845346005
453,878372510419096
454,890045021502709
455,901846508714352
456,913778109694669
457,925840969500712
458,938036240776509
459,950365083788752
460,962828666318443
461,975428163833508
462,988164759524713
463,1001039644195684
464,1014054016437567
465,1027209082665184
466,1040506057005403
467,1053946161473868
468,1067530626011383
469,1081260688370632
470,1095137594294979
471,1109162597555092
472,1123336959833989
473,1137661950907932
474,1152138848683279
475,1166768939079856
476,1181553516213945
477,1196493882435376
478,1211591348209201
479,1226847232300800
480,1242262861813201
481,1257839572067056
482,1273578706787865
483,1289481618143536
484,1305549666622639
485,1321784221223772
486,1338186659493349
487,1354758367402132
488,1371500739536739
489,1388415179137672
490,1405503097974103
491,1422765916537548
492,1440205064080123
493,1457821978487584
494,1475618106475167
495,1493594903626084
496,1511753834262793
497,1530096371645028
498,1548623998008523
499,1567338204434512
500,1586240491049949
501,1605332367066472
502,1624615350648109
503,1644090969113712
504,1663760758976149
505,1683626265808216
506,1703689044447285
507,1723950659034736
508,1744412682880051
509,1765076698667700
510,1785944298496801
511,1807017083743396
512,1828296665269575
513,1849784663463376
514,1871482708099219
515,1893392438549292
516,1915515503823679
517,1937853562428952
518,1960408282581819
519,1983181342249492
520,2006174429006413
521,2029389240250188
522,2052827483242183
523,2076490874962384
524,2100381142327617
525,2124500022232384
526,2148849261401833
527,2173430616612288
528,2198245854732313
529,2223296752573792
530,2248585097114769
531,2274112685540752
532,2299881325093879
533,2325892833298092
534,2352149038000669
535,2378651777219476
536,2405402899370475
537,2432404263309496
538,2459657738177551
539,2487165203630700
540,2514928549882051
541,2542949677545136
542,2571230497866135
543,2599772932766116
544,2628578914682449
545,2657650386803412
546,2686989303110659
547,2716597628218672
548,2746477337611749
549,2776630417686712
550,2807058865590373
551,2837764689458928
552,2868749908460893
553,2900016552632584
554,2931566663119917
555,2963402292221584
556,2995525503222523
557,3027938370638148
558,3060642980257753
559,3093641428975972
560,3126935825039439
561,3160528288090432
562,3194420948996299
563,3228615950098572
564,3263115445256839
565,3297921599676136
566,3333036590158515
567,3368462605147156
568,3404201844551701
569,3440256520002300
570,3476628854893951
571,3513321084209776
572,3550335454777545
573,3587674225314256
574,3625339666247329
575,3663334059973632
576,3701659700904289
577,3740318895283792
578,3779313961451529
579,3818647229886832
580,3858321043025983
581,3898337755526268
582,3938699734311253
583,3979409358385684
584,4020469019102067
585,4061881120206184
586,4103648077649863
587,4145772319860108
588,4188256287784843
589,4231102434703552
590,4274313226498959
591,4317891141703012
592,4361838671305369
593,4406158319027652
594,4450852601369659
595,4495924047415696
596,4541375199111405
597,4587208611310216
598,4633426851577501
599,4680032500470000
600,4727028151582501
601,4774416411349816
602,4822199899328805
603,4870381248245296
604,4918963103793859
605,4967948124922452
606,5017338983879569
607,5067138366011812
608,5117348970051159
609,5167973508162352
610,5219014705738243
611,5270475301689708
612,5322358048493263
613,5374665711984184
614,5427401071649067
615,5480566920673684
616,5534166065733853
617,5588201327290668
618,5642675539638583
619,5697591550694032
620,5752952222293329
621,5808760430240992
622,5865019064096089
623,5921731027472832
624,5978899238089129
625,6036526627550656
626,6094616141654145
627,6153170740436176
628,6212193397954951
629,6271687102596300
630,6331654857122701
631,6392099678452756
632,6453024597969915
633,6514432661571736
634,6576326929447039
635,6638710476387372
636,6701586391836499
637,6764957779665232
638,6828827758485639
639,6893199461700772
640,6958076037277153
641,7023460648061748
642,7089356471831923
643,7155766701065584
644,7222694543260917
645,7290143220986584
646,7358115971649493
647,7426616047817328
648,7495646717268973
649,7565211262759912
650,7635312982347549
651,7705955189441872
652,7777141212568459
653,7848874395696612
654,7921158098290249
655,7993995695068516
656,8067390576336735
657,8141346148037536
658,8215865831509051
659,8290953063818700
660,8366611297814551
661,8442844001881096
662,8519654660275875
663,8597046773181076
664,8675023856456869
665,8753589441980892
666,8832747077700079
667,8912500327381552
668,8992852770954969
669,9073808004564592
670,9155369640317713
671,9237541306629888
672,9320326648277233
673,9403729326142384
674,9487753017562617
675,9572401416382384
676,9657678232696783
677,9743587193202588
678,9830132041251013
679,9917316536588692
680,10005144455711619
681,10093619591918152
682,10182745755047479
683,10272526771836492
684,10362966485973019
685,10454068757831776
686,10545837464834175
687,10638276501501796
688,10731389779189801
689,10825181226449700
690,10919654789083051
691,11014814429872336
692,11110664128946685
693,11207207883835816
694,11304449709198349
695,11402393637190512
696,11501043717520309
697,11600404017173272
698,11700478620784149
699,11801271630691312
700,11902787166659923
701,12005029366256628
702,12108002384904193
703,12211710395602084
704,12316157589304167
705,12421348174973584
706,12527286379300723
707,12633976447083948
708,12741422641284703
709,12849629242742872
710,12958600550560539
711,13068340882157332
712,13178854572983149
713,13290145976904972
714,13402219466262439
715,13515079431577936
716,13628730281946465
717,13743176445091456
718,13858422367072201
719,13974472512676800
720,14091331365478201
721,14209003427538976
722,14327493219807345
723,14446805282173456
724,14566944173171479
725,14687914470378732
726,14809720770472189
727,14932367688927892
728,15055859860423179
729,15180201938893432
730,15305398597228783
731,15431454527679468
732,15558374441912803
733,15686163070707184
734,15814825164360567
735,15944365492747684
736,16074788845011313
737,16206100029973908
738,16338303876195043
739,16471405231659952
740,16605408964194309
741,16740319961521912
742,16876143130950469
743,17012883399789552
744,17150545715408509
745,17289135044919496
746,17428656375598605
747,17569114714944016
748,17710515090356251
749,17852862549562500
750,17996162160675001
751,18140419011868516
752,18285638211807855
753,18431824889706496
754,18578984195001259
755,18727121297783052
756,18876241388855719
757,19026349679407912
758,19177451401447059
759,19329551807858452
760,19482656172074293
761,19636769788510908
762,19791897972628063
763,19948046060595184
764,20105219409731817
765,20263423398567184
766,20422663426503553
767,20582944914259968
768,20744273303932033
769,20906654058652432
770,21070092663037929
771,21234594623249392
772,21400165466649439
773,21566810742252732
774,21734536020786229
775,21903346894343956
776,22073248976840595
777,22244247904071976
778,22416349333366951
779,22589558944044300
780,22763882437473451
781,22939325536723456
782,23115893987023215
783,23293593555822436
784,23472430032437689
785,23652409228515972
786,23833536978095899
787,24015819137250832
788,24199261584555789
789,24383870221148872
790,24569650970371453
791,24756609778238448
792,24944752613499973
793,25134085467278584
794,25324614353542917
795,25516345309169584
796,25709284393577443
797,25903437689204628
798,26098811301570673
799,26295411358907812
800,26493244012641399
801,26692315437452272
802,26892631830905059
803,27094199413932012
804,27297024430895599
805,27501113149213816
806,27706471859847435
807,27913106877362836
808,28121024539554301
809,28330231207934700
810,28540733267798551
811,28752537127841296
812,28965649220653425
813,29180076002783776
814,29395823954355769
815,29612899579564992
816,29831309406742729
817,30051059987969152
818,30272157899574369
819,30494609742202192
820,30718422140420263
821,30943601743224588
822,31170155224103533
823,31398089280644884
824,31627410635043867
825,31858126034167384
826,32090242249157983
827,32323766075945388
828,32558704335310963
829,32795063872488592
830,33032851557679719
831,33272074286118052
832,33512738977667329
833,33754852577339892
834,33998422055361619
835,34243454406766576
836,34489956651919125
837,34737935836579096
838,34987399031493301
839,35238353332921200
840,35490805862700301
841,35744763767834536
842,36000234221023485
843,36257224420728016
844,36515741590755499
845,36775792980792612
846,37037385866471209
847,37300527548950372
848,37565225355452799
849,37831486639330912
850,38099318779645723
851,38368729181706828
852,38639725277138743
853,38912314523456584
854,39186504404609667
855,39462302431048084
856,39739716139295173
857,40018753092494748
858,40299420880477903
859,40581727119332272
860,40865679451952889
861,41151285548109232
862,41438553104011249
863,41727489842863872
864,42018103514934289
865,42310401897114736
866,42604392793480665
867,42900084035358256
868,43197483480883951
869,43496599015566300
870,43797438552353701
871,44100010031190676
872,44404321419583395
873,44710380712667656
874,45018195932761879
875,45327775129936332
876,45639126382081339
877,45952257794456992
878,46267177500266079
879,46583893660722532
880,46902414464597833
881,47222748128797668
882,47544902898430603
883,47868887046351184
884,48194708873740317
885,48522376710174184
886,48851898913164013
887,49183283868740208
888,49516539991521493
889,49851675724251352
890,50188699538385909
891,50527619934163312
892,50868445440136819
893,51211184613766452
894,51555846041488609
895,51902438338245796
896,52250970148082055
897,52601450144212816
898,52953887028551251
899,53308289532307500
900,53664666416058751
901,54023026469272216
902,54383378510908155
903,54745731389490196
904,55110093982624909
905,55476475197608652
906,55844883971498119
907,56215329270626512
908,56587820091214209
909,56962365459439552
910,57338974430951593
911,57717656091484608
912,58098419556929113
913,58481273972841184
914,58866228515060817
915,59253292389783184
916,59642474833064503
917,60033785111444268
918,60427232522016733
919,60822826391933332
920,61220576079028779
921,61620490971892792
922,62022580489369039
923,62426854081185132
924,62833321228024579
925,63241991441022256
926,63652874262398295
927,64065979265530276
928,64481316054445201
929,64898894264457300
930,65318723562240451
931,65740813645316656
932,66165174242697765
933,66591815114958136
934,67020746053719589
935,67451976882297072
936,67885517455771549
937,68321377660471432
938,68759567414622189
939,69200096668419472
940,69642975403507003
941,70088213633630148
942,70535821404709273
943,70985808794314084
944,71438185912321167
945,71892962900987584
946,72350149934421643
947,72809757219244428
948,73271794994663623
949,73736273531940712
950,74203203135056499
951,74672594140785172
952,75144456918157909
953,75618801869132412
954,76095639428667199
955,76574980064181616
956,77056834276229385
957,77541212598573136
958,78028125597640801
959,78517583873203200
960,79009598058448801
961,79504178819436496
962,80001336855777225
963,80501082900708976
964,81003427720545919
965,81508382115364092
966,82015956919076629
967,82526162998879252
968,83039011255940019
969,83554512625474792
970,84072678076189063
971,84593518610971788
972,85117045266971083
973,85643269115032384
974,86172201260396367
975,86703852842774884
976,87238235035785433
977,87775359047653188
978,88315236121287163
979,88857877533710992
980,89403294596769069
981,89951498657202952
982,90502501096078429
983,91056313329495792
984,91612946808666469
985,92172413019336376
986,92734723482500325
987,93299889754478896
988,93867923426338051
989,94438836124607700
990,95012639511358801
991,95589345283619236
992,96168965174096535
993,96751510951255216
994,97336994418728899
995,97925427416047212
996,98516821818713359
997,99111189537612472
998,99708542519742699
999,100308892748293012
1000,100912252242047773
