k,W1,W2,W3,W4,W5,W6
94,39614081257132168796771975167,1194068754050587579710636,8220486505593942393924,710127127359383789287,227800197137770151399,150604196602267618836
95,79228162514264337593543950335,2149765550436850801987692,13045629296754924130981,1068524260577646306045,331678090054289936613,214344491258425648140
96,158456325028528675187087900671,3583133633718055911288361,20814994222104383653811,1613701311468035323752,482751948234875523612,304782967824162509207
97,316912650057057350374175801343,6450797170720859395203628,33078652277162311890781,2425556843615440331204,702435431401642020513,433361255560184768334
98,633825300114114700748351602687,10751828792130767895262187,52482275712998989130197,3661725980281962086791,1021658749019660049964,615567066447344048605
99,1267650600228229401496703205375,19356319923675385243091263,83716765848339617852433,5504997350628590609997,1485329403694156835421,874331093334166947491
100,2535301200456458802993406410751,32261842678881710904664145,133010617250308657995762,8306060468112269841365,2158579066258086906515,1240729714046608823647
101,5070602400912917605986812821503,58079244487280169819317101,210989554855057701808292,12474884392797144173695,3136008411408989368734,1760448263511349562547
102,10141204801825835211973625643007,96802169055388554022913434,336482767018247385877209,18816265457118666665143,4554901856109791297078,2495803877683791926710
103,20282409603651670423947251286015,174264659201341544484286213,534503913017315291176043,28266512733589784034992,6613307143140443689579,3538300302126455083808
104,40564819207303340847894502572031,290450073924410118403996316,847707958842700248291396,42614387059136334657864,9598341495853577276878,5011692204396061669808
105,81129638414606681695789005144063,522864470110777324069190660,1351643270840042768670597,63957497624615619635189,13925855681198236737334,7098513543082761032051
106,162259276829213363391578010288127,871464281038227502163577090,2146716696924314696379344,96395047087004730602163,20198934786572088506068,10045859139814111297393
107,324518553658426726783156020576255,1568777962122096208284974234,3404085060314249869752749,144710439845659488256734,29291565948321514597021,14215802913261213540075
108,649037107316853453566312041152511,2614691454169443889519721775,5426759789006896675114187,218007193167731952391574,42463175732174050445517,20101543367945397293896
109,1298074214633706907132624082305023,4706817049246843040980279538,8617611973383746297367880,326990628152121731902459,61537195218559029351383,28424802588741515012717
110,2596148429267413814265248164610047,7844856136443647467713512777,13663164901559303549858831,492496637450668662065622,89151410235550376234303,40161062304101678451719
111,5192296858534827628530496329220095,14121716084628456932258470949,21778351450059940895248763,738905133181072844401387,129126134793759350387348,56744105748777253818688
