n,primitive_orbits,B_n,twelve_B_n,proved_divisor
211,47304414929587862735787204792892140464938300238252016050443166501968509537164878902523411339729898566391970928720427364414021027982693962535445,1062519146685561032676426962397343735876065232996833315748594292625244480967742838267860365664066363432806336980760256158083174860912692045,12750229760226732392117123548768124830512782795961999788983131511502933771612914059214324387968796361193676043769123073896998098330952304540,44521
212,232853858249886780152566764225809177722168834411995873149672979721008505244492566381700513957294761064279955054852824976773037526677384133104500,20723910488597969041702275206996188832517696191882865178860179754450739163803183195238564787940081974393018427808190190172039651715680325125/4,62171731465793907125106825620988566497553088575648595536580539263352217491409549585715694363820245923179055283424570570516118955147040975375,11236
213,1146250882884564439054529816658898646752381723049457941093946089646526957819527789410598063127412165754987890295909441633100458022866942343156758,75795204845901239109603241199424627835243121275504724002773661948457776751935977610963305106619861519208350875878426346168118628768560625746/3,303180819383604956438412964797698511340972485102018896011094647793831107007743910443853220426479446076833403503513705384672474515074242502984,15123
214,5642743048104563467616520433168621458615693052336346832413489505889109630353977388645128115462649235531081563062184423923050268256426594940291194,246429515595447788785768208278828782365957422147626291921280876316233279341164179781864272664103818478953688665481021221200553247289134201253/2,1478577093572686732714609249672972694195744532885757751527685257897399676046985078691185635984622910873722131992886127327203319483734805207518,11449
215,27778902163984744718953712133881547909625372614398267188670823048594113816051073469324382485836735729297660503118954972829211619857289433717041750,600949749356078847354325843891434243583025908369892205271407745778131180444587852229840616243087847037266857828425202224536757595614698403830,7211396992272946168251910126697210922996310900438706463256892949337574165335054226758087394917054164447202293941102426694441091147376380845960,46225
216,136758384781390563080122291216965461090770570398801985429218931554964471160125714451333387069780776301099039446541118788262407479667804525169481728,8793620420614105136324735803560021932276914248894160585726525948750287497436067030049729106853187776562438236017304448833745336912796072863264/3,35174481682456420545298943214240087729107656995576642342906103795001149989744268120198916427412751106249752944069217795334981347651184291453056,3888
217,673297184157908844656515823264366379247742390996138003415953338600155636659720662685677269870900869990593027622017161525819965073804943867780206711,14298396316717467872677606729052780463542279322052666300323925727880304034057224886612101974365581558125953569241588513789206928875213826324199,171580755800609614472131280748633365562507351864631995603887108734563648408686698639345223692386978697511442830899062165470483146502565915890388,47089
218,3314923085020578028868861221372303030891559203757849130958359835182621060773162398167204572076813371168111670339374478920558933203467721371471981038,139505221993964229815203317118605463803196667105371985984275727429619605284620924087501244511270657822073548957973843907102050888118328481250399/2,837031331963785378891219902711632782819180002632231915905654364577717631707725544525007467067623946932441293747843063442612305328709970887502394,11881
219,16321264766301767135432488014989559640600002222092881323596738142875992353508748515311554347713769440262834345995952621112120357775462857631260742798,1020908536079424978759772816350131959754800914623937031562941023511352495997294584056518067662086034919799483705257560587484853804682733322778554/3,4083634144317699915039091265400527839019203658495748126251764094045409983989178336226072270648344139679197934821030242349939415218730933291114216,15987
220,80361444632778951258487237901962244747879725938208762401086319472560266477564633400511178761375628173463580788135356608405078121852745165448921943000,3320720852594171539606910657105877882143790328025155471119269399692572994940687330599635486007257362539817387939477545801862732307964676258219915/2,19924325115565029237641463942635267292862741968150932826715616398155437969644123983597812916043544175238904327636865274811176393847788057549319490,12100
221,395690031074112004121015967520133093243215844016167178170186402164212331289396310790027315386055762487049772469783873340787576629662008862945403637365,8101595607667983950390368082556317299875429332244777505992637377699316788955924546795260444832328627322326989000714017747130006135460143382514765,97219147292015807404684416990675807598505151986937330071911648532391801467471094561543125337987943527867923868008568212965560073625521720590177180,48841
222,1948389629581902196544764225676847290080667167223904306257888348955894038482353015206847337059260735561584767109781499060848320949029552192221785323494,237203509810311930429116657618315959347536786854626772127816940462124913377447408717658550895941165761088966046966337845245717183957822278088846521/6,474407019620623860858233315236631918695073573709253544255633880924249826754894817435317101791882331522177932093932675690491434367915644556177693042,4107
223,9594220975228110828058277593655352483129544326462186970258170828830263075416851470466718171598152235146045519321157065249049178679927747282727570252913,192930100650085680951924985293397262827113843561346236004306759211531763667414415541569671049048889685013684556720566776911845777713763544063374897,2315161207801028171423099823520767153925366122736154832051681110538381164008972986498836052588586676220164214680646801322942149332565162528760498764,49729
224,47245093586273601883138552305933028100608575784273902058255346942015061637630640132263131974746655235149077659689873609298738003440227213561573037406208,941587483782557435489846785433933117438786985496530254668673209144113951642830040901290098348745520470923901062059024420016302683359120168239258558,11299049805390689225878161425207197409265443825958363056024078509729367419713960490815481180184946245651086812744708293040195632200309442018871102696,12544
225,232657299427687121084413877435999744155940854817709316563768300147478215427625254092757553668909728358700075273024244145462306031930587048045615344877500,13787099225344421990187489033244429283315013618827218759334417786517227580896311353644892069268724643478522979142177430842210727818108862106406835252/3,55148396901377687960749956132977717133260054475308875037337671146068910323585245414579568277074898573914091916568709723368842911272435448425627341008,16875
226,1145749059085931480300009567153888602108643783967854859669287711969935027533455495522953475908372924867264331829913959850262397764396290119358236278459726,44864478780089728259848444167667342865872182002030498068340814158114771224585147447840609127902456138588156152788548823332383027817224924401215297927/2,269186872680538369559090665006004057195233092012182988410044884948688627347510884687043654767414736831528936916731292939994298166903349546407291787562,12769
227,5642545629801516492765751978372456901776675309801977322561857570445666299732647690051807672304722739248256836101037349037473360590240028974589407556731437,109502331304731636413781598291689279857491418614798993238018544323500675342673983389000517617355716960318594114014192960031697890318850142144994227653,1314027975656779636965379179500271358289897023377587918856222531882008104112087800668006211408268603523823129368170315520380374683826201705739930731836,51529
228,27789023260730024205129481192871832106655695406664304722063131104975330403932272072263527609335295857329246238527532690853315676941370371451586199574567100,6414825314111270592135152629933479248997159604493145134363603671508617360095168991750583473992450567250518522282440602690054403726078109753367082080925/12,6414825314111270592135152629933479248997159604493145134363603671508617360095168991750583473992450567250518522282440602690054403726078109753367082080925,4332
229,136862354244311801803653153137686334286229338037909448595557469849506783607780938572269818096865696671364366049563738986079231407375459163222818242399789331,2609834942970420125544004750818755063523375565643474544641739666472927358513013454592204917847975756971918271001005682311154085684396925367991042169291,31318019315645041506528057009825060762280506787721694535700875997675128302156161455106459014175709083663019252012068187733849028212763104415892506031492,52441
230,674073327175337916263535127566327452339057098526063662186615967212937882173476181351331917755101178662549442396993101266910620858485910195312466070975883700,12742406940932663823507280294259498153857412070435986052677050419904307791559096055790773492534993925568042389357147471964283948175537054731804651625253,152908883291191965882087363531113977846288944845231832632124605038851693498709152669489281910419927106816508672285769663571407378106444656781655819503036,13225
231,3320034400686901963144793232545502328628150101454985600808333886653738690523652021323342799934281616528170255136824383878605442780186477039286462090856930489,186655107701518072926563964274217255783895547391633530151702585408092353433611740109256355761751932114924959528690863207882467126563584474013968746323547/3,746620430806072291706255857096869023135582189566534120606810341632369413734446960437025423047007728459699838114763452831529868506254337896055874985294188,17787
232,16352728383322242926262952195107965598805775940844338185250280762572768958617266038548271455439157746746224718630054705767030818977373625702674320890685611296,607637053482544698508581755168993965472866228479649902840750622866110618260154059101823404259778453728679574859915825868275520919194917720818754492073633/2,3645822320895268191051490531013963792837197370877899417044503737196663709560924354610940425558670722372077449159494955209653125515169506324912526952441798,13456
233,80547108820149503504241849418710277609328587315542701708223347921248248630203716158202829419133231394992069928948460148814587690295631553256459059275740312583,1483672729653327626300757969730705623778824205926480533961269279619227626778973938702183304520864841772588736741300450345642536983470529080595683458449047,17804072755839931515609095636768467485345890471117766407535231355430731521347687264426199654250378101271064840895605404147710443801646348967148201501388564,54289
234,396754333973420667954552445925564245928890937798300629412072035101887770593102932561269247460048166320023487267962710216074150780556151748916477418984671360176,21737581304701987067420142774795323577081467115839394554682885990679803341721615853674624559502967692308979140256558745127884658150128848833907375574439588/3,86950325218807948269680571099181294308325868463357578218731543962719213366886463414698498238011870769235916561026234980511538632600515395335629502297758352,4563
235,1954363263148900020127970190203525245362756443235580862535130448000506099328800760839416468549684996878386754038768251070254967360904469979627099986992557461275,35389103904914441287966866278017659490498079551572310774742063340887389756972399471967704274326573053479162590108976932010049205267622815384827523530874739,424669246858973295455602395336211913885976954618867729296904760090648677083668793663612451291918876641749951081307723184120590463211473784617930282370496868,55225
236,9627215387730682932496268069098124995958755392740704285799312671862953466366414749036309607020824087787625882364797968657517810125952107887666426142064975590500,691411619342910293916709858452896078422777606488128719175474911797109556619248401970433036987993686281788701692387099156673212448000007748324219056453962625/4,2074234858028730881750129575358688235268332819464386157526424735391328669857745205911299110963981058845366105077161297470019637344000023244972657169361887875,13924
237,47425047376180980774327708191943694354576626366356264422188121687212044483322858939451367069760033479725455020806372731517078170285528982840388422044490718569926,2532983356095763540796224333276915790983102407005088096041666489729853361284134964452885064880629892630745875169917894115103251096807615384307451906451461762/3,10131933424383054163184897333107663163932409628020352384166665958919413445136539857811540259522519570522983500679671576460413004387230461537229807625805847048,18723
238,233628837165060158913926707485425934549588352581897639557570813280686233820589993795419639570477052435433885385721935892925995638106250056287222930480781533393078,8249023273958765585549279976181976362883565870415141570424786854059961648915683701554256040197622075963345999072167780980368464024653981226157154525837918699/2,49494139643752593513295679857091858177301395222490849422548721124359769893494102209325536241185732455780075994433006685882210784147923887356942927155027512194,14161
239,1150950412967528885410232226015247666687999339498334388866258021308840412682431442065938537738441261718147668592780286780382536936761935243528794538151707619231041,20149339349232837054852545053749893501304237311992689008705345167431249674943216016280151568397634175139575087844755637688110098506012416511069388458740351521,241792072190794044658230540644998722015650847743912268104464142009174996099318592195361818820771610101674901054137067652257321182072148998132832661504884218252,57121
240,5670197348753230950742323740764491791604554909274249315759669490288910024209863363045267099266152080460379019413675806653757218878733648895484823531050587774617600,295322778580897445351162694831483947479403901524700485195816119285880730427597050158607661420112087523978073927795614929883188483267377546639834558908884779928/3,1181291114323589781404650779325935789917615606098801940783264477143522921710388200634430645680448350095912295711182459719532753933069510186559338235635539119712,4800
241,27935151896107632854139631438293768813253946020188727272807574015269224957039736131207715028110906750216682419019950731594810845752326807290422321615465359344139999,480968852053298546067382301239540793258620650818490164990402610410792254903320124157774746097878940621144305694115988560713673072989907324089156894947837663679,5771626224639582552808587614874489519103447809821881979884831324929507058839841489893296953174547287453731668329391862728564076875878887889069882739374051964148,58081
242,137630632977569480043497500930500778933593826782932883845019397603500534167034092625266325478237913114211299857486372546063624080339277434916444548203149321586849632,2350089354852289461845118177216391963212789884279299293849795055042355955314426825784890469883169064855735603057960053037081211671663093964149384403441522464088,28201072258227473542141418126596703558553478611351591526197540660508271463773121909418685638598028778268827236695520636444974540059957127569792612841298269569056,14641
243,678094610241211437869441091202337955424817686274790967074625018234455740767539754874413245170677815934778251813272506045627870004652165976355944670309331842663627840,34450775300574680580675765442378598558391387810536552714252147448786045865342669048133579493505960266970393324862699082742867957356712186981453267810259200460480/3,137803101202298722322703061769514394233565551242146210857008589795144183461370676192534317974023841067881573299450796330971471829426848747925813071241036801841920,19683
244,3341000199034239887456513335957483186716718203823510583177804175311960684927162785072477924136201946429494175261236301846820484621970155138114083348120768975633941180,224469242074324098861630834181502498435683835247481227034251825807038476547108491337844525943039636282551342062700638393363375747243358985361064454993333040555895/4,673407726222972296584892502544507495307051505742443681102755477421115429641325474013533577829118908847654026188101915180090127241730076956083193364979999121667685,14884
245,16461660636163847791323326243066958378011516393406543923791122639837649023196907736654093266353558761332172185325367567270172471277691474938332434891473369957389177250,274246741127261104395224094011944329496235175233761664702892505453355252364796463751005302229963494566133647402338485085717159038362206996057183421765487212951090,3290960893527133252742689128143331953954822102805139976434710065440263028377557565012063626759561934793603768828061821028605908460346483952686201061185846555413080,60025
246,81111350368809181490614170681001313663258372292894025095210002840678262260731667962317664531247180156594627410311974020328994384633964848160530098183214952305166531062,8041974059965217280449550930101260525803923487298634254928614201931217753393978580439982602741144175748029685733885982582688318920678648439473537396709791027678617/6,16083948119930434560899101860202521051607846974597268509857228403862435506787957160879965205482288351496059371467771965165376637841357296878947074793419582055357234,5043
247,399668919057283004340862013232359430722161970164498155437171601201138132073409672691548705410564117444870860965052232554536584747440966878209392683312211410766941761255,6550982954273681003472635401864633590489304367626057719962162979251227393883028285852066177294565022289676293088761208256758588854774982022478530762874517051040695,78611795451284172041671624822375603085871652411512692639545955751014728726596339430224794127534780267476115517065134499081103066257299784269742369154494204612488340,61009
248,1969381209759882023139932555408647276596300186885904655813288238528342196384408077668984076180307003120787596321000553726695080936332853247046461801860689141915369153504,64040752138393666205122676749760902594832862476778897496529924509896663514061136760828046181721741776820616425630871284036650654797504332955465068999111899776124127/2,384244512830361997230736060498565415568997174860673384979179547059379981084366820564968277090330450660923698553785227704219903928785025997732790413994671398656744762,15376
249,9704424551819712607828235076226838176249985859567701823941796565544075700877412261875411724812910749495068215421317578327762620305923992566903377432479510482445199887054,469561356356496473016317563082539225637489033704345179462031091379691087282983125846780457967431690593461470722471455863345556699372138799385657203874752527335617162/3,1878245425425985892065270252330156902549956134817380717848124365518764349131932503387121831869726762373845882889885823453382226797488555197542628815499010109342468648,20667
250,47821179651541507005844741526516227348968347461222533895049808982866661409974048376826163085999191220664040501963021237962110641006460203321350017661695461761826544625000,765138874424664112093515864424259637583493559379560542320796943725866582559584774029218609375987059530624648031408339807393770256103363253141600282587127388189224714,9181666493095969345122190373091115651001922712554726507849563324710398990715017288350623312511844714367495776376900077688725243073240359037699203391045528658270696568,15625
251,235657462841771526612834367465903408743636886481336135069338314492861262693730652196685031112765994027592679863017834787470078328631483929643497770791478062227447737867773,3740535274706298735144432111647488273894650663978923113432140989712246832490447011899573516496023777838330817971426402556627328592109393972214691366668434822105168773,44886423296475584821733185339769859286735807967747077361185691876546961989885364142794882197952285334059969815657116830679527943105312727666576296400021217865262025276,63001
252,1161321436860202791845777965065001140745791718894989919968383746324322044973354124625586031683393374047768041956013591105025580682646480070573538242958520411763063185125580,73149498416490475676856762727702263841382698343095862935776250083416606511297185980447595848034352106813305741749407351034617074996628878217028108022078635157663339955/4,219448495249471427030570288183106791524148095029287588807328750250249819533891557941342787544103056320439917225248222053103851224989886634651084324066235905472990019865,5292
253,5723134318768840259562638468019899556709713826940712379120394741367079196868922974825984083907242594956311210782545024723347433727929517439508354822758757871507269071542060,89411400252602606814082995641548837768278114436106053509981326709792047944334749407520568731072858425476280066592901384545101997030566286608263757014775388953229531340,1072936803031231281768995947698586053219337373233272642119775920517504575332016992890246824772874301105715360799114816614541223964366795439299165084177304667438754376080,64009
254,28204967557560445962383049993768706495664029950140122746224578942596923204137002891564692459558846423321790023997996210935048270342997184683473910959540915616730554557568514,874355742995859816553507656822143545652676233806811418755799458819422258172763435165375796997918234959445409634757152053290602961838836402860496960739689863498374188033/2,5246134457975158899321045940932861273916057402840868512534796752916533549036580610992254781987509409756672457808542912319743617771033018417162981764438139180990245128198,16129
255,139004020049968710529579869375949358051457739639484829390724130053955166293000593648768325523237476164540941521719321289937883120612293247475394581706438324757596804311826150,6413103577853227706093650259559370613677404366296877941901920648394702020438320352884351811914070411282165698810579990308552854468848592732428815765002921557443912540338/3,25652414311412910824374601038237482454709617465187511767607682593578808081753281411537407247656281645128662795242319961234211417875394370929715263060011686229775650161352,21675
256,685076590039964728691104302641652724263708364772332433919593919298843455432980243171532757278737125136639711034592921944357296104042699988604190291438453679505302999303585792,10453439179076610240037602274195140445918401562077826445306303700238700186660465136284374348125261308847651840737807036504475343384440612619082493460669764396748397816522,125441270148919322880451227290341685351020818744933917343675644402864402239925581635412492177503135706171822088853684438053704120613287351428989921528037172760980773798264,16384
257,3376453922326378618589269245761265670594034804245135847317400819356637695891807737672122842374506501451951906841147484794985250995261834739097436889509855060732436134879219227,51120439708797689875535878601663396426804869176598220220100241023431659766110126386048582754841201251373251780362268691350137791567803217900307906092595725305946132944923,613445276505572278506430543219960757121658430119178642641202892281179917193321516632582993058094415016479021364347224296201653498813638614803694873111148703671353595339076,66049
258,16641496704524455065773457911935397645815100828017032661990673344456109340091331884261015024460782287342952634735745723484078870701130314851438217733528932105838627101437553642,1500044772356630166375829990259184932920055960701012498827354727281062677131001612066073104782835973259685653031886219892201088038681297534833082543134030296181596097118943/6,3000089544713260332751659980518369865840111921402024997654709454562125354262003224132146209565671946519371306063772439784402176077362595069666165086268060592363192194237886,5547
259,82022635372910317738433471942392076556330218349044358162458342879610109432639253139145385120193552222141609481244767455636125606752400892387250302722844844503047631762515783169,1222740200249106568751710200241380965643479052921756654827124564028713189019830550217578526262183810947087990358592857226876844512639956058902674419326558108898907764680249,14672882402989278825020522402896571587721748635061079857925494768344558268237966602610942315146205731365055884303114286722522134151679472706832093031918697306786893176162988,67081
260,404282329054349176141473767120800326188661698775205325334993071795732427453390990548332004247407607938204959473596977949669300504974038725377959882827734966836313531290683771000,11961015652495537755664904352686400183096499963763471163757191473246521522289674276577869948148154081011981049514703489635186405472604696017099404817388608486281465422801295/2,71766093914973226533989426116118401098578999782580826982543148839479129133738045659467219688888924486071886297088220937811118432835628176102596428904331650917688792536807770,16900
261,1992716096367697678383255405499488115729586111230825949638936622014603050309090464959257538351401242795594876879836958103629715044606668312999254371217864241792422893432185389273,87757788187241717460838305610582116339876959141710747771125054917629059334526377987372067571735642876451969739720656982588176115057324539260987993623898544140239701124419139/3,351031152748966869843353222442328465359507836566842991084500219670516237338105511949488270286942571505807878958882627930352704460229298157043951974495594176560958804497676556,22707
262,9822355647781436935472698793442692259398039834144872793472454236546459005982859703340367616777979973979401287595766060129658505628791716405906329877832739372722616636596502581226,286182496584739727739429485270167596859100280698819206149771407160027358719854894916973591771399684574890778148003206693364562252455909224576258081633725871823396557211016333/2,1717094979508438366436576911621005581154601684192915236898628442960164152319129369501841550628398107449344668888019240160187373514735455347457548489802355230940379343266097998,17161
263,48416719986437520129878131389677059618920536169547787488031995539534828052568412382981097414048471685895639348610659202459852953387345748288369883065021481378780851659962437250577,699977157201022425217628292872197944439279679763301298096430417376784803200399201708584733248253866412636287189501932982403286926041228704887592462881080850941619101909272033,8399725886412269102611539514466375333271356157159615577157165008521417638404790420503016798979046396951635446274023195788839443112494744458651109554572970211299429222911264396,69169
264,238662664956097016400366299118710912646823263087887886401392890187283694482663178744169722628014971497412420205457066162874285694196923015796726775333735340512190860541185087732448,20546028319223227995899302610081862314636988902194205096538644127693155516758193762411305322659691072435642235318273602175816605905382491029332539198840852316820838545212214853/6,41092056638446455991798605220163724629273977804388410193077288255386311033516387524822610645319382144871284470636547204351633211810764982058665078397681704633641677090424429706,5808
265,1176475661902848153619249385884641749427840833175360251880714830387156406699408361932062520555467470721941230508003815415844956252080292131290884726856983568733705010490293567547625,16752946413710902863926655548375105011432407734786190842018011112668656556773347980520648210117016315015183061701727524611533730894699781150457596680056725791864791890214219545,201035356964530834367119866580501260137188892817434290104216133352023878681280175766247778521404195780182196740420730295338404770736397373805491160160680709502377502682570634540,70225
266,5799501682404500314737869379622287497216661748587298609437748823216207495793222074671237988862149573066875435141671965359433597848446596399442067391218168452072327063122024503770898,163929608299070052426306444107136850506435122069854107338960620250330925880299114553429758292219729014270886854589630995517937640580207937120302656770257460909953277831477881841/2,983577649794420314557838664642821103038610732419124644033763721501985555281794687320578549753318374085625321127537785973107625843481247622721815940621544765459719666988867291046,17689
267,28589569167534222742275362723634615519446937693178553743910964923885321377200556575842321252671417724673163743669361846166615237622909823894457636312648240499319796964717865462321386,1203112787423062018359439579330665973128264010990975623612799937881804543921245489872588530600993886490475265903689005856441326331814578289544991638793428460182628328271593042222/3,4812451149692248073437758317322663892513056043963902494451199751527218175684981959490354122403975545961901063614756023425765305327258313158179966555173713840730513313086372168888,23763
268,140939807674061488064372906294071402793143038147357964825885094329473595115203927891266130703807159266023925010804264776436261414883070979391921091884960495769084236758533381227071236,7849176190357623527755229800293573334436569288669969081414852658135085493161279120698715231889460863556689964959025661418816073450828189986184066155321925583041002269911638517881/4,23547528571072870583265689400880720003309707866009907244244557974405256479483837362096145695668382590670069894877076984256448220352484569958552198465965776749123006809734915553643,17956
269,694814386240761459197473115921341153610257718674109532400282358409026768016637536826105782059733753277908366554566687540284812521509866452002668397919150632663964781274746164907084971,9602056166177380898515403545022058202764717439976085631766868318694141430005631995496272606234487545472124024744913524416257549253187026879156844127626078034631428273168504649011,115224673994128570782184842540264698433176609279713027581202419824329697160067583945955271274813850545665488296938962292995090591038244322549882129531512936415577139278022055788132,72361
270,3425412876645056563056486302659655493632386003963870793155968765663135647708894859798329434970011090925422310180031282525425423035622367188169881102947268789215676217073032633539621100,140963492866051710413847172948957016198863621562299209594895833977906816778143821390877754525514859708865115645268777058659482429449480131200406629750916411078834412225227680392577/3,563853971464206841655388691795828064795454486249196838379583335911627267112575285563511018102059438835460462581075108234637929717797920524801626519003665644315337648900910721570308,6075
271,16887524027228155291017688369395911435563015227283161226670362410338500115035744757727021014010867892999279395029408104046841500741610216703680408904009920532761054243324815687885706849,229946814820443012636234370030308838871516118071420068172687768553512344807883127377446127013669038997280529881529501287384996129431927897273735500660529139482864534024929068066689,2759361777845316151634812440363706066458193416857040818072253222642148137694597528529353524164028467967366358578354015448619953553183134767284826007926349673794374408299148816800268,73441
272,83258368840055261787106470063715523820604560901242284671508679470631586895009419137070980371472330176167731330365373944339171198379876086629702549180640867922299839783473582229373400576,1125356412738636215764306742859476695239572892804421019024500966028216734631939596900288986422366054500537025983528518927594766414087858004834863608086084395576068336173680555652214,13504276952863634589171680914313720342874874713653052228294011592338600815583275162803467837068392654006444311802342227131137196969054296058018363297033012746912820034084166667826568,18496
273,410486251261152512035168213365563996525990480082495354474521078566800199739527011463530327832997733567547940333251976257335083646200487643965581873823612994965521141783105462410146361194,16523215845958721250862142791352252003622367672281743528338810874966799490380671072878892558587840984081952273608339421862701108811354813990483511404565189186713405860125808574252158/3,66092863383834885003448571165409008014489470689126974113355243499867197961522684291515570234351363936327809094433357687450804435245419255961934045618260756746853623440503234297008632,24843
274,2023848819534352279426954888512166495444909537316932429358488783914735173237582135500918170610037494228152110044547218273944324266979468459106761197451763784225959157360198961346400920814,53914668323681396969123418629446600656532301596167415135555671157619883138088926834165863141617494118710429699092845070966602489929657106375053577640038461937928476673243085975448903/2,323488009942088381814740511776679603939193809577004490813334026945719298828533561004995178849704964712262578194557070425799614939577942638250321465840230771627570860039458515852693418,18769
275,9978521360494925558590468807248677519872336369983703488698472376201382349617104537440670180144489628950719387363819707007036937677537744187900923615492543123344595390433700277683244515000,131947389890841990857394628856180859766906927206396079189401287619191832722209646776074977588687466167943396857703401084390571076727771823972243618056099743779763244832181160696637944,1583368678690103890288735546274170317202883126476752950272815451430301992666515761312899731064249594015320762292440813012686852920733261887666923416673196925357158937986173928359655328,75625
276,49199753081912906290248432275644532279372104017568983912306401970464777324947519435145953429969757021599704310857990666973851282960276512248167982401908165228921037802762205342041255574124,7750433692802915294620105903535685614267817268048044094566225893267923334112715727023622153429388314681742960122556815843391821512330893548860740769046654887983780372205766436994526713/12,7750433692802915294620105903535685614267817268048044094566225893267923334112715727023622153429388314681742960122556815843391821512330893548860740769046654887983780372205766436994526713,6348
277,242587378370337469225717595208534306545732094498770665477373546774123579137088016902286919318016269483693073694355135490222573361187827566167908711777105557025212757564646708837578663601907,3161612667574678012560017662272860411913775684536103239679567657262880776982470994047712329341139197483260223570685601144581232144141427180960376282463026457078976105053457087119324683,37939352010896136150720211947274324942965308214433238876154811887154569323789651928572547952093670369799122682848227213734974785729697126171524515389556317484947713260641485045431896196,76729
278,1196139861566712631781440432148636318948708047434934378210680256640184699340429277853558791272278469421674056425636934836593920468366482154383911624662670106590367084468630854149436371467962,30954398363612458769769691841743085734400601610551585792937225211950331228725978931048051117237163434130584763356889778908801833972529427938096155081586618358013743710693826772667987461/2,185726390181674752618618151050458514406403609663309514757623351271701987372355873586288306703422980604783508580141338673452811003835176567628576930489519710148082462264162960636007924766,19321
279,5897991598825820658581633889207445241243762325794518107510343520828848137501986820258119279218567148485354230269207678416151456336517190276003922347717541313085575818768089221317205492221745,75769730589609854171729986629249948500709938538745880802023914400236997694042815743093219244595613474715821100309704120144287153768800378669389169559968927854030341577935653721267782945,909236767075318250060759839550999382008519262464950569624286972802843972328513788917118630935147361696589853203716449441731445845225604544032670034719627134248364098935227844655213395340,25947
280,29082698365414301300536984560963867962323171990245896324109536977777859063416627893849000214548520852260242219040997680973452378722919173988879239289778529799831572024753662610137458165328000,370952785273141598221135007155151377070448622324565004134050216553289018666028417013380104777404602707401048712257623481804239524527030280470398460328807778059076173785123247578283905170,4451433423277699178653620085861816524845383467894780049608602598639468223992341004160561257328855232488812584547091481781650874294324363365644781523945693336708914085421478970939406862040,19600
281,143408057131538183653698862058120569050789664601837859173566625860513973244933689110054333644194710046749373897768042942844879089762787521217925470445683224492971466940686430997603298767326151,1816188461791747617858168742266695825164190734689756451584536997511606657019714657996407513129199352170683931279594267332542382818895246022947093760789291225959289610575935347799588388791,21794261541500971414298024907200349901970288816277077419014443970139279884236575895956890157550392226048207175355131207990508593826742952275365125129471494711511475326911224173595060665492,78961
282,707164824359491747929075423842420177843698603042322497685612852501012827161065833722279037104335175630799662461281049173224274886926704497123253168893467383126736017392820972041556182604613770,53354823023954409833188126138706818910796635207659762915769794213144169847673595421931419730219946856103792248474501974741532736300490757290120202874111014269408179975314695340392046371255/6,106709646047908819666376252277413637821593270415319525831539588426288339695347190843862839460439893712207584496949003949483065472600981514580240405748222028538816359950629390680784092742510,6627
283,3487192598477824251507891554104679321663111869943689157920263229456048535309648045858689640591918638766576112371767803674633399622737450774374669511234256995956980104242895747089485620003246229,43541467598269728071369246139977766255829288291072296544097981363933230971914345863460520678144547175849069315034122085113229027990578615969417392041781730274531834637002531522300011487261,522497611179236736856430953679733195069951459492867558529175776367198771662972150361526248137734566110188831780409465021358748335886943391633008704501380763294382015644030378267600137847132,80089
284,17196471614281475633290748252450116113764737901176223959562361885019274871853724824078718593123320087821583179623004548654941578514207360737160109828349164704935951775259201651084912476292967540,852830371666409226011245201966381477572145303569540962088988389457412957342477922241555177203100579638047172169361463432599760886441547348599489676073654270230904174531799328064119841117485/4,2558491114999227678033735605899144432716435910708622886266965168372238872027433766724665531609301738914141516508084390297799282659324642045798469028220962810692712523595397984192359523352455,20164
285,84802924912920145544529964392470848433737872898499363608873360703458474381523465935072799235954251646353135947733216428694681816309598887802429047535695708241088038460122692346955543477712029050,1044049552636751561028377524068585391612654637100638517806997361692317320794379389782367488285063116606379020593822301368971151939791922287502973807764797885393512323300987286512225835367338,12528594631641018732340530288823024699351855645207662213683968340307807849532552677388409859420757399276548247125867616427653823277503067450035685693177574624722147879611847438146710024408056,27075
286,418206069128858714520484836089894245970894753585403212628618516364957907213018582563493797564379378910411494276122964078764484033016063829709785769079953160514074070798007600890388076361180034402,10225587293482779464044325788300020684896443679040618431918883964129246105262325359760716845918611641410618961223604187949642623918432779835439037827765493679741651689520455789779159772144849/2,61353523760896676784265954729800124109378662074243710591513303784775476631573952158564301075511669848463713767341625127697855743510596679012634226966592962078449910137122734738674958632869094,20449
287,2062423220631535118588891170824945816872861810583904452711374409110023520923188985220812879815299898644441121101466867586471696587900785771790467659364780248166244462641860908343197769652701009281,25038827964786935844661112443090796499567334926779546342815554506064460184331350207248028746437372053132138560641344044318514205440162995444772519508125389990970443524163956201279580541862849,300465935577443230135933349317089557994808019121354556113786654072773522211976202486976344957248464637585662727696128531822170465281955945337270234097504679891645322289967474415354966502354188,82369
288,10171222435250097396316759633535158705914054289377655573842694107696770930612310360221672174970989916243434750609705381615779676725412723107258487123157346163109260656665746286611725486961546041344,122627585301529916525809698513878745972150538789757614460873530426513924221309683162394774486050707902240484551139387799187158525335319289005334769521090689659399843950927689605176088529146726,1471531023618358998309716382166544951665806465477091373530482365118167090655716197948737293832608494826885814613672653590245902304023831468064017234253088275912798127411132275262113062349760712,6912
