N,G_N_or_0_at_N0,number_of_coefficients_equal_to_1
278,696198609130885597695136021593547814689632716312296141651066450089,2251799813685248
279,696898287454081973172991196020261297061888,2251799813685248
280,2088595827392656793085408064780643444068898148936888424953199350267,4503599627370496
281,1393796574908163946345982392040522594123776,2251799813685248
282,6265787482177970379256224194341930332206694446810665274859598050801,4503599627370496
283,2787593149816327892691964784081045188247552,2251799813685248
284,18797362446533911137768672583025790996620083340431995824578794152403,4503599627370496
285,5575186299632655785383929568162090376495104,4503599627370496
286,56392087339601733413306017749077372989860250021295987473736382457209,9007199254740992
287,11150372599265311570767859136324180752990208,4503599627370496
288,169176262018805200239918053247232118969580750063887962421209147371627,9007199254740992
289,22300745198530623141535718272648361505980416,4503599627370496
290,507528786056415600719754159741696356908742250191663887263627442114881,9007199254740992
291,44601490397061246283071436545296723011960832,9007199254740992
292,1522586358169246802159262479225089070726226750574991661790882326344643,18014398509481984
293,89202980794122492566142873090593446023921664,9007199254740992
294,4567759074507740406477787437675267212178680251724974985372646979033929,18014398509481984
295,178405961588244985132285746181186892047843328,9007199254740992
296,13703277223523221219433362313025801636536040755174924956117940937101787,18014398509481984
297,356811923176489970264571492362373784095686656,18014398509481984
298,41109831670569663658300086939077404909608122265524774868353822811305361,36028797018963968
299,713623846352979940529142984724747568191373312,18014398509481984
300,123329495011708990974900260817232214728824366796574324605061468433916083,36028797018963968
301,1427247692705959881058285969449495136382746624,36028797018963968
302,369988485035126972924700782451696644186473100389722973815184405301748249,72057594037927936
303,2854495385411919762116571938898990272765493248,36028797018963968
304,1109965455105380918774102347355089932559419301169168921445553215905244747,72057594037927936
305,5708990770823839524233143877797980545530986496,36028797018963968
306,3329896365316142756322307042065269797678257903507506764336659647715734241,72057594037927936
307,11417981541647679048466287755595961091061972992,72057594037927936
308,9989689095948428268966921126195809393034773710522520293009978943147202723,144115188075855872
309,22835963083295358096932575511191922182123945984,72057594037927936
310,29969067287845284806900763378587428179104321131567560879029936829441608169,144115188075855872
311,45671926166590716193865151022383844364247891968,72057594037927936
312,89907201863535854420702290135762284537312963394702682637089810488324824507,144115188075855872
313,91343852333181432387730302044767688728495783936,144115188075855872
314,269721605590607563262106870407286853611938890184108047911269431464974473521,288230376151711744
315,182687704666362864775460604089535377456991567872,144115188075855872
316,809164816771822689786320611221860560835816670552324143733808294394923420563,288230376151711744
317,365375409332725729550921208179070754913983135744,288230376151711744
318,2427494450315468069358961833665581682507450011656972431201424883184770261689,576460752303423488
319,730750818665451459101842416358141509827966271488,288230376151711744
320,7282483350946404208076885500996745047522350034970917293604274649554310785067,576460752303423488
321,1461501637330902918203684832716283019655932542976,288230376151711744
322,21847450052839212624230656502990235142567050104912751880812823948662932355201,576460752303423488
323,2923003274661805836407369665432566039311865085952,576460752303423488
324,65542350158517637872691969508970705427701150314738255642438471845988797065603,1152921504606846976
325,5846006549323611672814739330865132078623730171904,576460752303423488
326,196627050475552913618075908526912116283103450944214766927315415537966391196809,1152921504606846976
327,11692013098647223345629478661730264157247460343808,576460752303423488
328,589881151426658740854227725580736348849310352832644300781946246613899173590427,1152921504606846976
329,23384026197294446691258957323460528314494920687616,1152921504606846976
330,1769643454279976222562683176742209046547931058497932902345838739841697520771281,2305843009213693952
331,46768052394588893382517914646921056628989841375232,1152921504606846976
332,5308930362839928667688049530226627139643793175493798707037516219525092562313843,2305843009213693952
333,93536104789177786765035829293842113257979682750464,2305843009213693952
334,15926791088519786003064148590679881418931379526481396121112548658575277686941529,4611686018427387904
335,187072209578355573530071658587684226515959365500928,2305843009213693952
336,47780373265559358009192445772039644256794138579444188363337645975725833060824587,4611686018427387904
337,374144419156711147060143317175368453031918731001856,2305843009213693952
338,143341119796678074027577337316118932770382415738332565090012937927177499182473761,4611686018427387904
339,748288838313422294120286634350736906063837462003712,4611686018427387904
340,430023359390034222082732011948356798311147247214997695270038813781532497547421283,9223372036854775808
341,1496577676626844588240573268701473812127674924007424,4611686018427387904
342,1290070078170102666248196035845070394933441741644993085810116441344597492642263849,9223372036854775808
343,2993155353253689176481146537402947624255349848014848,4611686018427387904
344,3870210234510307998744588107535211184800325224934979257430349324033792477926791547,9223372036854775808
345,5986310706507378352962293074805895248510699696029696,9223372036854775808
346,11610630703530923996233764322605633554400975674804937772291047972101377433780374641,18446744073709551616
347,11972621413014756705924586149611790497021399392059392,9223372036854775808
348,34831892110592771988701292967816900663202927024414813316873143916304132301341123923,18446744073709551616
349,23945242826029513411849172299223580994042798784118784,9223372036854775808
350,104495676331778315966103878903450701989608781073244439950619431748912396904023371769,18446744073709551616
351,47890485652059026823698344598447161988085597568237568,18446744073709551616
352,313487028995334947898311636710352105968826343219733319851858295246737190712070115307,36893488147419103232
353,95780971304118053647396689196894323976171195136475136,18446744073709551616
354,940461086986004843694934910131056317906479029659199959555574885740211572136210345921,36893488147419103232
355,191561942608236107294793378393788647952342390272950272,36893488147419103232
356,2821383260958014531084804730393168953719437088977599878666724657220634716408631037763,73786976294838206464
357,383123885216472214589586756787577295904684780545900544,36893488147419103232
358,8464149782874043593254414191179506861158311266932799636000173971661904149225893113289,73786976294838206464
359,766247770432944429179173513575154591809369561091801088,36893488147419103232
360,25392449348622130779763242573538520583474933800798398908000521914985712447677679339867,73786976294838206464
361,1532495540865888858358347027150309183618739122183602176,73786976294838206464
362,76177348045866392339289727720615561750424801402395196724001565744957137343033038019601,147573952589676412928
363,3064991081731777716716694054300618367237478244367204352,73786976294838206464
364,228532044137599177017869183161846685251274404207185590172004697234871412029099114058803,147573952589676412928
365,6129982163463555433433388108601236734474956488734408704,73786976294838206464
366,685596132412797531053607549485540055753823212621556770516014091704614236087297342176409,147573952589676412928
367,12259964326927110866866776217202473468949912977468817408,147573952589676412928
368,2056788397238392593160822648456620167261469637864670311548042275113842708261892026529227,295147905179352825856
369,24519928653854221733733552434404946937899825954937634816,147573952589676412928
370,6170365191715177779482467945369860501784408913594010934644126825341528124785676079587681,295147905179352825856
371,49039857307708443467467104868809893875799651909875269632,295147905179352825856
372,18511095575145533338447403836109581505353226740782032803932380476024584374357028238763043,590295810358705651712
373,98079714615416886934934209737619787751599303819750539264,295147905179352825856
374,55533286725436600015342211508328744516059680222346098411797141428073753123071084716289129,590295810358705651712
375,196159429230833773869868419475239575503198607639501078528,295147905179352825856
376,166599860176309800046026634524986233548179040667038295235391424284221259369213254148867387,590295810358705651712
377,392318858461667547739736838950479151006397215279002157056,590295810358705651712
378,499799580528929400138079903574958700644537122001114885706174272852663778107639762446602161,1180591620717411303424
379,784637716923335095479473677900958302012794430558004314112,590295810358705651712
380,1499398741586788200414239710724876101933611366003344657118522818557991334322919287339806483,1180591620717411303424
381,1569275433846670190958947355801916604025588861116008628224,590295810358705651712
382,4498196224760364601242719132174628305800834098010033971355568455673974002968757862019419449,1180591620717411303424
383,3138550867693340381917894711603833208051177722232017256448,1180591620717411303424
384,13494588674281093803728157396523884917402502294030101914066705367021922008906273586058258347,2361183241434822606848
385,6277101735386680763835789423207666416102355444464034512896,1180591620717411303424
386,40483766022843281411184472189571654752207506882090305742200116101065766026718820758174775041,2361183241434822606848
387,12554203470773361527671578846415332832204710888928069025792,1180591620717411303424
388,121451298068529844233553416568714964256622520646270917226600348303197298080156462274524325123,2361183241434822606848
389,25108406941546723055343157692830665664409421777856138051584,2361183241434822606848
390,364353894205589532700660249706144892769867561938812751679801044909591894240469386823572975369,4722366482869645213696
391,50216813883093446110686315385661331328818843555712276103168,2361183241434822606848
392,1093061682616768598101980749118434678309602685816438255039403134728775682721408160470718926107,4722366482869645213696
393,100433627766186892221372630771322662657637687111424552206336,4722366482869645213696
394,3279185047850305794305942247355304034928808057449314765118209404186327048164224481412156778321,9444732965739290427392
395,200867255532373784442745261542645325315275374222849104412672,4722366482869645213696
396,9837555143550917382917826742065912104786424172347944295354628212558981144492673444236470334963,9444732965739290427392
397,401734511064747568885490523085290650630550748445698208825344,4722366482869645213696
398,29512665430652752148753480226197736314359272517043832886063884637676943433478020332709411004889,9444732965739290427392
399,803469022129495137770981046170581301261101496891396417650688,9444732965739290427392
400,88537996291958256446260440678593208943077817551131498658191653913030830300434060998128233014667,18889465931478580854784
