n,a_b3,a_b4,a_b5,a_b8,a_b9,a_b16
81,1073741824,2199023255552,70368744177664,18014398509481984,72057594037927936,2305843009213693952
82,1073741824,2199023255552,140737488355328,36028797018963968,144115188075855872,4611686018427387904
83,2147483648,4398046511104,281474976710656,72057594037927936,144115188075855872,9223372036854775808
84,2147483648,4398046511104,281474976710656,72057594037927936,288230376151711744,9223372036854775808
85,2147483648,8796093022208,562949953421312,144115188075855872,576460752303423488,18446744073709551616
86,4294967296,8796093022208,562949953421312,288230376151711744,576460752303423488,36893488147419103232
87,4294967296,17592186044416,1125899906842624,288230376151711744,1152921504606846976,73786976294838206464
88,4294967296,17592186044416,1125899906842624,576460752303423488,2305843009213693952,73786976294838206464
89,8589934592,35184372088832,2251799813685248,1152921504606846976,2305843009213693952,147573952589676412928
90,8589934592,35184372088832,4503599627370496,1152921504606846976,4611686018427387904,295147905179352825856
91,8589934592,70368744177664,4503599627370496,2305843009213693952,9223372036854775808,590295810358705651712
92,17179869184,70368744177664,9007199254740992,4611686018427387904,9223372036854775808,590295810358705651712
93,17179869184,140737488355328,9007199254740992,4611686018427387904,18446744073709551616,1180591620717411303424
94,34359738368,140737488355328,18014398509481984,9223372036854775808,36893488147419103232,2361183241434822606848
95,34359738368,281474976710656,18014398509481984,18446744073709551616,36893488147419103232,4722366482869645213696
96,34359738368,281474976710656,36028797018963968,18446744073709551616,73786976294838206464,4722366482869645213696
97,68719476736,562949953421312,72057594037927936,36893488147419103232,147573952589676412928,9444732965739290427392
98,68719476736,562949953421312,72057594037927936,73786976294838206464,295147905179352825856,18889465931478580854784
99,68719476736,1125899906842624,144115188075855872,73786976294838206464,295147905179352825856,37778931862957161709568
100,137438953472,1125899906842624,144115188075855872,147573952589676412928,590295810358705651712,37778931862957161709568
