n,matrix_size,m,a,reduced_numerator
29,30,10,1,9661343807543145861738379727329968360747318324266087496643088128628797855723901061340484416454806444906159040078755442943412696652607469139357271683667701871742452037058560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
30,31,10,1,265568996408383549344794103276234313664796558863515961599722069100201779930426121369581251132614642834444664743123250507673289668826353619704759989383293675971915635417696609515864064000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
31,32,10,1,729990498819551234982587456912046611982916561159769588892670802863884026753388381840946049810779423964582769531775105169710192755420070079720425811155554270120319147897642392013259870759456604160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
32,33,10,1,205474058654233340126601167300005025998060148547780228886651597776122349777229719613815099073343298876054022220944461629414821572272804838403430264478589095701375924653454867116861865542356356143409892645928960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
33,34,10,1,5783580587434429433751774908835077864143572811472030770551607154406796964579734527807229790198231033796398828540485624991996511981318944660739180725221265625970270395356602614932750484465056824778255072212653118189025099776000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
34,35,10,1,65117328446092326895311052643762283175241780491366290628869705193008176150562813198451486336636272370536424908138996488729382828653509424612923398948543262168898023237441548422490998885857558835243798985702017597477448711303481067296522240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
35,36,10,1,1832889850782397517082802171755189663406191307018921761884252780947908096342585866198098193012776216027479008590015982084761399088452696108828481666660133095712823955710669574545075280734654641679682560526831695838459555430831205351382962374814354898944000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0,1,12,1,1
1,2,12,1,144
2,3,12,1,11943936
3,4,12,1,1283918464548864
4,5,12,1,317987388813563376533766144
5,6,12,1,11340829999761469526101508912153106579456
6,7,12,1,2096740949760495307774675647438927281263215959790317469696
7,8,12,1,55822233109153529900804013636894474877227461490150256260562795941153088733184
8,9,12,1,13696578814908776479995762192028953476669713855460190428847391707113327611954842704750673885791256576
9,10,12,1,39198053997288109788909480500698236820906692444706444505262038621995431396530088013565820189453295523526608706057503887375466496
10,11,12,1,64615899763892941349398528819004136995691884425569227399723320566893041850533878731331471195699388856658206452000919598872571113671700955231689327965441622016
11,12,12,1,15338284098808322584184990104893550271512911225911875461363573420691485423495225300047928337544880824380825174046265891467821105224296378158676970874047410363231417517764445029837892992630784
12,13,12,1,75498642557564991682953221286152212095240774870346996431004866303001223690481111030580681374029486291383662072179949569848824324966478233574427734953527384384036617375303467541183202731700492919439351099824383053742560222642176
13,14,12,1,53513579403631316102489850992609210030840141123643351288277644120043592451092147903246720723806016047376229447146715487391529505899918546585974276242527168132955651941392059603850664073243910242703309709905667110168209862029623213324662745892967266623083835625046016
14,15,12,1,21847982641031502689020101608832830718008107947104542908193144988348555153673009669251854781001257658212490110439126334898701129422299100782108665530499121376323821133232921372008199732411567296510390082448353784141942455595953297536467505993024056989230227520519908798615952600986607968210917957804968902656
15,16,12,1,11560155733177291495294799387441300911911671226355397547834462176798888734091514142062051326769954087481957661383580615261203561528762326516385444764602646136333847787964602194326041225563798939544080564977182628797284802359267338520693290611845424564701742833244505983480607352314538141848125868559235966505019458144039815166604043235411339853709705216
16,17,12,1,225485430071529269444249945101150955535184555554823639797065284200708547117846984470576539145582974388890773925583102737419015557903148194482317879892711685700207876489445446007949983797748573104079777810119661484217825883994594812387052282426784726771377458991834291363382425508256166934915206625546132583707514316150585141503349464462799240194248233299219339618208956581966727586216068518095423012864
17,18,12,1,633338336448329300943027273741296184785260213292874126755367454430573849037359847329201089277637999216340858649499507332526473949713635154017451437189469829489938253729107847612597481786979672274600546914280544845195548953197510479541909169892997180024945221889959511880076114543195958051337473798241031096388762330313115951086721536200871942973423593636436278157103988162991034649221079562610587661764014527363858953827372778941915459672665628726001664
18,19,12,1,82996651567775131314160179254435857277757277502364183663234009598373716671930737689894197309255608256222892707758330606476748303674449381122868405617063545149442684299912677121307257999964659172121486196798206350282329071140180226903875424817710154186506224183170762605214199277675381315092448468263411285314808032008287767840946353666795826576449352304590063647892857382552625075620030041021164354974053659531871443290071563323601364693917118690585055859905028881683154979532818761030868020972398948472848384
19,20,12,1,1566202302316419576556990463749914926808343905438502330836583447965000994761252402124311622342808026744816259893532138744694752966052166899629232997823193395265073737135487389577358553388196389859005997238386157332407579346670377483058680682237308675129711141577638598703479880185882915832688115614232071240487158766418452323470279635299120332911035209229158678758451547685750002256777951946081458971316269004757338830585523687480173318089986729444131793238134765355126103537623798766024956017447245225723536036179636103697896480137356665373991077414455867806503141376
20,21,12,1,68095375547636818595009251432302299979698997873942225616914420157941231837907954411522803134038450898135321125533652870555895728044916245909476356509008129149631502183221527977886513068786328639312177290168832433327479828990559377626387828242140301113349922027307937337012247331399235864109833008462262170229921150150766642219909623935244654055153755485813100014578997863637849883787426719795892594576173897986358637552175205341952104687461905256739472008086472631558338657324416437206701530096653081245148959516570689895835638291447863370704969507459867392741854892816599796398157543160224060830293357509283760338588258067808256
21,22,12,1,3837005151054748184768669597069349328048861009305287763546125542876188652157706940876622781514197126094817475420000070099975717031002709688311904739599641333128062992276232077081746571623170571154850471520841823649114798978237771749985812459288708256023482353747920263930317457496512296022462379109887619384304234946164840133682909736899083285833757683470482812066728667310042547547169117156187295958460112600807471626943774177802965052422602128488424355064510830627312849637481020511551179031264155538430499011604571178963569435838475013425677917817617272542347875509711493577057108066422192776129221711831632285921101795064597886286668601859149537079492254983288692115812399673591813589958656
22,23,12,1,124534484825605812190013085078522388328698891855046333272870613711541734390222130968766646857555979556319763995833771381167708090329368163942241971672587701127025953440169466999209177441811687184789622836744168562770437022769175132953778280126841398923027117873186143757910995669390817394943065391733271436143141317501258325367665323176646203330314280757057661822435625884233955492840371065693619122991659820401719699166222166137552159167482928958598495868324730955182235508280281129046360559746382404922486894970377566855650343293538033061759377955430042457490597754751429860089163713112522523818488255600368102152594082896306130105813111259007896288362076388178628746439780036650392753956148757526167826621510603415205598684105253766855070771124868880590176256
23,24,12,1,582035356021943740096910971296387802437776119903395172411881285507119575877103455653071938930617843751121949794538629141399905465157282921475565234933002025837710360303895720321341610368808551920420664407429151412462275245799010870424945597453772085498550168484508243366774684442883128383608244337501180258692998954097918763521055104852269946228715074436930084000069729896193967290886661316161411873791973614659873742668217271596972352363725087778138705985641694326279077762995637579606853294611791355524759208886732592079351015208366633758528021566727059600991397120797166550283090908992034711514808647260608640802466726588068228567262844479543208641023233806069122117083620948459169912890644576369088538573765927736865918810478746471592573948317708268114909821647156956909047864224586104609661148090859746669682391546558114955264
24,25,12,1,225628564733514654232274668570455875381669032433997517018031813871970571757523576187627902685269701080302957952801899258455858152509771539777688592298193957708923889541003167042415040036397039917399602222033141752110435160343974439482511200085497017387204053082608949572987936884995919065814655732127446314587286419700845710333919133613160793863574172956688440915150948740675680503302609963148533499065329756749425704131395010233679803422964679253308362291298480007981230566123946874605291749036088228478610832700776315074967602619720985576260248889147278756522971830601858138485670053653315340221138353897073239660014724740189063611179394638222152098010840143381115131343219102732916600313237678690366601654319614257326668663614550850046993620420767725106117218567469263490067609590986738571268047337418748230479429375039770542321673603356904164936040421578480307209745329707253442997000195537225073557504
25,26,12,1,12595090336637992224583658454687192943539931120023738524834924408451719681527649279848912051259767163620605884805735363311455113137215101073440051105464082554271247276078027312085194948768027060151163631463430488471427509334237553609616945683407356323990059916314698115600903745915170438734995957194601920411366404755108362553732254345562142041760748164170795507184739688308481963671104221030830543698082511422058463692433561375122184264578187910736659129277894708506178331482177586480483876005995387336391626022679476059120509606778685399912727418894664450305558367725959057811278217555942635423302440446383897926559976844508201749524799616840862631227317179021421884156331005276515547953913433171372913071518570254185789634448627980280090057551191339537983478005270753914308210692198803924290361785683158493164437200075734063482798832330977931383791541990848500323939567195452829073240085125418208670801658834727065650499622675009829359405580007240925148023623758116863503537012736
26,27,12,1,404977575630328132767229488614747369945522964722591827281952051207424727099456359066904339021732683368352720948750155256029776018279882103477199180710740907559611843933547485465184794301049919979730654348874259428665731479548020510004506368533278717130918824129364243043047410894810307319877160691999166052494280243971817922561172254213576569502544860516091839248336069889745580992669391526168878443586292716065414710073600934285877883659546008519029891105746548248968777768385334352386294333408189652550006380497277639494562211721812399692147095812245801254574286826390015401966039717695434514973436126484644191524626679243851101136282121146733036147873837745185526383664926914149871539189521775312401348333264652393210983434782677952836901680857478078015681118623623637943429125659512733870179184040046207854270521338187688337455214356235538069572724255228554437422944851796898895301129697049061611756227003636187711758757031713466539490977716901770819200775800680781500716437275959866755482384320542181597483400436385215840764188478609947537141189710366900224
27,28,12,1,1366943883363385142246763620526995634155779710617067154451459335340446843325351570827718586068627664361105086014607484901439727274315141803297124772100840333550192383573010631021254609026010152352205428134693793214715339359192275404534723256640595999303232966721273437126056687625826446745667085044953050459729237893050032176323937276623724278019985283449462945368607649728720953258416669985216222627370326065642052833590973675262628038648274144523357329196066979050281978191349506344593057703040570950203134756125202433281549742081009578625389906844650235249448843684841342308935656606947410869697828459660288526846074185059951023116004065477047255163979616666260318923535799258723287705588709427915129015905918347458142168495995710823323682439506788567233425769232018978651486588424233167365436156452361917814634222855825151600907380024493733387149080446279859480864518399648847929408760582345438648391667529910181774315165303164477236075872777104179737158143238904192660651861498251520471387997083936983246302770487590410817923983931495032164063549787337274146602044410277411335035318625542122102040037006386849414778495403163887392118345302016
28,29,12,1,10630479898124934635761235425275943030752418396092457103823303140597622893285386144822933808847883550491155911612339825250201145937011185903681895608484417849554685713649733620192913922236534758525458819722507723966714294917411851785444115207110581729777851237722801076340131249333179886805713645625350951863583814732196193966990205591190543641338242641092057948753983733594064452254802511648028830984097146464283205703699833788892853256076253518145210212029873235109043006221786400914894523285526965462899900493948572227767258305159357419339410471176724701356956975930138899663271071559928462050660306911080596452185971969769282652004116268329291466996429703497492715217419507203596905039079644818018307925129611863961779156730407984817671933563021560285309023908807818020002061508428199132765264866955332787751758827658911127341942372844726945486259917789407093076796495616413366828582822137271396936254541049833762815995554350848495258944458374298883350865566066655275318346676852152887317842134898888341874188001068703993294948654937159827682484175206504311546348322466740843852815084567075001540670948194414139171921742952270638636367446095168998362828241480395426663891002863653528666976144294290301378163545319601191543977803776
29,30,12,1,11904675100808901400869097946305792958634005586119819008164394334643437804887971484795474029366331548713196889425484017346397535534095069796279149056195264315563492236899045098700585879875707211607534833157113145728789945481237772950654519545207620185007398023592751368113591702721245070778954591922203601631525695637043905854959976031100640601298207772539685407671370975818788567270250468509387325591214365091458480706672499474172121518800919363444861509398306171770303292518022156912838700434548249514060948440494537089160205940093892465113041727371081922813360268675775074952805109054676185791697038897307864039790922745325022239534180430648941001026082598365360769544041121451790027818997786454772340025225766151083634227303794476428078471648085416874563056002315917201947720159857165540940827913979552321107395468205391587145480499903269633617641793514005708548562354840487630318692849460231733177503303030925055203681646804609655277634123957693767977043981056432394142832032434848616147556669927071423514021486869382189788355330660769877219997292672548076652241128199155736448165134939321143454099783767752980617089679889833244918087230674682387874495949734650680438003589688034027153285736210232193054333799380629747869263030162853482032985003571538242241106378855148501663884090100037184963122228646802696272907075584
30,31,12,1,69111006327358331435888043280443316200714063227417422298727193209674541578965852926612957487531273353670621779749001299691377709817383174883302842894316994126995618568865749458635429406961758741970288607371754973958040682461059199889388428361807413534418899647167121317972220067902900725617823067007250657907422278150050255252511606798499863583946593199949468451840446616433091737374753843294159712800718759714610442496754867793507749041924083945907949725026089547080050467787101096951040567321846473512906277818458626045043118634678959732252158858971862514696127732125278336757984075117566672903205679747223433766797196243906105409039196197968311950245121441037925680081886313035864296136668494559959083328019592245309997011532499362186848449922710008748687911999287763767907269845878307970841290406871550310293056060950780519873338112372814042244063250898106325781362738473823574830923631315143423025646240356418900747579846120653889955155366816318567056010747453665154325409888605845806443823507491028537551258662928463180855721632916351660136972096124452145269486697942469109915924182899855841888726144597646871650011967757326186550694506747540313249326381872650956159499708394041741144183474368256846875632058661645474432503215230836991889588005213175105877234302174729858854322954452918303832510037511664952954463613325684589145282028189136194257780819930841193343940072080083108608414085203202704793759807176704
31,32,12,1,57774923409443513671283931020404879211583624149588221123081747953454821702516644660190980203512890296470839850044507454515433578719862999648894803020585187833220122334977864700946488906869471964067715738510826119176358370750117736539347682540176225367826391060897284968106492880737755779651114546989329762642391535225390146239217582952955229099842612427140053722542799246407195488077270823318430738599051254677416513568649324185525730734296966028786306930128219247760764339135841722215844308838274315001599506209885970045216406431016093273646271889867528189629406734351094411076553550354532261854622042217306752154726542038967260451077334547243826941411147127121762487443556891000259465961497474404676708806206748592225664450005088125369680261077705977650343235704433820762987336297685171141727184071403421764679687426893119907867033008515721703895376223178852136545245428617323579339601596907404220742610706490936152354985374045823656096588376839546950924104915211805461670124923010637887217951220639456554238096853825614084551950412719603377929202090036476083161892579142680431726629110780153502444930261972510955470452653986423953610390364437809649670512056685612784833428194575774279324029886777613076937411072941109503283192277285562316123037270011574891808990235725937942869892388006788670122346842569328153558084249602244845995558522532855457126914334308795192198930677431745759918310571082719748087090787433958112671011754093497291188811680665642249671252155501472928667932796538291313953054958762701357056
32,33,12,1,7121869128024850515670971172873065145117234759140540309512118445868069512488959830602082672438625566015620447105421077413095028574493943203731740347320868680337120157948822934433252668876904966999359020363000160180192973451653317854350389308359308930140246707175284260154647935333291649952468396430657598025870244263369271758521493706405101137268494918570011569766188552251401142830350436686027814915156732155448619882712599143590440279749616362841196440554850970673393688555613128827499184428882885389450905277921189960357938421897896818572196977738987890077766531355541517597190881915347797950417507854906823741174624935611089002894935160829171522334208009462732515267902796026055733502576334790907810457667854111940848682532013759905262434225227205197335104194327768863568924482947215590060795855316557976152271936025247028041341765805717958016965250107388592182019274479911831629022145330038144212954800143009660299212396315601363654935228246598045574271532708128217624227405280134927286105738006404894156487241447562002015166009917395674634008833304752461175746217234696316830233589517172285832557907810686284876384936807810126904696513601577841909135258856697490680063202026860697831090993659586835939792010198481028769659158314907777810064696700437909878011297015797471891675326717018131840288305768704352488933224459006155891960659181151690115810170312198024695511210786907175897589279008009976202773470168771527304664093183580466942228371561159343366157081927359237390911442474048404024142410039343402590848209122252025394139162362532282602601122786259785737257608428057794185323908684673563593692156002304
33,34,12,1,1137767700605486209926428989839983767270607503213146144995116196897416517006393829626321934850840043796133272851851405768052606124598012618631193861152943155178880116477297116209682085575021483265379182352333599701792201797647167457418040709047335808301872467098824341334220578992925445590772804620434444958257694741781549070100051602688772074643083047519601339001705492350334466458049693579069723998054738255068323833538992965776292291817216429193098130483220024702186806560274702304322954400444681323464433370625312732452150978260663023276845181769977457794792686818895089355392611042106378901520581719147192455713672572540520993315731862847660508389294569577861730695262318971182802264182189015088314571818792915902287171522831007811041707821477723782650040776411636133456232127220229345653506546610215229553023437327148985649329116446859898485309517775616174791446185274793900605349580759918165620877682549364545408158042975822690835488685052036610391188383334273355497472388095503225770896341670809789058844541872943098051440511545116276325168703532257353058223489780428464125137058344017557744060978195689654535010318611557622401927712823646264146918644150831824216875058349031165309721886685002594838451804900341707491601874588853694443189322345934461876913013430126397003251845331803129396719906622617463143330262920887151607171875683350545513502373322503875163198550914742309734895237867616729553290702364249829179537715989656122553311146457891611890019430411082231456845508380538012194129862082942464455472430949427016221829494775389933391567123695451010380953881934714052633851620679698013081421516300280635554188894692209333293871677383662132610834267193333051713593893219624466805562972691258777347666477056
34,35,12,1,104697351600795817467957674812193760507316323873730796155413466840890178850579303608471489009012701640802566095309160121847474073659008655507012040332949113427423546747214251883176012968977394383724902831123485756446090164722992531157821826509311803672483175968329746454437394823935327703941863124982582879969375971163725367902596821549833093863438884985313782320274208423305939770204102244986165075066180064534479981733698134855880432622461158702617280797773405354323678758767089738199371316966616586903214147240881845449026817271059063446007076280270957353372308394597614868743903265851152179286226897769349877850346146777152118273260536424657719426687216542538380284644293566814023712399254097223647820988404320769247953861853567716670711138861141558575712822230861054346747588945265931206075212396988693684833090669374200636374353175988557458348804427274554980274398779032798918099655831987500339329776507037909905231808132764710423450919435979322219416412099711726942669049455940857647070156018484139798703854386387879726431537451282844247809071005715098381615585184225032267748337610553704770283920172138231270942599559526572490716761407251629724395285218930848411311436326369297736742941156127409403060524793250441039853155405703051219386943578478450216950617508671450661328754933537577101618561843296047882261899597522633162412924540064558273686083382853260269895955401545225271894042579160733913280056843580731439268244571658918890853158030858577227980320475387529403911268351130188381219039512316860408100552780952812149676750254166357976001683224106355938785468244165746993230246215917417982223892198314955730926398502971236382199207299220672321215653725369971494238062490022750755187872964859228338833503943437170927016304944683780520961404997299413227738925787708130154811545009309171326330324885680577927167606784
35,36,12,1,1387331615583537167920952067988004150225839255179762202323372345902937856229343420305982220881568875615042158249699399909290601971030970743543383156075604589291435626301609578484708757757859762873856165509216278674176065192362273037433999575123316173312192078334789302210078300170084004737680363024448864475073374006134368990269766674346983191587628439163564415054098410124919220207293817107144597617846463329001116582957740491734665112259816163188471719650385157196548765647585712894863657671597820654951743515764957500190548993178421782087257111105800838063782548767362259435380640417295595713917652882405776516089251410362690329737074310582253715555831143219086882489605779044313741385133886267409179479500139925913561327516050912986045375393177710010562032425597599725991188624432681038386440359419651908771180761329454024142702052448779114917596970216956232392889263479851356616763965720694857503709229850653508568153984041501186515217964598477805971407738180469796522386901307726711459775984719530746965656682302351761434496889069961496781879582482579896873541726689271891107452022369608803904689535455768035654546068292949091014446987549446215876932306745483551009426683722447510003792108738455438126295091597478627181160881392573487884524771169767695477477724777215152605198363817423127989977042264264597192436357828541604854112662950024675994462194369819763501461902232876102264008952595065489437823334604426375666783277449317858944137475271932953273193795800421460869302434069360704884483960447769780649158774052172092088078212714790817230737153601916030255730944295974385696373407455822605540802252879070512981037424986456404988395427465868668569880735876697416687566910492620836550732502760012926088985787475864564850275466702374539462017877292455026226236185329166095936380494739878688299198846650718089877671087079364050954284529913700357458801337502640582966305348612237776327432884010799513859954822270052754584758124544
