n,matrix_size,m,a,reduced_numerator
21,22,3,1,2812664952875311166517606953755665064219382448844790570638352576069230715767725299562773466458556890873979973973744554151934652474803991827298653036095123461439231227196192790717918139101881185042497725068882044251379247204054314079366064178650410673666069483087549218522875740996972783183948402685971121
22,23,3,1,1073089126732417560423604670169214270819021626308538122204251117260246637076453712547665257964764481377436365249200627172100203803885808951563653415014174249162266037360862386888815887912246729033831058160217347645867651043709864053867645767879504581410337281621136301273115915786023554868554880176353370639774692528959480020546294889
23,24,3,1,3684648772192923613430224670699460881633650394017230404648791903926607970214937715774009138484265465992801555613440359867470576990291590634596308784454006482256107291820998098281608604322311782490842208616333004295201432239088497452057112146521708653032218696554043080647207150680428896510431827409676483697657854278358358041155685552674152385045589536827514984809
24,25,3,1,1024805428675700593287532318462421153521073042483874845373560598495648781750697755524897628626466579884648706893373133126120364455880624086214023591365260136263401650022839437238025490849174632070106917692879555278572548959333554942793203189927669778796100454074273642882238637345658973119008514339788962151916762803935518297560299675186517385382399532311035441160170097986715522061893477178318649
25,26,3,1,2565247350336538756158496029089399488342665074148586598191338322780709497564665831661451831933344895389619261270654023564506356253988331756965350599112541694997814930496466779507741289971109725554444907690651495042175769213189807845030495164348486442317181026874535610643331227069289920564720047434146322527875184136842319748464686354974891958289182069083961091717150518771893164820785391432554475730404353788016234328048391698001
26,27,3,1,57790917239978102632256205681208657797695143289975626010601468196134056967662170791963725865409773298249768068523762078717664412328148991110219893626746295971458702064848002016747056522947240965332495189402048773953246397881318325208320275760320139917322979603097332056032234102253394462919397527880837380461238320117310807010728354303343978242879365197981433225888594882024776193175219460046142825709823051165690812657222437350822979427333705214063427609809190641
27,28,3,1,8542007828022506298797685466657225210283436423868569333942116854761733112969531159487925748014878028932598361100432070378989831620982078276611085996107818978911653950359229589714551010081337258270972732554912297906749282699814415839813491649519960343511208839547879343262944601804462947058117140203927401249159430438359966461711407849913682387769343391041663082607459066522850680902425571468083158814349040615925361726867835095495198965863822411609604451648265166289860318671280899194607908886446952241
28,29,3,1,11363257601173675459310453007974759380653713771493695119164240948270066843661872654070951600169015077837841704082746241976992093577580243789754860196833370562915903665474986809059017326239061256829203174999578876331736429857994442113303936699415407550535292184272070346650675976896914003706019794024631640353902661685930267569859142262167076271836447495226122971268816191621437924963496486053492688779857751967185940214040774135623668415373844783461832108823919816975906154060613343287042985964368266963706810835576481886446627228683631864569
29,30,3,1,136046774153415106090185329712221946934288993195162618436576965839905590817358745136402897062935529673585285433803249398558127856908042058315233669556908377741484277428879973728009219812844836542772187514816427690160981905616928342154003824801107875688723379287325629850159159288380793055701028758113418562565810488339882783616014913541676694613101093708815658188829780680320041806960863459420655730836601976416402100988754207309157876815063580530699571784942986958974730243414132927620658425985013959370808162745515448805658798377056290879773577351371271263208671870902506822516489
30,31,3,1,131934587596318231259076399183826366968185916602993582761404966798395682072385966650131277335570247963781101881338520962575417700370585240255303929991210669085868849100807285534408029750705667092067312690508612208601109884632084344253985430033804759431525684780949976403722382690967331337961098700229589607899567544261463118449040382381636764515743979452856482049080506978604772900249083187671419808023626535383511225127106275222764674685445010622241198902648895313930975775435871945722757920414290263252726058587618855785497888959961444790105249003279194357144605689540832960927785105475591524176026160859822990266193994729
31,32,3,1,1151520273911342516100471733379665425999144765591118412771742687993678419279992777847267327413288686073644093550614699140536141594820779189312899465207245440788488338715119671160522475442932744133440458977265358798920805829122392871953668779546757357492332014585490663523290095617069741320877626263383522252701323207790521211108693103391251546585310990097298163599006541522563578776957660417180138392544736273967743116203931488205663608760514488178040976296199410758354088629259455371986227974706459824613613451046413093004108959134357707926520285848826665232904141238184890357635440694314138779302179486042264286911386186674430426302332309013297246345673665747522321
32,33,3,1,90453842987513228812640349660377021895643067141836092615990305071496447012785606226653901873996317778874389397783721223253341676732077246893501959422557337279262816636227120187558392619296442748140799025238501803225364046851639868594865282288911927415706723078205484516674776667429688978631951571734722420871840986860086493084347410493054643512542222546652074254160841190205586132208873947089161879849593522834044186733027590945422359115044742657490021010954050195769065296173872785689171798895797632533109573282270464866235535087142007994744963535566759745270151933010241605741206199261741289819100785322445987722655663344367050567021648378251385658881760121508799308662936085289025214613484130072726734148161
33,34,3,1,575529349871446874509922868766829819785196086960026039193359518887201639754748339232653174663674978258108282369167606197097875533946427089313860016945251928826852333553819397054774281879996523050649262367640651335696422700523005445060002909447273532200680124413732769122771911340306924945230401663087804233502711980404226294432982888563484424498360226765807331812075318144446524367124011487968106999421907677422802924465407957871546001054657891625882228950720760642697151900527850588011824699284147596005547121240951417205591037477454039519737131235025106287735039384387878613370737922684403040059375942766161258771995337545059789854776056070570585907731451462177670238027516233708913419062802075846618912530953605649416604678899427246804845762750954335681
34,35,3,1,32957209938361401605180246590191032654492611640063463364506588397889526019875447982372321923371880181851376100365409890507276420014442039920741586326720518520165170218467831387885061341658226435962070181290734671560769850880305531725203051690190254373241960917431338667250522473931297387895332130577113616758806147641514317883744746568061498804021680340130264717638649041461643501311967428587576534078276333113800154397788696896752161866385663913994606457113056734685277214704793035117731780354627320021831702336246134015378640526423584191789264413619027572379622091081012842986674883811127515556615061670244314810045206681136007450553821927666045608080119352177775417405174693087191509428400755846133521349702330073113195835434473021819234671864629074028622402917568738567878024985675500417210449646409
35,36,3,1,16985405148277103137229829296950057667371455336786001359031885678961864120151673104164304116070380850260517696561627890974882935283176223069556944646467373548468144889522592492792154962915506742307235052929563117800536343884448042237892193580557647812231352976945721814752381671475887292147980495357578034230962403360056994738878371629834124424626425357079877468856876894023104756440074758099797466756720276198370631236782940208728433300919347180469250670960410643830346442044314481460228371527275891814522753654194396659833927676472102466065439164517883541272845608090130679528218353930777600612473438704798256013500293003307986026815557582504809268559869179829267164686034852820769501377522481368820089226050325514954310046696680911130983762187645335461045124590872715474346438794899473805187892006554972985164691553260507204759879266411209638144409
0,1,4,1,1
1,2,4,1,16
2,3,4,1,16384
3,4,4,1,268435456
4,5,4,1,1125899906842624
5,6,4,1,75557863725914323419136
6,7,4,1,324518553658426726783156020576256
7,8,4,1,22300745198530623141535718272648361505980416
8,9,4,1,1569275433846670190958947355801916604025588861116008628224
9,10,4,1,1766847064778384329583297500742918515827483896875618958121606201292619776
10,11,4,1,127314748520905380391777855525586135065716774604121015664758778084648831235208544136462336
11,12,4,1,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936
12,13,4,1,43322963970637732180912721627235682866194329302747133987038743447103457934462900359999600095377180907771737671271930809827721216
13,14,4,1,204586912993508866875824356051724947013540127877691549342705710506008362275292159680204380770369009821930417757972504438076078534117837065833032974336
