centered_position_y,saddle_theta,rate_I,quadratic_12_y_squared
0.2,5.957430607128943,0.5335550443562347,0.4800000000000001
0.20500000000000002,6.18214982047378,0.5639009296816097,0.5043000000000001
0.21,6.414463413434906,0.595389197980861,0.5292
0.215,6.654866565691054,0.6280590443617506,0.5547
0.22,6.903891452993366,0.661952230950495,0.5808
0.225,7.1621107181975505,0.6971132803950404,0.6075
0.23,7.430141334568089,0.7335896876854262,0.6348
0.23500000000000001,7.708648916081398,0.7714321523831749,0.6627000000000001
0.24,7.998352538399434,0.8106948336484419,0.6911999999999999
0.245,8.300030144761967,0.8514356308042696,0.7202999999999999
0.25,8.61452462354738,0.8937164925673156,0.75
0.255,8.942750659075337,0.9376037585556549,0.7803
0.26,9.285702474833647,0.9831685372264547,0.8112
0.265,9.644462609301799,1.030487125050289,0.8427000000000001
0.27,10.020211889632337,1.0796414724814845,0.8748000000000001
0.275,10.414240798560126,1.1307197031930354,0.9075000000000002
0.28,10.827962466185722,1.1838166941051327,0.9408000000000002
0.28500000000000003,11.262927562183673,1.2390347249939606,0.9747000000000002
0.29,11.720841417379143,1.2964842079901686,1.0091999999999999
0.295,12.203583768898293,1.3562845090607705,1.0443
0.3,12.7132316032911,1.418564875747872,1.0799999999999998
0.305,13.252085671100184,1.4834654880365892,1.1163
0.31,13.822701369453304,1.5511386523983695,1.1532
0.315,14.427924843053919,1.6217501629000353,1.1907
0.32,15.070935347252236,1.6954808579942662,1.2288
0.325,15.755295161243817,1.772528407401757,1.2675
0.33,16.48500865027444,1.853109370693982,1.3068
0.335,17.264592473606783,1.937461578119045,1.3467000000000002
0.34,18.09915944770103,2.025846895437213,1.3872000000000002
0.34500000000000003,18.99451923936027,2.118554448661307,1.4283000000000003
0.35000000000000003,19.957299933363117,2.2159044025476584,1.4700000000000002
0.355,20.9950956652446,2.3182524096386405,1.5122999999999998
0.36,22.116647033065878,2.425994876250063,1.5552000000000001
0.365,23.332063044667503,2.5395752301876993,1.5987
0.37,24.653096122978397,2.6594914253451583,1.6427999999999998
0.375,26.093485476665904,2.7863049849127215,1.6875
0.38,27.669389380151525,2.920651973809914,1.7328000000000001
0.385,29.399934240094392,3.063256410982909,1.7787000000000002
0.39,31.307918727657263,3.2149467960601523,1.8252
0.395,33.42072621910667,3.376676651329161,1.8723
0.4,35.77152063957356,3.5495502973837034,1.9200000000000004
0.405,38.40083324749203,3.734855531875745,1.9683000000000002
0.41000000000000003,41.358696936730176,3.9341055325303955,2.0172000000000003
0.41500000000000004,44.70756023687274,4.1490932635499576,2.0667000000000004
0.42000000000000004,48.526332310586724,4.3819631002127295,2.1168000000000005
0.42500000000000004,52.916102502328016,4.635306584433039,2.1675000000000004
0.43,58.00839673331794,4.912292670018079,2.2188
0.435,63.97737763793335,5.216848364951815,2.2706999999999997
0.44,71.05835806733901,5.55391488517019,2.3232
0.445,79.57676684418637,5.929820245401501,2.3763
0.45,89.99510577047343,6.352837456777962,2.43
0.455,102.992320633117,6.83405032427531,2.4843
0.46,119.60483080017009,7.3887531255860495,2.5392
0.46499999999999997,141.4928298002902,8.038830165990312,2.5947
0.47,171.48275738386866,8.81706243147525,2.6508
0.475,214.78561579230643,9.775572506969425,2.7074999999999996
0.48,282.11589874885976,11.004252007399316,2.7647999999999997
0.485,399.31704702962026,12.677524917006451,2.8227
0.49,647.277512439577,15.204327698098155,2.8811999999999998
