q,m,tau,normalized_legendre_expectation,heat_kernel_prediction,absolute_error
0.98,2,0.26111648393354675,0.9667235452229513,0.9664836384946975,0.00023990672825378916
0.98,3,0.37716825457067865,0.9313924376128876,0.931342722808954,4.971480393353674e-05
0.98,4,0.49322002520781055,0.885278049948129,0.8854732805524264,0.00019523060429733376
0.98,5,0.6092717958449424,0.8301182520862607,0.8306007368915559,0.000482484805295244
0.98,6,0.7253235664820743,0.7679082331880062,0.768705661173425,0.0007974279854188055
0.98,7,0.8413753371192062,0.7007816305006087,0.7019056898276844,0.0011240593270757234
0.98,8,0.9574271077563381,0.6308907488443014,0.6323366621862497,0.0014459133419483566
0.98,9,1.07347887839347,0.5602950951268602,0.5620421391651506,0.0017470440382904115
0.98,10,1.189530649030602,0.4908659902766619,0.4928789944194817,0.0020130041428197804
0.98,11,1.3055824196677337,0.4242129017896704,0.4264446374012106,0.0022317356115401565
0.98,12,1.4216341903048657,0.3616346607625285,0.36402894855082135,0.0023942877882929025
0.98,13,1.5376859609419975,0.3040962012932102,0.3065914935946296,0.0024952923014193804
0.98,14,1.6537377315791295,0.25222917315157967,0.25476232114287695,0.0025331479912972664
0.98,15,1.7697895022162613,0.20635295319751862,0.20886285447848468,0.002509901280966084
0.98,16,1.8858412728533933,0.16651135457327262,0.1689421968228926,0.0024308422496199977
0.98,17,2.0018930434905253,0.13251975071010558,0.13482361926033082,0.0023038685502252375
0.98,18,2.117944814127657,0.10401735463907849,0.10615604785493064,0.0021386932158521553
0.98,19,2.233996584764789,0.08051991784926812,0.08246590280798315,0.0019459849587150145
0.98,20,2.350048355401921,0.061468990619474424,0.06320552022170016,0.001736529602225734
0.98,21,2.4661001260390525,0.046274956163414524,0.04779544600788626,0.001520489844471734
0.98,22,2.5821518966761845,0.034352161717221545,0.03565898219942123,0.0013068204821996888
0.98,23,2.6982036673133165,0.02514549518264063,0.0262483666391346,0.0011028714564939712
0.98,24,2.8142554379504485,0.01814860758644052,0.019062793366463007,0.0009141857800224867
0.98,25,2.93030720858758,0.012914611105823606,0.013659088314069074,0.0007444772082454674
0.98,26,3.046358979224712,0.009060478460910914,0.009656234450867966,0.0005957559899570536
0.99,1,0.10231818863375726,0.9949748743718593,0.9947791702901271,0.00019570408173223678
0.99,2,0.18417273954076305,0.9833473882534822,0.9831832087935662,0.00016417945991604945
0.99,3,0.26602729044776885,0.9653490606129562,0.9652334791215159,0.00011558149144030444
0.99,4,0.3478818413547747,0.9413346614244451,0.9412835204820726,5.1140942372468046e-05
0.99,5,0.42973639226178045,0.9117706037080048,0.9117981105569686,2.7506848963751872e-05
0.99,6,0.5115909431687863,0.8772199096194689,0.8773382715397371,0.00011836192026818985
0.99,7,0.5934454940757921,0.8383244261386782,0.8385435364689908,0.00021911033031258117
0.99,8,0.6753000449827978,0.7957850729940452,0.7961122580526558,0.00032718505861059567
0.99,9,0.7571545958898037,0.7503409684861105,0.7507808047154098,0.00043983622929924727
0.99,10,0.8390091467968095,0.7027482956481277,0.7033025047819574,0.0005542091338297387
0.99,11,0.9208636977038153,0.6537597425942051,0.654427170479342,0.0006674278851368238
0.99,12,1.002718248610821,0.6041052807262661,0.6048819626473676,0.0007766819211015192
0.99,13,1.084572799517827,0.5544749389558278,0.5553542510217269,0.0008793120658990593
0.99,14,1.1664273504248328,0.5055040994145921,0.5064769919415137,0.0009728925269216974
0.99,15,1.2482819013318385,0.4577616896759838,0.4588169947854734,0.0010553051094895616
0.99,16,1.3301364522388444,0.4117414881753518,0.4128662902806642,0.0011248021053124162
0.99,17,1.41199100314585,0.3678566029527716,0.36903665771217414,0.0011800547594025383
0.99,18,1.493845554052856,0.32643703781515815,0.3276572227355565,0.0012201849203983199
0.99,19,1.5757001049598618,0.28773013186839647,0.28897491024916044,0.0012447783807639666
0.99,20,1.6575546558668675,0.2519035536480506,0.25315743309265387,0.0012538794446032362
0.99,21,1.7394092067738733,0.2190504533089382,0.22029842064609803,0.0012479673371598638
0.99,22,1.8212637576808792,0.1891963269978468,0.19042424310066122,0.0012279161028144166
0.99,23,1.9031183085878849,0.16230712617476734,0.1635020667190544,0.0011949405442870788
0.99,24,1.9849728594948908,0.13829814912676316,0.13944868059211504,0.0011505314653518842
