n,power_of_r,coefficient
11,50,15217993038018017081835
11,49,19354658742491692424805
11,48,23602276246567770051300
11,47,29072878902526402808865
11,46,34433028159471241385085
11,45,39479450476270114104795
11,44,40485142227453976417365
11,43,44651570711192849218815
11,42,47713362613485827428170
11,41,50872875685373399132475
11,40,52661214327953105239365
11,39,54049140914623238884500
11,38,53640100335197306675745
11,37,52658505183940452771975
11,36,49981321719010713536505
11,35,46982139609024894464190
11,34,43866215762984199134550
11,33,40258919674568395660860
11,32,36055394193434239513890
11,31,31803162777361253903625
11,30,27259983343030167229500
11,29,23004528101610278568345
11,28,18951645876539746525155
11,27,15418241841166794765135
11,26,12274082857989029402325
11,25,9552865717678619716380
11,24,7234264259877487878045
11,23,5326903574159124607650
11,22,3833744100150560696100
11,21,2686096545668795529270
11,20,1832966231506530390270
11,19,1215147705902217732645
11,18,774987750172079839395
11,17,475278109542808016445
11,16,281092497762232496340
11,15,159238024328029271625
11,14,87037657240123965375
11,13,44672197681973591730
11,12,21534435832663308555
11,11,9741386821956815025
11,10,4133099317092360615
11,9,1601787474598896585
11,8,561337424380257525
11,7,173214925568144460
11,6,46311668066528865
11,5,10833773850674775
11,4,1937566595539575
11,3,253936017009675
11,2,24336279717750
11,1,1145775881250
11,0,13749310575
12,66,11483848701236628577562625
12,65,7406321868665814506209875
12,64,10267295315949111247956225
12,63,13067502592547877070246650
12,62,17134001515273679773211475
12,61,21283185155271090211036800
12,60,27082238348060497214664975
12,59,33080613238100720915798175
12,58,40956290503301654603995950
12,57,49267098482525895131084925
12,56,58947944498771733396441450
12,55,67040933610265298554372425
12,54,71257234823452323170026425
12,53,78463441418378738960162925
12,52,86071762606869726261220800
12,51,92608144784543120322085650
12,50,98899766287021594829382525
12,49,103472212459007874792462075
12,48,107234057128568552295515325
12,47,108602743124117287324956600
12,46,108629613224762548776355575
12,45,106490663621024986852822350
12,44,103195603743545225746535625
12,43,99657335002599503810534700
12,42,94806260058665531236464450
12,41,88872660697268938210597800
12,40,81946389979142279076335850
12,39,74507929482082585866646500
12,38,66519948660735454749312525
12,37,58649361899006221361743725
12,36,50854684198955104509841800
12,35,43614604870285036377289500
12,34,36873472628258958678109200
12,33,30606427662346841025139650
12,32,24957150958563614076686400
12,31,20010103085986604322108300
12,30,15712022254715529310121400
12,29,12148973026113003791789925
12,28,9216121160932136717267925
12,27,6873663463030108402881300
12,26,5007318605282899027895850
12,25,3570304227623076449583000
12,24,2479354433306113326890850
12,23,1681838042920600222835100
12,22,1113682617490109836917825
12,21,718003315251690660388350
12,20,449203827064351563024975
12,19,272449217690299260210600
12,18,158918882209402748635125
12,17,89434935552120788581875
12,16,48376285884460862853525
12,15,25088818966765894390050
12,14,12417712068258328154400
12,13,5768764221967424803125
12,12,2520984893730854252625
12,11,1033229737892578928625
12,10,393807368370960794250
12,9,136069856979854923125
12,8,42406808947072242750
12,7,11588619831472581975
12,6,2755041788771724375
12,5,559182921162465600
12,4,85976157689296875
12,3,9835935968108250
12,2,799756148216025
12,1,31307180179275
12,0,316234143225
13,78,20420428775588380288420295625
13,77,13169828675528758300950382500
13,76,18257195466286871925603898125
13,75,23236581178223621720291154375
13,74,30467980463422648400845841250
13,73,37847664262486499206356821250
13,72,48166223112617048561452955625
13,71,58859429108796897222972330000
13,70,72969881195661236882333988750
13,69,88152022753570995022170241875
13,68,106820782825018192481874448125
13,67,125884430316126274567963938750
13,66,145286478681715915916146149375
13,65,155262276035599018977402586875
13,64,174052038132195211861792920000
13,63,191445035014567566397646105625
13,62,210044713504670646729790162500
13,61,226282348597305498483472987500
13,60,242993898439655750005974980625
13,59,255833995636918375174038791250
13,58,267835747467456555185675126250
13,57,275024306903244256431349526250
13,56,279957846174766469552566473750
13,55,280139080030195577910063345000
13,54,278658857589348069091949315625
13,53,275213970292190959480831380000
13,52,269373865291588674633264373125
13,51,260300959782454744307655125625
13,50,248831863746908585109984517500
13,49,234676643533400645210941807500
13,48,219172112224152878086722050625
13,47,201733209421234425760230405000
13,46,184072459103915365780376580000
13,45,165807475986736958345047951875
13,44,148032094663250419925921743125
13,43,130664615020576481336211720000
13,42,113911592596804669021863007500
13,41,97905410111834068346782554375
13,40,83114113587878459891392087500
13,39,69614799938993476788895023750
13,38,57537034966680406453914097500
13,37,46940773684392841164185649375
13,36,37796122166564412567584167500
13,35,30015358266764364165732060000
13,34,23481103188988076190371938125
13,33,18056941645403321131723126875
13,32,13671551292040087916570100000
13,31,10174080431071871153604765000
13,30,7440563760694894118549885625
13,29,5351565128858426317377037500
13,28,3778465978367908241321407500
13,27,2614668330102406753320770625
13,26,1769055077477129076818308125
13,25,1170782909517676370946030000
13,24,755957155048012827505220625
13,23,476835193429504991446365000
13,22,293121487566095472157623750
13,21,175053999291847673944196250
13,20,101312235578697072175496250
13,19,56728496402292641417741250
13,18,30569294937576968823875625
13,17,15884804093819828184517500
13,16,7911936382801416538072500
13,15,3768521953745175212210625
13,14,1701625769147942738100000
13,13,722090493419438019751875
13,12,288051281009768185284375
13,11,107450453929638518448750
13,10,36941368975843390183125
13,9,11478446322454513276875
13,8,3206001208226565498750
13,7,783224999343676890000
13,6,166225015751760590625
13,5,29492445701409941250
13,4,3955147205761001250
13,3,398139915727929375
13,2,27741640214413125
13,1,917079015352500
13,0,7905853580625
14,91,45361239142456190295249102570375
14,90,29255007603543751278638657643375
14,89,40555921366011226788643217937750
14,88,51617009969346855937400306184375
14,87,67680816782421881618237477444625
14,86,84074716970918779488834564988875
14,85,106999781994500854785628885332750
14,84,130768452020910133762421075736750
14,83,162173250586333765797023483478000
14,82,196134536215679507567039815021125
14,81,238503879733417506443410926250500
14,80,284085048073570187324756887761750
14,79,337572137848340613021200247225375
14,78,386190027577780398585642787758000
14,77,421658184792549329661663314312625
14,76,472036589648472934050850711827000
14,75,526308902755170631790756552114625
14,74,579068479116831115361361830418000
14,73,634741341391193907584860160639625
14,72,686378792854458402465173228947125
14,71,738146401331310816541326819189000
14,70,783588070498502424035638317309750
14,69,825454868741705881932304728426750
14,68,857783164475271099153656955011625
14,67,884431202591651512024173369047625
14,66,900637056585206558366410135348875
14,65,910864418914485906013935356189625
14,64,917830852795316859040451794359375
14,63,916103074943555009377322323242375
14,62,906421748776813836836494829604000
14,61,888617106475513319167170935902875
14,60,863016510384924464928780844297875
14,59,829958467248152356786920682434000
14,58,791393820106672797543738688854375
14,57,746949194569791444755059295760000
14,56,699378526243992570757928044148250
14,55,649018438461893571025472871853500
14,54,597525507766970708424999022648125
14,53,545185577593723550455022354052750
14,52,492679925053347849010630818381000
14,51,440798961002761740255509307299625
14,50,390335756314492422212683989459375
14,49,342235626526456040449136305114875
14,48,297160918585336353025693276936875
14,47,255303378891974605637416365268875
14,46,217321062551152053804418155547500
14,45,182988942158932402191755980423500
14,44,152539284020156207554281126600375
14,43,125697378491286714940955055303375
14,42,102369718355753691494021853858375
14,41,82341454987204996059405917863875
14,40,65476246562554008082613629042125
14,39,51412068503723663390130496020000
14,38,39872845160726136648276450012750
14,37,30523680845418229686371504975625
14,36,23059052408968046776676382511500
14,35,17168523252930354748308584969250
14,34,12591836240116912018486448202000
14,33,9088152003114500985783431191875
14,32,6458990162928135438888609327000
14,31,4512408349527707125019694546375
14,30,3099810534966595762407136416375
14,29,2091379301355696181966783647000
14,28,1384066566422013543708226462875
14,27,896581790339928324704850652875
14,26,568184158127735247666882439125
14,25,351943664239831621932413814375
14,24,212793266381117071328737183125
14,23,125483543011026661434286438125
14,22,71982238559366970209521896750
14,21,40043296523013957781725867750
14,20,21570714504027490624110288000
14,19,11221628568119253152494250625
14,18,5619393615729608432004412125
14,17,2707191701674149142604151000
14,16,1247091813240409938134458125
14,15,547433701195877825089761000
14,14,227039356940085341638111125
14,13,88554468608618381013645000
14,12,32400383978503351853917875
14,11,11035190687822623306734750
14,10,3439755188557925129392500
14,9,967929236118842163791625
14,8,243869943393663682095000
14,7,53639430691275297618750
14,6,10199222278540123578750
14,5,1594348134369869253375
14,4,188681900046407893125
14,3,16822301356266280875
14,2,1013754955277814750
14,1,28674530936926875
14,0,213458046676875
15,105,123955588630794902933973611600521875
15,104,79943181314545672443171104453313750
15,103,110824431755493913228264225912042500
15,102,141050355751893248560854671476134375
15,101,184946987249999629040617170732292500
15,100,229746120871960452693406357984246875
15,99,292394478141726685927411323721595625
15,98,357355916898897685903066028726004375
15,97,443215359377628670164113172545529375
15,96,536184374214808776182979510817560000
15,95,652610908549098446354145146131132500
15,94,779626774499888535772607901439571250
15,93,934629742866299091810341052905848125
15,92,1095880492255999526975553604737913125
15,91,1265125341875825601596177968886921250
15,90,1385694494086809626010439086882864375
15,89,1566184828520963435903388585668705625
15,88,1745921085989090136424730050388371875
15,87,1944052505070672676183357507047883125
15,86,2136486135410838687548570939873420625
15,85,2342627766342569237969417124058346250
15,84,2537799928656402336578283660909221250
15,83,2738281417252998902838365154175811250
15,82,2919210710247192643420967243499459375
15,81,3097266567911072506182874029591076875
15,80,3245479979256767944205773184524803750
15,79,3381762556785848859443289421235773125
15,78,3487051907698476477358004487626998125
15,77,3578254874909808576511012549195995000
15,76,3653842026767630442725777732839141875
15,75,3708122570755497192985118899362236250
15,74,3731813598576973417787230116236662500
15,73,3731550646677283758284273548042402500
15,72,3700480484650400155471308361598756250
15,71,3644257814039702455012165491170780625
15,70,3559334555475381665487273128402371875
15,69,3453686385547998223106814900418565625
15,68,3323376749095169519553613403427427500
15,67,3178548355158129920428058091452173125
15,66,3016610056229305211169716923568595000
15,65,2845733585914659857996388774212088750
15,64,2664527419329659270524480161769177500
15,63,2476004522914073671176531358161405000
15,62,2282542367590477553540590698741517500
15,61,2088333388243871597319132860741761875
15,60,1894940858200229907661695308693850000
15,59,1706508884743765122134665028327338125
15,58,1524671563824453326958527477006745000
15,57,1351542733985878249264184089997370000
15,56,1188709775315982930854921027450101875
15,55,1037240194126222691280968757318945000
15,54,897407295226159090704117746155048125
15,53,769844460107211200003098582487302500
15,52,654479853143339849263737737149102500
15,51,551451849302720112639147123328175625
15,50,460295503753543368676566883017390000
15,49,380807151979096986639262694684859375
15,48,312062917269524024499601013380800000
15,47,253307828163781204169063971146975000
15,46,203622463041532479272684087461445625
15,45,162001856699295555977310697264935000
15,44,127541981957599767581752603315179375
15,43,99307551373204983484920028058137500
15,42,76444678252282616870979238721595000
15,41,58172490455853552810291139953937500
15,40,43757421017631103702876131794823750
15,39,32511979118603950077142336060755000
15,38,23853932594285171300684511935810625
15,37,17272657712930143778730878627452500
15,36,12334962398062698876149872666678125
15,35,8681055842711528867817930771624375
15,34,6017693217746943041250289102243125
15,33,4106465069680285385039967418031250
15,32,2757723528855127657699183104022500
15,31,1820322705030758450178179458162500
15,30,1180605730160746503831168096941250
15,29,751229063979547183556908111104375
15,28,468443601450585147241035401220000
15,27,285793157400876643759905201890625
15,26,170530338096047170194403288190625
15,25,99378663483492707798651552043750
15,24,56487704164269191393237337054375
15,23,31257968729765584521980972581875
15,22,16798293073198161999954971741250
15,21,8744420410336127567455803011250
15,20,4403500174736657909655314096250
15,19,2138123774508757717770306343125
15,18,998658963082203120124242440625
15,17,447487102408029491899542189375
15,16,191302133555515420301658283125
15,15,77686089489354072830734141875
15,14,29758197472798910421392336250
15,13,10715047732304718402695720625
15,12,3608489550487331631587090625
15,11,1125551133395914595035916250
15,10,319795750318166574614662500
15,9,81962817896612201028480000
15,8,18732190649325105779701875
15,7,3730010615067689259181875
15,6,637732303340489855623125
15,5,88511401305151754304375
15,4,9331654066528966672500
15,3,741049137401895196875
15,2,38949262861036027500
15,1,953303636458923750
15,0,6190283353629375
16,120,411142127622070734278441106761380298625
16,119,265159563947546256129318918131067051375
16,118,367588054553173991201949992791428720375
16,117,467842948302535753378045525640901171000
16,116,613441629776691432823345588813531567500
16,115,762034172492762942755857353729257132125
16,114,969831537649662330226091833332135628500
16,113,1185307549228674803340871286129392712625
16,112,1470125197535571070616896836842246717250
16,111,1778628111283930474586548383839148413250
16,110,2165346835869614174635851686149718010750
16,109,2588786190461728564682232606071001178500
16,108,3111069529780460385380134003649342680875
16,107,3675250781561502287226276571754682054750
16,106,4330815217990168659896069246176397041500
16,105,4970643844440637194227610616913970083625
16,104,5512678134248002626470047462150043244375
16,103,6215722298249357307436224593281281641250
16,102,6991186795692247989843046001185374271125
16,101,7782579646532369506272099293457152709375
16,100,8637891447996855018644860433730720358125
16,99,9501942566494252347996736519700926281750
16,98,10407502549142862345664079203131364463625
16,97,11301167381072168461038215712161057695125
16,96,12217439494011451510250919039813178051125
16,95,13085410669352647399837927205466706456875
16,94,13942408222001054644471490737078295336250
16,93,14725300696978834195675000282678235155875
16,92,15458432334402436144906260837436324605000
16,91,16105387523968994045976173713082113001250
16,90,16699961444887714214503219046997178541250
16,89,17248714104226569592800388835261033015625
16,88,17711008801075202005842857418131572200750
16,87,18079939154318968412086069906892983402875
16,86,18338493105462118784023086672415515388875
16,85,18491092349448423931982362820658104785125
16,84,18529144627343107169529835878063145992750
16,83,18451072345679994027495809630988231052500
16,82,18259447960098545462856520399701448345125
16,81,17965484329574042966654490562151458828500
16,80,17564348878920030359676287206942572178125
16,79,17078873524792566474886058334392274931875
16,78,16509495922672264208710044785961510303000
16,77,15871166882472323676122472790847803267125
16,76,15169661590932331874193807851073936959250
16,75,14408260185668007896611334779997679125625
16,74,13598860672802826714611361375583002501750
16,73,12755261301865124099225891167772958881250
16,72,11888454816712982841563679612477169605750
16,71,11010345283949392894754362749993615875625
16,70,10133469549619377988329786149597614934250
16,69,9268684517368220087413445623779875544000
16,68,8422947471585832272036952769082761069625
16,67,7607369147037829458640701630582317140125
16,66,6825589073255610685629146388896996068125
16,65,6084602948788010092705773900380157788625
16,64,5386206301215414011279380587134761776000
16,63,4735233160298357610771956724594642193500
16,62,4133530697349489290326549787244228193500
16,61,3583028716249548204093415246432099828875
16,60,3083310802543679900171145939161817177750
16,59,2634491368119719525360048121239597248875
16,58,2234390298410435957875029686617915537500
16,57,1881013138125490616483631724264268833500
16,56,1571394999158597577755321994095352720000
16,55,1302474928516748082046439219746102712625
16,54,1070746816992258274832270750106795256125
16,53,873026009929865378386984726226175616125
16,52,705758015025595091739128332597230641625
16,51,565646301545187539900483256506518008000
16,50,449335533406123516669907816045319950250
16,49,353807490075010854013959098207110799625
16,48,275985994185900475657436274287228709750
16,47,213255526994757927520377176755987121250
16,46,163152082639431863188081499196695877750
16,45,123549692577898169577954179540632937625
16,44,92572489804320838214794753902878087250
16,43,68609534450227273540296170366144815125
16,42,50278246180620306040966307974166727000
16,41,36426513304246526613149507020668031875
16,40,26077261761771242899724995151029150125
16,39,18436960126283021466669946810230340500
16,38,12866420517719673833409552170363389125
16,37,8858340063334640296639812427437100500
16,36,6012207823993275434033603161465152750
16,35,4020726160683456886947122605127485125
16,34,2647687842780114741914503386436120875
16,33,1715884347795545161966913968070158875
16,32,1093517283038729864765627438984472750
16,31,684651806727504772801654175432891625
16,30,420749971990507027288729971441029250
16,29,253475351229664952143955453461457250
16,28,149522465887174569120812514478845000
16,27,86261494122287005191086360460391875
16,26,48634057001928066105417457387160250
16,25,26753408043997145893868365097092875
16,24,14335245831597433159029873326191125
16,23,7466268544266901913664331000915125
16,22,3771521641390221047055327091115625
16,21,1843732349637821264216960504889750
16,20,870776680162359675426065781562125
16,19,395966394179644669050685409769375
16,18,172962994334366309441727196963125
16,17,72291401264366062990862081681250
16,16,28767747169749142034175200880375
16,15,10848116594939253271828577015625
16,14,3854734103364970109784233233500
16,13,1285541512211703690029535198750
16,12,399638583315936448325883916875
16,11,114530671595602308252092386500
16,10,29811010731526254580074474750
16,9,6991960818357031454773085250
16,8,1456554243052699446026621250
16,7,263746493923751866487084625
16,6,40699439681161791938908500
16,5,5051764080731902617208125
16,4,478183368614550025927500
16,3,33993718186254982155000
16,2,1570307749165224444375
16,1,33582287193439359375
16,0,191898783962510625
17,136,1635886373799949611547242447204634006790625
17,135,1055038851486503344305154596548600047710000
17,134,1462589826126250630005910106840113527234375
17,133,1861492336160414057391687768057110519469375
17,132,2440812564343179420537078751518372111316875
17,131,3032045410605371769844420219445305900005000
17,130,3858848923924041925066941671701755370897500
17,129,4716211347108825711009871355434042668838125
17,128,5849502041894005465208527411974205958979375
17,127,7077137586002562358959176963957794517840625
17,126,8616398656380058441991311418296554382299375
17,125,10303401769184480051088530893175348635981875
17,124,12390052237013792479718359735241528631138750
17,123,14667345479664619712934642693827807832337500
17,122,17392506236468121126420300796633728758115000
17,121,20313171363526513858957643974556473083890625
17,120,23424552615346470245731811569852435329915000
17,119,25996715145047908697655603473211096154805625
17,118,29507819200129381487338958838061619274249375
17,117,33127909445918353222198935865965443370294375
17,116,37141692010977962436811041206598536743357500
17,115,41264554895238428935798479265314357199503750
17,114,45735229213240917821480852888075639970611250
17,113,50257041489529623782579859198532729329121875
17,112,55091333614432768188637007588715507783684375
17,111,59873163838777417361532641311357600151940000
17,110,64855131759849017868308057263808564004015000
17,109,69691173691807648762179989936385999902068125
17,108,74575000161144743002569281502071842583390625
17,107,79160778636611026940442393212793622701195000
17,106,83682311098340913794519759424231360195217500
17,105,87831992085350314491971837714659372442195625
17,104,91854561379541765711534839169635432274268750
17,103,95693437113545806583121814218498776396891250
17,102,99230623989379505514587833860524054284906875
17,101,102333122243537718134328324843303180924676875
17,100,105058678418407194928794294316557692129876250
17,99,107239935572856403819882591186282809187310625
17,98,108952195364561833061067602368961138644410000
17,97,110089143416829770887821609240521613482506875
17,96,110697237021256352821598028477305823797461875
17,95,110697018494311562966754247887167114093030625
17,94,110195602787221253768606286131529357272208750
17,93,109103102846572728414654700934147878407935625
17,92,107544557682631743215519144526441938630775000
17,91,105472689804254021600601254829766583892875625
17,90,102979929475685744091846443530050249084688125
17,89,100037741519962735315015427520903009452188125
17,88,96701953990640379039443872982740470541166250
17,87,92982665668336710537448669360853870854093125
17,86,88954346975953977487385027244826523282452500
17,85,84657372433031709150899029477139973430715625
17,84,80160321391622678154301025791827744518608125
17,83,75500231755543193375351711330651643613927500
17,82,70756100897674576938472719483067073006443125
17,81,65965563468009007754473809355982997649190625
17,80,61182280835090817773284828010318062333618125
17,79,56450928309008227619720346995526820094557500
17,78,51812885064414827703911858495940431588023125
17,77,47298251022947951345973985465999706746905000
17,76,42942995582921003659673174856913567370075625
17,75,38767196246240487247653150822660616810001250
17,74,34803585435027452149282461885880447195153125
17,73,31067705240925405099654929611451257577356875
17,72,27576148506951884012724609234314963715515625
17,71,24335005271242322423537260154137126596442500
17,70,21352158193970730071381717764871971918335000
17,69,18623706961101768555910269788083813009756875
17,68,16147343387769488515662922859317105669402500
17,67,13915116945144432006718823256141461824216875
17,66,11916910805203508874151803310771490343735000
17,65,10140630430659407328226301427817865293042500
17,64,8573147177212537407703553392944924425015625
17,63,7200459367014238405309669331626737023896875
17,62,6007364308700800231836869189545352265613125
17,61,4977990458671915760812968452768034639401250
17,60,4096607246624748038240269690535102836415625
17,59,3347640759695607961393910135708233864305000
17,58,2715955196125167886864477316824230738643125
17,57,2187203453331770063459642406307951894717500
17,56,1748053734996586744928705780775034489078125
17,55,1386191985479820181869567798331596647570625
17,54,1090485257382777197495293022936004930703125
17,53,850874824985320419448813098487786215967500
17,52,658378149783724487639960237351385696988125
17,51,505072807933053623671255839507803197535625
17,50,384071023457553258058336352330170641052500
17,49,289435109978026002995737626900303685513125
17,48,216069819043435679665541152637322075686250
17,47,159749085207128549937670036304386015888125
17,46,116925273649635793179891180464238124348125
17,45,84699341088525899794757414268522039695625
17,44,60701071949427773975734786796843665455000
17,43,43024738366517180713065547364781588875625
17,42,30149530167879892394263984789934148408750
17,41,20880016063399684772348948002654016810625
17,40,14282651760669062590760135724589507321875
17,39,9644853515873626517814761816373463366875
17,38,6426031791382626253404219009712958610000
17,37,4221991407897625893193024880415883610625
17,36,2733498397964959685389026768932527916250
17,35,1743155389947819611550582919681539856875
17,34,1094039044841689873691314390308079486875
17,33,675340848425205642679703558321187971250
17,32,409637816312977433891902465463148708750
17,31,243932623528542695879564140457539415625
17,30,142445765713384148061493407231468697500
17,29,81484016404073138669197616676759315000
17,28,45606972079376781761422849050802490625
17,27,24949599196807617494757537166627528125
17,26,13324658824360228049770339745686215000
17,25,6935282404800648342783148541391660000
17,24,3511242795580813694688387555904824375
17,23,1725788181219315580923530869841821875
17,22,821742890523295940903778188115251250
17,21,378299964134311681299917290324863750
17,20,167999507896615166453377572654277500
17,19,71732314244475440099030388961434375
17,18,29369624623597138489297834519749375
17,17,11480058924225051852011336096705625
17,16,4264628212305518393940515226315000
17,15,1498479792066537315559463825510625
17,14,495590999853059987110439280075000
17,13,153491289332567111278206130777500
17,12,44163278938881707643340050498750
17,11,11668145620257405981559944961875
17,10,2794890279638451352472578839375
17,9,602282495996446611113403260625
17,8,114846967194853237099940559375
17,7,18983204704118712063259378125
17,6,2654091309199253980093537500
17,5,296594234239805359582725000
17,4,25369729585175872518496875
17,3,1621897626346921838289375
17,2,66309281506757808894375
17,1,1249644881163869190000
17,0,6332659870762850625
18,153,7727262375527968820592253428544443804889194375
18,152,4983574748897639661129820386235562427873961875
18,151,6908679924805048806288934092429396217539705000
18,150,8792933295640049117204717892020177011963550625
18,149,11529406756897537551684712678216605551957651250
18,148,14322151050763186402602525063993201210123356250
18,147,18227637340211611402128927914709119532599868750
18,146,22277479150730859614355218922149986236931655625
18,145,27630724738576423872978460354036340475091518750
18,144,33429740140955810372458080171003617696247118125
18,143,40701239680521046945290995308981713540007736250
18,142,48672568869190323111967500867413091184526289375
18,141,58539395961912205591850765288131582151031193125
18,140,69336781677048215950229138488149901446334108125
18,139,82362788923907044750558475971836943532185010625
18,138,96710326532335223032053955804540295070080227500
18,137,113178019070180878324583296535657465020789387500
18,136,129837600841180375546444473663032590299757351875
18,135,145359426062331242216892548799071915987595995625
18,134,164470392468330079482194720368463900087768358750
18,133,185657390907984735093348939703235748568088570625
18,132,208019038071334477124213956493831325175156608750
18,131,232378388717288227998531053278007318217173814375
18,130,257846342149108030128808271091793783763674950000
18,129,285270259997034020429285662918454744016023473125
18,128,313513616328328492960540062746600001042735183750
18,127,343418437955176377850914763211217180503648308125
18,126,373842045313084257083325787638203915131306783125
18,125,405394598735841549242584765554923923368682269375
18,124,436867354875244916690589695534887706619636408750
18,123,468872127480618723925233521578726203654983880000
18,122,500073119531305797334130946032438982231269431875
18,121,531110150183431577642869721788307983620784670625
18,120,561073058860921783403545790683702315425359797500
18,119,590487401203846365345074131792948541172801455625
18,118,619533842527679151330923067332305776262048291875
18,117,647251318472137042280381996579598272987575957500
18,116,673252739602716345322929491673176709065128706250
18,115,697283155667720913382113806485823695968904413750
18,114,719089011419593191016877721886315938013602545625
18,113,738279778731865700390221296269609291940095857500
18,112,754722719095021388925894909861552774732480198750
18,111,768155352253875085775802356670339848992776354375
18,110,778443877939464134905892465170728118226741861250
18,109,785468449161298871460150730350075870223908161250
18,108,789270304770011629518210016109203828332494193750
18,107,789693074211146693588317175254827142908652706250
18,106,786997979005400985627981903862863491534642458125
18,105,781083261018997141736477411044680219700816186875
18,104,772140398775081803422863961515026235317192266875
18,103,760175547282984952793793880042571586925063445625
18,102,745174369404630836788127413339841812388416608750
18,101,727377653289317962220410937445835606808514607500
18,100,706944717610936340929378571041932045138223606875
18,99,684122909123277123036787814375916564172863727500
18,98,659219734902010824972380589530184250536360127500
18,97,632501774445726934493375069121905875894076364375
18,96,604253375676016409646105328900908149179992986250
18,95,574800876427217521505226318092927372320048905000
18,94,544469382986300543909386146628260305028007610625
18,93,513494351801447734021630735263028916635553756250
18,92,482211417097806394904924366126738204649674510625
18,91,450836410791826508070431755201731794639341560000
18,90,419647508624447960161771242766912451542965393750
18,89,388841853043081524828713548895189698934154836250
18,88,358667240422283488215671368276780532159143516875
18,87,329302828471220036128100895265231419905655800625
18,86,300959272233158224221375578728109627308770189375
18,85,273778026554177806071711421101550247158173721875
18,84,247894015479636867319464356478747139250214628125
18,83,223395719577038296342485624219274187753443533750
18,82,200372271410442643127425285389940123802086593750
18,81,178854080516801353584498080928418121623863926250
18,80,158870388711251627873104539229165035443514735000
18,79,140422575591113829330517318631794682572957170000
18,78,123494759658344855164054203998315647075181306250
18,77,108051943611416038954657036771128185004766008750
18,76,94052641869192279090159486170764050274529163750
