n,a_n
952,302100
953,302735
954,303371
955,304007
956,304644
957,305282
958,305920
959,306559
960,307199
961,307839
962,308480
963,309122
964,309764
965,310407
966,311051
967,311695
968,312340
969,312986
970,313632
971,314279
972,314927
973,315575
974,316224
975,316874
976,317524
977,318175
978,318827
979,319479
980,320132
981,320786
982,321440
983,322095
984,322751
985,323407
986,324064
987,324722
988,325380
989,326039
990,326699
991,327359
992,328020
993,328682
994,329344
995,330007
996,330671
997,331335
998,332000
999,332666
1000,333332
