k,n,power_of_t,coefficient
7,5,1,31752
7,5,2,49896
7,5,3,27720
7,6,0,27720
7,6,1,124740
7,6,2,196020
7,6,3,108900
7,7,0,108900
7,7,1,457380
7,7,2,660660
7,7,3,330330
7,8,0,330330
7,8,1,1387386
7,8,2,2004002
7,8,3,1002001
7,9,0,1002001
7,9,1,4008004
7,9,2,5465460
7,9,3,2550548
7,10,0,2550548
7,10,1,10202192
7,10,2,13912080
7,10,3,6492304
7,11,0,6492304
7,11,1,25041744
7,11,2,32746896
7,11,3,14554176
7,12,0,14554176
7,12,1,56137536
7,12,2,73410624
7,12,3,32626944
7,13,0,32626944
7,13,1,122351040
7,13,2,154977984
7,13,3,66419136
7,14,0,66419136
7,14,1,249071760
7,14,2,315490896
7,14,3,135210384
7,15,0,135210384
7,15,1,495771408
7,15,2,612423504
7,15,3,255176460
7,16,0,255176460
7,16,1,935647020
7,16,2,1155799260
7,16,3,481583025
7,17,0,481583025
7,17,1,1733698890
7,17,2,2098688130
7,17,3,855021090
7,18,0,855021090
7,18,1,3078075924
7,18,2,3726091908
7,18,3,1518037444
7,19,0,1518037444
7,19,1,5382132756
7,19,2,6407300900
7,19,3,2562920360
7,20,0,2562920360
7,20,1,9086717640
7,20,2,10817521000
7,20,3,4327008400
8,1,0,1
8,1,1,7
8,1,2,20
8,1,3,28
8,1,4,14
8,2,0,14
8,2,1,112
8,2,2,378
8,2,3,672
8,2,4,588
8,3,0,588
8,3,1,3528
8,3,2,8232
8,3,3,8820
8,3,4,3528
8,4,0,3528
8,4,1,24192
8,4,2,66528
8,4,3,88704
8,4,4,49896
8,5,0,49896
8,5,1,274428
8,5,2,577368
8,5,3,548856
8,5,4,196020
8,6,0,196020
8,6,1,1219680
8,6,2,2972970
8,6,3,3397680
8,6,4,1557270
8,7,0,1557270
8,7,1,8097804
8,7,2,15987972
8,7,3,14171157
8,7,4,4723719
8,8,0,4723719
8,8,1,27483456
8,8,2,61837776
8,8,3,64128064
8,8,4,26052026
8,9,0,26052026
8,9,1,130260130
8,9,2,246310064
8,9,3,208416208
8,9,4,66314248
8,10,0,66314248
8,10,1,367278912
8,10,2,780467688
8,10,3,756817152
8,10,4,283806432
8,11,0,283806432
8,11,1,1378488384
8,11,2,2526189120
8,11,3,2067732576
8,11,4,636225408
8,12,0,636225408
8,12,1,3393202176
8,12,2,6907590144
8,12,3,6376237056
8,12,4,2258250624
8,13,0,2258250624
8,13,1,10726690464
8,13,2,19195130304
8,13,3,15323843520
8,13,4,4597153056
8,14,0,4597153056
8,14,1,23797027584
8,14,2,46850398056
8,14,3,41644798272
8,14,4,14129485128
8,15,0,14129485128
8,15,1,65937597264
8,15,2,115806368304
8,15,3,90664196238
8,15,4,26665940070
8,16,0,26665940070
8,16,1,134733170880
8,16,2,258238577520
8,16,3,222794066880
8,16,4,73104303195
8,17,0,73104303195
8,17,1,336279794697
8,17,2,581756349636
8,17,3,448373059596
8,17,4,129792201462
8,18,0,129792201462
8,18,1,642780426288
8,18,2,1205213299290
8,18,3,1014916462560
8,18,4,324209425540
8,19,0,324209425540
8,19,1,1473679207000
8,19,2,2517886187960
8,19,3,1915782969100
8,19,4,547366562600
8,20,0,547366562600
8,20,1,2665437174400
8,20,2,4906827525600
8,20,3,4050079862400
8,20,4,1265649957000
9,1,0,1
9,1,1,8
9,1,2,27
9,1,3,48
9,1,4,42
9,2,0,42
9,2,1,336
9,2,2,1134
9,2,3,2016
9,2,4,1764
9,3,0,1764
9,3,1,12096
9,3,2,33264
9,3,3,44352
9,3,4,24948
9,4,0,24948
9,4,1,171072
9,4,2,470448
9,4,3,627264
9,4,4,352836
9,5,0,352836
9,5,1,2195424
9,5,2,5351346
9,5,3,6115824
9,5,4,2803086
9,6,0,2803086
9,6,1,17441424
9,6,2,42513471
9,6,3,48586824
9,6,4,22268961
9,7,0,22268961
9,7,1,129564864
9,7,2,291520944
9,7,3,302318016
9,7,4,122816694
9,8,0,122816694
9,8,1,714569856
9,8,2,1607782176
9,8,3,1667329664
9,8,4,677352676
9,9,0,677352676
9,9,1,3751491744
9,9,2,7971919956
9,9,3,7730346624
9,9,4,2898879984
9,10,0,2898879984
9,10,1,16055335296
9,10,2,34117587504
9,10,3,33083721216
9,10,4,12406395456
9,11,0,12406395456
9,11,1,66167442432
9,11,2,134698007808
9,11,3,124336622592
9,11,4,44035887168
9,12,0,44035887168
9,12,1,234858064896
9,12,2,478103917824
9,12,3,441326693376
9,12,4,156303203904
9,13,0,156303203904
9,13,1,809098937856
9,13,2,1592913533904
9,13,3,1415923141248
9,13,4,480402494352
9,14,0,480402494352
9,14,1,2486789382528
9,14,2,4895866596852
9,14,3,4351881419424
9,14,4,1476531195876
9,15,0,1476531195876
9,15,1,7460368147584
9,15,2,14299038949536
9,15,3,12336425760384
9,15,4,4047889702626
9,16,0,4047889702626
9,16,1,20452495339584
9,16,2,39200616067536
9,16,3,33820139352384
9,16,4,11097233225001
9,17,0,11097233225001
9,17,1,54957726447624
9,17,2,103045737089295
9,17,3,86775357548880
9,17,4,27719905883670
9,18,0,27719905883670
9,18,1,137279533900080
9,18,2,257399126062650
9,18,3,216757158789600
9,18,4,69241870168900
9,19,0,69241870168900
9,19,1,337177802561600
9,19,2,620713681988400
9,19,3,512335102593600
9,19,4,160104719560500
9,20,0,160104719560500
9,20,1,779640373512000
9,20,2,1435247051238000
9,20,3,1184648359752000
9,20,4,370202612422500
10,1,0,1
10,1,1,9
10,1,2,35
10,1,3,75
10,1,4,90
10,1,5,42
10,2,0,42
10,2,1,420
10,2,2,1848
10,2,3,4620
10,2,4,6930
10,2,5,5544
10,3,0,5544
10,3,1,43560
10,3,2,142560
10,3,3,243936
10,3,4,217800
10,3,5,78408
10,4,0,78408
10,4,1,686070
10,4,2,2548260
10,4,3,5096520
10,4,4,5606172
10,4,5,2803086
10,5,0,2803086
10,5,1,20244510
10,5,2,59954895
10,5,3,91100295
10,5,4,70855785
10,5,5,22268961
10,6,0,22268961
10,6,1,178151688
10,6,2,593838960
10,6,3,1039218180
10,6,4,964988310
10,6,5,385995324
10,7,0,385995324
10,7,1,2631786300
10,7,2,7298820672
10,7,3,10293208640
10,7,4,7369001640
10,7,5,2128822696
10,8,0,2128822696
10,8,1,15966170220
10,8,2,49349980680
10,8,3,78959969088
10,8,4,65799974240
10,8,5,23029990984
10,9,0,23029990984
10,9,1,150580710280
10,9,2,398595997800
10,9,3,533877063720
10,9,4,361393704672
10,9,5,98561919456
10,10,0,98561919456
10,10,1,704013710400
10,10,2,2057886230400
10,10,3,3086829345600
10,10,4,2385277221600
10,10,5,763288710912
10,11,0,763288710912
10,11,1,4834161835776
10,11,2,12358007700480
10,11,3,15936797260800
10,11,4,10358918219520
10,11,5,2709255534336
10,12,0,2709255534336
10,12,1,18626131798560
10,12,2,52153169035968
10,12,3,74504527194240
10,12,4,54445616026560
10,12,5,16333684807968
10,13,0,16333684807968
10,13,1,100884523813920
10,13,2,251010303298920
10,13,3,314423432553384
10,13,4,198166028920200
10,13,5,50202060659784
10,14,0,50202060659784
10,14,1,334680404398560
10,14,2,905605800137280
10,14,3,1245207975188760
10,14,4,871645582632132
10,14,5,249041595037752
10,15,0,249041595037752
10,15,1,1507357022596920
10,15,2,3670086663714240
10,15,3,4492515047739840
10,15,4,2763487874761020
10,15,5,682744063176252
10,16,0,682744063176252
10,16,1,4437836410645638
10,16,2,11678516870120100
10,16,3,15571355826826800
10,16,4,10533564235794600
10,16,5,2896730164843515
10,17,0,2896730164843515
10,17,1,17242441457401875
10,17,2,41243919966105285
10,17,3,49549331767060125
10,17,4,29886898526163250
10,17,5,7235775432650050
10,18,0,7235775432650050
10,18,1,46045843662318500
10,18,2,118403597988819000
10,18,3,153924677385464700
10,18,4,101266235122016250
10,18,5,27004329365871000
10,19,0,27004329365871000
10,19,1,158503672364895000
10,19,2,373577678974500000
10,19,3,441889025986980000
10,19,4,262251530640099000
10,19,5,62440840628595000
10,20,0,62440840628595000
10,20,1,390255253928718750
10,20,2,984121944689812500
10,20,3,1252518838696125000
10,20,4,805190682018937500
10,20,5,209349577324923750
11,1,0,1
11,1,1,10
11,1,2,44
11,1,3,110
11,1,4,165
11,1,5,132
11,2,0,132
11,2,1,1320
11,2,2,5808
11,2,3,14520
11,2,4,21780
11,2,5,17424
11,3,0,17424
11,3,1,152460
11,3,2,566280
11,3,3,1132560
11,3,4,1245816
11,3,5,622908
11,4,0,622908
11,4,1,5450445
11,4,2,20244510
11,4,3,40489020
11,4,4,44537922
11,4,5,22268961
11,5,0,22268961
11,5,1,178151688
11,5,2,593838960
11,5,3,1039218180
11,5,4,964988310
11,5,5,385995324
11,6,0,385995324
11,6,1,3087962592
11,6,2,10293208640
11,6,3,18013115120
11,6,4,16726464040
11,6,5,6690585616
11,7,0,6690585616
11,7,1,50179392120
11,7,2,155099939280
11,7,3,248159902848
11,7,4,206799919040
11,7,5,72379971664
11,8,0,72379971664
11,8,1,542849787480
11,8,2,1677899343120
11,8,3,2684638948992
11,8,4,2237199124160
11,8,5,783019693456
11,9,0,783019693456
11,9,1,5592997810400
11,9,2,16348762830400
11,9,3,24523144245600
11,9,4,18949702371600
11,9,5,6063904758912
11,10,0,6063904758912
11,10,1,43313605420800
11,10,2,126609000460800
11,10,3,189913500691200
11,10,4,146751341443200
11,10,5,46960429261824
11,11,0,46960429261824
11,11,1,322852951175040
11,11,2,903988263290112
11,11,3,1291411804700160
11,11,4,943724011127040
11,11,5,283117203338112
11,12,0,283117203338112
11,12,1,1946430772949520
11,12,2,5450006164258656
11,12,3,7785723091798080
11,12,4,5689566874775520
11,12,5,1706870062432656
11,13,0,1706870062432656
11,13,1,11379133749551040
11,13,2,30790597204667520
11,13,3,42337071156417840
11,13,4,29635949809492488
11,13,5,8467414231283568
11,14,0,8467414231283568
11,14,1,56449428208557120
11,14,2,152745511623154560
11,14,3,210025078481837520
11,14,4,147017554937286264
11,14,5,42005015696367504
11,15,0,42005015696367504
11,15,1,273032602026388776
11,15,2,718506847437865200
11,15,3,958009129917153600
11,15,4,648064999649839200
11,15,5,178217874903705780
11,16,0,178217874903705780
11,16,1,1158416186874087570
11,16,2,3048463649668651500
11,16,3,4064618199558202000
11,16,4,2749594664407019000
11,16,5,756138532711930225
11,17,0,756138532711930225
11,17,1,4811790662712283250
11,17,2,12373175989831585500
11,17,3,16085128786781061150
11,17,4,10582321570250698125
11,17,5,2821952418733519500
11,18,0,2821952418733519500
11,18,1,17957879028304215000
11,18,2,46177403215639410000
11,18,3,60030624180331233000
11,18,4,39493831697586337500
11,18,5,10531688452689690000
11,19,0,10531688452689690000
11,19,1,65823052829310562500
11,19,2,165988568004348375000
11,19,3,211258177460079750000
11,19,4,135808828367194125000
11,19,5,35310295375470472500
11,20,0,35310295375470472500
11,20,1,220689346096690453125
11,20,2,556520959722088968750
11,20,3,708299403282658687500
11,20,4,455335330681709156250
11,20,5,118387185977244380625
12,1,0,1
12,1,1,11
12,1,2,54
12,1,3,154
12,1,4,275
12,1,5,297
12,1,6,132
12,2,0,132
12,2,1,1584
12,2,2,8580
12,2,3,27456
12,2,4,56628
12,2,5,75504
12,2,6,56628
12,3,0,56628
12,3,1,552123
12,3,2,2335905
12,3,3,5521230
12,3,4,7729722
12,3,5,6073353
12,3,6,2024451
12,4,0,2024451
12,4,1,21594144
12,4,2,101222550
12,4,3,269926800
12,4,4,438631050
12,4,5,421085808
12,4,6,192997662
12,5,0,192997662
12,5,1,1736978958
12,5,2,6690585616
12,5,3,14153161880
12,5,4,17369789580
12,5,5,11708524828
12,5,6,3345292808
12,6,0,3345292808
12,6,1,32844693024
12,6,2,139589945352
12,6,3,330879870464
12,6,4,465299817840
12,6,5,372239854272
12,6,6,134419947376
12,7,0,134419947376
12,7,1,1142569552696
12,7,2,4124248385400
12,7,3,8101856828208
12,7,4,9140556421568
12,7,5,5608977804144
12,7,6,1454179430704
12,8,0,1454179430704
12,8,1,13423194744960
12,8,2,53133479198800
12,8,3,115927590979200
12,8,4,147807678498480
12,8,5,105107682487808
12,8,6,32846150777440
12,9,0,32846150777440
12,9,1,267461513473440
12,9,2,920414115192000
12,9,3,1714496881240000
12,9,4,1823601228228000
12,9,5,1049272091318880
12,9,6,254368991834880
12,10,0,254368991834880
12,10,1,2238447128146944
12,10,2,8394176730551040
12,10,3,17218824062668800
12,10,4,20447353574419200
12,10,5,13383722339619840
12,10,6,3792054662892288
12,11,0,3792054662892288
12,11,1,29862430470276768
12,11,2,99067428068061024
12,11,3,177278555490214464
12,11,4,180487217128046400
12,11,5,99067428068061024
12,11,6,22861714169552544
12,12,0,22861714169552544
12,12,1,193652167083268608
12,12,2,695937475455496560
12,12,3,1360944396446304384
12,12,4,1531062446002092432
12,12,5,942192274462826112
12,12,6,248634072427690224
12,13,0,248634072427690224
12,13,1,1906194555278958384
12,13,2,6142724142331170240
12,13,3,10652263691264767440
12,13,4,10484070054034271112
12,13,5,5550390028606378824
12,13,6,1233420006356973072
12,14,0,1233420006356973072
12,14,1,10127027420615147328
12,14,2,35163289654913706000
12,14,3,66189721703366976000
12,14,4,71360793711442521000
12,14,5,41864998977379612320
12,14,6,10466249744344903080
12,15,0,10466249744344903080
12,15,1,78496873082586773100
12,15,2,247058579491509949020
12,15,3,417731897690958851000
12,15,4,400180137283775706000
12,15,5,205882149576258290850
12,15,6,44405953830173356850
12,16,0,44405953830173356850
12,16,1,355247630641386854800
12,16,2,1198960753414680634950
12,16,3,2187577515002224316400
12,16,4,2278726578127316996250
12,16,5,1286810302942484892000
12,16,6,308298301746637005375
12,17,0,308298301746637005375
12,17,1,2270196585588872494125
12,17,2,7006779585150841031250
12,17,3,11603226993009792747750
12,17,4,10873046804662494577125
12,17,5,5465288076417656004375
12,17,6,1150586963456348632500
12,18,0,1150586963456348632500
12,18,1,9004593627049684950000
12,18,2,29674228998231916312500
12,18,3,52754184885745629000000
12,18,4,53413612196817449362500
12,18,5,29236924570889551230000
12,18,6,6767806613631840562500
12,19,0,6767806613631840562500
12,19,1,49066597948830844078125
12,19,2,148965308615266055859375
12,19,3,242423902909243300781250
12,19,4,223029990676503836718750
12,19,5,109963482359632761234375
12,19,6,22690877312305172953125
12,20,0,22690877312305172953125
12,20,1,174265937758503728280000
12,20,2,562733757345168289237500
12,20,3,978667404078553546500000
12,20,4,967546183577660892562500
12,20,5,516024631241419142700000
12,20,6,116105542029319307107500
