experiment,p,panels,theta,observed,predicted,difference
first_alias,3,8,0.25,-1.00136565706066e-12,1.0003014326340943e-77,-1.00136565706066e-12
first_alias,3,8,0.75,-9.985588744765295e-13,-1.1079844037594689e-77,-9.985588744765295e-13
first_alias,3,8,0.13,7.134242722278694e-07,7.134252764737014e-07,-1.0042458319791756e-12
first_alias,4,16,0.0,-8.001481421882062e-13,0.0,-8.001481421882062e-13
first_alias,4,16,0.5,-8.002043038607409e-13,-4.968202703805817e-80,-8.002043038607409e-13
first_alias,4,16,0.13,-1.887285574347919e-09,-1.886484367863229e-09,-8.012064846900711e-13
first_alias,5,32,0.25,-6.360797305537957e-13,-1.9314906265153773e-83,-6.360797305537957e-13
first_alias,5,32,0.75,-6.354413523146363e-13,2.1493581074747543e-83,-6.354413523146363e-13
first_alias,5,32,0.13,-2.0135386413766554e-12,-1.37728002443139e-12,-6.362586169452653e-13
first_alias,6,64,0.0,-5.068645156369733e-13,0.0,-5.068645156369733e-13
first_alias,6,64,0.5,-5.068643936642289e-13,9.00456392532062e-87,-5.068643936642289e-13
first_alias,6,64,0.13,-5.065644084756293e-13,3.4187588423023273e-16,-5.069062843598596e-13
simpson_phase_rule,0,2,multiple,0.5000000000000321,0.5,3.2085445411667024e-14
simpson_phase_rule,1,4,multiple,0.3611111111099164,0.3611111111111111,-1.194710996799131e-12
simpson_phase_rule,2,8,multiple,0.2777777777765788,0.2777777777777778,-1.1989853554439378e-12
boole_phase_rule,0,2,multiple,0.5000000000000231,0.5,2.3092638912203256e-14
boole_phase_rule,1,4,multiple,0.36111111110991634,0.3611111111111111,-1.1947665079503622e-12
boole_phase_rule,2,8,multiple,0.2777777777765788,0.2777777777777778,-1.1989853554439378e-12
boole_phase_rule,3,16,multiple,0.22351851851751858,0.2235185185185185,-9.999223671286472e-13
boole_phase_rule,4,32,multiple,0.18592592592512575,0.18592592592592594,-8.001932449985816e-13
thue_morse_phase_filter,0,4,all j/2^1,-0.12500000000000044,-0.125,-4.440892098500626e-16
thue_morse_phase_filter,1,8,all j/2^2,0.001953125000001943,0.001953125,1.942890293094024e-15
thue_morse_phase_filter,2,16,all j/2^3,-7.629394529834466e-06,-7.62939453125e-06,1.4155343563970746e-15
thue_morse_phase_filter,3,32,all j/2^4,5.5879354199372955e-09,5.587935447692871e-09,-2.7755575615628914e-17
thue_morse_phase_filter,4,64,all j/2^5,-6.820100040272337e-13,-6.821210263296962e-13,1.1102230246251565e-16
thue_morse_phase_filter,5,128,all j/2^6,8.326672684688674e-17,1.3010426069826053e-17,7.025630077706069e-17
