n,T,rho,theta_mod_1,psi,actual,G0,G1,G2,rel0,rel1,rel2
33,459.575470431052813338650827602311827131434994,36.415031294922494736459443371582729288968992,0.357726335811458143819368052584621426395637956,0.000000217779465828219099786349343606036241880245071,0.000000000116415321826934814453125,0.000000000103384277008904372714436910296079125814756863,0.000000000116855098371497057901613026373619065790014331,0.000000000116388041159595205487012294718424060359355157,-0.111935822652302036800197446446108955194699841,0.00377765175288544449529266784455872946036791193,-0.000234339148073351669764882868910264194079188116
34,486.107673970211524667221981067920169010849552,37.4514387060068283455974259339752504343203089,0.394133746895791752957350614977142571746954824,-0.000000267328082265720298519938117256658410061170653,0.0000000000582076609134674072265625,0.0000000000518385201220124639291584470734188085433324538,0.0000000000584166235937001088214538937298837708437567299,0.0000000000581950192386535192983171206053108370336183566,-0.109421005611674150879539236070077225580406848,0.00358995151073583607914230696684101462037392223,-0.000217182319569262153692396653208924104894023288
35,513.359416578345916244048649617086712606670294,38.486909059866866916730385687472071718324168,0.429604100755830324090310368473963855750813907,-0.000000726760900663307645339519799167330279495386506,0.00000000002910383045673370361328125,0.0000000000259889950572049093734153900474621841192589925,0.0000000000292032588268116884650585033092453390175390095,0.0000000000290979601014015666964909159313084022399565991,-0.107024929387194120564296383384528251288416507,0.00341633278223623926373368351933204416610252931,-0.000201703873339418203270064911560239114986097673
36,541.32999538855836702584689392282443936482197,39.521490352250598953257880582792803296102038,0.464185393139562360617805263794695433528683925,-0.00000114024325450286707536771709413082412269515999,0.000000000014551915228366851806640625,0.0000000000130277604505818181542903001707719451461055149,0.0000000000145992874919398080495730640657230052653266817,0.0000000000145491838366213370107657267475419713602996621,-0.10473911879406186968166525882418048837073395,0.00325539716453342677494171079668963535062240803,-0.000187699811512806447468859226156553922309098147
37,570.018744593597309251787134951180983101664176,40.5552269390502969545804088163263197788464993,0.497921979939260361940333497328211916273145272,-0.0000014920928305700370848383595928241482412919651,0.0000000000072759576141834259033203125,0.00000000000652976522414018729779256294045107386482321414,0.00000000000729855613945338275798493404124645404305532364,0.00000000000727468435421738578022147574020808753421932394,-0.102555901176313146773322533719713352400127054,0.00310591766311341638769838617186032610846691091,-0.000174995517230348778666177886363897786327129804
38,599.425032564527481993379415080284696698935864,41.5881598983544641661238794614821325796296688,0.530854939243427573483804142484024717056314738,-0.00000177124013238668019222334604559508500598894654,0.00000000000363797880709171295166015625,0.0000000000032724772154745800607244250302734503934644156,0.00000000000364877201292512998646134807143458659720986196,0.00000000000363738421252565346340632655923759375283988119,-0.100468312488418145270713627300590119871488182,0.0029668138287054456576264150325901592509620462,-0.000163440909798708073004458789013000820403403125
39,629.548259261776851238842859941948319162818541,42.6203273482793627996025836279991227849889974,0.563022389168326206962508309001014922415643321,-0.00000197101505183673877870713505818592248424599558,0.000000000001818989403545856475830078125,0.00000000000163987348720732737409229953024976141286820312,0.00000000000182415011484725174277582287642474621289779279,0.00000000000181871126825574608256361058317476060691545117,-0.0984700163669829832586260265140623385508241952,0.00283713104173955464974892975781560185547179935,-0.000152906492785614247574618314869163605635303399
40,660.387853902293967241982429588288225405637956,43.6517647269419060298171349430624649535987495,0.594459767830869437177059624064357091025395436,-0.00000208876647301913109242085318325530999012097657,0.0000000000009094947017729282379150390625,0.000000000000821678227901668500511120364500210807223215902,0.00000000000091196491045253290117379419572583869799813916,0.000000000000909364389268507610829662857162949708301176064,-0.0965552341317373661366729600389107706548549455,0.00271602316625852695179419721653764865874646022,-0.000143280113855090882432666055478184948149526341
41,691.943272851844957936533514226458408692822577,44.6825050398886124312557900842500221878659864,0.625200080777575838615714765251914325292632373,-0.00000212537222116658461897208034272490215872688062,0.00000000000045474735088646411895751953125,0.00000000000041167428024783865572285294792912145510307064,0.000000000000455930939077143380358327397119054975958500106,0.000000000000454686203604401517878742879024523217805803662,-0.0947186840223714298807005945995430012520341968,0.00260273795630041074785532512621861896592599375,-0.000134464295269457437716500990355659536070856341
42,724.21399771588586098773382476192786619587368,45.7125790794411337143098583877451499841030544,0.65527412033009712166978306874704212152970036,-0.00000208468733555724168171743382490189373930857153,0.000000000000227373675443232059478759765625,0.000000000000206238035327112905873249662250327056139609398,0.000000000000227941337635143035728448025231127301441603437,0.000000000000227344941316806730247632664145170363656534087,-0.0929555282726475849470631724972027172622557464,0.00249660472261971838550405652835799132612650569,-0.000126374024474540476133095500944887548681339106
43,757.199533606131921889689133825092107777351698,46.7420156197184657682448299115949868039880518,0.684710660607429175604754592596878941414697731,-0.00000197296936854127384698759364454662668537416149,0.0000000000001136868377216160297393798828125,0.000000000000103311626064484616037160364770353814898345546,0.000000000000113959347784768227291402760117729733406467227,0.000000000000113673316386947233489935490629077401839241126,-0.0912613268612247286277716226127868204293495075,0.00239702386497450630444957013971418060303445291,-0.000118934917531137808488699081519293333113070621
44,790.899407563043868707166862424831147347989519,47.7708415905188446348720796480989163966309324,0.713536631407808042232004329100808534057578368,-0.00000179831073338288960952035121773102329463446557,0.00000000000005684341886080801486968994140625,0.0000000000000517484297136097688502838006042857004219113561,0.000000000000056974355285978079010169982243192239342359622,0.0000000000000568370477545747907747769035819574499607307593,-0.089631996971791960809109733728288273397503278,0.00230345795158252225160857655464503958093465225,-0.000112081686163616711846696629647346708909689883
45,825.313167117067799160396185983192952149069757,48.7990822327665916191143962904050386931107432,0.741777273655555026474320971406930830537389181,-0.00000157010035315425490226692393382804024364709292,0.000000000000028421709430404007434844970703125,0.0000000000000259187863391425967459200742380415736011450401,0.0000000000000284846755700871454140830760714473975702803964,0.0000000000000284187036398526067428448712717513499798566421,-0.0880637773526710869668434716075566882382242155,0.0022154240876088969091742888259316281234568306,-0.000105756853181577454650948702191805994315474606
46,860.440378973684799813628007762860962924828653,49.8267612378319320024637331554017928309647172,0.769456278720895409823657836403684968391363117,-0.0000012985301489258518478107373921004601917142091,0.0000000000000142108547152020037174224853515625,0.0000000000000129808598089881113414070840584304189111423341,0.0000000000000142411591832904105311349351615234406172517602,0.0000000000000142094349133691217698931964490668308825264947,-0.0865531968951952168689644887460806276720843977,0.00213248736235328146044577844139876333149164836,-0.0000999096719610482207471016076022848091895798258
47,896.280627809216839007139305658138070011528383,50.8539008727000977302689071616838410967612094,0.796595913589061137628831842685733234187855372,-0.000000994156282387933021036123302660353840711892267,7.10542735760100185871124267578125e-15,6.5007764728156619488387829324914157737403563e-15,7.12002371871939919770135677291717204158282435e-15,7.10475592872039334182228042068601634581788126e-15,-0.0850970468565155477306016441468975006038961055,0.00205425520293060787883100453297692460331114996,-0.000094495214266072059646985798039565441131270499
48,932.833515165951915375130970762086323137616105,51.8805220926878966452214703829550765066352383,0.823217133576860052581395063956968644061884224,-0.000000667520496100681079669748018195602934404533573,3.552713678800500929355621337890625e-15,3.25537869997405042402510399254495565289767012e-15,3.55974937524479741376592056492633459424447758e-15,3.55239580472681732870803398545790831963834967e-15,-0.083692356240438550865985252164920125753535968,0.00198037249280159817859131150778051667122330161,-0.0000894735974870128415809273857143067500199022567
49,970.09865843653870756150783470005241592745879,52.9066446431718207303233890662706046338077371,0.849339684060784137683313747272496771234383054,-0.000000328833288968312538673965948354735624728427599,1.7763568394002504646778106689453125e-15,1.63009806555625608937331537623741071193698993e-15,1.7797505999406269847749372019867407864943611e-15,1.7762061877708155667456708514204008218303892e-15,-0.0823363699229348394356909439669220750800389999,0.00191051733812804863176804964588557482362135146,-0.000084809327773220546758383182663296355789114801
50,1008.07568992879569478343019613978807931831595,53.9322871515939680203595330092936605521402936,0.874982192482931427719457690295552689566939524,0.0000000122820837628346473061754691305451851935947697,8.8817841970012523233890533447265625e-16,8.16212405068255963605052082857530892469970047e-16,8.89816573654703552977706780685008588164942799e-16,8.88106947325571353350262275159752943519215144e-16,-0.0810265291698565253848983257088583505102205061,0.00184439738485360731468701109310098339202648681,-0.0000804707398520334833846832768766265642806957241
51,1046.76425600311200937671865512212979643092286,54.9574672108443338187995798434035897708626469,0.900162251733297226159504524405481908289292868,0.000000346987806250720180140804880054013673693162268,4.44089209850062616169452667236328125e-16,4.08668452746957772971793572819652240731809675e-16,4.44880464292301837157583532690473632105313397e-16,4.440552683258988544799640432245397164000578e-16,-0.0797604542453619105952714584367295994075589327,0.00178174660561190264637429975284771226525717867,-0.0000764295177881519153172169855711489077474206674
