n,vertices,cardinality,count
25,74,28,2336809082254568428
25,74,29,2107473432914339952
25,74,30,1707350167932252588
25,74,31,1239150217166864028
25,74,32,803186542341857083
25,74,33,463285953687635122
25,74,34,236825186069365428
25,74,35,106772651921100262
25,74,36,42216504013413403
25,74,37,14540023668577104
25,74,38,4326973234388961
25,74,39,1101648374812506
25,74,40,237039907246347
25,74,41,42443172053918
25,74,42,6199208209229
25,74,43,719257469664
25,74,44,63904670250
25,74,45,4122014304
25,74,46,177537322
25,74,47,4408254
25,74,48,46102
25,74,49,74
26,77,0,1
26,77,1,77
26,77,2,2926
26,77,3,73073
26,77,4,1347577
26,77,5,19550069
26,77,6,232121659
26,77,7,2316991072
26,77,8,19822097218
26,77,9,147446760153
26,77,10,964190018869
26,77,11,5590656090796
26,77,12,28939016228892
26,77,13,134453403027482
26,77,14,563116062160091
26,77,15,2133286511567904
26,77,16,7329865389767228
26,77,17,22889836472212787
26,77,18,65067842408905413
26,77,19,168557239217550876
26,77,20,398192516316007721
26,77,21,858138272898462017
26,77,22,1687158268724085794
26,77,23,3025376601601454870
26,77,24,4945428550591201365
26,77,25,7363737383947154749
26,77,26,9977704634649430756
26,77,27,12287735244628751985
26,77,28,13733984525118251944
26,77,29,13908533775320548595
26,77,30,12737947624524421222
26,77,31,10527167118203334984
26,77,32,7831622112248325930
26,77,33,5230083035327825157
26,77,34,3125353953782902765
26,77,35,1665082529382811198
26,77,36,787557116345630169
26,77,37,329076899890570755
26,77,38,120771188362544874
26,77,39,38662232328454350
26,77,40,10707061488255363
26,77,41,2539398667288329
26,77,42,509385191201502
26,77,43,85070687667119
26,77,44,11590669624541
26,77,45,1254015055062
26,77,46,103789913689
26,77,47,6223942263
26,77,48,248318378
26,77,49,5673987
26,77,50,53900
26,77,51,77
27,80,0,1
27,80,1,80
27,80,2,3160
27,80,3,82080
27,80,4,1575420
27,80,5,23806176
27,80,6,294669120
27,80,7,3069335600
27,80,8,27430923750
27,80,9,213410200080
27,80,10,1461507413760
27,80,11,8887565871520
27,80,12,48324309947880
27,80,13,236241429474720
27,80,14,1043011370399640
27,80,15,4173683591638224
27,80,16,15180629965074065
27,80,17,50301431523172960
27,80,18,152106866855954640
27,80,19,420300997087308080
27,80,20,1062213822094509732
27,80,21,2456694308898883200
27,80,22,5201064368749499920
27,80,23,10079267450921939120
27,80,24,17874954227155240590
27,80,25,28994935764426354768
27,80,26,42988048500949721040
27,80,27,58199438019006274080
27,80,28,71869630553471814220
27,80,29,80844687831493614320
27,80,30,82712884251771790176
27,80,31,76834185855402300800
27,80,32,64675510705056020110
27,80,33,49222393431258185520
27,80,34,33785467438739192840
27,80,35,20854557524198545024
27,80,36,11538811014744447120
27,80,37,5701465038507366480
27,80,38,2504957095013458280
27,80,39,973678157700759360
27,80,40,332859063739215276
27,80,41,99375954461513280
27,80,42,25692709200939480
27,80,43,5693522876013040
27,80,44,1067760745905080
27,80,45,166775140272144
27,80,46,21250893627320
27,80,47,2149217691200
27,80,48,166093185375
27,80,49,9280480880
27,80,50,343735840
27,80,51,7243680
27,80,52,62660
27,80,53,80
28,83,0,1
28,83,1,83
28,83,2,3403
28,83,3,91798
28,83,4,1830980
28,83,5,28772365
28,83,6,370650444
28,83,7,4021637180
28,83,8,37475989518
28,83,9,304333895852
28,83,10,2178069890613
28,83,11,13859565002376
28,83,12,78965703010691
28,83,13,405133024384096
28,83,14,1880258727621285
28,83,15,7923410109972315
28,83,16,30407850615284406
28,83,17,106533117474301597
28,83,18,341378351904547150
28,83,19,1002024113018040118
28,83,20,2697025674802392652
28,83,21,6661703947308694049
28,83,22,15106991942551864930
28,83,23,31459041187575901698
28,83,24,60153940279177383119
28,83,25,105587551487728317638
28,83,26,170051333653231154070
28,83,27,251113455235378635924
28,83,28,339708039012465414297
28,83,29,420564536700565666748
28,83,30,475902553412050321109
28,83,31,491530802690788997914
28,83,32,462633511242960666264
28,83,33,396090783781248310189
28,83,34,307852996903163755267
28,83,35,216716495267917672930
28,83,36,137823007136650012096
28,83,37,78952215135719738929
28,83,38,40604486022080993916
28,83,39,18676362103822498270
28,83,40,7648967135256532109
28,83,41,2775068179800962790
28,83,42,886507392211812438
28,83,43,247580577549618600
28,83,44,59929456208715629
28,83,45,12442544204858459
28,83,46,2187294390262004
28,83,47,320302567886095
28,83,48,38259930625638
28,83,49,3625184200308
28,83,50,262151819780
28,83,51,13676608528
28,83,52,471217643
28,83,53,9176978
28,83,54,72459
28,83,55,83
29,86,0,1
29,86,1,86
29,86,2,3655
29,86,3,102254
29,86,4,2116417
29,86,5,34533902
29,86,6,462277606
29,86,7,5216272294
29,86,8,50596053286
29,86,9,428099801104
29,86,10,3195672755709
29,86,11,21234501295274
29,86,12,126497766955550
29,86,13,679500625947846
29,86,14,3306756856648348
29,86,15,14634742786995790
29,86,16,59087692688202003
29,86,17,218193347444242020
29,86,18,738424178954388681
29,86,19,2293993438543947214
29,86,20,6549994478444634618
29,86,21,17204851360113472040
29,86,22,41600128729452724912
29,86,23,92625676378730813308
29,86,24,189940512879195015255
29,86,25,358687288686057795024
29,86,26,623595020077442259105
